ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
401088767,2019,"November 10, 2018",Chattanooga Mocs,Eastern Kentucky Colonels,"1-1, 0-1 Home","1-1, 1-0 Away",78,81,UTC -2.0,,Final,,45,33,,36,45,,NCAAB
401083428,2019,"November 16, 2018",Kansas State Wildcats,Eastern Kentucky Colonels,3-0,2-2,95,68,KSU -19.0,148,Final,,37,58,,28,40,,NCAAB
401099994,2019,"November 19, 2018",Eastern Kentucky Colonels,Kennesaw State Owls,3-3,1-5,100,81,EKU -5.5,149,Final,,39,61,,33,48,,NCAAB
401088238,2019,"December 1, 2018",High Point Panthers,Eastern Kentucky Colonels,"3-5, 0-2 Home","4-4, 2-1 Away",69,70,,,Final,ESPN+,42,27,,31,39,,NCAAB
401089935,2019,"December 8, 2018",Eastern Kentucky Colonels,Northern Kentucky Norse,"6-4, 3-1 Home","8-3, 2-3 Away",76,74,NKU -6.5,,Final,ESPN+,29,47,,29,45,,NCAAB
401085628,2019,"December 22, 2018",Duquesne Dukes,Eastern Kentucky Colonels,"9-3, 8-1 Home","6-6, 2-3 Away",85,84,DUQ -10.0,,Final/OT,ESPN+,42,37,6,48,31,5,NCAAB
401089511,2019,"January 3, 2019",Austin Peay Governors,Eastern Kentucky Colonels,"9-5, 1-0 Conf","7-7, 0-1 Conf",93,75,APSU -8.5,,Final,ESPN+,56,37,,35,40,,NCAAB
401090114,2019,"January 10, 2019",Tennessee State Tigers,Eastern Kentucky Colonels,"4-11, 1-2 Conf","7-9, 0-3 Conf",82,81,EKU -3.0,,Final,ESPN+,36,46,,43,38,,NCAAB
401090115,2019,"January 17, 2019",Eastern Kentucky Colonels,UT Martin Skyhawks,"8-10, 1-4 Conf","5-11, 0-5 Conf",97,73,EKU -6.5,,Final,ESPN+,55,42,,30,43,,NCAAB
401090117,2019,"January 24, 2019",Eastern Kentucky Colonels,Jacksonville State Gamecocks,"10-10, 3-4 Conf","14-6, 6-1 Conf",88,70,JVST -4.0,,Final,ESPN+,53,35,,27,43,,NCAAB
401090103,2019,"January 31, 2019",Eastern Illinois Panthers,Eastern Kentucky Colonels,"13-9, 6-3 Conf","10-12, 3-6 Conf",67,66,EKU -1.0,,Final,ESPN+,39,28,,30,36,,NCAAB
401090084,2019,"February 7, 2019",Eastern Kentucky Colonels,Belmont Bruins,"10-14, 3-8 Conf","18-4, 9-2 Conf",65,83,BEL -9.0,,Final,ESPN+,31,34,,45,38,,NCAAB
401090121,2019,"February 14, 2019",Morehead State Eagles,Eastern Kentucky Colonels,"10-16, 6-7 Conf","11-15, 4-9 Conf",78,72,MORE -2.0,,Final,ESPN+,44,34,,34,38,,NCAAB
401090123,2019,"February 21, 2019",Tennessee Tech Golden Eagles,Eastern Kentucky Colonels,"7-21, 3-12 Conf","12-16, 5-10 Conf",66,67,EKU -3.5,,Final,ESPN+,33,33,,40,27,,NCAAB
401089547,2019,"February 28, 2019",Eastern Kentucky Colonels,Austin Peay Governors,"13-17, 6-11 Conf","21-9, 13-4 Conf",82,80,APSU -4.0,,Final,ESPN+,45,37,,41,39,,NCAAB
401088182,2019,"November 7, 2018",Eastern Kentucky Colonels,Marshall Thundering Herd,"0-1, 0-1 Home","1-0, 1-0 Away",77,105,MRSH -9.0,,Final,ESPN+,38,39,,57,48,,NCAAB
401090111,2019,"November 13, 2018",Eastern Kentucky Colonels,Midway Eagles,"2-1, 1-1 Home",,107,52,,,Final,ESPN+,52,55,,27,25,,NCAAB
