ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400499030,2013,"November 12, 2013",Florida Gulf Coast Eagles,Hartford Hawks,"1-1, 1-0 Home","0-2, 0-2 Away",65,51,,,Final,ESPN2,27,38,,26,25,,NCAAB
400499044,2013,"November 18, 2013",Florida Gulf Coast Eagles,Eckerd College Tritons,"3-1, 3-1 Home",,72,55,,,Final,ESPN3,37,35,,28,27,,NCAAB
400499069,2013,"November 26, 2013",NC State Wolfpack,Florida Gulf Coast Eagles,"3-2, 3-1 Home","4-2, 1-2 Away",82,62,,,Final,ESPN3,39,43,,24,38,,NCAAB
400499091,2013,"December 07, 2013",Florida Int'L Panthers,Florida Gulf Coast Eagles,"8-4, 6-2 Home","4-4, 1-3 Away",72,61,,,Final,,30,42,,26,35,,NCAAB
400496917,2013,"December 17, 2013",South Florida Bulls,Florida Gulf Coast Eagles,"7-2, 5-2 Home","5-5, 1-4 Away",68,66,,,Final/2OT,ESPNU,23,32,13.0,21,34,11.0,NCAAB
400499116,2013,"December 22, 2013",Florida Gulf Coast Eagles,Florida A&M Rattlers,6-6,2-10,77,68,,,Final,,35,42,,39,29,,NCAAB
400499123,2013,"December 30, 2013",Florida Gulf Coast Eagles,Northern Kentucky Norse,"7-7, 1-0 Conf","4-9, 0-1 Conf",60,56,,,Final,ESPN3,28,32,,26,30,,NCAAB
400499136,2013,"January 05, 2014",Stetson Hatters,Florida Gulf Coast Eagles,"3-12, 1-2 Conf","9-7, 3-0 Conf",55,68,,,Final,ESPN3,28,27,,34,34,,NCAAB
400499147,2013,"January 11, 2014",Jacksonville Dolphins,Florida Gulf Coast Eagles,"8-9, 4-2 Conf","10-8, 4-1 Conf",76,69,,,Final,,42,34,,35,34,,NCAAB
400499155,2013,"January 18, 2014",Florida Gulf Coast Eagles,East Tennessee State Buccaneers,"12-8, 6-1 Conf","9-10, 2-4 Conf",90,62,,,Final,ESPN3,42,48,,22,40,,NCAAB
400499165,2013,"January 25, 2014",Kennesaw State Owls,Florida Gulf Coast Eagles,"4-18, 1-8 Conf","13-9, 7-2 Conf",62,83,,,Final,ESPN3,37,25,,46,37,,NCAAB
400499178,2013,"February 06, 2014",Florida Gulf Coast Eagles,Jacksonville Dolphins,"15-9, 9-2 Conf","9-14, 5-7 Conf",100,71,,,Final,ESPN3,49,51,,31,40,,NCAAB
400499187,2013,"February 13, 2014",East Tennessee State Buccaneers,Florida Gulf Coast Eagles,"15-12, 8-6 Conf","16-10, 10-3 Conf",89,81,,,Final,,45,44,,32,49,,NCAAB
400499198,2013,"February 21, 2014",Florida Gulf Coast Eagles,Mercer Bears,"18-10, 12-3 Conf","21-7, 12-3 Conf",75,61,,,Final,ESPNU,26,49,,23,38,,NCAAB
400499206,2013,"February 27, 2014",Lipscomb Bisons,Florida Gulf Coast Eagles,"14-14, 9-8 Conf","19-11, 13-4 Conf",92,71,,,Final,ESPN3,58,34,,38,33,,NCAAB
400540998,2013,"March 04, 2014",Florida Gulf Coast Eagles,Stetson Hatters,"21-11, 14-4 Conf","7-24, 5-13 Conf",77,55,,,Final,ESPN3,41,36,,21,34,,NCAAB
400499014,2013,"November 08, 2013",Nebraska Cornhuskers,Florida Gulf Coast Eagles,"1-0, 1-0 Home","0-1, 0-1 Away",79,55,,,Final,BTN,39,40,,27,28,,NCAAB
400499037,2013,"November 15, 2013",Furman Paladins,Florida Gulf Coast Eagles,"2-1, 2-1 Home","2-1, 1-1 Away",69,70,,,Final,ESPN3,38,31,,31,39,,NCAAB
400499059,2013,"November 23, 2013",Florida Gulf Coast Eagles,Ave Maria Gyrenes,"4-1, 3-0 Home",,79,56,,,Final,,36,43,,21,35,,NCAAB
400499082,2013,"December 01, 2013",Florida Gulf Coast Eagles,Iona Gaels,"4-3, 3-1 Home","3-2, 1-2 Away",72,90,,,Final,ESPN3,40,32,,52,38,,NCAAB
400499098,2013,"December 14, 2013",Florida Gulf Coast Eagles,Samford Bulldogs,"5-4, 4-1 Home","4-8, 0-7 Away",83,51,,,Final,,38,45,,24,27,,NCAAB
400499108,2013,"December 19, 2013",Mississippi State Bulldogs,Florida Gulf Coast Eagles,"8-2, 8-1 Home","5-6, 1-5 Away",66,53,,,Final,ESPN3,32,34,,24,29,,NCAAB
400522835,2013,"December 23, 2013",Radford Highlanders,Florida Gulf Coast Eagles,8-4,6-7,64,63,,,Final,,32,32,,32,31,,NCAAB
400499128,2013,"January 01, 2014",Florida Gulf Coast Eagles,Lipscomb Bisons,"8-7, 2-0 Conf","5-8, 0-2 Conf",75,62,,,Final,ESPN3,39,36,,30,32,,NCAAB
400499143,2013,"January 09, 2014",North Florida Ospreys,Florida Gulf Coast Eagles,"9-9, 3-2 Conf","10-7, 4-0 Conf",75,79,,,Final,,38,37,,38,41,,NCAAB
400499150,2013,"January 16, 2014",Florida Gulf Coast Eagles,South Carolina Upstate Spartans,"11-8, 5-1 Conf","9-9, 2-3 Conf",63,60,,,Final,ESPN3,27,36,,35,25,,NCAAB
400499161,2013,"January 23, 2014",Mercer Bears,Florida Gulf Coast Eagles,"16-5, 7-1 Conf","12-9, 6-2 Conf",68,55,,,Final,,34,34,0.0,28,27,0.0,NCAAB
400499172,2013,"January 31, 2014",Florida Gulf Coast Eagles,Stetson Hatters,"14-9, 8-2 Conf","6-16, 4-6 Conf",71,68,,,Final,ESPN3,36,35,,31,37,,NCAAB
400499183,2013,"February 08, 2014",Florida Gulf Coast Eagles,North Florida Ospreys,"16-9, 10-2 Conf","13-13, 7-6 Conf",73,46,,,Final,ESPN3,38,35,,27,19,,NCAAB
400499195,2013,"February 15, 2014",South Carolina Upstate Spartans,Florida Gulf Coast Eagles,"15-12, 8-6 Conf","17-10, 11-3 Conf",80,84,,,Final,ESPN3,41,39,,38,46,,NCAAB
400499203,2013,"February 23, 2014",Florida Gulf Coast Eagles,Kennesaw State Owls,"19-10, 13-3 Conf","6-23, 3-13 Conf",78,68,,,Final,ESPN3,36,42,,29,39,,NCAAB
400499213,2013,"March 01, 2014",Northern Kentucky Norse,Florida Gulf Coast Eagles,"9-21, 5-13 Conf","20-11, 14-4 Conf",72,92,,,Final,,28,44,,46,46,,NCAAB
400541634,2013,"March 06, 2014",Florida Gulf Coast Eagles,East Tennessee State Buccaneers,"22-11, 14-4 Conf","18-15, 10-8 Conf",69,64,,,Final,ESPN3,34,35,,33,31,,NCAAB
400546966,2013,"March 18, 2014",Florida State Seminoles,Florida Gulf Coast Eagles,"20-13, 10-5 Home","22-13, 6-10 Away",58,53,,,Final,ESPN2,24,34,,19,34,,NCAAB
400542834,2013,"March 09, 2014",Florida Gulf Coast Eagles,Mercer Bears,"22-12, 14-4 Conf","26-8, 14-4 Conf",60,68,,,Final,ESPN2,17,43,,33,35,,NCAAB
