ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400991060,2017,"November 13, 2017",Siena Saints,Florida Gulf Coast Eagles,"0-2, 0-1 Home","2-0, 1-0 Away",53,86,,,Final,,27,26,,40,46,,NCAAB,19-63,33-64,30.2,51.6,3-15,6-20,20.0,30.0,12-21,14-20,57.1,70.0,33,48,7,16,7,10,4,3,14,14,,,,,15,20,,,17,18,16,30,,,0,0,0,0
400991852,2017,"November 21, 2017",Middle Tennessee Blue Raiders,Florida Gulf Coast Eagles,"4-1, 2-1 Home","2-2, 1-2 Away",85,72,,,Final,,47,38,,29,43,,NCAAB,28-58,21-49,48.3,42.9,6-19,3-17,31.6,17.6,23-32,27-38,71.9,71.1,37,32,17,10,10,5,2,2,12,16,,,,,28,26,22,0,10,6,27,26,,,0,0,0,0
400991853,2017,"November 25, 2017",Florida Gulf Coast Eagles,Navy Midshipmen,"4-2, 3-0 Home","4-3, 1-3 Away",70,54,,,Final,ESPN3,28,42,,26,28,,NCAAB,27-51,20-58,52.9,34.5,7-18,2-18,38.9,11.1,9-10,12-16,90.0,75.0,40,25,9,3,4,8,4,0,19,10,,,,,17,15,22,4,9,10,31,15,,,0,0,0,0
400991854,2017,"November 29, 2017",Florida Gulf Coast Eagles,Webber International Warriors,"6-2, 5-0 Home",,115,61,,,Final,ESPN3,63,52,,21,40,,NCAAB,45-81,25-64,55.6,39.1,9-25,8-27,36.0,29.6,16-22,3-4,72.7,75.0,57,20,29,11,14,7,3,2,10,18,,,,,9,16,54,0,23,5,34,15,,,1,1,0,0
400991856,2017,"December 5, 2017",Florida Gulf Coast Eagles,Florida Atlantic Owls,"6-4, 5-2 Home","5-3, 1-1 Away",88,92,,,Final,ESPN3,45,43,,34,58,,NCAAB,34-67,29-64,50.7,45.3,6-12,9-21,50.0,42.9,14-22,25-33,63.6,75.8,40,37,8,8,4,4,3,4,8,7,,,,,23,20,14,7,13,13,27,24,,,0,0,0,0
400989348,2017,"December 16, 2017",Florida Gulf Coast Eagles,Oral Roberts Golden Eagles,"7-5, 5-3 Home","4-9, 2-5 Away",64,83,,,Final,ESPN3,35,29,,42,41,,NCAAB,24-54,34-63,44.4,54.0,11-25,4-14,44.0,28.6,5-8,11-13,62.5,84.6,20,40,18,18,6,10,2,2,16,14,,,,,15,13,3,20,8,17,12,23,,,1,0,0,0
400988034,2017,"December 22, 2017",Wichita State Shockers,Florida Gulf Coast Eagles,"10-2, 6-1 Home","7-7, 2-4 Away",75,65,,,Final,CBSSN,35,40,,33,32,,NCAAB,22-56,25-68,39.3,36.8,9-24,9-22,37.5,40.9,22-26,6-10,84.6,60.0,43,39,15,10,4,8,11,6,15,15,,,,,14,23,13,7,11,14,32,25,,,0,0,0,0
400991858,2017,"December 29, 2017",Florida Gulf Coast Eagles,Florida Memorial Lions,"8-8, 6-3 Home",,76,42,,,Final,ESPN3,38,38,,22,20,,NCAAB,31-64,14-58,48.4,24.1,10-34,3-24,29.4,12.5,4-4,11-22,100.0,50.0,44,41,19,4,11,6,5,0,14,17,,,,,21,11,36,1,8,16,36,25,,,0,0,0,0
400991860,2017,"January 6, 2018",Florida Gulf Coast Eagles,Stetson Hatters,"10-8, 1-0 Conf","8-9, 0-1 Conf",90,52,,,Final,ESPN3,52,38,,23,29,,NCAAB,30-50,19-60,60.0,31.7,12-24,7-28,50.0,25.0,18-20,7-9,90.0,77.8,42,21,18,10,7,6,3,0,17,12,,,,,15,14,44,1,8,8,34,13,,,0,0,0,0
400991862,2017,"January 13, 2018",Florida Gulf Coast Eagles,NJIT Highlanders,"12-8, 3-0 Conf","8-10, 1-2 Conf",68,54,,,Final,ESPN3,36,32,,28,26,,NCAAB,26-57,20-54,45.6,37.0,6-21,5-17,28.6,29.4,10-13,9-16,76.9,56.3,41,30,19,10,11,7,4,2,19,17,,,,,19,16,16,2,12,9,29,21,,,0,1,0,0
400991864,2017,"January 20, 2018",Kennesaw State Owls,Florida Gulf Coast Eagles,"5-15, 1-4 Conf","14-8, 5-0 Conf",49,66,,,Final,ESPN3,24,25,,32,34,,NCAAB,16-50,24-51,32.0,47.1,3-11,2-13,27.3,15.4,14-26,16-25,53.8,64.0,29,41,6,13,9,5,7,4,16,17,,,,,25,21,4,18,9,11,20,30,,,0,0,0,0
400991866,2017,"January 27, 2018",Florida Gulf Coast Eagles,Jacksonville Dolphins,"16-8, 7-0 Conf","11-13, 5-2 Conf",68,62,,,Final,ESPN3,35,33,,26,36,,NCAAB,27-59,28-67,45.8,41.8,1-9,2-18,11.1,11.1,13-20,4-6,65.0,66.7,46,31,5,9,5,10,1,0,16,8,,,,,6,16,11,2,9,4,37,27,,,0,1,0,0
400991868,2017,"February 3, 2018",Jacksonville Dolphins,Florida Gulf Coast Eagles,"12-14, 6-3 Conf","18-8, 9-0 Conf",55,80,,,Final,ESPN3,25,30,,33,47,,NCAAB,20-51,32-66,39.2,48.5,7-19,6-18,36.8,33.3,8-18,10-12,44.4,83.3,34,39,12,16,4,7,2,5,19,8,,,,,13,22,0,28,10,11,24,28,,,0,0,0,0
400991870,2017,"February 10, 2018",South Carolina Upstate Spartans,Florida Gulf Coast Eagles,"7-21, 2-9 Conf","20-8, 11-0 Conf",71,88,,,Final,ESPN3,44,27,,29,59,,NCAAB,25-72,34-65,34.7,52.3,12-38,4-15,31.6,26.7,9-11,16-21,81.8,76.2,41,40,15,19,4,6,3,2,14,9,,,,,19,13,18,17,15,7,26,33,,,0,0,0,0
400991872,2017,"February 17, 2018",Florida Gulf Coast Eagles,Lipscomb Bisons,"20-10, 11-2 Conf","19-9, 9-4 Conf",87,90,,,Final,ESPN3,31,56,,38,52,,NCAAB,30-62,33-58,48.4,56.9,6-24,8-21,25.0,38.1,21-27,16-21,77.8,76.2,27,34,11,14,19,5,3,1,15,24,,,,,22,22,6,17,9,10,18,24,,,0,0,0,0
401020699,2017,"February 26, 2018",Florida Gulf Coast Eagles,South Carolina Upstate Spartans,"22-10, 12-2 Conf","7-25, 2-12 Conf",96,76,,,Final,ESPN3,39,57,,36,40,,NCAAB,37-62,27-64,59.7,42.2,11-20,13-36,55.0,36.1,11-19,9-12,57.9,75.0,32,36,20,13,4,3,2,4,4,10,,,,,12,16,22,4,6,12,26,24,,,0,2,0,0
400989554,2017,"November 11, 2017",Florida Gulf Coast Eagles,Illinois State Redbirds,"1-0, 1-0 Home","0-1, 0-1 Away",98,87,,,Final,ESPN3,45,53,,42,45,,NCAAB,32-65,33-65,49.2,50.8,7-23,14-29,30.4,48.3,27-37,7-16,73.0,43.8,48,24,16,24,9,3,5,5,12,11,,,,,16,26,11,6,17,5,31,19,,,0,0,0,0
400990124,2017,"November 18, 2017",Bowling Green Falcons,Florida Gulf Coast Eagles,"2-1, 1-1 Home","2-1, 1-1 Away",83,80,,,Final,ESPN3,40,43,,43,37,,NCAAB,27-66,30-71,40.9,42.3,6-15,6-23,40.0,26.1,23-33,14-19,69.7,73.7,46,42,10,13,7,6,4,5,14,16,,,,,19,23,6,13,12,11,34,31,,,1,0,0,0
400989308,2017,"November 24, 2017",Florida Gulf Coast Eagles,Denver Pioneers,"3-2, 2-0 Home","1-3, 0-2 Away",79,71,,,Final,ESPN3,35,44,,32,39,,NCAAB,26-54,28-55,48.1,50.9,9-24,5-18,37.5,27.8,18-23,10-16,78.3,62.5,28,34,16,14,8,5,4,1,9,16,,,,,17,22,10,4,9,12,19,22,,,0,0,0,0
400990735,2017,"November 26, 2017",Florida Gulf Coast Eagles,St. Francis (BKN) Terriers,"5-2, 4-0 Home","1-5, 0-3 Away",75,51,,,Final,ESPN3,35,40,,18,33,,NCAAB,29-61,19-52,47.5,36.5,3-7,4-21,42.9,19.0,14-19,9-18,73.7,50.0,43,26,15,5,4,6,1,3,11,14,,,,,15,17,28,0,12,4,31,22,,,0,0,0,0
400991855,2017,"December 2, 2017",Florida Gulf Coast Eagles,Middle Tennessee Blue Raiders,"6-3, 5-1 Home","5-1, 3-0 Away",76,81,,,Final,ESPN3,31,45,,34,47,,NCAAB,25-52,29-60,48.1,48.3,7-17,4-15,41.2,26.7,19-27,19-25,70.4,76.0,28,42,14,14,8,6,1,2,15,18,,,,,22,23,12,16,7,15,21,27,,,0,0,0,0
400990398,2017,"December 9, 2017",UT Arlington Mavericks,Florida Gulf Coast Eagles,"7-3, 4-1 Home","7-4, 2-2 Away",78,85,,,Final,ESPN3,32,46,,37,48,,NCAAB,27-57,28-51,47.4,54.9,11-25,10-19,44.0,52.6,13-19,19-23,68.4,82.6,28,32,14,14,8,9,2,1,21,24,,,,,18,23,,,11,9,17,23,,,0,0,0,0
