ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
273110096,2008,"November 7, 2007",Kentucky Wildcats,Gardner-Webb Bulldogs,1-1,2-0,68,84,,,Final,,27,41,,38,46,,NCAAB,22-62,26-49,35.5,53.1,6-19,8-17,31.6,47.1,18-20,24-31,90.0,77.4,30,38,8,16,7,3,3,1,12,17,,,,,22,20,0,18,11,6,18,31,,,0,0,0,0
273190041,2008,"November 15, 2007",Gardner-Webb Bulldogs,Uconn Huskies,3-1,3-0,66,78,,,Final,,27,39,,41,37,,NCAAB,23-71,29-67,32.4,43.3,7-27,6-12,25.9,50.0,13-19,14-26,68.4,53.8,52,59,10,20,5,8,2,10,20,13,,,,,29,21,0,24,17,17,27,35,,,0,0,0,0
273212515,2008,"November 17, 2007",Radford Highlanders,Gardner-Webb Bulldogs,"1-3, 1-1 Home","4-2, 1-0 Away",83,93,,,Final,,33,50,,44,49,,NCAAB,24-57,27-53,42.1,50.9,4-18,8-20,22.2,40.0,31-40,31-41,77.5,75.6,37,42,10,17,7,6,2,1,14,14,,,,,30,30,0,13,10,8,23,30,,,1,0,0,0
273280228,2008,"November 24, 2007",Clemson Tigers,Gardner-Webb Bulldogs,"5-0, 4-0 Home","4-4, 1-2 Away",96,67,,,Final,,53,43,,36,31,,NCAAB,34-67,27-70,50.7,38.6,11-19,6-25,57.9,24.0,17-31,7-10,54.8,70.0,54,37,22,13,11,5,5,3,15,16,,,,,15,25,31,1,21,14,30,20,,,0,0,0,0
273372241,2008,"December 3, 2007",Gardner-Webb Bulldogs,Radford Highlanders,"5-5, 2-1 Home","3-6, 1-5 Away",97,100,,,Final/2OT,,28,50,19.0,32,46,22.0,NCAAB,29-75,29-60,38.7,48.3,10-31,6-14,32.3,42.9,29-51,36-49,56.9,73.5,51,51,21,12,8,5,4,3,12,18,,,,,32,33,0,8,22,10,27,35,,,1,2,0,0
273492127,2008,"December 15, 2007",Charleston Southern Buccaneers,Gardner-Webb Bulldogs,"5-5, 4-3 Home","5-7, 1-4 Away",80,69,,,Final,,31,49,,32,37,,NCAAB,25-64,26-61,39.1,42.6,11-28,8-26,39.3,30.8,19-28,9-17,67.9,52.9,52,41,15,16,9,6,5,3,15,19,,,,,16,20,11,3,14,9,33,29,,,0,0,0,0
273632241,2008,"December 29, 2007",Gardner-Webb Bulldogs,Charleston Southern Buccaneers,"6-8, 3-1 Home","5-7, 1-4 Away",105,77,,,Final,,50,55,,30,47,,NCAAB,35-67,25-61,52.2,41.0,13-23,8-21,56.5,38.1,22-34,19-30,64.7,63.3,49,46,23,10,9,4,2,0,8,14,,,,,24,24,38,1,15,10,32,25,,,0,1,0,0
280052241,2008,"January 5, 2008",Gardner-Webb Bulldogs,Lipscomb Bisons,"7-9, 1-1 Conf","7-9, 1-1 Conf",81,73,,,Final,,36,45,,29,44,,NCAAB,29-63,25-65,46.0,38.5,10-25,4-17,40.0,23.5,13-20,19-27,65.0,70.4,48,46,20,13,5,1,6,2,13,9,,,,,19,20,13,0,14,15,31,27,,,0,0,0,0
280122193,2008,"January 12, 2008",East Tennessee State Buccaneers,Gardner-Webb Bulldogs,"8-8, 2-1 Conf","8-10, 2-2 Conf",69,73,,,Final,,30,39,,40,33,,NCAAB,21-66,25-61,31.8,41.0,5-23,7-29,21.7,24.1,22-31,16-19,71.0,84.2,48,47,8,11,10,6,4,2,13,19,,,,,19,23,0,10,18,11,28,31,,,0,0,0,0
280242241,2008,"January 24, 2008",Gardner-Webb Bulldogs,Stetson Hatters,"9-11, 3-3 Conf","9-11, 4-2 Conf",55,50,,,Final,,31,24,,24,26,,NCAAB,20-50,20-58,40.0,34.5,3-13,5-22,23.1,22.7,12-17,5-11,70.6,45.5,40,43,16,7,7,6,0,1,15,13,,,,,15,11,9,3,7,10,32,26,,,0,0,0,0
