ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
313182244,2012,"November 14, 2011",George Mason Patriots,Florida International Panthers,1-1,1-0,76,79,,,Final/OT,ESPN3,32,34,10.0,36,30,13.0,NCAAB,26-54,28-65,48.1,43.1,7-16,8-18,43.8,44.4,17-26,15-18,65.4,83.3,40,36,13,15,6,8,7,5,21,16,,,,,22,21,4,9,11,12,26,21,,,0,0,0,0
313232226,2012,"November 19, 2011",Florida Atlantic Owls,George Mason Patriots,"2-3, 1-0 Home","2-2, 0-1 Away",80,75,,,Final/OT,,30,36,14.0,35,31,9.0,NCAAB,29-64,26-55,45.3,47.3,7-22,5-13,31.8,38.5,15-23,18-26,65.2,69.2,47,36,17,11,7,3,4,4,13,15,,,,,22,19,12,5,17,10,25,23,,,0,1,0,0
313262244,2012,"November 22, 2011",George Mason Patriots,Albany Great Danes,"4-2, 3-0 Home","2-3, 0-3 Away",66,46,,,Final,,33,33,,18,28,,NCAAB,28-59,16-61,47.5,26.2,2-12,2-23,16.7,8.7,8-14,12-15,57.1,80.0,46,40,17,3,6,6,5,3,13,13,,,,,15,18,22,0,13,15,31,22,,,0,0,0,0
313370119,2012,"December 3, 2011",Towson Tigers,George Mason Patriots,"0-7, 0-1 Conf","6-2, 1-0 Conf",53,65,,,Final,,31,22,,39,26,,NCAAB,18-48,23-55,37.5,41.8,8-17,5-17,47.1,29.4,9-13,14-17,69.2,82.4,27,45,5,11,3,5,1,4,13,11,,,,,17,14,0,12,10,18,16,23,,,0,0,0,0
313442515,2012,"December 10, 2011",Radford Highlanders,George Mason Patriots,"3-8, 3-2 Home","7-3, 2-2 Away",61,76,,,Final,,29,32,,32,44,,NCAAB,18-55,27-60,32.7,45.0,5-17,5-13,29.4,38.5,20-24,17-26,83.3,65.4,37,49,10,16,4,4,5,6,12,13,,,,,22,20,0,20,13,18,20,26,,,0,0,0,0
313572244,2012,"December 23, 2011",George Mason Patriots,Manhattan Jaspers,"8-4, 5-1 Home","8-5, 3-4 Away",81,61,,,Final,,27,54,,25,36,,NCAAB,28-51,18-59,54.9,30.5,5-11,5-18,45.5,27.8,20-37,20-23,54.1,87.0,41,41,16,8,6,10,8,3,16,22,,,,,22,27,20,4,12,17,26,21,,,1,0,0,0
320022244,2012,"January 2, 2012",George Mason Patriots,William & Mary Tribe,"10-4, 2-0 Conf","2-12, 0-2 Conf",70,56,,,Final,,32,38,,31,25,,NCAAB,24-48,22-47,50.0,46.8,8-17,6-20,47.1,30.0,14-20,6-10,70.0,60.0,26,29,18,8,12,7,2,0,11,18,,,,,14,15,14,2,6,8,18,20,,,0,0,0,0
320072244,2012,"January 7, 2012",George Mason Patriots,Georgia State Panthers,"12-4, 4-0 Conf","11-4, 3-1 Conf",61,58,,,Final,,31,30,,23,35,,NCAAB,19-51,22-56,37.3,39.3,5-18,4-10,27.8,40.0,18-21,10-17,85.7,58.8,42,38,8,11,6,7,8,4,19,14,,,,,19,22,8,0,14,12,25,20,,,0,0,0,0
320140256,2012,"January 14, 2012",James Madison Dukes,George Mason Patriots,"8-9, 1-5 Conf","13-5, 5-1 Conf",83,89,,,Final,,30,53,,45,44,,NCAAB,25-65,26-45,38.5,57.8,6-21,4-9,28.6,44.4,27-41,33-48,65.9,68.8,35,39,12,13,8,5,3,6,11,21,,,,,32,31,0,24,14,6,19,31,,,0,0,0,0
320212244,2012,"January 21, 2012",George Mason Patriots,Towson Tigers,"15-5, 7-1 Conf","0-20, 0-8 Conf",72,60,,,Final,,44,28,,27,33,,NCAAB,25-55,23-62,45.5,37.1,6-13,3-9,46.2,33.3,16-20,11-21,80.0,52.4,38,47,19,10,13,6,4,6,15,18,,,,,19,19,18,2,11,23,23,22,,,0,0,0,0
320252275,2012,"January 25, 2012",Hofstra Pride,George Mason Patriots,"7-15, 1-9 Conf","17-5, 9-1 Conf",50,55,,,Final,,20,30,,19,36,,NCAAB,20-49,15-47,40.8,31.9,5-14,5-15,35.7,33.3,5-11,20-23,45.5,87.0,33,41,16,8,7,8,2,6,16,18,,,,,20,20,9,8,6,13,21,27,,,0,0,0,0
320320048,2012,"February 1, 2012",Delaware Blue Hens,George Mason Patriots,"10-12, 6-6 Conf","18-6, 10-2 Conf",65,60,,,Final,,32,33,,24,36,,NCAAB,21-46,22-65,45.7,33.8,7-14,3-16,50.0,18.8,16-22,13-21,72.7,61.9,43,37,15,8,2,8,7,1,21,8,,,,,18,21,17,0,7,11,36,22,,,0,1,0,0
320392244,2012,"February 8, 2012",George Mason Patriots,Hofstra Pride,"20-6, 12-2 Conf","8-18, 2-12 Conf",72,62,,,Final,ESPN3,31,41,,32,30,,NCAAB,27-51,19-52,52.9,36.5,4-13,5-17,30.8,29.4,14-21,19-21,66.7,90.5,33,31,16,8,3,8,3,1,14,12,,,,,22,25,10,3,6,7,26,22,,,1,1,0,0
320452244,2012,"February 14, 2012",George Mason Patriots,VCU Rams,"22-6, 14-2 Conf","22-6, 13-3 Conf",62,61,,,Final,,28,34,,27,34,,NCAAB,24-59,21-58,40.7,36.2,6-17,6-21,35.3,28.6,8-12,13-17,66.7,76.5,44,36,12,9,3,10,3,5,16,10,,,,,19,13,3,8,11,8,30,25,,,0,0,0,0
320530111,2012,"February 22, 2012",Northeastern Huskies,George Mason Patriots,"13-15, 9-8 Conf","23-7, 14-3 Conf",85,82,,,Final/OT,ESPN3,31,44,10.0,38,37,7.0,NCAAB,24-46,30-57,52.2,52.6,6-13,8-19,46.2,42.1,31-35,14-20,88.6,70.0,31,34,18,24,15,14,3,3,22,21,,,,,17,24,4,10,9,12,19,16,,,0,0,0,0
320632244,2012,"March 3, 2012",George Mason Patriots,Georgia State Panthers,"24-8, 14-4 Conf","21-11, 11-7 Conf",61,59,,,Final,,25,36,,30,29,,NCAAB,26-57,19-51,45.6,37.3,2-15,4-11,13.3,36.4,7-12,17-30,58.3,56.7,43,36,13,8,5,7,8,4,14,9,,,,,22,16,6,11,13,11,26,22,,,0,0,0,0
313152244,2012,"November 11, 2011",George Mason Patriots,Rhode Island Rams,"1-0, 1-0 Home","0-1, 0-1 Away",92,90,,,Final/OT,,33,47,12.0,33,47,10.0,NCAAB,37-72,30-71,51.4,42.3,2-14,6-25,14.3,24.0,16-28,24-31,57.1,77.4,49,49,18,13,5,7,3,3,17,19,,,,,23,27,5,10,16,17,28,26,,,0,0,0,0
313192244,2012,"November 15, 2011",George Mason Patriots,Monmouth Hawks,2-1,0-3,71,39,,,Final,ESPNU,40,31,,21,18,,NCAAB,26-55,14-58,47.3,24.1,8-19,3-17,42.1,17.6,11-15,8-15,73.3,53.3,49,37,14,5,11,6,8,3,20,19,,,,,17,17,32,0,10,12,33,21,,,0,0,0,0
313252244,2012,"November 21, 2011",George Mason Patriots,Brown Bears,"3-2, 2-0 Home","2-3, 0-1 Away",74,48,,,Final,,37,37,,21,27,,NCAAB,28-58,18-54,48.3,33.3,5-13,5-25,38.5,20.0,13-19,7-10,68.4,70.0,45,31,14,12,11,4,6,0,11,13,,,,,14,20,32,2,13,9,29,21,,,0,0,0,0
313342244,2012,"November 30, 2011",George Mason Patriots,Bucknell Bison,"5-2, 4-0 Home","5-3, 1-3 Away",61,57,,,Final,,32,29,,25,32,,NCAAB,20-50,22-54,40.0,40.7,2-12,5-18,16.7,27.8,19-25,8-12,76.0,66.7,35,37,12,12,4,5,2,3,8,13,,,,,16,17,10,4,8,11,24,25,,,0,0,0,0
313400258,2012,"December 6, 2011",Virginia Cavaliers,George Mason Patriots,"8-1, 6-0 Home","6-3, 1-2 Away",68,48,,,Final,ESPN3,33,35,,22,26,,NCAAB,26-43,19-40,60.5,47.5,7-14,2-8,50.0,25.0,9-17,8-16,52.9,50.0,25,24,10,6,10,8,7,1,14,20,,,,,17,17,22,2,6,6,18,17,,,0,0,0,0
313552244,2012,"December 21, 2011",George Mason Patriots,Duquesne Dukes,"7-4, 4-1 Home","7-5, 1-3 Away",64,75,,,Final,,31,33,,40,35,,NCAAB,25-52,26-56,48.1,46.4,5-14,8-16,35.7,50.0,9-13,15-23,69.2,65.2,31,35,13,13,6,12,8,2,22,18,,,,,20,18,2,15,7,11,21,21,,,1,1,0,0
313640232,2012,"December 30, 2011",Charleston Cougars,George Mason Patriots,"10-3, 6-1 Home","9-4, 3-2 Away",76,84,,,Final,ESPN3,38,38,,46,38,,NCAAB,26-60,31-60,43.3,51.7,5-21,8-16,23.8,50.0,19-28,14-19,67.9,73.7,48,37,14,16,6,8,2,6,13,10,,,,,20,21,4,9,14,8,24,27,,,0,1,0,0
320040295,2012,"January 5, 2012",Old Dominion Monarchs,George Mason Patriots,"7-8, 2-1 Conf","11-4, 3-0 Conf",54,63,,,Final,,31,23,,34,29,,NCAAB,18-61,21-49,29.5,42.9,6-21,4-14,28.6,28.6,12-25,17-24,48.0,70.8,51,39,15,7,8,7,2,3,11,11,,,,,18,20,4,12,22,8,25,29,,,0,1,0,0
