ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
283202247,2009,"November 15, 2008",Concordia University-St. Paul Golden Bears,Georgia State Panthers,,1-1,63,67,,,Final,,30,33,,30,37,,NCAAB
283242247,2009,"November 19, 2008",Georgia State Panthers,Southern Polytechnic Hornets,"2-2, 1-0 Home",,82,64,,,Final,,45,37,,31,33,,NCAAB
283302653,2009,"November 25, 2008",Troy Trojans,Georgia State Panthers,"2-3, 1-1 Home","2-4, 0-2 Away",68,63,,,Final,,35,33,,30,33,,NCAAB
283410350,2009,"December 6, 2008",UNC Wilmington Seahawks,Georgia State Panthers,"3-6, 0-1 Conf","3-5, 1-0 Conf",46,68,,,Final,,28,18,,40,28,,NCAAB
283520059,2009,"December 17, 2008",Georgia Tech Yellow Jackets,Georgia State Panthers,"6-2, 5-2 Home","3-7, 1-3 Away",84,64,,,Final,,35,49,,26,38,,NCAAB
283622636,2009,"December 27, 2008",UTSA Roadrunners,Georgia State Panthers,"5-4, 3-0 Home","3-9, 1-4 Away",60,48,,,Final,,40,20,,21,27,,NCAAB
290052244,2009,"January 5, 2009",George Mason Patriots,Georgia State Panthers,"10-3, 3-0 Conf","4-10, 2-1 Conf",58,52,,,Final,,27,31,,21,31,,NCAAB
290102247,2009,"January 10, 2009",Georgia State Panthers,Drexel Dragons,"4-12, 2-3 Conf","6-8, 2-3 Conf",50,53,,,Final,,23,27,,30,23,,NCAAB
290172247,2009,"January 17, 2009",Georgia State Panthers,Towson Tigers,"5-13, 3-4 Conf","7-12, 2-5 Conf",68,46,,,Final,,30,38,,17,29,,NCAAB
290240048,2009,"January 24, 2009",Delaware Blue Hens,Georgia State Panthers,"9-12, 3-6 Conf","5-15, 3-6 Conf",60,48,,,Final,,20,40,,27,21,,NCAAB
290312729,2009,"January 31, 2009",William & Mary Tribe,Georgia State Panthers,"6-15, 1-10 Conf","6-16, 4-7 Conf",51,58,,,Final,,18,33,,20,38,,NCAAB
290382247,2009,"February 7, 2009",Georgia State Panthers,Delaware Blue Hens,"7-17, 5-8 Conf","10-15, 4-9 Conf",70,67,,,Final,,30,40,,37,30,,NCAAB
290452247,2009,"February 14, 2009",Georgia State Panthers,UNC Wilmington Seahawks,"8-18, 6-9 Conf","6-21, 3-12 Conf",69,66,,,Final,,32,37,,34,32,,NCAAB
290532199,2009,"February 21, 2009",Eastern Michigan Eagles,Georgia State Panthers,"4-23, 3-9 Home","10-18, 4-9 Away",58,63,,,Final,,18,40,,29,34,,NCAAB
290592670,2009,"February 28, 2009",VCU Rams,Georgia State Panthers,"21-9, 14-4 Conf","11-19, 8-10 Conf",69,41,,,Final,,34,35,,20,21,,NCAAB
283192247,2009,"November 14, 2008",Georgia State Panthers,Bowling Green Falcons,0-1,1-0,76,77,,,Final/OT,,30,35,11,33,32,12,NCAAB
283210135,2009,"November 16, 2008",Minnesota Golden Gophers,Georgia State Panthers,"3-0, 3-0 Home","1-2, 0-1 Away",60,52,,,Final,,35,25,,23,29,,NCAAB
