ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400910606,2017,"November 14, 2016",Auburn Tigers,Georgia State Panthers,"2-0, 2-0 Home","1-1, 0-1 Away",83,65,,,Final,SECN,35,48,,30,35,,NCAAB,25-53,22-60,47.2,36.7,7-21,5-23,33.3,21.7,26-39,16-24,66.7,66.7,39,35,13,9,7,8,6,3,16,18,,,,,23,31,19,3,10,12,29,23,,,0,0,0,0
400915929,2017,"November 22, 2016",Georgia State Panthers,NJIT Highlanders,2-2,2-3,74,53,,,Final,,39,35,,27,26,,NCAAB,32-56,17-50,57.1,34.0,2-13,10-28,15.4,35.7,8-16,9-15,50.0,60.0,39,29,10,10,8,7,3,2,16,21,,,,,21,17,23,10,7,7,32,22,,,0,0,0,0
400915949,2017,"November 30, 2016",Georgia State Panthers,Wright State Raiders,"4-2, 2-0 Home","6-2, 1-1 Away",81,74,,,Final,ESPN3,41,40,,33,41,,NCAAB,26-55,22-53,47.3,41.5,11-25,11-29,44.0,37.9,18-30,19-22,60.0,86.4,27,36,11,14,5,3,4,2,12,19,,,,,26,23,24,6,6,11,21,25,,,0,1,0,0
400924259,2017,"December 10, 2016",Georgia State Panthers,Georgia Southwestern Hurricanes,"5-3, 3-0 Home",,83,52,,,Final,ESPN3,39,44,,22,30,,NCAAB,29-58,19-51,50.0,37.3,11-24,7-28,45.8,25.0,14-20,7-11,70.0,63.6,43,22,15,13,10,7,4,4,14,18,,,,,12,18,36,0,14,4,29,18,,,0,0,0,0
400915994,2017,"December 18, 2016",Old Dominion Monarchs,Georgia State Panthers,"6-4, 3-1 Home","6-4, 0-4 Away",58,46,,,Final,,36,22,,19,27,,NCAAB,20-52,16-43,38.5,37.2,9-29,6-14,31.0,42.9,9-13,8-12,69.2,66.7,36,28,15,12,12,5,10,2,13,18,,,,,12,15,17,0,15,9,21,19,,,0,1,0,0
400916009,2017,"December 28, 2016",Georgia State Panthers,UMass Minutemen,"7-5, 4-1 Home","10-3, 2-2 Away",65,74,,,Final,ESPN3,27,38,,36,38,,NCAAB,24-62,25-55,38.7,45.5,6-22,7-26,27.3,26.9,11-21,17-23,52.4,73.9,35,36,14,13,13,11,7,5,16,18,,,,,22,21,7,14,14,9,21,27,,,0,0,0,0
400916020,2017,"January 7, 2017",Georgia State Panthers,South Alabama Jaguars,"8-6, 1-1 Conf","8-7, 1-1 Conf",78,77,,,Final,ESPN3,35,43,,37,40,,NCAAB,27-59,27-56,45.8,48.2,7-27,11-23,25.9,47.8,17-26,12-21,65.4,57.1,36,36,12,17,9,9,4,1,16,18,,,,,18,22,4,7,11,9,25,27,,,0,0,0,0
400916031,2017,"January 14, 2017",UL Monroe Warhawks,Georgia State Panthers,"6-11, 0-4 Conf","9-7, 2-2 Conf",65,73,,,Final/OT,,28,31,6.0,26,33,14.0,NCAAB,22-56,26-60,39.3,43.3,8-21,6-21,38.1,28.6,13-17,15-25,76.5,60.0,40,34,11,12,3,10,3,6,22,11,,,,,21,18,4,9,12,10,28,24,,,0,0,0,0
400916040,2017,"January 21, 2017",Georgia State Panthers,Coastal Carolina Chanticleers,"11-7, 4-2 Conf","9-10, 4-2 Conf",76,56,,,Final,ESPN3,28,48,,17,39,,NCAAB,29-62,21-70,46.8,30.0,15-33,9-35,45.5,25.7,3-4,5-8,75.0,62.5,37,43,19,13,1,4,7,4,10,11,,,,,14,10,24,0,6,16,31,27,,,0,0,0,0
400916057,2017,"January 28, 2017",Troy Trojans,Georgia State Panthers,"11-11, 3-5 Conf","13-7, 6-2 Conf",72,78,,,Final,ESPN3,22,50,,36,42,,NCAAB,22-50,32-58,44.0,55.2,12-27,4-15,44.4,26.7,16-20,10-18,80.0,55.6,29,33,13,14,6,11,5,3,16,12,,,,,16,19,3,15,8,10,21,23,,,0,0,0,0
400916064,2017,"February 4, 2017",Georgia State Panthers,Louisiana Ragin' Cajuns,"15-7, 8-2 Conf","14-9, 4-6 Conf",85,82,,,Final,ESPN3,52,33,,37,45,,NCAAB,31-59,29-63,52.5,46.0,9-24,8-27,37.5,29.6,14-18,16-22,77.8,72.7,33,29,15,19,6,8,3,1,18,9,,,,,20,15,20,0,10,12,23,17,,,0,0,0,0
400916078,2017,"February 11, 2017",Appalachian State Mountaineers,Georgia State Panthers,"7-16, 2-10 Conf","16-8, 9-3 Conf",77,72,,,Final,ESPN3,35,42,,39,33,,NCAAB,24-65,31-58,36.9,53.4,14-36,5-13,38.9,38.5,15-21,5-15,71.4,33.3,39,37,16,10,6,5,3,5,14,18,,,,,17,21,5,8,14,7,25,30,,,0,0,0,0
400916086,2017,"February 18, 2017",Georgia State Panthers,UT Arlington Mavericks,"16-10, 9-5 Conf","20-6, 10-3 Conf",67,68,,,Final,ESPN3,31,36,,27,41,,NCAAB,26-57,22-62,45.6,35.5,8-27,10-31,29.6,32.3,7-12,14-20,58.3,70.0,42,34,15,17,6,13,7,1,21,16,,,,,18,18,15,5,8,10,34,24,,,0,0,0,0
400916099,2017,"February 25, 2017",Little Rock Trojans,Georgia State Panthers,"13-15, 4-11 Conf","18-10, 11-5 Conf",54,71,,,Final,,30,24,,31,40,,NCAAB,19-50,24-55,38.0,43.6,7-22,7-24,31.8,29.2,9-18,16-20,50.0,80.0,29,42,13,7,3,4,2,5,8,6,,,,,17,18,6,17,6,10,23,32,,,1,1,0,0
400916112,2017,"March 4, 2017",Georgia State Panthers,Georgia Southern Eagles,"19-11, 12-6 Conf","18-13, 11-7 Conf",72,67,,,Final,ESPN3,28,44,,32,35,,NCAAB,24-51,23-56,47.1,41.1,11-19,11-35,57.9,31.4,13-20,10-18,65.0,55.6,45,21,14,13,3,6,5,4,20,11,,,,,17,19,5,7,11,5,34,16,,,0,0,0,0
