ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
283220041,2008,"November 17, 2008",UConn Huskies,Hartford Hawks,"2-0, 2-0 Home","0-2, 0-1 Away",99,56,,,Final,,41,58,,32,24,,NCAAB
283270042,2008,"November 22, 2008",Hartford Hawks,St. Francis (BKN) Terriers,"1-3, 1-1 Home","0-3, 0-3 Away",91,82,,,Final/2OT,,40,26,25.0,29,37,16.0,NCAAB
283332885,2008,"November 28, 2008",NJIT Highlanders,Hartford Hawks,0-4,2-4,38,50,,,Final,,19,19,,30,20,,NCAAB
283390042,2008,"December 04, 2008",Hartford Hawks,Lafayette Leopards,"3-5, 2-1 Home","2-5, 1-3 Away",97,82,,,Final,,51,46,,43,39,,NCAAB
283440225,2008,"December 09, 2008",Brown Bears,Hartford Hawks,"4-5, 3-1 Home","3-7, 0-4 Away",72,62,,,Final,,42,30,,23,39,,NCAAB
283570239,2008,"December 22, 2008",Baylor Bears,Hartford Hawks,"10-1, 7-0 Home","4-8, 1-5 Away",74,59,,,Final,,32,42,,26,33,,NCAAB
290030042,2008,"January 03, 2009",Hartford Hawks,Albany Great Danes,"5-9, 1-0 Conf","8-6, 0-1 Conf",64,54,,,Final,,27,37,,25,29,,NCAAB
290100043,2008,"January 10, 2009",Yale Bulldogs,Hartford Hawks,"5-9, 3-1 Home","5-11, 1-8 Away",71,63,,,Final,,29,42,,38,25,,NCAAB
290172378,2008,"January 17, 2009",UMBC Retrievers,Hartford Hawks,"8-8, 2-2 Conf","6-12, 2-2 Conf",69,60,,,Final,,33,36,,29,31,,NCAAB
290220042,2008,"January 22, 2009",Hartford Hawks,Vermont Catamounts,"6-14, 2-4 Conf","13-6, 4-2 Conf",65,79,,,Final,,27,38,,31,48,,NCAAB
290280399,2008,"January 28, 2009",Albany Great Danes,Hartford Hawks,"13-8, 5-3 Conf","6-16, 2-6 Conf",59,50,,,Final,,25,34,,26,24,,NCAAB
290350042,2008,"February 04, 2009",Hartford Hawks,New Hampshire Wildcats,"6-18, 2-8 Conf","9-12, 4-5 Conf",55,62,,,Final,,26,29,,32,30,,NCAAB
290420311,2008,"February 11, 2009",Maine Black Bears,Hartford Hawks,"9-16, 4-8 Conf","6-20, 2-10 Conf",68,63,,,Final,,32,36,,34,29,,NCAAB
290490042,2008,"February 18, 2009",Hartford Hawks,Binghamton Bearcats,"6-22, 2-12 Conf","18-8, 11-3 Conf",44,62,,,Final,,28,16,,36,26,,NCAAB
290570042,2008,"February 26, 2009",Hartford Hawks,Stony Brook Seawolves,"6-24, 2-13 Conf","16-12, 8-7 Conf",40,62,,,Final,,23,17,,30,32,,NCAAB
290650311,2008,"March 06, 2009",Maine Black Bears,Hartford Hawks,"9-21, 4-12 Conf","7-25, 2-14 Conf",56,65,,,Final,,28,28,,33,32,,NCAAB
283190042,2008,"November 14, 2008",Hartford Hawks,Quinnipiac Bobcats,"0-1, 0-1 Home","1-0, 1-0 Away",62,63,,,Final,,29,33,,25,38,,NCAAB
283250213,2008,"November 20, 2008",Penn State Nittany Lions,Hartford Hawks,"3-0, 3-0 Home","0-3, 0-2 Away",89,64,,,Final,,47,42,,32,32,,NCAAB
283300227,2008,"November 25, 2008",Rhode Island Rams,Hartford Hawks,"4-1, 3-0 Home","1-4, 0-3 Away",94,72,,,Final,,47,47,,35,37,,NCAAB
283340315,2008,"November 29, 2008",Niagara Purple Eagles,Hartford Hawks,5-1,2-5,103,63,,,Final,,52,51,,26,37,,NCAAB
283410042,2008,"December 06, 2008",Hartford Hawks,La Salle Explorers,"3-6, 2-2 Home","4-3, 1-0 Away",64,70,,,Final,,29,35,,31,39,,NCAAB
283492529,2008,"December 14, 2008",Sacred Heart Pioneers,Hartford Hawks,"3-4, 3-1 Home","4-7, 1-4 Away",55,59,,,Final,,25,30,,31,28,,NCAAB
283650024,2008,"December 30, 2008",Stanford Cardinal,Hartford Hawks,"10-0, 7-0 Home","4-9, 1-6 Away",69,55,,,Final,,36,33,,29,26,,NCAAB
290070160,2008,"January 07, 2009",New Hampshire Wildcats,Hartford Hawks,"5-7, 1-0 Conf","5-10, 1-1 Conf",55,47,,,Final,,23,32,,19,28,,NCAAB
290140042,2008,"January 14, 2009",Hartford Hawks,Maine Black Bears,"6-11, 2-1 Conf","6-11, 1-3 Conf",76,71,,,Final,,39,37,,35,36,,NCAAB
290192066,2008,"January 19, 2009",Binghamton Bearcats,Hartford Hawks,"11-7, 4-2 Conf","6-13, 2-3 Conf",66,59,,,Final,,19,47,,27,32,,NCAAB
290252619,2008,"January 25, 2009",Stony Brook Seawolves,Hartford Hawks,"11-9, 3-4 Conf","6-15, 2-5 Conf",72,63,,,Final,,29,43,,18,45,,NCAAB
290310042,2008,"January 31, 2009",Hartford Hawks,Boston Univ. Terriers,"6-17, 2-7 Conf","11-9, 6-2 Conf",47,72,,,Final,,19,28,,34,38,,NCAAB
290400261,2008,"February 09, 2009",Vermont Catamounts,Hartford Hawks,"18-7, 9-3 Conf","6-19, 2-9 Conf",71,63,,,Final,,32,39,,17,46,,NCAAB
290450042,2008,"February 14, 2009",Hartford Hawks,UMBC Retrievers,"6-21, 2-11 Conf","12-13, 6-7 Conf",63,80,,,Final,,30,33,,34,46,,NCAAB
290532368,2008,"February 21, 2009",Marist Red Foxes,Hartford Hawks,"9-20, 7-7 Home","6-23, 1-15 Away",57,35,,,Final,,25,32,,17,18,,NCAAB
290600104,2008,"March 01, 2009",Boston Univ. Terriers,Hartford Hawks,"17-12, 11-5 Conf","6-25, 2-14 Conf",67,57,,,Final/OT,,37,19,11.0,26,30,1.0,NCAAB
290662066,2008,"March 07, 2009",Binghamton Bearcats,Hartford Hawks,"21-8, 13-3 Conf","7-26, 2-14 Conf",73,65,,,Final,,33,40,,20,45,,NCAAB
