ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
303210108,2011,"November 17, 2010",Harvard Crimson,Holy Cross Crusaders,"1-1, 1-0 Home","0-2, 0-1 Away",72,49,,,Final,,32,40,,14,35,,NCAAB,26-50,21-53,52.0,39.6,6-16,3-7,37.5,42.9,14-17,4-11,82.4,36.4,41,27,20,8,6,6,9,5,15,15,,,,,16,16,23,0,9,8,29,17,,,0,0,0,0
303260103,2011,"November 22, 2010",Boston College Eagles,Holy Cross Crusaders,"2-1, 2-1 Home","0-4, 0-3 Away",69,54,,,Final,,31,38,,26,28,,NCAAB,25-57,21-49,43.9,42.9,10-29,6-14,34.5,42.9,9-11,6-11,81.8,54.5,36,29,16,9,7,3,2,2,5,12,,,,,14,13,20,2,12,9,21,20,,,0,0,0,0
303380154,2011,"December 4, 2010",Wake Forest Demon Deacons,Holy Cross Crusaders,"5-3, 4-3 Home","0-6, 0-5 Away",75,64,,,Final,,32,43,,27,37,,NCAAB,28-53,27-61,52.8,44.3,5-12,5-21,41.7,23.8,14-20,5-10,70.0,50.0,39,29,9,16,5,5,5,1,17,14,,,,,11,18,15,5,9,9,28,19,,,0,0,0,0
303460107,2011,"December 12, 2010",Holy Cross Crusaders,Fairfield Stags,"0-8, 0-3 Home","7-3, 3-2 Away",60,71,,,Final,,29,31,,29,42,,NCAAB,22-61,25-55,36.1,45.5,7-20,4-11,35.0,36.4,9-15,17-26,60.0,65.4,42,35,14,17,4,7,4,1,18,9,,,,,23,13,8,11,17,10,24,24,,,0,0,0,0
303562275,2011,"December 22, 2010",Hofstra Pride,Holy Cross Crusaders,"7-4, 4-1 Home","1-9, 1-6 Away",71,56,,,Final,,34,37,,22,34,,NCAAB,26-55,18-52,47.3,34.6,8-15,5-18,53.3,27.8,11-14,15-23,78.6,65.2,36,43,19,9,7,6,4,2,12,15,,,,,23,18,19,2,10,16,22,22,,,0,0,0,0
303650045,2011,"December 31, 2010",George Washington Colonials,Holy Cross Crusaders,"6-6, 4-2 Home","1-11, 1-7 Away",58,57,,,Final,,26,32,,24,33,,NCAAB,20-50,17-46,40.0,37.0,6-14,7-20,42.9,35.0,12-27,16-22,44.4,72.7,36,42,11,12,6,3,5,7,14,20,,,,,20,23,7,5,13,12,20,24,,,0,0,0,0
310050107,2011,"January 5, 2011",Holy Cross Crusaders,Yale Bulldogs,"1-13, 0-5 Home","6-7, 3-4 Away",76,77,,,Final/OT,,28,35,13.0,23,40,14.0,NCAAB,24-60,31-65,40.0,47.7,6-15,2-14,40.0,14.3,22-29,13-22,75.9,59.1,41,42,12,9,4,4,5,6,13,13,,,,,23,24,7,5,8,11,28,29,,,0,0,0,0
310120349,2011,"January 12, 2011",Army Black Knights,Holy Cross Crusaders,"9-8, 1-1 Conf","3-13, 2-0 Conf",54,68,,,Final,,26,28,,43,25,,NCAAB,18-60,28-53,30.0,52.8,7-28,4-13,25.0,30.8,11-14,8-16,78.6,50.0,32,47,11,17,5,1,4,7,8,13,,,,,15,14,1,27,6,6,23,38,,,0,0,0,0
310192426,2011,"January 19, 2011",Navy Midshipmen,Holy Cross Crusaders,"5-15, 0-4 Conf","4-14, 3-1 Conf",50,71,,,Final,,19,31,,33,38,,NCAAB,18-64,26-56,28.1,46.4,1-25,10-20,4.0,50.0,13-20,9-15,65.0,60.0,46,47,4,18,11,2,3,7,9,17,,,,,16,15,0,21,14,10,24,35,,,0,0,0,0
310270107,2011,"January 27, 2011",Holy Cross Crusaders,Colgate Raiders,"4-16, 3-3 Conf","4-16, 2-4 Conf",72,79,,,Final,,32,40,,40,39,,NCAAB,30-57,31-56,52.6,55.4,3-17,5-12,17.6,41.7,9-13,12-16,69.2,75.0,27,38,15,17,6,1,5,4,7,11,,,,,17,15,0,18,7,11,16,23,,,0,0,0,0
