ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400871254,2016,"March 16, 2016",Southern Jaguars,Holy Cross Crusaders,22-13,15-19,55,59,,,Final,truTV,22,33,,27,32,,NCAAB
400817362,2016,"November 16, 2015",Brown Bears,Holy Cross Crusaders,"1-1, 1-0 Home","1-1, 1-1 Away",71,55,,,Final,,35,36,,32,23,,NCAAB
400841102,2016,"November 22, 2015",Quinnipiac Bobcats,Holy Cross Crusaders,"1-2, 1-0 Home","1-3, 1-2 Away",62,56,,,Final,,26,36,,30,26,,NCAAB
400841104,2016,"November 29, 2015",Holy Cross Crusaders,Harvard Crimson,"3-3, 2-1 Home","2-4, 0-3 Away",50,49,,,Final,,21,29,,23,26,,NCAAB
400827459,2016,"December 5, 2015",Holy Cross Crusaders,Albany Great Danes,"3-5, 2-2 Home","6-3, 2-3 Away",84,88,,,Final/OT,,36,36,12,35,37,16,NCAAB
400827475,2016,"December 12, 2015",Hartford Hawks,Holy Cross Crusaders,"3-8, 1-4 Home","4-6, 2-4 Away",68,90,,,Final,,26,42,,45,45,,NCAAB
400840898,2016,"December 30, 2015",Holy Cross Crusaders,Boston University Terriers,"6-6, 1-0 Conf","7-7, 0-1 Conf",80,64,,,Final,,35,45,,40,24,,NCAAB
400841089,2016,"January 6, 2016",Holy Cross Crusaders,Colgate Raiders,"7-7, 2-1 Conf","6-8, 2-1 Conf",65,63,,,Final,,20,45,,29,34,,NCAAB
400841106,2016,"January 13, 2016",Lafayette Leopards,Holy Cross Crusaders,"5-11, 2-3 Conf","7-9, 2-3 Conf",65,52,,,Final,,31,34,,26,26,,NCAAB
400841108,2016,"January 20, 2016",Holy Cross Crusaders,Army Black Knights,"8-10, 3-4 Conf","12-7, 3-4 Conf",69,65,,,Final,,32,37,,40,25,,NCAAB
400841095,2016,"January 24, 2016",Colgate Raiders,Holy Cross Crusaders,"10-9, 6-2 Conf","8-11, 3-5 Conf",76,61,,,Final,,33,43,,29,32,,NCAAB
400841111,2016,"January 30, 2016",Holy Cross Crusaders,Navy Midshipmen,"9-12, 4-6 Conf","15-7, 6-3 Conf",87,80,,,Final/OT,,34,35,18,39,30,11,NCAAB
400825523,2016,"February 6, 2016",Holy Cross Crusaders,Bucknell Bison,"9-14, 4-8 Conf","13-10, 10-2 Conf",52,77,,,Final,,28,24,,39,38,,NCAAB
400844977,2016,"February 15, 2016",Lehigh Mountain Hawks,Holy Cross Crusaders,"11-14, 9-5 Conf","10-15, 5-9 Conf",64,59,,,Final,CBSSN,25,39,,26,33,,NCAAB
400846750,2016,"February 21, 2016",Holy Cross Crusaders,American Eagles,"10-17, 5-11 Conf","9-18, 7-9 Conf",70,71,,,Final/OT,,19,40,11,20,39,12,NCAAB
400841053,2016,"February 27, 2016",Boston University Terriers,Holy Cross Crusaders,"18-13, 11-7 Conf","10-19, 5-13 Conf",83,68,,,Final,,34,49,,27,41,,NCAAB
