ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400922178,2017,"November 16, 2016",SE Louisiana Lions,Jackson State Tigers,"2-1, 2-0 Home","1-1, 0-1 Away",84,71,,,Final,,38,46,,29,42,,NCAAB
400919427,2017,"November 21, 2016",Marshall Thundering Herd,Jackson State Tigers,"4-0, 4-0 Home","1-3, 0-3 Away",71,61,,,Final,,34,37,,35,26,,NCAAB
400916862,2017,"November 26, 2016",Jackson State Tigers,Western Carolina Catamounts,"1-5, 1-1 Home","2-4, 1-3 Away",47,58,,,Final,,20,27,,29,29,,NCAAB
400919500,2017,"December 4, 2016",Jackson State Tigers,Southern Miss Golden Eagles,"2-6, 2-1 Home","3-3, 0-2 Away",75,64,,,Final,,43,32,,30,34,,NCAAB
400922383,2017,"December 15, 2016",Jackson State Tigers,Blue Mountain College Toppers,"3-7, 2-2 Home",,49,57,,,Final,,20,29,,23,34,,NCAAB
400918324,2017,"December 19, 2016",Duquesne Dukes,Jackson State Tigers,"6-6, 5-3 Home","3-9, 1-6 Away",74,62,,,Final,,38,36,,26,36,,NCAAB
400922385,2017,"January 2, 2017",Alabama A&M Bulldogs,Jackson State Tigers,"0-12, 0-1 Conf","5-9, 1-0 Conf",51,63,,,Final,,21,30,,27,36,,NCAAB
400933453,2017,"January 11, 2017",Jackson State Tigers,Alcorn State Braves,"7-10, 3-1 Conf","5-10, 2-2 Conf",50,63,,,Final,,22,28,,32,31,,NCAAB
400919557,2017,"January 16, 2017",Texas Southern Tigers,Jackson State Tigers,"9-9, 5-0 Conf","7-12, 3-3 Conf",67,44,,,Final,ESPNU,17,50,,18,26,,NCAAB
400922250,2017,"January 28, 2017",Jackson State Tigers,Mississippi Valley State Delta Devils,"8-13, 4-4 Conf","3-18, 3-5 Conf",83,68,,,Final,,33,50,,30,38,,NCAAB
400922205,2017,"February 4, 2017",Alcorn State Braves,Jackson State Tigers,"10-11, 7-3 Conf","9-14, 5-5 Conf",69,58,,,Final,,25,44,,26,32,,NCAAB
400922263,2017,"February 11, 2017",Jackson State Tigers,Prairie View A&M Panthers,"10-15, 6-6 Conf","8-17, 5-6 Conf",78,69,,,Final,,34,44,,40,29,,NCAAB
400922243,2017,"February 18, 2017",Jackson State Tigers,Grambling Tigers,"11-16, 7-7 Conf","12-15, 7-7 Conf",59,62,,,Final/OT,,21,29,9,18,32,12,NCAAB
400922228,2017,"February 27, 2017",Arkansas-Pine Bluff Golden Lions,Jackson State Tigers,"7-24, 6-11 Conf","12-17, 8-8 Conf",51,62,,,Final,,19,32,,30,32,,NCAAB
400922883,2017,"March 4, 2017",Jackson State Tigers,Alabama State Hornets,"14-17, 10-8 Conf","8-22, 6-12 Conf",65,59,,,Final,,32,33,,27,32,,NCAAB
400922381,2017,"November 11, 2016",Jackson State Tigers,Xavier LA Gold Rush,"1-0, 1-0 Home",,66,54,,,Final,,33,33,,20,34,,NCAAB
400922382,2017,"November 18, 2016",North Carolina Central Eagles,Jackson State Tigers,"2-2, 1-0 Home","1-2, 0-2 Away",84,75,,,Final,,37,47,,34,41,,NCAAB
400915150,2017,"November 23, 2016",Ohio State Buckeyes,Jackson State Tigers,"5-0, 4-0 Home","1-4, 0-4 Away",78,47,,,Final,ESPN3,40,38,,23,24,,NCAAB
400916511,2017,"November 30, 2016",Memphis Tigers,Jackson State Tigers,"6-1, 5-0 Home","1-6, 0-5 Away",84,69,,,Final,ESPN3,50,34,,32,37,,NCAAB
400918245,2017,"December 10, 2016",Drake Bulldogs,Jackson State Tigers,"1-8, 1-3 Home","3-6, 1-5 Away",63,68,,,Final,ESPN3,31,32,,29,39,,NCAAB
400916181,2017,"December 17, 2016",Baylor Bears,Jackson State Tigers,"10-0, 6-0 Home","3-8, 1-5 Away",82,57,,,Final,,37,45,,32,25,,NCAAB
400922384,2017,"December 30, 2016",Jackson State Tigers,Fisk ,"4-9, 3-2 Home",,94,62,,,Final,,29,65,,24,38,,NCAAB
400922386,2017,"January 4, 2017",Alabama State Hornets,Jackson State Tigers,"3-11, 1-1 Conf","6-9, 2-0 Conf",60,63,,,Final,,29,31,,37,26,,NCAAB
400922387,2017,"January 9, 2017",Jackson State Tigers,Southern Jaguars,"7-9, 3-0 Conf","6-11, 2-2 Conf",65,61,,,Final,,34,31,,29,32,,NCAAB
400925425,2017,"January 14, 2017",Prairie View A&M Panthers,Jackson State Tigers,"4-14, 1-3 Conf","7-11, 3-2 Conf",63,57,,,Final,,37,26,,28,29,,NCAAB
400922238,2017,"January 21, 2017",Grambling Tigers,Jackson State Tigers,"8-12, 3-4 Conf","7-13, 3-4 Conf",72,57,,,Final,,38,34,,20,37,,NCAAB
400922221,2017,"January 30, 2017",Jackson State Tigers,Arkansas-Pine Bluff Golden Lions,"9-13, 5-4 Conf","5-18, 4-5 Conf",74,59,,,Final,,38,36,,22,37,,NCAAB
400920041,2017,"February 6, 2017",Southern Jaguars,Jackson State Tigers,"11-13, 7-4 Conf","9-15, 5-6 Conf",88,75,,,Final,ESPNU,37,51,,34,41,,NCAAB
400922388,2017,"February 13, 2017",Jackson State Tigers,Texas Southern Tigers,"11-15, 7-6 Conf","14-11, 10-2 Conf",71,62,,,Final,,36,35,,30,32,,NCAAB
400922254,2017,"February 25, 2017",Mississippi Valley State Delta Devils,Jackson State Tigers,"5-24, 5-11 Conf","11-17, 7-8 Conf",70,67,,,Final/OT,,40,23,7,25,38,4,NCAAB
400922245,2017,"March 2, 2017",Jackson State Tigers,Alabama A&M Bulldogs,"13-17, 9-8 Conf","2-26, 2-15 Conf",72,64,,,Final,,39,33,,25,39,,NCAAB
400945496,2017,"March 7, 2017",Southern Jaguars,Jackson State Tigers,"15-17, 10-8 Conf","14-18, 10-8 Conf",69,63,,,Final,,25,44,,34,29,,NCAAB
