,ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
0,234000012,2002,"Thu, Mar 20",Kansas Jayhawks,Utah State Aggies,"26-7, 17-4 Home","24-9, 9-6 Away",64,61,,,Final,,34,30,,30,31,,NCAAB
1,234000013,2002,"Sat, Mar 22",Kansas Jayhawks,Arizona State Sun Devils,"27-7, 17-4 Home","20-12, 5-7 Away",108,76,,,Final,,47,61,,31,45,,NCAAB
2,234000014,2002,"Thu, Mar 27",Kansas Jayhawks,Duke Blue Devils,"28-7, 17-4 Home","26-7, 4-6 Away",69,65,,,Final,,35,34,,35,30,,NCAAB
3,234000015,2002,"Sat, Mar 29",Arizona Wildcats,Kansas Jayhawks,"28-4, 14-2 Home","29-7, 8-3 Away",75,78,,,Final,,35,40,,38,40,,NCAAB
4,234000031,2002,"Sat, Apr 5",Kansas Jayhawks,Marquette Golden Eagles,"30-7, 17-4 Home","23-6, 8-3 Away",94,61,,,Final,,59,35,,30,31,,NCAAB
5,223262305,2002,"Fri, Nov 22",Kansas Jayhawks,UNC Greensboro Spartans,"2-0, 2-0 Home","1-1, 0-1 Away",105,66,,,Final,,48,57,,31,35,,NCAAB
6,223332305,2002,"Fri, Nov 29",Kansas Jayhawks,Florida Gators,"2-2, 2-2 Home","4-1, 1-1 Away",73,83,,,Final,,26,47,,38,45,,NCAAB
7,223412483,2002,"Sat, Dec 7",Oregon Ducks,Kansas Jayhawks,"5-0, 5-0 Home","3-3, 0-1 Away",84,78,,,Final,,47,37,,43,35,,NCAAB
8,223482305,2002,"Sat, Dec 14",Kansas Jayhawks,Emporia State Hornets,"5-3, 4-2 Home",,113,61,,,Final,,64,49,,23,38,,NCAAB
9,223620025,2002,"Sat, Dec 28",California Golden Bears,Kansas Jayhawks,"6-2, 4-2 Home","7-3, 2-1 Away",67,80,,,Final,,24,43,,42,38,,NCAAB
10,230042305,2002,"Sat, Jan 4",Kansas Jayhawks,Umkc Kangaroos,"9-3, 7-2 Home","1-11, 0-6 Away",100,46,,,Final,,44,56,,17,29,,NCAAB
11,230112305,2002,"Sat, Jan 11",Kansas Jayhawks,Nebraska Cornhuskers,"11-3, 2-0 Conf","8-6, 0-1 Conf",92,59,,,Final,,40,52,,28,31,,NCAAB
12,230182305,2002,"Sat, Jan 18",Kansas Jayhawks,Kansas State Wildcats,"13-3, 3-0 Conf","10-6, 1-2 Conf",81,64,,,Final,,40,41,,30,34,,NCAAB
13,230252305,2002,"Sat, Jan 25",Kansas Jayhawks,Arizona Wildcats,"13-5, 10-3 Home","15-1, 6-1 Away",74,91,,,Final,,52,22,,39,52,,NCAAB
14,230320158,2002,"Sat, Feb 1",Nebraska Cornhuskers,Kansas Jayhawks,"9-11, 1-6 Conf","15-5, 5-1 Conf",51,81,,,Final,,23,28,,38,43,,NCAAB
15,230392306,2002,"Sat, Feb 8",Kansas State Wildcats,Kansas Jayhawks,"11-10, 2-6 Conf","17-5, 7-1 Conf",64,82,,,Final,,36,28,,35,47,,NCAAB
16,230472305,2002,"Sun, Feb 16",Kansas Jayhawks,Iowa State Cyclones,"19-5, 9-1 Conf","12-9, 2-8 Conf",70,51,,,Final,,28,42,,22,29,,NCAAB
17,230540201,2002,"Sun, Feb 23",Oklahoma Sooners,Kansas Jayhawks,"19-4, 10-2 Conf","20-6, 10-2 Conf",77,70,,,Final,,47,30,,26,44,,NCAAB
18,230602305,2002,"Sat, Mar 1",Kansas Jayhawks,Oklahoma State Cowboys,"22-6, 12-2 Conf","20-7, 9-5 Conf",79,61,,,Final,,40,39,,33,28,,NCAAB
19,230680142,2002,"Sun, Mar 9",Missouri Tigers,Kansas Jayhawks,"18-9, 9-7 Conf","24-6, 14-2 Conf",74,79,,,Final,,31,43,,38,41,,NCAAB
20,223232305,2002,"Tue, Nov 19",Kansas Jayhawks,Holy Cross Crusaders,"1-0, 1-0 Home","0-1, 0-1 Away",81,57,,,Final,,39,42,,21,36,,NCAAB
21,223312305,2002,"Wed, Nov 27",Kansas Jayhawks,North Carolina Tar Heels,"2-1, 2-1 Home","4-0, 2-0 Away",56,67,,,Final,,29,27,,38,29,,NCAAB
22,223382305,2002,"Wed, Dec 4",Kansas Jayhawks,Central Missouri St Mules,"3-2, 3-2 Home",,97,70,,,Final,,49,48,,36,34,,NCAAB
23,223450202,2002,"Wed, Dec 11",Tulsa Golden Hurricane,Kansas Jayhawks,"4-1, 1-1 Home","4-3, 1-1 Away",80,89,,,Final,,40,40,,36,53,,NCAAB
24,223552305,2002,"Sat, Dec 21",Kansas Jayhawks,Ucla Bruins,"6-3, 5-2 Home","2-4, 0-2 Away",87,70,,,Final,,48,39,,25,45,,NCAAB
