ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401083427,2018,"November 12, 2018",Kansas State Wildcats,Denver Pioneers,"2-0, 2-0 Home","1-1, 0-1 Away",64,56,KSU -19.0,,Final,ESPN3,31,33,,28,28,,NCAAB,23-60,19-52,38.3,36.5,6-27,7-29,22.2,24.1,12-27,11-16,44.4,68.8,40,35,13,7,10,4,3,1,9,17,,,,,18,21,10,3,11,5,29,30,,,0,0,0,0
401099936,2018,"November 18, 2018",Kansas State Wildcats,Pennsylvania Quakers,4-0,4-1,64,48,KSU -10.5,141.0,Final,,28,36,,21,27,,NCAAB,24-57,15-49,42.1,30.6,2-7,4-20,28.6,20.0,14-19,14-22,73.7,63.6,36,35,10,8,7,6,5,1,11,19,,,,,24,21,16,6,11,11,25,24,,,2,2,0,0
401083429,2018,"November 24, 2018",Kansas State Wildcats,Lehigh Mountain Hawks,"6-0, 3-0 Home","4-2, 2-2 Away",77,58,,,Final,ESPN3,37,40,,35,23,,NCAAB,27-65,22-56,41.5,39.3,6-20,6-21,30.0,28.6,17-21,8-11,81.0,72.7,41,33,19,14,9,9,2,0,11,16,,,,,14,21,22,5,12,7,29,26,,,0,0,0,0
401083430,2018,"December 08, 2018",Tulsa Golden Hurricane,Kansas State Wildcats,"7-3, 7-0 Home","6-2, 0-2 Away",47,46,KSU -6.0,141.0,Final,CBSSN,24,23,,25,21,,NCAAB,19-50,18-59,38.0,30.5,4-20,5-19,20.0,26.3,5-9,5-6,55.6,83.3,34,42,9,7,8,8,4,2,15,16,,,,,13,11,8,3,5,13,29,29,,,0,0,0,0
401083432,2018,"December 19, 2018",Kansas State Wildcats,Southern Miss Golden Eagles,"8-2, 5-0 Home","7-4, 2-2 Away",55,51,KSU -12.5,128.0,Final,ESPN3,19,36,,31,20,,NCAAB,20-44,20-63,45.5,31.7,4-16,7-33,25.0,21.2,11-20,4-6,55.0,66.7,39,34,11,15,5,11,1,2,17,8,,,,,11,17,7,16,6,10,33,24,,,0,0,0,0
401083433,2018,"December 29, 2018",Kansas State Wildcats,George Mason Patriots,"10-2, 7-0 Home","6-7, 1-2 Away",59,58,KSU -14.0,128.0,Final,ESPN3,36,23,,16,42,,NCAAB,22-52,23-56,42.3,41.1,9-22,6-19,40.9,31.6,6-13,6-11,46.2,54.5,39,31,15,9,3,6,2,3,10,5,,,,,11,14,20,0,8,5,31,26,,,0,0,0,0
401083435,2018,"January 05, 2019",Texas Tech Red Raiders,Kansas State Wildcats,"13-1, 2-0 Conf","10-4, 0-2 Conf",63,57,TTU -12.0,118.0,Final,ESPNU,34,29,,19,38,,NCAAB,17-38,19-57,44.7,33.3,6-19,4-23,31.6,17.4,23-31,15-24,74.2,62.5,32,33,9,9,5,6,8,3,19,14,,,,,22,25,16,0,5,13,27,20,,,1,0,0,0
401083412,2018,"January 12, 2019",Iowa State Cyclones,Kansas State Wildcats,"12-4, 2-2 Conf","12-4, 2-2 Conf",57,58,ISU -8.0,132.0,Final,ESPN2,26,31,,35,23,,NCAAB,21-50,20-56,42.0,35.7,9-24,7-22,37.5,31.8,6-12,11-14,50.0,78.6,31,39,15,12,6,3,5,4,11,12,,,,,13,16,7,10,7,13,24,26,,,0,0,0,0
401083438,2018,"January 19, 2019",Kansas State Wildcats,TCU Horned Frogs,"14-4, 4-2 Conf","13-4, 2-3 Conf",65,55,KSU -4.0,134.0,Final,ESPN2,37,28,,30,25,,NCAAB,22-48,20-47,45.8,42.6,3-15,6-24,20.0,25.0,18-24,9-13,75.0,69.2,27,31,15,10,9,4,3,2,7,18,,,,,14,17,12,0,7,10,20,21,,,0,0,0,0
401083440,2018,"January 26, 2019",Texas A&M Aggies,Kansas State Wildcats,"8-10, 6-5 Home","15-5, 2-4 Away",65,53,KSU -4.0,130.0,Final,ESPN,26,39,,30,23,,NCAAB,25-49,20-61,51.0,32.8,8-20,7-31,40.0,22.6,7-11,6-7,63.6,85.7,37,30,14,15,5,12,4,1,20,14,,,,,7,14,12,8,7,11,30,19,,,0,0,0,0
401083442,2018,"February 05, 2019",Kansas State Wildcats,Kansas Jayhawks,"17-5, 7-2 Conf","17-6, 6-4 Conf",74,67,KSU -3.0,134.0,Final,ESPN,30,44,,33,34,,NCAAB,25-58,24-52,43.1,46.2,10-24,7-20,41.7,35.0,14-24,12-16,58.3,75.0,30,36,17,11,11,9,1,4,12,23,,,,,15,23,10,6,11,11,19,25,,,0,0,0,0
401083443,2018,"February 12, 2019",Texas Longhorns,Kansas State Wildcats,"14-11, 6-6 Conf","19-5, 9-2 Conf",64,71,TEX -3.0,123.0,Final,ESPN2,39,25,,35,36,,NCAAB,21-47,28-51,44.7,54.9,4-19,8-17,21.1,47.1,18-26,7-12,69.2,58.3,29,26,10,17,5,6,2,0,12,9,,,,,13,19,8,7,11,7,18,19,,,0,0,0,0
401083444,2018,"February 18, 2019",West Virginia Mountaineers,Kansas State Wildcats,"10-16, 2-11 Conf","20-6, 10-3 Conf",51,65,KSU -7.0,130.0,Final,ESPN,28,23,,30,35,,NCAAB,18-52,24-54,34.6,44.4,5-23,9-23,21.7,39.1,10-15,8-9,66.7,88.9,35,31,10,11,3,9,2,1,15,12,,,,,15,19,6,17,14,10,21,21,,,0,0,0,0
401083446,2018,"February 25, 2019",Kansas Jayhawks,Kansas State Wildcats,"21-7, 10-5 Conf","21-7, 11-4 Conf",64,49,KU -4.5,135.0,Final,ESPN,34,30,,27,22,,NCAAB,21-53,18-57,39.6,31.6,8-24,8-21,33.3,38.1,14-19,5-5,73.7,100.0,41,31,14,9,6,5,6,4,10,12,,,,,8,17,16,7,12,10,29,21,,,0,0,0,0
401083447,2018,"March 04, 2019",TCU Horned Frogs,Kansas State Wildcats,"18-12, 6-11 Conf","23-7, 13-4 Conf",52,64,KSU -1.0,133.0,Final,ESPN2,27,25,,36,28,,NCAAB,20-48,23-49,41.7,46.9,5-16,5-16,31.3,31.3,7-10,13-14,70.0,92.9,24,29,14,15,6,8,5,3,14,13,,,,,15,15,3,21,8,7,16,22,,,0,0,0,0
401120721,2018,"March 14, 2019",Kansas State Wildcats,TCU Horned Frogs,"25-7, 14-4 Conf","20-13, 7-11 Conf",70,61,KSU -4.0,125.0,Final,ESPN2,32,38,,34,27,,NCAAB,26-62,23-52,41.9,44.2,8-25,5-17,32.0,29.4,10-15,10-15,66.7,66.7,36,36,17,13,9,6,4,4,9,18,,,,,16,18,10,12,13,9,23,27,,,0,0,0,0
401083426,2018,"November 09, 2018",Kansas State Wildcats,Kennesaw State Owls,"1-0, 1-0 Home","1-1, 0-1 Away",56,41,,,Final,ESPN3,31,25,,27,14,,NCAAB,25-60,17-52,41.7,32.7,1-13,4-14,7.7,28.6,5-11,3-5,45.5,60.0,42,29,13,9,10,9,2,6,16,21,,,,,14,18,17,1,14,9,28,20,,,0,0,0,0
401083428,2018,"November 16, 2018",Kansas State Wildcats,Eastern Kentucky Colonels,3-0,2-2,95,68,KSU -19.0,148.0,Final,,37,58,,28,40,,NCAAB,37-67,25-64,55.2,39.1,4-17,8-28,23.5,28.6,17-23,10-15,73.9,66.7,47,26,18,14,9,7,4,0,13,17,,,,,17,21,31,0,11,5,36,21,,,0,0,0,0
401100055,2018,"November 19, 2018",Kansas State Wildcats,Missouri Tigers,5-0,3-2,82,67,KSU -8.0,130.0,Final,,40,42,,27,40,,NCAAB,30-56,23-48,53.6,47.9,12-24,9-15,50.0,60.0,10-13,12-19,76.9,63.2,27,28,17,12,5,3,2,0,9,14,,,,,20,19,22,0,7,8,20,20,,,0,0,0,0
401083249,2018,"December 01, 2018",Marquette Golden Eagles,Kansas State Wildcats,"6-2, 5-0 Home","6-1, 0-1 Away",83,71,MARQ -2.5,138.0,Final,FS1,44,39,,33,38,,NCAAB,25-44,23-55,56.8,41.8,6-22,6-22,27.3,27.3,27-36,19-31,75.0,61.3,34,25,9,11,8,8,0,0,20,13,,,,,24,29,17,4,4,7,30,18,,,2,1,0,0
401083431,2018,"December 15, 2018",Kansas State Wildcats,Georgia State Panthers,"7-2, 4-0 Home","7-4, 2-3 Away",71,59,KSU -13.0,141.0,Final,ESPN3,35,36,,32,27,,NCAAB,25-53,22-51,47.2,43.1,12-26,8-31,46.2,25.8,9-12,7-9,75.0,77.8,33,24,23,9,10,13,0,5,19,17,,,,,13,12,14,3,8,3,25,21,,,0,0,0,0
401082926,2018,"December 22, 2018",Kansas State Wildcats,Vanderbilt Commodores,"9-2, 5-0 Home","7-3, 1-0 Away",69,58,KSU -3.0,131.0,Final,ESPN2,30,39,,20,38,,NCAAB,24-58,15-47,41.4,31.9,5-17,7-25,29.4,28.0,16-27,21-27,59.3,77.8,34,35,13,11,7,2,2,2,7,15,,,,,19,22,22,0,7,6,27,29,,,0,0,0,0
401083434,2018,"January 02, 2019",Kansas State Wildcats,Texas Longhorns,"10-3, 0-1 Conf","9-4, 1-0 Conf",47,67,KSU -1.0,126.0,Final,ESPNU,22,25,,25,42,,NCAAB,17-52,23-48,32.7,47.9,6-18,14-27,33.3,51.9,7-14,7-11,50.0,63.6,32,34,11,20,5,6,2,4,11,11,,,,,8,15,4,20,12,6,20,28,,,0,0,0,0
401083436,2018,"January 09, 2019",Kansas State Wildcats,West Virginia Mountaineers,"11-4, 1-2 Conf","8-7, 0-3 Conf",71,69,KSU -4.0,126.0,Final,ESPNU,21,50,,36,33,,NCAAB,25-53,23-51,47.2,45.1,9-23,9-20,39.1,45.0,12-19,14-23,63.2,60.9,23,37,14,11,10,3,2,2,6,17,,,,,25,19,2,21,5,14,18,23,,,0,0,0,0
401083437,2018,"January 16, 2019",Oklahoma Sooners,Kansas State Wildcats,"13-4, 2-3 Conf","13-4, 3-2 Conf",61,74,OKLA -5.0,131.0,Final,ESPN2,24,37,,30,44,,NCAAB,22-47,29-58,46.8,50.0,5-18,10-22,27.8,45.5,12-23,6-7,52.2,85.7,28,31,12,15,6,8,1,0,16,10,,,,,16,14,0,19,9,11,19,20,,,0,0,0,0
401083439,2018,"January 22, 2019",Kansas State Wildcats,Texas Tech Red Raiders,"15-4, 5-2 Conf","15-4, 4-3 Conf",58,45,KSU -2.0,120.0,Final,ESPN2,32,26,,24,21,,NCAAB,19-41,16-49,46.3,32.7,5-17,5-23,29.4,21.7,15-22,8-11,68.2,72.7,33,25,7,7,8,10,0,2,17,13,,,,,16,19,15,2,6,7,27,18,,,0,0,0,0
