ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
280612305,2007,"March 01, 2008",Kansas Jayhawks,Kansas State Wildcats,"26-3, 11-3 Conf","18-10, 8-6 Conf",88,74,,,Final,,41,47,,29,45,,NCAAB,33-71,23-56,46.5,41.1,11-23,6-21,47.8,28.6,11-18,22-26,61.1,84.6,45.0,37.0,21.0,11.0,15.0,8.0,5.0,4.0,14.0,20.0,,,,,20.0,18.0,23.0,2.0,23.0,16.0,18.0,18.0,,,0.0,0.0,0.0,0.0
280510158,2007,"February 20, 2008",Nebraska Cornhuskers,Kansas State Wildcats,"15-9, 4-7 Conf","18-7, 8-3 Conf",71,64,,,Final,,34,37,,31,33,,NCAAB,27-52,25-58,51.9,43.1,4-14,8-26,28.6,30.8,13-17,6-7,76.5,85.7,39.0,34.0,14.0,15.0,9.0,6.0,2.0,2.0,14.0,14.0,,,,,12.0,19.0,8.0,5.0,12.0,12.0,21.0,17.0,,,0.0,1.0,0.0,0.0
280442641,2007,"February 13, 2008",Texas Tech Red Raiders,Kansas State Wildcats,"13-10, 4-5 Conf","17-6, 7-2 Conf",84,75,,,Final,,40,44,,28,47,,NCAAB,27-53,27-61,50.9,44.3,5-13,4-17,38.5,23.5,25-36,17-26,69.4,65.4,34.0,43.0,12.0,7.0,4.0,3.0,5.0,2.0,10.0,15.0,,,,,23.0,29.0,22.0,0.0,5.0,14.0,25.0,24.0,,,1.0,2.0,0.0,0.0
280372306,2007,"February 06, 2008",Kansas State Wildcats,Nebraska Cornhuskers,"16-5, 6-1 Conf","13-7, 2-5 Conf",74,59,,,Final,,45,29,,30,29,,NCAAB,28-62,21-55,45.2,38.2,6-24,3-15,25.0,20.0,12-20,14-18,60.0,77.8,40.0,35.0,19.0,14.0,10.0,6.0,3.0,2.0,11.0,16.0,,,,,14.0,19.0,18.0,4.0,18.0,14.0,21.0,21.0,,,0.0,0.0,0.0,0.0
280302306,2007,"January 30, 2008",Kansas State Wildcats,Kansas Jayhawks,"15-4, 5-0 Conf","20-1, 5-1 Conf",84,75,,,Final,,38,46,,36,39,,NCAAB,27-63,26-54,42.9,48.1,12-26,6-17,46.2,35.3,18-24,17-20,75.0,85.0,40.0,34.0,17.0,12.0,4.0,3.0,2.0,7.0,13.0,16.0,,,,,21.0,25.0,12.0,4.0,16.0,9.0,18.0,21.0,,,0.0,0.0,0.0,0.0
280230038,2007,"January 23, 2008",Colorado Buffaloes,Kansas State Wildcats,"9-9, 1-3 Conf","13-4, 3-0 Conf",56,72,,,Final,,26,30,,34,38,,NCAAB,17-45,24-57,37.8,42.1,5-14,3-11,35.7,27.3,17-31,21-29,54.8,72.4,30.0,42.0,12.0,12.0,4.0,10.0,6.0,1.0,17.0,12.0,,,,,22.0,23.0,2.0,20.0,11.0,17.0,19.0,24.0,,,0.0,0.0,0.0,0.0
280120201,2007,"January 12, 2008",Oklahoma Sooners,Kansas State Wildcats,"12-4, 0-1 Conf","11-4, 1-0 Conf",82,84,,,Final,,40,42,,42,42,,NCAAB,28-53,31-55,52.8,56.4,6-17,8-17,35.3,47.1,20-28,14-20,71.4,70.0,31.0,29.0,13.0,18.0,7.0,10.0,2.0,2.0,16.0,16.0,,,,,18.0,27.0,4.0,5.0,12.0,8.0,18.0,18.0,,,0.0,0.0,0.0,0.0
273652752,2007,"December 31, 2007",Xavier Musketeers,Kansas State Wildcats,"10-3, 8-1 Home","9-4, 0-1 Away",103,77,,,Final,,44,59,,25,52,,NCAAB,32-60,28-63,53.3,44.4,9-17,9-25,52.9,36.0,30-39,12-19,76.9,63.2,42.0,36.0,16.0,18.0,8.0,6.0,5.0,4.0,9.0,16.0,,,,,17.0,28.0,30.0,0.0,15.0,16.0,23.0,18.0,,,0.0,0.0,0.0,0.0
273562306,2007,"December 22, 2007",Kansas State Wildcats,Winston Salem Rams,"8-3, 5-1 Home","4-6, 1-4 Away",90,48,,,Final,,39,51,,31,17,,NCAAB,31-68,17-53,45.6,32.1,7-18,6-19,38.9,31.6,21-28,8-23,75.0,34.8,55.0,32.0,17.0,7.0,7.0,8.0,7.0,4.0,17.0,24.0,,,,,23.0,23.0,44.0,0.0,21.0,10.0,31.0,20.0,,,0.0,0.0,0.0,0.0
273432306,2007,"December 09, 2007",Kansas State Wildcats,California Golden Bears,"6-3, 4-1 Home","6-1, 1-1 Away",82,75,,,Final,,38,44,,38,37,,NCAAB,25-64,29-57,39.1,50.9,4-19,8-20,21.1,40.0,28-40,9-11,70.0,81.8,47.0,32.0,13.0,22.0,12.0,7.0,3.0,6.0,15.0,21.0,,,,,14.0,25.0,9.0,10.0,22.0,8.0,20.0,24.0,,,0.0,2.0,0.0,0.0
