ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401170349,2020,"November 10, 2019",Liberty Flames,Maryland-Eastern Shore Hawks,"2-0, 2-0 Home","0-2, 0-2 Away",66,55,,,Final,ESPN+,39,27,,27,28,,NCAAB,26-50,21-49,52.0,42.9,8-24,4-13,33.3,30.8,6-10,9-13,60.0,69.2,31,28,15,5,8,7,2,1,13,13,,,,,10,13,17,0,8,8,23,20,,,0,0,0,0
401169988,2020,"November 16, 2019",East Carolina Pirates,Liberty Flames,"1-3, 1-1 Home","4-0, 1-0 Away",57,77,,,Final,ESPN3,26,31,,32,45,,NCAAB,20-52,26-55,38.5,47.3,5-15,11-23,33.3,47.8,12-22,14-19,54.5,73.7,32,39,10,16,7,4,4,3,10,10,,,,,20,19,2,23,11,12,21,27,,,0,0,0,0
401170078,2020,"November 22, 2019",Morgan State Bears,Liberty Flames,3-3,6-0,48,89,LIB -14.0,126.0,Final,,26,22,,50,39,,NCAAB,14-49,24-44,28.6,54.5,3-19,8-17,15.8,47.1,17-27,33-47,63.0,70.2,30,36,7,11,7,4,2,0,18,12,,,,,34,20,,,10,9,20,27,,,0,0,0,0
401185980,2020,"November 24, 2019",Liberty Flames,Umkc Kangaroos,8-0,4-4,62,49,LIB -9.5,122.0,Final,,32,30,,22,27,,NCAAB,20-47,20-48,42.6,41.7,5-14,5-16,35.7,31.3,17-19,4-6,89.5,66.7,33,24,11,7,6,4,1,1,10,13,,,,,12,16,21,0,7,3,26,21,,,0,0,0,0
401170396,2020,"December 2, 2019",Liberty Flames,Trinity Baptist Eagles,"10-0, 6-0 Home",,87,28,,,Final,,40,47,,11,17,,NCAAB,33-56,12-54,58.9,22.2,15-27,3-20,55.6,15.0,6-8,1-2,75.0,50.0,46,20,24,6,2,5,9,0,11,11,,,,,6,11,59,0,12,8,34,12,,,0,0,0,0
401169887,2020,"December 14, 2019",Vanderbilt Commodores,Liberty Flames,"6-3, 6-2 Home","12-0, 2-0 Away",56,61,,,Final,SECN+,32,24,,27,34,,NCAAB,18-51,22-53,35.3,41.5,7-24,5-22,29.2,22.7,13-19,12-12,68.4,100.0,28,39,9,8,7,5,7,3,11,13,,,,,15,15,9,8,5,8,23,31,,,0,0,0,0
401197796,2020,"December 21, 2019",Liberty Flames,Akron Zips,14-0,9-3,80,67,LIB -3.5,124.0,Final,,32,48,,28,39,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401170433,2020,"January 2, 2020",Florida Gulf Coast Eagles,Liberty Flames,"3-13, 0-1 Conf","15-1, 1-0 Conf",46,59,,,Final,ESPNU,16,30,,30,29,,NCAAB,16-40,25-47,40.0,53.2,5-19,5-16,26.3,31.3,9-11,4-9,81.8,44.4,26,22,10,15,4,12,4,3,18,10,,,,,10,12,0,20,6,5,20,17,,,0,0,0,0
401170444,2020,"January 9, 2020",Liberty Flames,North Alabama Lions,"17-1, 3-0 Conf","6-10, 1-2 Conf",63,52,,,Final,ESPN+,34,29,,27,25,,NCAAB,22-52,17-43,42.3,39.5,5-19,6-19,26.3,31.6,14-19,12-16,73.7,75.0,32,26,13,11,7,2,3,0,9,16,,,,,13,14,15,0,8,2,24,24,,,0,0,0,0
401170456,2020,"January 18, 2020",Liberty Flames,Lipscomb Bisons,"19-1, 5-0 Conf","7-12, 2-4 Conf",67,60,,,Final,ESPN+,31,36,,25,35,,NCAAB,23-53,20-46,43.4,43.5,7-22,10-26,31.8,38.5,14-22,10-14,63.6,71.4,33,33,10,12,7,3,0,0,7,16,,,,,11,19,9,3,10,7,23,26,,,0,0,0,0
401170464,2020,"January 25, 2020",Stetson Hatters,Liberty Flames,"11-11, 5-2 Conf","19-3, 5-2 Conf",48,43,,,Final,ESPN+,18,30,,29,14,,NCAAB,16-41,16-48,39.0,33.3,4-13,7-27,30.8,25.9,12-14,4-8,85.7,50.0,31,26,6,11,4,3,2,5,10,8,,,,,14,15,5,14,4,6,27,20,,,0,0,0,0
401170471,2020,"February 1, 2020",Liberty Flames,Florida Gulf Coast Eagles,"21-3, 7-2 Conf","7-17, 4-5 Conf",61,46,,,Final,ESPN+,33,28,,14,32,,NCAAB,25-45,18-45,55.6,40.0,7-19,4-19,36.8,21.1,4-6,6-6,66.7,100.0,24,24,10,3,11,7,3,1,12,16,,,,,8,10,20,0,4,7,20,17,,,0,0,0,0
401170478,2020,"February 8, 2020",North Alabama Lions,Liberty Flames,"10-14, 5-6 Conf","23-3, 9-2 Conf",56,74,,,Final,ESPN+,26,30,,44,30,,NCAAB,19-58,24-49,32.8,49.0,4-22,10-23,18.2,43.5,14-20,16-18,70.0,88.9,32,36,7,11,8,5,2,3,13,16,,,,,20,15,0,25,12,6,20,30,,,0,1,0,0
401170492,2020,"February 20, 2020",Liberty Flames,North Florida Ospreys,"25-3, 11-2 Conf","18-11, 11-3 Conf",82,77,,,Final,ESPN+,40,42,,31,46,,NCAAB,27-48,28-59,56.3,47.5,4-13,17-41,30.8,41.5,24-33,4-6,72.7,66.7,29,29,17,19,7,3,3,3,6,10,,,,,11,22,12,3,7,9,22,20,,,0,0,0,0
401170499,2020,"February 27, 2020",Kennesaw State Owls,Liberty Flames,"1-27, 0-15 Conf","27-3, 13-2 Conf",52,76,,,Final,ESPN+,29,23,,35,41,,NCAAB,19-46,30-55,41.3,54.5,3-21,10-24,14.3,41.7,11-13,6-9,84.6,66.7,23,32,8,17,3,4,2,1,11,8,,,,,12,15,2,26,6,9,17,23,,,0,0,0,0
401210938,2020,"March 3, 2020",Liberty Flames,NJIT Highlanders,"28-4, 13-3 Conf","9-21, 6-10 Conf",55,49,,,Final,ESPN+,22,33,,16,33,,NCAAB,17-46,18-55,37.0,32.7,4-20,4-19,20.0,21.1,17-24,9-12,70.8,75.0,41,33,8,10,2,5,7,1,9,5,,,,,12,19,13,1,5,4,36,29,,,0,0,0,0
401170344,2020,"November 8, 2019",Liberty Flames,Radford Highlanders,"1-0, 1-0 Home","0-1, 0-1 Away",66,60,,,Final,ESPN+,33,33,,19,41,,NCAAB,20-43,20-53,46.5,37.7,7-22,4-17,31.8,23.5,19-29,16-23,65.5,69.6,34,34,13,4,4,4,5,2,9,8,,,,,20,21,20,1,5,10,29,24,,,0,0,0,0
