,ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
0,253180096,2005,"Mon, Nov 14",Kentucky Wildcats,Lipscomb Bisons,"2-0, 2-0 Home","1-1, 1-1 Away",67,49,,,Final,,30,37,,22,27,,NCAAB
1,253350338,2005,"Thu, Dec 1",Kennesaw State Owls,Lipscomb Bisons,"3-3, 1-0 Conf","1-3, 0-1 Conf",67,66,,,Final,,34,33,,42,24,,NCAAB
2,253420288,2005,"Thu, Dec 8",Lipscomb Bisons,Jackson State Tigers,"3-3, 1-0 Home","2-6, 1-5 Away",75,62,,,Final,,46,29,,25,37,,NCAAB
3,253512296,2005,"Sat, Dec 17",Jackson State Tigers,Lipscomb Bisons,"4-6, 2-1 Home","4-4, 2-4 Away",73,64,,,Final,,34,39,,21,43,,NCAAB
4,253632633,2005,"Thu, Dec 29",Tennessee Volunteers,Lipscomb Bisons,"8-1, 7-0 Home","5-5, 3-5 Away",69,58,,,Final,,27,42,,26,32,,NCAAB
5,260040288,2005,"Wed, Jan 4",Lipscomb Bisons,Campbell Fighting Camels,"6-6, 2-2 Conf","4-7, 3-1 Conf",91,95,,,Final,,34,57,,48,47,,NCAAB
6,260092454,2005,"Mon, Jan 9",North Florida Ospreys,Lipscomb Bisons,"3-10, 0-6 Conf","8-6, 4-2 Conf",67,75,,,Final,,28,39,,41,34,,NCAAB
7,260160288,2005,"Mon, Jan 16",Lipscomb Bisons,Stetson Hatters,"10-6, 6-2 Conf","2-13, 2-5 Conf",57,52,,,Final,,29,28,,22,30,,NCAAB
8,260242226,2005,"Tue, Jan 24",Florida Atlantic Owls,Lipscomb Bisons,"9-8, 8-2 Conf","12-6, 8-2 Conf",50,66,,,Final,,21,29,,34,32,,NCAAB
9,260312057,2005,"Tue, Jan 31",Belmont Bruins,Lipscomb Bisons,"10-9, 8-4 Conf","13-7, 9-3 Conf",81,65,,,Final,,35,46,,24,41,,NCAAB
10,260370056,2005,"Mon, Feb 6",Stetson Hatters,Lipscomb Bisons,"6-17, 5-9 Conf","14-8, 10-4 Conf",85,67,,,Final,,35,50,,32,35,,NCAAB
11,260420288,2005,"Sat, Feb 11",Lipscomb Bisons,Jacksonville Dolphins,"16-8, 12-4 Conf","1-23, 1-16 Conf",101,78,,,Final,,51,50,,34,44,,NCAAB
12,260492241,2005,"Sat, Feb 18",Gardner-Webb Bulldogs,Lipscomb Bisons,"15-10, 12-6 Conf","17-9, 13-5 Conf",71,66,,,Final,,24,47,,44,22,,NCAAB
13,260570288,2005,"Sun, Feb 26",Lipscomb Bisons,Kennesaw State Owls,"19-9, 15-5 Conf","12-17, 10-10 Conf",77,48,,,Final,,42,35,,19,29,,NCAAB
14,260620288,2005,"Fri, Mar 3",Lipscomb Bisons,Gardner-Webb Bulldogs,"21-9, 15-5 Conf","17-12, 13-7 Conf",70,51,,,Final,,35,35,,24,27,,NCAAB
15,253172458,2005,"Sun, Nov 13",Northern Colorado Bears,Lipscomb Bisons,"0-1, 0-1 Home","1-0, 1-0 Away",60,72,,,Final,,28,32,,39,33,,NCAAB
16,253240002,2005,"Sun, Nov 20",Auburn Tigers,Lipscomb Bisons,"1-0, 1-0 Home","1-2, 1-2 Away",69,54,,,Final,,37,32,,26,28,,NCAAB
17,253372193,2005,"Sat, Dec 3",East Tennessee State Buccaneers,Lipscomb Bisons,"1-4, 0-2 Conf","2-3, 1-1 Conf",54,56,,,Final,,29,25,,21,35,,NCAAB
18,253440288,2005,"Sat, Dec 10",Lipscomb Bisons,Liberty Flames,"4-3, 2-0 Home","2-5, 0-4 Away",78,62,,,Final,,42,36,,34,28,,NCAAB
19,253532447,2005,"Mon, Dec 19",Nicholls Colonels,Lipscomb Bisons,"2-7, 1-2 Home","5-4, 3-4 Away",71,73,,,Final,,30,41,,33,40,,NCAAB
20,260020288,2005,"Mon, Jan 2",Lipscomb Bisons,Gardner-Webb Bulldogs,"6-5, 2-1 Conf","5-5, 2-1 Conf",70,58,,,Final,,27,43,,26,32,,NCAAB
21,260070294,2005,"Sat, Jan 7",Jacksonville Dolphins,Lipscomb Bisons,"1-11, 1-4 Conf","7-6, 3-2 Conf",67,75,,,Final,,37,30,,38,37,,NCAAB
22,260140288,2005,"Sat, Jan 14",Lipscomb Bisons,Mercer Bears,"9-6, 5-2 Conf","3-9, 2-4 Conf",83,66,,,Final,,50,33,,25,41,,NCAAB
23,260200288,2005,"Fri, Jan 20",Lipscomb Bisons,Belmont Bruins,"11-6, 7-2 Conf","8-8, 6-3 Conf",97,85,,,Final/OT,,39,40,18.0,42,37,6.0,NCAAB
24,260290288,2005,"Sun, Jan 29",Lipscomb Bisons,Florida Atlantic Owls,"13-6, 9-2 Conf","9-10, 8-4 Conf",88,71,,,Final,,41,47,,26,45,,NCAAB
25,260352382,2005,"Sat, Feb 4",Mercer Bears,Lipscomb Bisons,"5-15, 4-10 Conf","14-7, 10-3 Conf",66,83,,,Final,,32,34,,46,37,,NCAAB
26,260400288,2005,"Thu, Feb 9",Lipscomb Bisons,North Florida Ospreys,"15-8, 11-4 Conf","6-17, 3-13 Conf",75,65,,,Final,,35,40,,29,36,,NCAAB
27,260472097,2005,"Thu, Feb 16",Campbell Fighting Camels,Lipscomb Bisons,"9-15, 8-9 Conf","17-8, 13-4 Conf",70,82,,,Final,,25,45,,32,50,,NCAAB
28,260550288,2005,"Fri, Feb 24",Lipscomb Bisons,East Tennessee State Buccaneers,"18-9, 14-5 Conf","15-11, 12-7 Conf",76,56,,,Final,,30,46,,35,21,,NCAAB
29,260610288,2005,"Thu, Mar 2",Lipscomb Bisons,Mercer Bears,"20-9, 15-5 Conf","9-19, 7-13 Conf",78,62,,,Final,,31,47,,26,36,,NCAAB
30,260732638,2005,"Tue, Mar 14",UTEP Miners,Lipscomb Bisons,"21-9, 15-2 Home","21-11, 8-9 Away",85,66,,,Final,,44,41,,23,43,,NCAAB
31,260632057,2005,"Sat, Mar 4",Belmont Bruins,Lipscomb Bisons,"20-10, 15-5 Conf","21-10, 15-5 Conf",74,69,,,Final/OT,,31,27,16.0,31,27,11.0,NCAAB
