ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
401087267,2019,"November 10, 2018",Long Beach State 49ers,Menlo ,"1-1, 1-0 Home",,78,57,,,Final,,28,50,,25,32,,NCAAB
401083065,2019,"November 16, 2018",Mississippi State Bulldogs,Long Beach State 49ers,"3-0, 3-0 Home","1-3, 0-3 Away",79,51,MSST -20.5,153,Final,SECN,36,43,,28,23,,NCAAB
401100195,2019,"November 21, 2018",Utah Valley Wolverines,Long Beach State 49ers,3-3,2-4,87,72,LBSU -2.5,150,Final,,41,46,,34,38,,NCAAB
401087162,2019,"November 28, 2018",USC Trojans,Long Beach State 49ers,"5-2, 4-1 Home","2-6, 0-4 Away",75,65,USC -16.5,163,Final,PAC12,36,39,,28,37,,NCAAB
401086851,2019,"December 5, 2018",Long Beach State 49ers,Southern Utah Thunderbirds,"3-7, 2-1 Home","4-2, 2-2 Away",82,71,LBSU -5.0,,Final,,33,49,,32,39,,NCAAB
401083662,2019,"December 10, 2018",Pacific Tigers,Long Beach State 49ers,"8-4, 6-1 Home","3-9, 0-7 Away",74,68,PAC -5.5,150,Final,,30,44,,38,30,,NCAAB
401087270,2019,"December 22, 2018",Long Beach State 49ers,Colorado State Rams,"5-9, 4-1 Home","5-7, 0-2 Away",64,61,LBSU -3.5,153,Final,,31,33,,28,33,,NCAAB
401087271,2019,"January 5, 2019",Long Beach State 49ers,Bethesda Flames,"6-10, 5-1 Home",,124,52,,,Final,,53,71,,25,27,,NCAAB
401087273,2019,"January 16, 2019",UC Irvine Anteaters,Long Beach State 49ers,"14-5, 2-1 Conf","8-10, 2-0 Conf",70,80,UCI -11.0,137,Final,ESPN3,32,38,,30,50,,NCAAB
401085336,2019,"January 23, 2019",CSU Northridge Matadors,Long Beach State 49ers,"9-12, 3-2 Conf","8-12, 2-2 Conf",86,71,CSUN -2.0,165,Final,ESPN3,38,48,,33,38,,NCAAB
401087259,2019,"January 31, 2019",Hawai'i Rainbow Warriors,Long Beach State 49ers,"13-7, 4-2 Conf","8-14, 2-4 Conf",74,57,HAW -9.5,148,Final,,36,38,,28,29,,NCAAB
401087261,2019,"February 7, 2019",Long Beach State 49ers,Hawai'i Rainbow Warriors,"8-16, 2-6 Conf","14-8, 5-3 Conf",70,77,LBSU -1.5,146,Final,ESPN3,35,35,,41,36,,NCAAB
401087245,2019,"February 13, 2019",CSU Fullerton Titans,Long Beach State 49ers,"11-13, 7-3 Conf","9-17, 3-7 Conf",85,82,CSUF -6.5,150,Final,ESPN3,34,51,,27,55,,NCAAB
401085341,2019,"February 20, 2019",Long Beach State 49ers,CSU Northridge Matadors,"10-18, 4-8 Conf","10-17, 4-7 Conf",80,78,LBSU -4.5,160,Final,,31,49,,42,36,,NCAAB
401087278,2019,"February 28, 2019",UC Santa Barbara Gauchos,Long Beach State 49ers,"19-9, 8-6 Conf","12-18, 6-8 Conf",64,69,UCSB -8.5,147,Final,,25,39,,34,35,,NCAAB
401087279,2019,"March 6, 2019",Long Beach State 49ers,UC Riverside Highlanders,"14-18, 8-8 Conf","9-22, 3-12 Conf",70,57,LBSU -8.0,145,Final,,30,40,,25,32,,NCAAB
401087148,2019,"November 9, 2018",UCLA Bruins,Long Beach State 49ers,"2-0, 2-0 Home","0-1, 0-1 Away",91,80,UCLA -15.0,158,Final,PAC12,45,46,,41,39,,NCAAB
401087036,2019,"November 12, 2018",Arizona State Sun Devils,Long Beach State 49ers,"3-0, 3-0 Home","1-2, 0-2 Away",90,58,ASU -14.5,162,Final,PAC12,38,52,,16,42,,NCAAB
401085927,2019,"November 19, 2018",Iona Gaels,Long Beach State 49ers,1-2,2-3,85,86,IONA -5.0,160,Final,,40,45,,41,45,,NCAAB
401087122,2019,"November 25, 2018",Long Beach State 49ers,Oregon State Beavers,"2-5, 1-1 Home","5-1, 1-0 Away",72,75,ORST -7.5,144,Final,,38,34,,33,42,,NCAAB
401087268,2019,"December 1, 2018",San Diego Toreros,Long Beach State 49ers,"6-2, 5-0 Home","2-7, 0-5 Away",74,70,USD -10.5,154,Final,,29,45,,29,41,,NCAAB
401087269,2019,"December 8, 2018",Fresno State Bulldogs,Long Beach State 49ers,"7-2, 5-0 Home","3-8, 0-6 Away",92,71,FRES -11.5,145,Final,,42,50,,32,39,,NCAAB
401083688,2019,"December 20, 2018",Long Beach State 49ers,Pepperdine Waves,"4-9, 3-1 Home","6-7, 0-5 Away",67,66,LBSU -5.5,158,Final,,31,36,,31,35,,NCAAB
401087138,2019,"December 29, 2018",Stanford Cardinal,Long Beach State 49ers,"7-5, 5-0 Home","5-10, 0-8 Away",93,86,STAN -11.0,145,Final,PAC12,37,56,,36,50,,NCAAB
401087272,2019,"January 12, 2019",Long Beach State 49ers,UC Davis Aggies,"7-10, 1-0 Conf","4-12, 0-2 Conf",82,77,LBSU -3.0,138,Final,ESPN3,27,55,,35,42,,NCAAB
