ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
253232348,2006,"November 19, 2005",Louisiana Tech Bulldogs,Longwood Lancers,"1-1, 1-1 Home","0-2, 0-2 Away",83,73,,,Final,,39,44,,35,38,,NCAAB
253302344,2006,"November 26, 2005",Longwood Lancers,Virginia-Wise Highland Cavaliers,"1-3, 1-1 Home","0-1, 0-1 Away",93,49,,,Final,,48,45,,28,21,,NCAAB
253342344,2006,"November 30, 2005",Longwood Lancers,Liberty Flames,"2-4, 2-2 Home","1-3, 0-3 Away",88,75,,,Final,,44,44,,25,50,,NCAAB
253392306,2006,"December 5, 2005",Kansas State Wildcats,Longwood Lancers,"5-1, 5-0 Home","2-6, 0-4 Away",89,60,,,Final,,36,53,,35,25,,NCAAB
253512344,2006,,,,,,,,,,,,,,,,,,NCAAB
253562670,2006,"December 22, 2005",VCU Rams,Longwood Lancers,"7-2, 6-0 Home","2-10, 0-6 Away",91,80,,,Final,,51,40,,39,41,,NCAAB
253642341,2006,"December 30, 2005",Long Island University Sharks,Longwood Lancers,"3-6, 2-2 Home","3-11, 1-7 Away",69,86,,,Final,,37,32,,47,39,,NCAAB
260052870,2006,"January 5, 2006",Purdue Fort Wayne Mastodons,Longwood Lancers,"4-11, 2-4 Home","3-13, 1-9 Away",92,90,,,Final/OT,,42,39,11,43,38,9,NCAAB
260172426,2006,"January 17, 2006",Navy Midshipmen,Longwood Lancers,"7-9, 4-4 Home","3-15, 1-11 Away",71,65,,,Final,,29,42,,29,36,,NCAAB
260282344,2006,"January 28, 2006",Longwood Lancers,Hartford Hawks,"4-16, 3-4 Home","7-12, 2-8 Away",93,90,,,Final/OT,,48,31,14,45,34,11,NCAAB
260332344,2006,"February 2, 2006",Longwood Lancers,North Carolina A&T Aggies,"6-16, 5-4 Home","3-16, 0-13 Away",83,77,,,Final,,43,40,,35,42,,NCAAB
260392344,2006,"February 8, 2006",Longwood Lancers,Shenandoah Hornets,"7-17, 6-4 Home","0-1, 0-1 Away",87,68,,,Final,,40,47,,36,32,,NCAAB
260460258,2006,"February 15, 2006",Virginia Cavaliers,Longwood Lancers,"13-9, 11-2 Home","7-19, 1-15 Away",91,56,,,Final,,58,33,,34,22,,NCAAB
260512261,2006,"February 20, 2006",Hampton Pirates,Longwood Lancers,"11-13, 7-6 Home","9-19, 2-15 Away",66,69,,,Final,,26,40,,37,32,,NCAAB
253220158,2006,"November 18, 2005",Nebraska Cornhuskers,Longwood Lancers,"1-0, 1-0 Home","0-1, 0-1 Away",80,65,,,Final,,41,39,,32,33,,NCAAB
253242344,2006,"November 20, 2005",Longwood Lancers,Yale Bulldogs,"0-3, 0-1 Home","2-1, 2-1 Away",67,70,,,Final,,39,28,,33,37,,NCAAB
253322344,2006,"November 28, 2005",Longwood Lancers,William & Mary Tribe,"1-4, 1-2 Home","4-1, 2-0 Away",75,88,,,Final,,27,48,,41,47,,NCAAB
253370140,2006,"December 3, 2005",UMKC Kangaroos,Longwood Lancers,"3-1, 3-0 Home","2-5, 0-3 Away",79,69,,,Final,,34,45,,36,33,,NCAAB
253440222,2006,"December 10, 2005",Villanova Wildcats,Longwood Lancers,"6-0, 5-0 Home","2-7, 0-5 Away",90,77,,,Final,,44,46,,32,45,,NCAAB
253542344,2006,"December 20, 2005",Longwood Lancers,Valparaiso Crusaders,"2-9, 2-4 Home","5-3, 4-3 Away",79,82,,,Final,,36,43,,45,37,,NCAAB
253630232,2006,"December 29, 2005",Charleston Cougars,Longwood Lancers,"6-4, 5-1 Home","2-11, 0-7 Away",77,53,,,Final,,39,38,,29,24,,NCAAB
260020257,2006,"January 2, 2006",Richmond Spiders,Longwood Lancers,"7-6, 7-2 Home","3-12, 1-8 Away",74,60,,,Final,,35,39,,29,31,,NCAAB
260072674,2006,"January 7, 2006",Valparaiso Crusaders,Longwood Lancers,"8-4, 3-1 Home","3-14, 1-10 Away",105,73,,,Final,,56,49,,45,28,,NCAAB
260212542,2006,"January 21, 2006",Savannah St Tigers,Longwood Lancers,"2-18, 2-2 Home","3-16, 1-12 Away",70,69,,,Final,,27,43,,31,38,,NCAAB
260302344,2006,"January 30, 2006",Longwood Lancers,Purdue Fort Wayne Mastodons,"5-16, 4-4 Home","6-14, 3-10 Away",60,59,,,Final,,35,25,,33,26,,NCAAB
260350357,2006,"February 4, 2006",Texas A&M-CC Islanders,Longwood Lancers,"15-7, 11-1 Home","6-17, 1-13 Away",92,64,,,Final,,40,52,,20,44,,NCAAB
260442335,2006,"February 13, 2006",Liberty Flames,Longwood Lancers,"6-18, 5-7 Home","7-18, 1-14 Away",75,66,,,Final,,30,45,,36,30,,NCAAB
260492344,2006,"February 18, 2006",Longwood Lancers,James Madison Dukes,"8-19, 7-4 Home","5-20, 1-10 Away",77,73,,,Final,,38,39,,39,34,,NCAAB
260562344,2006,"February 25, 2006",Longwood Lancers,Savannah St Tigers,"10-19, 8-4 Home","2-28, 0-21 Away",82,71,,,Final,,30,52,,32,39,,NCAAB
260632344,2006,"March 4, 2006",Longwood Lancers,Utah Valley Wolverines,"10-20, 8-5 Home","16-13, 4-9 Away",63,73,,,Final,,30,33,,39,34,,NCAAB
