ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401175858,2020,"November 12, 2019",Louisiana Tech Bulldogs,Wiley ,"2-0, 1-0 Home",,98,52,,,Final,,55,43,,20,32,,NCAAB,37-73,19-68,50.7,27.9,10-30,6-20,33.3,30.0,14-18,8-13,77.8,61.5,45,46,23,6,16,6,9,1,13,31,,,,,18,15,52,0,13,21,32,25,,,0,0,0,0
401175859,2020,"November 19, 2019",Louisiana Tech Bulldogs,Mississippi Valley State Delta Devils,"3-1, 2-0 Home","0-5, 0-5 Away",76,43,,,Final,,36,40,,24,19,,NCAAB,28-67,17-71,41.8,23.9,3-22,2-23,13.6,8.7,17-29,7-12,58.6,58.3,56,49,19,8,7,3,3,2,13,17,,,,,15,22,36,3,12,14,44,35,,,0,0,0,0
401166096,2020,"November 25, 2019",Indiana Hoosiers,Louisiana Tech Bulldogs,"6-0, 6-0 Home","4-2, 1-2 Away",88,75,IND -10.5,142.0,Final,BTN,52,36,,36,39,,NCAAB,27-56,28-57,48.2,49.1,6-19,10-25,31.6,40.0,28-38,9-15,73.7,60.0,38,29,13,17,7,13,4,2,18,20,,,,,15,28,23,2,9,2,29,27,,,0,0,0,0
401169877,2020,"December 5, 2019",Mississippi State Bulldogs,Louisiana Tech Bulldogs,"6-2, 4-1 Home","6-2, 2-2 Away",67,74,MSST -7.5,140.0,Final,SECN+,36,31,,39,35,,NCAAB,25-53,26-54,47.2,48.1,11-23,10-16,47.8,62.5,6-12,12-19,50.0,63.2,31,34,18,12,4,5,5,1,13,10,,,,,18,15,8,10,12,14,19,20,,,0,0,0,0
401174748,2020,"December 14, 2019",Louisiana Tech Bulldogs,Louisiana Ragin' Cajuns,"7-3, 5-0 Home","5-5, 0-4 Away",77,59,LT -14.5,148.0,Final,,44,33,,29,30,,NCAAB,27-59,20-61,45.8,32.8,9-29,4-21,31.0,19.0,14-18,15-28,77.8,53.6,48,35,13,8,4,9,2,2,11,8,,,,,21,15,23,1,8,10,40,25,,,0,0,0,0
401175862,2020,"December 21, 2019",Louisiana Tech Bulldogs,Southern-New Orleans Knights,"9-3, 7-0 Home",,87,47,,,Final,,38,49,,22,25,,NCAAB,31-63,18-66,49.2,27.3,13-32,7-23,40.6,30.4,12-18,4-9,66.7,44.4,43,41,21,10,8,2,4,4,6,17,,,,,12,15,44,3,10,17,33,24,,,0,0,0,0
401175864,2020,"January 4, 2020",Louisiana Tech Bulldogs,Southern Miss Golden Eagles,"11-3, 2-0 Conf","4-11, 0-2 Conf",78,50,LT -15.0,136.0,Final,ESPN+,41,37,,26,24,,NCAAB,29-64,19-52,45.3,36.5,12-32,2-14,37.5,14.3,8-16,10-12,50.0,83.3,37,36,19,7,12,4,2,0,10,21,,,,,14,18,29,2,11,9,26,27,,,0,0,0,0
401175866,2020,"January 11, 2020",UTEP Miners,Louisiana Tech Bulldogs,"10-7, 1-3 Conf","12-4, 3-1 Conf",61,64,LT -2.0,133.0,Final,ESPN+,28,33,,34,30,,NCAAB,17-45,22-52,37.8,42.3,7-25,4-18,28.0,22.2,20-23,16-22,87.0,72.7,33,31,11,8,4,8,4,2,17,10,,,,,16,17,7,10,6,7,27,24,,,1,0,0,0
401175868,2020,"January 18, 2020",Louisiana Tech Bulldogs,North Texas Mean Green,"13-5, 4-2 Conf","11-8, 5-1 Conf",50,51,LT -6.0,132.0,Final,ESPN+,24,26,,33,18,,NCAAB,18-49,18-47,36.7,38.3,7-18,5-18,38.9,27.8,7-11,10-11,63.6,90.9,36,28,10,10,5,8,3,2,17,13,,,,,16,17,3,13,12,6,24,22,,,0,0,0,0
401175870,2020,"January 25, 2020",UAB Blazers,Louisiana Tech Bulldogs,"12-9, 3-5 Conf","15-5, 6-2 Conf",58,72,LT -4.5,128.0,Final,ESPN+,27,31,,35,37,,NCAAB,20-52,26-57,38.5,45.6,6-20,10-26,30.0,38.5,12-13,10-12,92.3,83.3,24,39,12,10,7,2,1,2,12,16,,,,,16,18,3,22,3,10,21,29,,,1,0,0,0
401175872,2020,"February 1, 2020",Louisiana Tech Bulldogs,Old Dominion Monarchs,"17-5, 8-2 Conf","9-14, 5-5 Conf",76,73,LT -11.0,127.0,Final,ESPN+,40,36,,33,40,,NCAAB,23-50,26-60,46.0,43.3,11-29,5-18,37.9,27.8,19-23,16-25,82.6,64.0,28,40,14,10,3,3,3,1,7,6,,,,,21,17,11,2,2,13,26,27,,,0,0,0,0
401175894,2020,"February 8, 2020",Marshall Thundering Herd,Louisiana Tech Bulldogs,"12-13, 6-6 Conf","17-7, 8-4 Conf",83,79,LT -3.0,146.0,Final/OT,ESPN+,27,41,15.0,31,37,11.0,NCAAB,31-65,27-59,47.7,45.8,13-32,6-22,40.6,27.3,8-18,19-29,44.4,65.5,32,43,14,10,6,12,5,1,14,18,,,,,22,16,6,12,8,12,24,31,,,0,1,0,0
401175896,2020,"February 15, 2020",Louisiana Tech Bulldogs,Florida Atlantic Owls,"19-7, 10-4 Conf","14-13, 6-8 Conf",81,68,LT -11.0,134.0,Final,ESPN+,43,38,,24,44,,NCAAB,31-65,21-62,47.7,33.9,9-25,7-27,36.0,25.9,10-12,19-23,83.3,82.6,37,43,10,9,9,4,4,2,8,12,,,,,16,13,25,0,7,14,30,29,,,0,0,0,0
401212060,2020,"February 27, 2020",Western Kentucky Hilltoppers,Louisiana Tech Bulldogs,"19-9, 12-4 Conf","20-8, 11-5 Conf",95,91,WKU -1.5,140.0,Final/OT,,33,47,15.0,37,43,11.0,NCAAB,26-61,34-71,42.6,47.9,11-31,8-22,35.5,36.4,32-36,15-23,88.9,65.2,35,46,10,16,7,8,4,2,12,15,,,,,17,28,4,17,10,17,25,29,,,0,0,0,0
