ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400785348,2014,"March 20, 2015",Louisville Cardinals,UC Irvine Anteaters,25-8,21-13,57,55,,,Final,TBS,30,27,,28,27,,NCAAB
400786306,2014,"March 22, 2015",Louisville Cardinals,Northern Iowa Panthers,26-8,31-4,66,53,,,Final,TBS,36,30,,27,26,,NCAAB
400786516,2014,"March 27, 2015",Louisville Cardinals,NC State Wolfpack,27-8,22-14,75,65,,,Final,TBS,31,44,,33,32,,NCAAB
400587765,2014,"November 17, 2014",Louisville Cardinals,Jacksonville State Gamecocks,"2-0, 1-0 Home","0-2, 0-2 Away",88,39,,,Final,,50,38,,20,19,,NCAAB
400587790,2014,"November 24, 2014",Louisville Cardinals,Savannah St Tigers,"4-0, 3-0 Home","2-3, 0-3 Away",87,26,,,Final,,41,46,,7,19,,NCAAB
400587816,2014,"December 02, 2014",Louisville Cardinals,Ohio State Buckeyes,"6-0, 5-0 Home","5-1, 0-1 Away",64,55,,,Final,ESPN,35,29,,18,37,,NCAAB
400587836,2014,"December 09, 2014",Louisville Cardinals,Indiana Hoosiers,8-0,7-2,94,74,,,Final,ESPN,46,48,,41,33,,NCAAB
400587861,2014,"December 20, 2014",Western Kentucky Hilltoppers,Louisville Cardinals,"5-5, 3-2 Home","10-0, 1-0 Away",67,76,,,Final,FS1,24,43,,29,47,,NCAAB
400587874,2014,"December 27, 2014",Louisville Cardinals,Kentucky Wildcats,"11-1, 8-1 Home","13-0, 1-0 Away",50,58,,,Final,ESPN2,18,32,,22,36,,NCAAB
400587899,2014,"January 04, 2015",Wake Forest Demon Deacons,Louisville Cardinals,"8-7, 0-2 Conf","13-1, 1-0 Conf",76,85,,,Final,ESPNU,35,41,,46,39,,NCAAB
400587907,2014,"January 10, 2015",North Carolina Tar Heels,Louisville Cardinals,"12-4, 2-1 Conf","14-2, 2-1 Conf",72,71,,,Final,ESPN,34,38,,34,37,,NCAAB
400587922,2014,"January 17, 2015",Louisville Cardinals,Duke Blue Devils,"15-3, 3-2 Conf","15-2, 3-2 Conf",52,63,,,Final,ESPN,20,32,,30,33,,NCAAB
400587949,2014,"January 28, 2015",Boston College Eagles,Louisville Cardinals,"9-10, 1-6 Conf","17-3, 5-2 Conf",72,81,,,Final,,33,39,,35,46,,NCAAB
400587960,2014,"February 03, 2015",Miami Hurricanes,Louisville Cardinals,"14-8, 4-5 Conf","19-3, 7-2 Conf",55,63,,,Final,,26,29,,35,28,,NCAAB
