ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401173593,2020,"November 8, 2019",Furman Paladins,Loyola Chicago Ramblers,"2-0, 1-0 Home","1-1, 0-1 Away",87,63,FUR -4.5,130.0,Final,ESPN3,34,53,,28,35,,NCAAB,31-56,29-55,55.4,52.7,8-20,4-14,40.0,28.6,17-24,1-3,70.8,33.3,24,32,18,13,12,3,2,3,9,22,,,,,12,20,24,2,5,9,19,23,,,1,0,0,0
401170129,2020,"November 16, 2019",Loyola Chicago Ramblers,Saint Joseph's Hawks,"2-2, 2-1 Home","2-2, 1-2 Away",85,68,L-IL -6.0,149.0,Final,,42,43,,45,23,,NCAAB,35-62,22-56,56.5,39.3,4-14,12-34,28.6,35.3,11-18,12-19,61.1,63.2,30,40,19,14,12,7,2,2,12,24,,,,,15,17,17,8,5,14,25,26,,,0,0,0,0
401170019,2020,"November 25, 2019",South Florida Bulls,Loyola Chicago Ramblers,3-2,3-3,66,55,L-IL -2.5,127.0,Final,,27,39,,33,22,,NCAAB,22-44,18-35,50.0,51.4,10-21,2-9,47.6,22.2,12-23,17-25,52.2,68.0,24,21,12,4,9,6,0,2,17,20,,,,,17,19,,,6,1,18,20,,,0,0,0,0
401186436,2020,"November 27, 2019",Old Dominion Monarchs,Loyola Chicago Ramblers,3-5,4-4,61,68,L-IL -4.0,118.0,Final,,21,40,,30,38,,NCAAB,25-53,19-40,47.2,47.5,4-16,4-14,25.0,28.6,7-11,26-31,63.6,83.9,25,29,6,10,9,3,4,0,13,17,,,,,23,10,0,16,6,5,19,24,,,0,0,0,0
401173596,2020,"December 7, 2019",Loyola Chicago Ramblers,Quincy Hawks,"6-4, 4-1 Home",,90,59,,,Final,ESPN3,46,44,,25,34,,NCAAB,34-55,21-56,61.8,37.5,10-18,11-32,55.6,34.4,12-19,6-11,63.2,54.5,34,29,17,12,10,8,3,2,13,18,,,,,14,16,36,0,7,11,27,18,,,0,1,0,0
401169896,2020,"December 18, 2019",Vanderbilt Commodores,Loyola Chicago Ramblers,6-4,8-4,70,78,L-IL -2.0,137.0,Final,CBSSN,31,39,,35,43,,NCAAB,25-53,28-50,47.2,56.0,7-21,5-10,33.3,50.0,13-22,17-30,59.1,56.7,32,33,11,22,6,4,3,1,15,14,,,,,23,20,6,10,7,6,25,27,,,0,0,0,0
401173598,2020,"December 30, 2019",Valparaiso Crusaders,Loyola Chicago Ramblers,"7-7, 0-1 Conf","9-5, 1-0 Conf",63,66,L-IL -3.5,137.0,Final,ESPN+,28,35,,35,31,,NCAAB,25-58,21-50,43.1,42.0,9-27,5-14,33.3,35.7,4-6,19-30,66.7,63.3,33,37,21,15,9,6,9,1,15,13,,,,,23,12,2,14,6,9,27,28,,,0,0,0,0
401173520,2020,"January 7, 2020",Drake Bulldogs,Loyola Chicago Ramblers,"12-4, 2-1 Conf","10-6, 2-1 Conf",65,62,DRKE -1.5,131.0,Final,CBSSN,38,27,,34,28,,NCAAB,26-54,25-57,48.1,43.9,9-23,6-21,39.1,28.6,4-6,6-13,66.7,46.2,42,20,17,11,4,11,7,3,19,6,,,,,10,9,10,2,13,6,29,14,,,0,0,0,0
401173600,2020,"January 16, 2020",Loyola Chicago Ramblers,Southern Illinois Salukis,"12-6, 4-1 Conf","8-10, 2-3 Conf",64,48,L-IL -10.0,119.0,Final,ESPN+,31,33,,26,22,,NCAAB,26-48,19-54,54.2,35.2,6-12,5-26,50.0,19.2,6-9,5-5,66.7,100.0,35,24,18,10,3,4,4,3,9,7,,,,,10,15,17,1,3,3,32,21,,,0,0,0,0
401173586,2020,"January 22, 2020",Loyola Chicago Ramblers,Indiana State Sycamores,"14-6, 6-1 Conf","10-8, 3-4 Conf",75,55,L-IL -7.5,133.0,Final,ESPN+,40,35,,23,32,,NCAAB,31-46,21-49,67.4,42.9,8-12,6-20,66.7,30.0,5-8,7-11,62.5,63.6,28,20,18,11,8,3,0,0,17,15,,,,,12,13,27,2,6,9,22,11,,,0,0,0,0
