ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400830128,2016,"November 15, 2015",UC Irvine Anteaters,Loyola Marymount Lions,"2-0, 2-0 Home","1-1, 0-1 Away",77,53,,,Final,,39,38,,25,28,,NCAAB
400830130,2016,"November 22, 2015",Loyola Marymount Lions,Antelope Valley Pioneers,"2-2, 2-0 Home",,86,62,,,Final,,43,43,,29,33,,NCAAB
400830132,2016,"November 28, 2015",Southeast Missouri State Redhawks,Loyola Marymount Lions,"0-5, 0-1 Home","4-2, 1-2 Away",60,73,,,Final,,31,29,,33,40,,NCAAB
400830134,2016,"December 6, 2015",Loyola Marymount Lions,UC Riverside Highlanders,"5-3, 4-0 Home","5-3, 1-3 Away",77,76,,,Final,,43,34,,44,32,,NCAAB
400830136,2016,"December 12, 2015",CSU Fullerton Titans,Loyola Marymount Lions,"6-3, 3-1 Home","6-4, 2-4 Away",70,82,,,Final,,31,39,,35,47,,NCAAB
400830138,2016,"December 21, 2015",Portland Pilots,Loyola Marymount Lions,"7-7, 1-0 Conf","7-5, 0-1 Conf",87,60,,,Final,ESPN3,46,41,,26,34,,NCAAB
400830140,2016,"January 2, 2016",Pepperdine Waves,Loyola Marymount Lions,"8-6, 1-2 Conf","7-7, 0-3 Conf",68,65,,,Final/OT,,26,35,7,24,37,4,NCAAB
400830142,2016,"January 9, 2016",Loyola Marymount Lions,Pacific Tigers,"7-9, 0-5 Conf","4-11, 3-3 Conf",58,60,,,Final,,31,27,,30,30,,NCAAB
400830144,2016,"January 16, 2016",Santa Clara Broncos,Loyola Marymount Lions,"7-13, 3-5 Conf","9-9, 2-5 Conf",66,76,,,Final,,26,40,,33,43,,NCAAB
400830146,2016,"January 23, 2016",Loyola Marymount Lions,San Diego Toreros,"10-10, 3-6 Conf","6-13, 1-7 Conf",67,63,,,Final,,30,37,,36,27,,NCAAB
400830148,2016,"January 30, 2016",San Diego Toreros,Loyola Marymount Lions,"7-14, 2-8 Conf","10-12, 3-8 Conf",77,69,,,Final,,37,40,,37,32,,NCAAB
400830150,2016,"February 6, 2016",Loyola Marymount Lions,Portland Pilots,"10-14, 3-10 Conf","11-15, 5-8 Conf",78,92,,,Final,,46,32,,46,46,,NCAAB
400830152,2016,"February 13, 2016",Saint Mary's Gaels,Loyola Marymount Lions,"20-4, 11-3 Conf","11-15, 4-11 Conf",68,62,,,Final,,33,35,,21,41,,NCAAB
400830154,2016,"February 20, 2016",Loyola Marymount Lions,San Francisco Dons,"12-16, 5-12 Conf","15-12, 8-8 Conf",100,87,,,Final/OT,,45,37,18,31,51,5,NCAAB
400868352,2016,"March 4, 2016",Loyola Marymount Lions,San Diego Toreros,"14-16, 6-12 Conf","9-21, 4-14 Conf",64,61,,,Final,,30,34,,26,35,,NCAAB
400830127,2016,"November 13, 2015",Loyola Marymount Lions,CSU Fullerton Titans,"1-0, 1-0 Home","0-1, 0-1 Away",79,74,,,Final,,41,38,,31,43,,NCAAB
400830129,2016,"November 19, 2015",Colorado State Rams,Loyola Marymount Lions,"2-0, 1-0 Home","1-2, 0-2 Away",83,75,,,Final,,34,49,,37,38,,NCAAB
400830131,2016,"November 25, 2015",Loyola Marymount Lions,CSU Northridge Matadors,"3-2, 3-0 Home","2-4, 0-3 Away",82,80,,,Final/OT,,35,38,9,34,39,7,NCAAB
400830133,2016,"December 2, 2015",Oregon State Beavers,Loyola Marymount Lions,"5-1, 3-1 Home","4-3, 1-3 Away",79,70,,,Final,PAC12,30,49,,29,41,,NCAAB
400830135,2016,"December 9, 2015",Boise State Broncos,Loyola Marymount Lions,"6-4, 4-0 Home","5-4, 1-4 Away",67,66,,,Final,,37,30,,36,30,,NCAAB
400830137,2016,"December 18, 2015",Loyola Marymount Lions,Jacksonville State Gamecocks,"7-4, 5-0 Home","3-10, 0-5 Away",77,60,,,Final,,35,42,,22,38,,NCAAB
400830139,2016,"December 23, 2015",Gonzaga Bulldogs,Loyola Marymount Lions,"10-3, 2-0 Conf","7-6, 0-2 Conf",85,62,,,Final,ESPN3,40,45,,24,38,,NCAAB
400830141,2016,"January 7, 2016",Loyola Marymount Lions,Saint Mary's Gaels,"7-8, 0-4 Conf","14-1, 5-0 Conf",48,73,,,Final,,21,27,,33,40,,NCAAB
400830143,2016,"January 14, 2016",San Francisco Dons,Loyola Marymount Lions,"9-8, 3-4 Conf","8-9, 1-5 Conf",83,87,,,Final,,34,49,,39,48,,NCAAB
400830145,2016,"January 21, 2016",Loyola Marymount Lions,BYU Cougars,"9-10, 2-6 Conf","14-6, 5-2 Conf",80,91,,,Final,,50,30,,40,51,,NCAAB
400830147,2016,"January 28, 2016",BYU Cougars,Loyola Marymount Lions,"15-7, 6-3 Conf","10-11, 3-7 Conf",87,62,,,Final,ESPNU,38,49,,24,38,,NCAAB
400830149,2016,"February 4, 2016",Loyola Marymount Lions,Gonzaga Bulldogs,"10-13, 3-9 Conf","18-5, 10-2 Conf",63,92,,,Final,ESPN3,26,37,,47,45,,NCAAB
400830151,2016,"February 11, 2016",Pacific Tigers,Loyola Marymount Lions,"7-16, 5-8 Conf","11-14, 4-10 Conf",72,77,,,Final,,36,36,,41,36,,NCAAB
400830153,2016,"February 18, 2016",Loyola Marymount Lions,Santa Clara Broncos,"11-16, 4-12 Conf","10-17, 6-9 Conf",72,76,,,Final,,34,38,,31,45,,NCAAB
400830155,2016,"February 27, 2016",Loyola Marymount Lions,Pepperdine Waves,"13-16, 6-12 Conf","17-12, 10-8 Conf",90,83,,,Final/2OT,,32,34,24,25,41,17,NCAAB
400870041,2016,"March 5, 2016",Saint Mary's Gaels,Loyola Marymount Lions,"26-4, 15-3 Conf","14-17, 6-12 Conf",60,48,,,Final,ESPN2,25,35,,29,19,,NCAAB
