ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400502494,2014,"November 12, 2013",Columbia Lions,Manhattan Jaspers,"1-1, 1-1 Home","2-0, 2-0 Away",70,71,,,Final,,35,35,,38,33,,NCAAB,22-46,19-39,47.8,48.7,4-15,10-12,26.7,83.3,22-35,23-40,62.9,57.5,31,33,10,10,7,4,4,5,11,16,,,,,30,27,,,9,9,22,24,,,0,0,0,0
400499983,2014,"November 20, 2013",Illinois State Redbirds,Manhattan Jaspers,"1-3, 0-2 Home","3-1, 3-0 Away",70,79,,,Final,,30,40,,36,43,,NCAAB,20-53,20-56,37.7,35.7,6-22,5-18,27.3,27.8,24-33,34-46,72.7,73.9,32,46,12,8,5,8,8,3,21,21,,,,,31,28,,,7,17,25,29,,,0,1,0,0
400502523,2014,"November 30, 2013",Hofstra Pride,Manhattan Jaspers,"2-5, 1-3 Home","4-2, 4-0 Away",59,66,,,Final,,30,29,,27,39,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400502536,2014,"December 8, 2013",Manhattan Jaspers,Monmouth Hawks,"6-2, 2-0 Conf","3-6, 0-2 Conf",75,66,,,Final,,33,42,,39,27,,NCAAB,23-54,18-52,42.6,34.6,5-21,7-19,23.8,36.8,24-40,23-35,60.0,65.7,39,45,14,10,9,6,11,1,18,23,,,,,30,31,,,14,16,25,29,,,0,0,0,0
400502545,2014,"December 17, 2013",South Carolina Gamecocks,Manhattan Jaspers,"2-4, 2-1 Home","8-2, 7-0 Away",68,86,,,Final,,34,34,,45,41,,NCAAB,22-52,23-49,42.3,46.9,2-7,6-13,28.6,46.2,22-38,34-39,57.9,87.2,27,33,15,13,3,11,3,9,16,16,,,,,23,30,,,12,12,15,21,,,0,0,0,0
400521958,2014,"January 2, 2014",Saint Peter's Peacocks,Manhattan Jaspers,"4-8, 0-3 Conf","10-2, 3-0 Conf",62,74,,,Final,,25,37,,30,44,,NCAAB,14-47,20-49,29.8,40.8,3-14,5-23,21.4,21.7,31-39,29-38,79.5,76.3,31,38,5,11,7,11,6,4,17,15,,,,,26,28,,,10,10,21,28,,,0,0,0,0
400502573,2014,"January 9, 2014",Quinnipiac Bobcats,Manhattan Jaspers,"9-5, 4-1 Conf","11-3, 4-1 Conf",81,76,,,Final,,39,42,,35,41,,NCAAB,22-56,29-69,39.3,42.0,6-16,4-14,37.5,28.6,31-46,14-28,67.4,50.0,49,44,15,6,2,3,10,6,13,7,,,,,24,32,,,22,22,27,22,,,0,1,0,0
400502583,2014,"January 16, 2014",Manhattan Jaspers,Siena Saints,"13-3, 6-1 Conf","7-11, 3-4 Conf",90,68,,,Final,,43,47,,34,34,,NCAAB,25-58,24-55,43.1,43.6,8-20,2-6,40.0,33.3,32-43,18-23,74.4,78.3,33,44,11,12,15,6,6,4,11,23,,,,,20,30,,,16,17,17,27,,,0,0,0,0
400502596,2014,"January 24, 2014",Manhattan Jaspers,Rider Broncs,"14-4, 7-2 Conf","9-9, 5-4 Conf",67,51,,,Final,ESPNU,33,34,,17,34,,NCAAB,23-54,13-49,42.6,26.5,3-13,1-11,23.1,9.1,18-24,24-33,75.0,72.7,42,35,13,7,9,8,11,2,16,17,,,,,26,21,,,11,11,31,24,,,0,0,0,0
400502607,2014,"January 31, 2014",Iona Gaels,Manhattan Jaspers,"12-8, 9-2 Conf","14-6, 7-4 Conf",85,73,,,Final,ESPNU,39,46,,34,39,,NCAAB,30-62,26-64,48.4,40.6,7-21,8-23,33.3,34.8,18-24,13-20,75.0,65.0,38,42,15,15,7,3,7,5,7,11,,,,,19,18,,,11,16,27,26,,,0,0,0,0
400533994,2014,"February 4, 2014",Manhattan Jaspers,Saint Peter's Peacocks,"15-6, 8-4 Conf","7-14, 3-9 Conf",64,49,,,Final,,32,32,,20,29,,NCAAB,21-47,18-50,44.7,36.0,9-19,1-12,47.4,8.3,13-25,12-22,52.0,54.5,39,32,14,5,6,6,4,2,14,13,,,,,22,20,,,9,7,30,25,,,0,0,0,0
