ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
313180058,2012,"November 14, 2011",South Florida Bulls,Marist Red Foxes,"2-0, 2-0 Home","0-2, 0-2 Away",81,67,,,Final,ESPN3,32,49,,29,38,,NCAAB,30-61,24-49,49.2,49.0,6-19,7-14,31.6,50.0,15-18,12-19,83.3,63.2,40,27,18,17,5,7,5,4,10,13,,,,,18,17,16,4,14,4,24,19,,,0,0,0,0
313242368,2012,"November 20, 2011",Marist Red Foxes,Radford Highlanders,1-3,3-3,60,47,,,Final,,22,38,,20,27,,NCAAB,19-36,19-55,52.8,34.5,3-7,3-15,42.9,20.0,19-28,6-10,67.9,60.0,36,33,8,7,4,6,6,2,17,12,,,,,17,24,17,6,8,14,24,14,,,0,0,0,0
313302368,2012,"November 26, 2011",Marist Red Foxes,Colgate Raiders,"2-4, 1-1 Home","2-3, 1-3 Away",81,73,,,Final,,39,42,,30,43,,NCAAB,26-57,28-64,45.6,43.8,6-17,13-24,35.3,54.2,23-29,4-8,79.3,50.0,48,34,13,18,8,8,3,1,17,17,,,,,14,21,11,0,13,8,29,23,,,0,0,0,0
313382368,2012,"December 4, 2011",Marist Red Foxes,Rider Broncs,"3-5, 1-1 Conf","1-8, 0-2 Conf",95,75,,,Final,,45,50,,36,39,,NCAAB,30-53,30-62,56.6,48.4,13-20,1-14,65.0,7.1,22-27,14-17,81.5,82.4,40,28,20,12,2,11,2,4,18,14,,,,,16,20,23,0,10,9,24,15,,,0,0,0,0
313510160,2012,"December 17, 2011",New Hampshire Wildcats,Marist Red Foxes,"4-4, 3-1 Home","4-6, 0-4 Away",73,56,,,Final,,31,42,,26,30,,NCAAB,30-65,18-55,46.2,32.7,6-15,1-9,40.0,11.1,7-12,19-30,58.3,63.3,48,41,14,4,6,9,1,7,14,16,,,,,24,14,25,10,13,15,30,22,,,0,0,0,0
313570219,2012,"December 23, 2011",Pennsylvania Quakers,Marist Red Foxes,"6-6, 4-4 Home","5-7, 0-5 Away",84,71,,,Final,,38,46,,36,35,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320022368,2012,"January 2, 2012",Marist Red Foxes,Saint Peter's Peacocks,"7-7, 2-1 Conf","2-12, 1-2 Conf",71,67,,,Final,,21,50,,33,34,,NCAAB,20-55,22-56,36.4,39.3,3-17,7-17,17.6,41.2,28-35,16-23,80.0,69.6,47,36,10,9,9,9,6,5,15,12,,,,,18,27,4,12,16,11,26,23,,,0,0,0,0
320082368,2012,"January 8, 2012",Marist Red Foxes,Iona Gaels,"7-9, 2-3 Conf","13-3, 5-0 Conf",76,100,,,Final,,32,44,,56,44,,NCAAB,25-65,36-59,38.5,61.0,6-23,6-11,26.1,54.5,20-25,22-32,80.0,68.8,41,37,11,18,4,10,5,5,19,13,,,,,23,21,0,24,17,7,21,26,,,1,0,0,0
320150315,2012,"January 15, 2012",Niagara Purple Eagles,Marist Red Foxes,"8-11, 3-4 Conf","7-11, 2-5 Conf",86,67,,,Final,,46,40,,32,35,,NCAAB,31-69,16-50,44.9,32.0,14-30,4-19,46.7,21.1,10-16,31-36,62.5,86.1,38,54,22,9,6,4,5,4,11,21,,,,,28,18,26,1,13,14,21,30,,,1,1,0,0
320292217,2012,"January 29, 2012",Fairfield Stags,Marist Red Foxes,"11-10, 6-4 Conf","7-14, 2-8 Conf",81,53,,,Final,,33,48,,26,27,,NCAAB,31-56,17-46,55.4,37.0,12-18,4-15,66.7,26.7,7-11,15-21,63.6,71.4,32,31,18,9,9,6,5,6,14,20,,,,,18,13,28,6,7,7,24,19,,,0,0,0,0
320352368,2012,"February 4, 2012",Marist Red Foxes,Canisius Golden Griffins,"8-15, 3-9 Conf","4-19, 1-12 Conf",80,69,,,Final,,42,38,,30,39,,NCAAB,30-62,22-47,48.4,46.8,6-21,5-13,28.6,38.5,14-16,20-23,87.5,87.0,30,33,13,8,4,2,1,5,10,15,,,,,19,18,17,1,14,11,15,20,,,0,0,0,0
320430314,2012,"February 12, 2012",Iona Gaels,Marist Red Foxes,"20-6, 12-3 Conf","9-16, 4-10 Conf",83,74,,,Final,,44,39,,36,38,,NCAAB,34-64,26-56,53.1,46.4,9-16,7-18,56.3,38.9,6-7,15-19,85.7,78.9,33,34,20,16,6,3,2,1,10,16,,,,,18,13,16,5,7,9,24,23,,,0,0,0,0
320490311,2012,"February 18, 2012",Maine Black Bears,Marist Red Foxes,"11-15, 6-6 Home","11-16, 2-12 Away",71,77,,,Final,,27,44,,39,38,,NCAAB,25-63,29-56,39.7,51.8,7-19,8-15,36.8,53.3,14-16,11-17,87.5,64.7,41,37,13,22,8,5,4,4,16,15,,,,,14,16,3,16,13,6,24,28,,,0,0,0,0
320542368,2012,"February 23, 2012",Marist Red Foxes,Siena Saints,"12-17, 6-11 Conf","12-16, 7-10 Conf",61,52,,,Final,ESPN3,28,33,,20,32,,NCAAB,20-54,22-58,37.0,37.9,6-21,2-15,28.6,13.3,15-18,6-13,83.3,46.2,42,45,14,7,4,7,4,0,11,14,,,,,15,14,12,2,9,13,28,27,,,0,1,0,0
320622368,2012,"March 2, 2012",Marist Red Foxes,Saint Peter's Peacocks,"14-17, 7-11 Conf","5-26, 4-14 Conf",64,57,,,Final,,26,38,,21,36,,NCAAB,21-47,25-54,44.7,46.3,6-13,2-11,46.2,18.2,16-27,5-9,59.3,55.6,33,37,10,15,10,4,3,4,9,14,,,,,12,20,10,6,9,12,20,22,,,0,0,0,0
313150096,2012,"November 11, 2011",Kentucky Wildcats,Marist Red Foxes,"1-0, 1-0 Home","0-1, 0-1 Away",108,58,,,Final,ESPN3,45,63,,36,22,,NCAAB,46-75,20-63,61.3,31.7,4-10,6-18,40.0,33.3,12-15,12-23,80.0,52.2,52,31,24,10,8,2,13,4,9,14,,,,,18,15,50,0,15,13,36,16,,,0,0,0,0
313232368,2012,"November 19, 2011",Marist Red Foxes,Vermont Catamounts,0-3,2-1,75,84,,,Final,,29,46,,32,52,,NCAAB,25-56,24-46,44.6,52.2,7-19,6-14,36.8,42.9,18-25,30-39,72.0,76.9,37,26,9,16,5,10,0,4,18,12,,,,,25,25,2,10,13,4,21,21,,,1,0,0,0
313262368,2012,"November 22, 2011",Marist Red Foxes,Bucknell Bison,"1-4, 0-1 Home","2-2, 1-2 Away",68,74,,,Final,,28,40,,40,34,,NCAAB,23-50,33-62,46.0,53.2,11-25,4-12,44.0,33.3,11-18,4-6,61.1,66.7,30,41,15,16,2,7,5,4,12,9,,,,,15,19,0,12,7,10,21,26,,,0,0,0,0
