ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
320730344,2011,"March 13, 2012",Mississippi State Bulldogs,Massachusetts Minutemen,"21-12, 15-3 Home","23-11, 4-7 Away",96,101,,,Final/2OT,ESPN2,31,41,24.0,41,31,29.0,NCAAB
320772550,2011,"March 17, 2012",Seton Hall Pirates,Massachusetts Minutemen,"21-13, 13-3 Home","24-11, 4-7 Away",67,77,,,Final,ESPN,30,37,,36,41,,NCAAB
320802182,2011,"March 20, 2012",Drexel Dragons,Massachusetts Minutemen,"29-7, 13-0 Home","25-11, 4-7 Away",70,72,,,Final,ESPN,41,29,,31,41,,NCAAB
313180113,2011,"November 14, 2011",Massachusetts Minutemen,Northeastern Huskies,"2-0, 2-0 Home","1-1, 1-1 Away",83,67,,,Final,,40,43,,28,39,,NCAAB
313250103,2011,"November 21, 2011",Boston College Eagles,Massachusetts Minutemen,"1-2, 1-1 Home","4-0, 1-0 Away",46,82,,,Final,ESPN3,26,20,,37,45,,NCAAB
313290254,2011,"November 25, 2011",Utah Utes,Massachusetts Minutemen,1-4,5-1,75,89,,,Final,,35,40,,44,45,,NCAAB
313340113,2011,"November 30, 2011",Massachusetts Minutemen,Towson Tigers,"6-2, 4-0 Home","0-6, 0-3 Away",86,56,,,Final,,44,42,,28,28,,NCAAB
313400151,2011,"December 06, 2011",East Carolina Pirates,Massachusetts Minutemen,"4-4, 3-2 Home","7-3, 2-1 Away",58,63,,,Final,,21,37,,40,23,,NCAAB
313510113,2011,"December 17, 2011",Massachusetts Minutemen,Quinnipiac Bobcats,"9-3, 5-0 Home","5-5, 2-3 Away",72,67,,,Final,,36,36,,40,27,,NCAAB
313640113,2011,"December 30, 2011",Massachusetts Minutemen,Central Connecticut Blue Devils,"11-3, 7-0 Home","5-7, 1-5 Away",97,65,,,Final,,47,50,,32,33,,NCAAB
320082325,2011,"January 08, 2012",La Salle Explorers,Massachusetts Minutemen,"12-4, 2-0 Conf","12-4, 1-1 Conf",82,75,,,Final,,51,31,,25,50,,NCAAB
320140113,2011,"January 14, 2012",Massachusetts Minutemen,Saint Joseph's Hawks,"14-4, 3-1 Conf","12-6, 2-2 Conf",71,62,,,Final,,33,38,,32,30,,NCAAB
320210257,2011,"January 21, 2012",Richmond Spiders,Massachusetts Minutemen,"11-9, 2-3 Conf","15-5, 4-2 Conf",68,79,,,Final,,31,37,,35,44,,NCAAB
320320227,2011,"February 01, 2012",Rhode Island Rams,Massachusetts Minutemen,"5-18, 2-6 Conf","16-6, 5-3 Conf",81,78,,,Final/OT,,36,33,12.0,32,37,9.0,NCAAB
320390113,2011,"February 08, 2012",Massachusetts Minutemen,St. Bonaventure Bonnies,"18-6, 7-3 Conf","12-9, 5-4 Conf",76,67,,,Final,,31,45,,34,33,,NCAAB
320490113,2011,"February 18, 2012",Massachusetts Minutemen,La Salle Explorers,"18-8, 7-5 Conf","18-9, 7-5 Conf",71,72,,,Final,,33,38,,33,39,,NCAAB
320562168,2011,"February 25, 2012",Dayton Flyers,Massachusetts Minutemen,"18-10, 8-6 Conf","19-9, 8-6 Conf",76,43,,,Final,,28,48,,18,25,,NCAAB
320630113,2011,"March 03, 2012",Massachusetts Minutemen,Rhode Island Rams,"20-10, 9-7 Conf","7-24, 4-12 Conf",89,83,,,Final,,44,45,,43,40,,NCAAB
320690218,2011,"March 09, 2012",Temple Owls,Massachusetts Minutemen,"24-7, 13-3 Conf","22-10, 9-7 Conf",71,77,,,Final,CCSN,36,35,,31,46,,NCAAB
313150113,2011,"November 11, 2011",Massachusetts Minutemen,Elon Phoenix,"1-0, 1-0 Home","0-1, 0-1 Away",85,67,,,Final,,39,46,,43,24,,NCAAB
313210113,2011,"November 17, 2011",Massachusetts Minutemen,NJIT Highlanders,"3-0, 3-0 Home","1-2, 0-2 Away",79,58,,,Final,,44,35,,28,30,,NCAAB
313280052,2011,"November 24, 2011",Florida State Seminoles,Massachusetts Minutemen,5-0,4-1,73,53,,,Final,,36,37,,25,28,,NCAAB
313300232,2011,"November 26, 2011",Charleston Cougars,Massachusetts Minutemen,5-1,5-2,85,61,,,Final,,38,47,,34,27,,NCAAB
313372390,2011,"December 03, 2011",Miami Hurricanes,Massachusetts Minutemen,"5-2, 5-0 Home","6-3, 1-1 Away",83,75,,,Final,ESPNU,41,42,,31,44,,NCAAB
313430113,2011,"December 09, 2011",Massachusetts Minutemen,Siena Saints,8-3,3-6,82,78,,,Final,,35,47,,41,37,,NCAAB
313560113,2011,"December 22, 2011",Massachusetts Minutemen,Davidson Wildcats,"10-3, 6-0 Home","7-4, 3-3 Away",73,65,,,Final,,29,44,,35,30,,NCAAB
320050113,2011,"January 05, 2012",Massachusetts Minutemen,Fordham Rams,"12-3, 1-0 Conf","7-7, 0-1 Conf",80,76,,,Final,,33,47,,32,44,,NCAAB
320110113,2011,"January 11, 2012",Massachusetts Minutemen,Charlotte 49ers,"13-4, 2-1 Conf","9-6, 2-1 Conf",85,75,,,Final,,44,41,,33,42,,NCAAB
