ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400916483,2016,"November 16, 2016",Memphis Tigers,Milwaukee Panthers,"2-0, 2-0 Home","1-1, 0-1 Away",68,54,,,Final,ESPN3,38,30,,24,30,,NCAAB,29-63,21-53,46.0,39.6,8-21,9-23,38.1,39.1,2-12,3-3,16.7,100.0,40,27,19,12,10,4,9,2,8,12,,,,,11,16,18,0,16,6,24,21,,,0,0,0,0
400916496,2016,"November 22, 2016",Memphis Tigers,Mcneese St Cowboys,"4-0, 4-0 Home","1-3, 0-2 Away",104,65,,,Final,ESPN3,43,61,,24,41,,NCAAB,43-74,24-62,58.1,38.7,12-25,5-16,48.0,31.3,6-15,12-22,40.0,54.5,47,31,35,9,10,7,7,3,11,17,,,,,19,17,44,0,14,10,33,21,,,0,0,0,0
400927016,2016,"November 26, 2016",Memphis Tigers,Iowa Hawkeyes,5-1,3-3,100,92,,,Final,,54,46,,51,41,,NCAAB,40-72,30-55,55.6,54.5,7-18,11-23,38.9,47.8,13-20,21-24,65.0,87.5,31,32,17,16,9,6,1,4,7,18,,,,,19,17,11,5,13,8,18,24,,,0,0,0,0
400910763,2016,"December 03, 2016",Ole Miss Rebels,Memphis Tigers,"6-2, 4-1 Home","6-2, 0-1 Away",85,77,,,Final,SECN+,47,38,,37,40,,NCAAB,25-58,26-61,43.1,42.6,7-17,6-19,41.2,31.6,28-33,19-29,84.8,65.5,37,38,17,17,6,4,7,5,11,11,,,,,23,26,14,5,15,17,22,21,,,1,0,0,0
400916535,2016,"December 13, 2016",Memphis Tigers,Monmouth Hawks,"7-3, 6-1 Home","9-2, 4-2 Away",79,82,,,Final,ESPN3,45,34,,35,47,,NCAAB,27-58,29-66,46.6,43.9,4-16,11-30,25.0,36.7,21-32,13-18,65.6,72.2,33,35,17,14,7,7,8,6,8,9,,,,,15,23,12,5,11,11,22,24,,,0,0,0,0
400916548,2016,"December 21, 2016",Memphis Tigers,Incarnate Word Cardinals,"9-3, 7-1 Home","5-6, 0-5 Away",95,71,,,Final,ESPN3,54,41,,34,37,,NCAAB,32-69,25-56,46.4,44.6,10-23,6-18,43.5,33.3,21-27,15-23,77.8,65.2,45,31,21,12,9,4,3,4,13,15,,,,,17,23,32,0,17,6,28,25,,,0,0,0,0
400910787,2016,"December 30, 2016",Memphis Tigers,South Carolina Gamecocks,"10-4, 8-2 Home","10-3, 1-1 Away",70,54,,,Final,ESPNU,33,37,,28,26,,NCAAB,20-43,18-57,46.5,31.6,1-7,9-25,14.3,36.0,29-37,9-15,78.4,60.0,32,35,14,12,4,6,4,2,16,19,,,,,18,30,16,3,10,17,22,18,,,0,0,0,0
400916574,2016,"January 08, 2017",Tulane Green Wave,Memphis Tigers,"3-12, 0-3 Conf","12-4, 2-1 Conf",59,80,,,Final,ESPN3,26,33,,36,44,,NCAAB,21-62,30-58,33.9,51.7,4-18,9-21,22.2,42.9,13-16,11-18,81.3,61.1,32,43,8,14,10,9,6,8,16,21,,,,,14,14,5,23,11,11,21,32,,,1,0,0,0
400916583,2016,"January 14, 2017",Memphis Tigers,South Florida Bulls,"13-5, 3-2 Conf","6-10, 0-5 Conf",62,56,,,Final,CBSSN,30,32,,22,34,,NCAAB,20-57,23-59,35.1,39.0,6-21,6-19,28.6,31.6,16-22,4-7,72.7,57.1,39,35,17,12,9,10,8,8,19,22,,,,,8,21,16,7,15,12,24,23,,,0,0,0,0
400916595,2016,"January 22, 2017",Memphis Tigers,UCF Knights,"15-5, 5-2 Conf","14-5, 5-2 Conf",70,65,,,Final,CBSSN,33,37,,30,35,,NCAAB,23-56,23-57,41.1,40.4,6-17,8-21,35.3,38.1,18-23,11-18,78.3,61.1,28,41,14,12,7,3,4,3,6,16,,,,,15,19,7,10,6,14,22,27,,,0,1,0,0
