ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400785441,2015,"March 20, 2015",Michigan State Spartans,Georgia Bulldogs,24-11,21-12,70,63,,,Final,truTV,35,35,,22,41,,NCAAB,26-57,19-57,45.6,33.3,7-18,4-14,38.9,28.6,11-19,21-26,57.9,80.8,35,43,18,8,8,4,3,2,9,12,,,,,22,19,,,5,12,30,31,,,0,0,0,0
400786305,2015,"March 22, 2015",Virginia Cavaliers,Michigan State Spartans,30-4,25-11,54,60,,,Final,CBS,18,36,,23,37,,NCAAB,17-57,17-40,29.8,42.5,2-17,6-12,11.8,50.0,18-26,20-33,69.2,60.6,39,32,6,7,2,4,3,7,5,6,,,,,18,19,,,18,7,21,25,,,0,0,0,0
400786506,2015,"March 27, 2015",Oklahoma Sooners,Michigan State Spartans,24-11,26-11,58,62,,,Final,TBS,31,27,,27,35,,NCAAB,20-55,22-57,36.4,38.6,4-17,9-27,23.5,33.3,14-16,9-16,87.5,56.3,38,36,7,9,2,1,4,1,7,5,,,,,16,16,,,14,15,24,21,,,0,0,0,0
400787680,2015,"March 29, 2015",Louisville Cardinals,Michigan State Spartans,27-9,27-11,70,76,,,Final/OT,CBS,40,25,5.0,32,33,11.0,NCAAB,23-64,26-60,35.9,43.3,4-11,9-23,36.4,39.1,20-29,15-20,69.0,75.0,41,41,10,20,6,5,6,7,9,12,,,,,16,22,,,15,10,26,31,,,0,0,0,0
400587768,2015,"November 18, 2014",Duke Blue Devils,Michigan State Spartans,3-0,1-1,81,71,,,Final,ESPN,40,41,,33,38,,NCAAB,27-50,30-60,54.0,50.0,7-14,5-20,50.0,25.0,20-26,6-10,76.9,60.0,25,35,15,15,6,2,5,0,8,13,,,,,16,22,,,5,13,20,22,,,0,0,0,0
400595383,2015,"November 24, 2014",Michigan State Spartans,Santa Clara Broncos,"3-1, 2-0 Home","2-2, 0-2 Away",79,52,,,Final,BTN,40,39,,14,38,,NCAAB,29-66,18-62,43.9,29.0,12-30,5-22,40.0,22.7,9-17,11-12,52.9,91.7,52,34,22,6,4,6,10,3,12,13,,,,,15,18,,,21,13,31,21,,,0,0,0,0
400608906,2015,"November 28, 2014",Marquette Golden Eagles,Michigan State Spartans,3-3,5-1,68,79,,,Final,ESPN2,34,34,,35,44,,NCAAB,25-56,26-45,44.6,57.8,6-14,12-23,42.9,52.2,12-18,15-18,66.7,83.3,29,28,13,14,8,7,0,6,12,16,,,,,17,18,,,12,5,17,23,,,0,0,0,0
400587817,2015,"December 3, 2014",Notre Dame Fighting Irish,Michigan State Spartans,"7-1, 6-0 Home","5-3, 1-1 Away",79,78,,,Final/OT,ESPN2,37,30,12.0,35,32,11.0,NCAAB,26-56,32-65,46.4,49.2,7-23,9-17,30.4,52.9,20-25,5-9,80.0,55.6,26,43,7,16,7,2,3,5,4,12,,,,,14,22,,,8,18,18,25,,,0,0,0,0
400595413,2015,"December 14, 2014",Michigan State Spartans,Oakland Golden Grizzlies,"7-3, 4-0 Home","4-6, 1-3 Away",87,61,,,Final,ESPNU,44,43,,31,30,,NCAAB,34-61,21-53,55.7,39.6,10-17,5-20,58.8,25.0,9-19,14-22,47.4,63.6,37,32,25,15,10,4,1,1,8,15,,,,,18,17,,,9,8,28,24,,,0,0,0,0
400595422,2015,"December 20, 2014",Michigan State Spartans,Texas Southern Tigers,"8-4, 5-1 Home","2-8, 1-8 Away",64,71,,,Final/OT,ESPNU,30,25,9.0,25,30,16.0,NCAAB,24-61,25-47,39.3,53.2,4-21,4-12,19.0,33.3,12-21,17-26,57.1,65.4,40,28,13,11,5,7,3,2,13,11,,,,,22,21,,,18,5,22,23,,,0,0,0,0
400595437,2015,"December 30, 2014",Michigan State Spartans,Maryland Terrapins,"9-5, 0-1 Conf","13-1, 1-0 Conf",66,68,,,Final/2OT,ESPN2,14,34,18.0,17,31,20.0,NCAAB,21-65,19-57,32.3,33.3,5-22,4-22,22.7,18.2,19-28,26-32,67.9,81.3,36,52,15,8,11,7,5,4,13,21,,,,,27,24,,,8,12,28,40,,,0,1,0,0
400595452,2015,"January 8, 2015",Iowa Hawkeyes,Michigan State Spartans,"11-5, 2-1 Conf","11-5, 2-1 Conf",61,75,,,Final,ESPN,39,22,,28,47,,NCAAB,22-51,27-53,43.1,50.9,2-12,12-17,16.7,70.6,15-24,9-12,62.5,75.0,29,35,12,19,4,5,4,3,8,11,,,,,14,21,,,8,8,21,27,,,0,1,0,0
400595469,2015,"January 17, 2015",Maryland Terrapins,Michigan State Spartans,"17-2, 5-1 Conf","12-6, 3-2 Conf",75,59,,,Final,CBS,40,35,,26,33,,NCAAB,22-51,26-58,43.1,44.8,11-21,3-17,52.4,17.6,20-22,4-13,90.9,30.8,34,34,11,13,2,4,6,8,8,12,,,,,17,21,,,10,14,24,20,,,0,0,0,0
