ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
273150130,2008,"November 11, 2007",Michigan Wolverines,Brown Bears,"2-0, 2-0 Home","1-1, 1-1 Away",72,57,,,Final,,37,35,,21,36,,NCAAB,24-48,23-58,50.0,39.7,12-24,10-29,50.0,34.5,12-19,1-2,63.2,50.0,38,28,18,16,3,2,7,1,14,12,,,,,10,17,23,0,11,10,25,16,,,0,0,0,0
273252086,2008,"November 21, 2007",Butler Bulldogs,Michigan Wolverines,4-0,2-2,79,65,,,Final,,40,39,,32,33,,NCAAB,25-55,21-47,45.5,44.7,17-32,8-20,53.1,40.0,12-15,15-19,80.0,78.9,32,31,19,10,3,4,0,7,7,12,,,,,20,14,22,0,12,11,17,19,,,0,0,0,0
273280130,2008,"November 24, 2007",Western Kentucky Hilltoppers,Michigan Wolverines,5-1,3-3,73,69,,,Final,,45,28,,32,37,,NCAAB,31-54,25-52,57.4,48.1,6-14,5-17,42.9,29.4,5-7,14-23,71.4,60.9,23,31,17,14,9,10,4,3,18,18,,,,,20,13,14,3,9,16,14,14,,,0,0,0,0
273350108,2008,"December 1, 2007",Harvard Crimson,Michigan Wolverines,"4-4, 3-0 Home","3-5, 0-2 Away",62,51,,,Final,,28,34,,22,29,,NCAAB,24-59,20-62,40.7,32.3,5-18,5-20,27.8,25.0,9-12,6-7,75.0,85.7,48,44,17,6,7,5,5,9,9,13,,,,,10,11,11,3,18,20,23,19,,,0,0,0,0
273460130,2008,"December 12, 2007",Michigan Wolverines,Oakland Golden Grizzlies,"4-6, 3-0 Home","4-6, 0-4 Away",103,87,,,Final,,55,48,,42,45,,NCAAB,34-59,32-76,57.6,42.1,7-17,8-24,41.2,33.3,28-32,15-21,87.5,71.4,50,36,20,17,5,5,8,1,13,8,,,,,18,20,22,4,11,15,32,17,,,0,0,0,0
273560130,2008,"December 22, 2007",Michigan Wolverines,UCLA Bruins,"4-8, 3-2 Home","11-1, 1-0 Away",54,69,,,Final,,27,27,,24,45,,NCAAB,21-67,24-49,31.3,49.0,6-31,4-10,19.4,40.0,6-8,17-22,75.0,77.3,33,50,10,15,8,6,6,4,8,18,,,,,19,13,8,15,11,11,18,36,,,0,0,0,0
280052509,2008,"January 5, 2008",Purdue Boilermakers,Michigan Wolverines,"10-4, 1-0 Conf","4-10, 0-2 Conf",65,58,,,Final,,34,31,,20,38,,NCAAB,20-51,21-57,39.2,36.8,9-18,4-18,50.0,22.2,16-21,12-14,76.2,85.7,37,38,15,7,8,8,7,3,14,12,,,,,17,21,14,2,12,13,22,21,,,0,0,0,0
280120077,2008,"January 12, 2008",Northwestern Wildcats,Michigan Wolverines,"5-8, 0-4 Conf","5-11, 1-3 Conf",68,78,,,Final,,22,46,,43,35,,NCAAB,28-60,27-58,46.7,46.6,5-21,8-26,23.8,30.8,7-10,16-24,70.0,66.7,28,47,19,20,8,5,4,5,10,15,,,,,21,15,0,29,8,18,17,27,,,1,0,0,0
280190130,2008,"January 19, 2008",Michigan Wolverines,Iowa Hawkeyes,"5-13, 1-5 Conf","9-10, 2-4 Conf",60,68,,,Final,,27,33,,29,39,,NCAAB,22-54,23-47,40.7,48.9,11-28,7-19,39.3,36.8,5-8,15-24,62.5,62.5,25,39,13,15,7,2,5,2,12,14,,,,,18,9,7,16,6,10,19,27,,,0,0,0,0
280270127,2008,"January 27, 2008",Michigan State Spartans,Michigan Wolverines,"18-2, 6-1 Conf","5-15, 1-7 Conf",77,62,,,Final,,35,42,,27,35,,NCAAB,31-53,23-65,58.5,35.4,6-18,8-31,33.3,25.8,9-16,8-15,56.3,53.3,39,39,25,13,7,4,3,3,16,10,,,,,15,16,21,5,7,17,29,18,,,0,0,0,0
280360194,2008,"February 5, 2008",Ohio State Buckeyes,Michigan Wolverines,"16-7, 7-3 Conf","5-17, 1-9 Conf",65,55,,,Final,,31,34,,32,23,,NCAAB,24-51,20-50,47.1,40.0,7-16,9-26,43.8,34.6,10-15,6-7,66.7,85.7,38,25,14,12,6,7,3,4,13,12,,,,,9,12,10,5,13,9,21,15,,,0,0,0,0
280452294,2008,"February 14, 2008",Iowa Hawkeyes,Michigan Wolverines,"11-15, 4-9 Conf","7-17, 3-9 Conf",52,60,,,Final,,27,25,,16,44,,NCAAB,19-52,19-42,36.5,45.2,7-28,7-19,25.0,36.8,7-9,15-19,77.8,78.9,31,31,13,15,5,4,3,1,12,11,,,,,17,12,16,8,9,5,20,25,,,0,0,0,0
280520135,2008,"February 21, 2008",Minnesota Golden Gophers,Michigan Wolverines,"16-9, 6-7 Conf","8-18, 4-10 Conf",69,60,,,Final,,34,35,,35,25,,NCAAB,24-47,22-70,51.1,31.4,10-24,5-26,41.7,19.2,11-21,11-12,52.4,91.7,40,49,12,10,9,8,7,1,18,14,,,,,14,15,11,5,10,23,26,19,,,0,0,0,0
280570130,2008,"February 26, 2008",Michigan Wolverines,Northwestern Wildcats,"9-19, 5-11 Conf","8-18, 1-14 Conf",60,62,,,Final,,25,35,,36,26,,NCAAB,19-44,23-53,43.2,43.4,7-21,9-25,33.3,36.0,15-18,7-9,83.3,77.8,31,29,13,13,6,7,5,0,14,10,,,,,14,15,1,19,7,8,23,19,,,0,0,0,0
280690130,2008,"March 9, 2008",Michigan Wolverines,Purdue Boilermakers,"9-21, 5-13 Conf","24-7, 15-3 Conf",58,72,,,Final,,31,27,,29,43,,NCAAB,20-56,22-55,35.7,40.0,7-26,8-18,26.9,44.4,11-18,20-25,61.1,80.0,48,33,17,17,9,15,4,2,24,15,,,,,19,16,6,14,16,11,25,22,,,0,0,0,0
273130130,2008,"November 9, 2007",Michigan Wolverines,Radford Highlanders,"1-0, 1-0 Home","0-1, 0-1 Away",82,55,,,Final,,45,37,,30,25,,NCAAB,31-61,21-54,50.8,38.9,7-23,6-19,30.4,31.6,13-20,7-12,65.0,58.3,44,34,16,16,10,2,4,4,8,19,,,,,13,17,28,0,14,14,23,20,,,0,0,0,0
