ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
273202393,2008,"November 16, 2007",Middle Tennessee Blue Raiders,Lipscomb Bisons,1-1,0-4,68,62,,,Final,,30,38,,31,31,,NCAAB
273242633,2008,"November 20, 2007",Tennessee Volunteers,Middle Tennessee Blue Raiders,"4-0, 2-0 Home","1-3, 0-1 Away",109,40,,,Final,,61,48,,21,19,,NCAAB
273302057,2008,"November 26, 2007",Belmont Bruins,Middle Tennessee Blue Raiders,"5-2, 1-0 Home","2-4, 0-2 Away",85,62,,,Final,,51,34,,29,33,,NCAAB
273462393,2008,"December 12, 2007",Middle Tennessee Blue Raiders,Belmont Bruins,"3-5, 2-2 Home","6-4, 3-3 Away",86,80,,,Final/OT,,37,37,12,38,36,6,NCAAB
273522393,2008,"December 18, 2007",Middle Tennessee Blue Raiders,Florida International Panthers,"4-6, 1-0 Conf","3-6, 0-2 Conf",72,63,,,Final,,40,32,,27,36,,NCAAB
273632393,2008,"December 29, 2007",Middle Tennessee Blue Raiders,Austin Peay Governors,"4-8, 3-3 Home","7-6, 3-4 Away",75,78,,,Final,,37,38,,35,43,,NCAAB
280052393,2008,"January 5, 2008",Middle Tennessee Blue Raiders,Denver Pioneers,"5-9, 2-2 Conf","6-8, 2-1 Conf",68,50,,,Final,,27,41,,24,26,,NCAAB
280162653,2008,"January 16, 2008",Troy Trojans,Middle Tennessee Blue Raiders,"8-9, 1-5 Conf","7-9, 4-2 Conf",64,65,,,Final,,34,30,,39,26,,NCAAB
280242433,2008,"January 24, 2008",UL Monroe Warhawks,Middle Tennessee Blue Raiders,"8-12, 2-6 Conf","7-11, 4-4 Conf",82,69,,,Final,,46,36,,32,37,,NCAAB
280310309,2008,"January 31, 2008",Louisiana Ragin' Cajuns,Middle Tennessee Blue Raiders,"9-12, 5-5 Conf","9-11, 6-4 Conf",51,57,,,Final,,31,20,,36,21,,NCAAB
280382393,2008,"February 7, 2008",Middle Tennessee Blue Raiders,Little Rock Trojans,"11-11, 8-4 Conf","14-8, 6-5 Conf",63,46,,,Final,,29,34,,20,26,,NCAAB
280452393,2008,"February 14, 2008",Middle Tennessee Blue Raiders,South Alabama Jaguars,"12-12, 9-5 Conf","20-5, 12-2 Conf",76,70,,,Final,,43,33,,29,41,,NCAAB
280522172,2008,"February 21, 2008",Denver Pioneers,Middle Tennessee Blue Raiders,"11-15, 7-8 Conf","13-13, 10-6 Conf",58,65,,,Final,,23,35,,21,44,,NCAAB
280612393,2008,"March 1, 2008",Middle Tennessee Blue Raiders,Troy Trojans,"14-14, 11-7 Conf","11-18, 4-14 Conf",81,58,,,Final,,49,32,,34,24,,NCAAB
280692393,2008,"March 9, 2008",Middle Tennessee Blue Raiders,Troy Trojans,"16-14, 11-7 Conf","12-19, 4-14 Conf",65,59,,,Final,,33,32,,35,24,,NCAAB
273192393,2008,"November 15, 2007",Middle Tennessee Blue Raiders,San José St Spartans,"0-1, 0-1 Home","1-0, 1-0 Away",77,78,,,Final,,30,47,,39,39,,NCAAB
273212393,2008,"November 17, 2007",Middle Tennessee Blue Raiders,Appalachian State Mountaineers,"1-2, 0-2 Home","2-2, 1-1 Away",79,84,,,Final,,31,48,,35,49,,NCAAB
273272393,2008,"November 23, 2007",Middle Tennessee Blue Raiders,Tennessee Wesleyan Bulldogs,"2-3, 1-2 Home","0-1, 0-1 Away",91,48,,,Final,,40,51,,26,22,,NCAAB
273350248,2008,"December 1, 2007",Houston Cougars,Middle Tennessee Blue Raiders,"7-1, 5-0 Home","2-5, 0-3 Away",83,68,,,Final,,43,40,,24,44,,NCAAB
273490235,2008,"December 15, 2007",Middle Tennessee Blue Raiders,Memphis Tigers,3-6,8-0,41,65,,,Final,,22,19,,35,30,,NCAAB
