ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
303210254,2011,"November 17, 2010",Utah Utes,Montana Grizzlies,"2-0, 2-0 Home","0-2, 0-2 Away",80,71,,,Final,,41,39,,30,41,,NCAAB
303260149,2011,"November 22, 2010",Montana Grizzlies,Idaho Vandals,"2-2, 2-0 Home","1-3, 0-2 Away",75,33,,,Final,,47,28,,12,21,,NCAAB
303370149,2011,"December 3, 2010",Montana Grizzlies,Portland Pilots,"3-3, 3-1 Home","7-2, 2-0 Away",54,58,,,Final,,29,25,,32,26,,NCAAB
303430149,2011,"December 9, 2010",Montana Grizzlies,Providence (MT) Argos,"5-3, 4-1 Home",,85,50,,,Final,,43,42,,24,26,,NCAAB
303490149,2011,"December 15, 2010",Montana Grizzlies,Oregon State Beavers,"6-4, 5-1 Home","4-5, 1-3 Away",71,66,,,Final,,35,36,,32,34,,NCAAB
303562239,2011,"December 22, 2010",CSU Fullerton Titans,Montana Grizzlies,"4-8, 3-1 Home","8-4, 3-3 Away",57,71,,,Final,,24,33,,35,36,,NCAAB
303650149,2011,"December 31, 2010",Montana Grizzlies,Weber State Wildcats,"10-4, 2-0 Conf","6-7, 0-2 Conf",75,56,,,Final,,39,36,,28,28,,NCAAB
310080016,2011,"January 8, 2011",Sacramento State Hornets,Montana Grizzlies,"3-12, 0-4 Conf","11-5, 3-1 Conf",52,68,,,Final,,31,21,,32,36,,NCAAB
310150149,2011,"January 15, 2011",Montana Grizzlies,Portland St Vikings,"13-5, 5-1 Conf","9-8, 2-3 Conf",77,70,,,Final,,30,47,,32,38,,NCAAB
310220149,2011,"January 22, 2011",Montana Grizzlies,Montana State Bobcats,"15-5, 7-1 Conf","11-8, 5-2 Conf",75,61,,,Final,,40,35,,29,32,,NCAAB
310342692,2011,"February 3, 2011",Weber State Wildcats,Montana Grizzlies,"11-9, 5-4 Conf","16-6, 8-2 Conf",68,52,,,Final,,33,35,,19,33,,NCAAB
310410149,2011,"February 10, 2011",Montana Grizzlies,Sacramento State Hornets,"17-7, 9-3 Conf","6-17, 3-9 Conf",64,44,,,Final,,33,31,,23,21,,NCAAB
310470149,2011,"February 16, 2011",Montana Grizzlies,Idaho State Bengals,"19-7, 11-3 Conf","8-17, 4-9 Conf",71,52,,,Final,,29,42,,19,33,,NCAAB
310552502,2011,"February 24, 2011",Portland St Vikings,Montana Grizzlies,"12-15, 4-10 Conf","20-8, 12-3 Conf",84,85,,,Final,,35,49,,47,38,,NCAAB
310670149,2011,"March 8, 2011",Montana Grizzlies,Weber State Wildcats,"21-9, 12-4 Conf","18-12, 11-5 Conf",57,40,,,Final,,12,45,,22,18,,NCAAB
303172440,2011,"November 13, 2010",Nevada Wolf Pack,Montana Grizzlies,"1-0, 1-0 Home","0-1, 0-1 Away",81,66,,,Final,,32,49,,34,32,,NCAAB
303230149,2011,"November 19, 2010",Montana Grizzlies,Montana Tech Orediggers,"1-2, 1-0 Home",,78,51,,,Final,,41,37,,21,30,,NCAAB
303340149,2011,"November 30, 2010",Montana Grizzlies,CSU Fullerton Titans,"3-2, 3-0 Home","2-5, 1-3 Away",75,67,,,Final,,23,52,,29,38,,NCAAB
303390026,2011,"December 5, 2010",UCLA Bruins,Montana Grizzlies,"3-4, 3-1 Home","4-3, 1-2 Away",57,66,,,Final,,28,29,,32,34,,NCAAB
303462539,2011,"December 12, 2010",San Francisco Dons,Montana Grizzlies,"4-5, 4-1 Home","5-4, 1-3 Away",50,48,,,Final/OT,,21,25,4,20,26,2,NCAAB
303520070,2011,"December 18, 2010",Idaho Vandals,Montana Grizzlies,"5-5, 4-2 Home","7-4, 2-3 Away",63,64,,,Final,,27,36,,27,37,,NCAAB
303630149,2011,"December 29, 2010",Montana Grizzlies,Northern Arizona Lumberjacks,"9-4, 1-0 Conf","8-5, 0-1 Conf",83,80,,,Final,,35,48,,32,48,,NCAAB
310062458,2011,"January 6, 2011",Northern Colorado Bears,Montana Grizzlies,"7-7, 3-0 Conf","10-5, 2-1 Conf",63,45,,,Final,,36,27,,24,21,,NCAAB
310130149,2011,"January 13, 2011",Montana Grizzlies,Eastern Washington Eagles,"12-5, 4-1 Conf","4-12, 1-3 Conf",66,47,,,Final,,33,33,,22,25,,NCAAB
310200304,2011,"January 20, 2011",Idaho State Bengals,Montana Grizzlies,"5-13, 1-5 Conf","14-5, 6-1 Conf",65,75,,,Final,,28,37,,30,45,,NCAAB
310290147,2011,"January 29, 2011",Montana State Bobcats,Montana Grizzlies,"11-10, 5-4 Conf","16-5, 8-1 Conf",58,79,,,Final,,33,25,,33,46,,NCAAB
310362464,2011,"February 5, 2011",Northern Arizona Lumberjacks,Montana Grizzlies,"14-8, 6-4 Conf","16-7, 8-3 Conf",70,53,,,Final,FOXCS,34,36,,27,26,,NCAAB
310430149,2011,"February 12, 2011",Montana Grizzlies,Northern Colorado Bears,"18-7, 10-3 Conf","14-10, 10-3 Conf",55,42,,,Final,,35,20,,22,20,,NCAAB
310500299,2011,,,,,,,,,,,,,,,,,,NCAAB
310570331,2011,"February 26, 2011",Eastern Washington Eagles,Montana Grizzlies,"9-19, 6-9 Conf","20-9, 12-4 Conf",59,55,,,Final/OT,,17,29,13,22,24,9,NCAAB
310750149,2011,"March 16, 2011",Montana Grizzlies,Duquesne Dukes,"21-11, 13-1 Home","19-12, 7-6 Away",76,87,,,Final,,35,41,,49,38,,NCAAB
310682458,2011,"March 9, 2011",Northern Colorado Bears,Montana Grizzlies,"21-10, 13-3 Conf","21-10, 12-4 Conf",65,60,,,Final,ESPN2,31,34,,31,29,,NCAAB
