ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401089359,2019,"November 9, 2018",St. Francis (PA) Red Flash,Morgan State Bears,"1-1, 1-0 Home","0-2, 0-2 Away",80,60,,,Final,,42,38,,28,32,,NCAAB,26-66,21-60,39.4,35.0,6-27,5-18,22.2,27.8,22-33,13-17,66.7,76.5,39,33,12,10,8,3,4,2,7,13,,,,,17,25,18,0,17,11,22,22,,,0,0,0,0
401089352,2019,"November 25, 2018",Morgan State Bears,Mt. St. Mary's Mountaineers,"2-3, 2-0 Home","0-6, 0-5 Away",78,68,,,Final,,35,43,,35,33,,NCAAB,25-65,19-53,38.5,35.8,6-16,5-21,37.5,23.8,22-27,25-41,81.5,61.0,33,51,13,11,10,4,4,6,15,26,,,,,30,24,13,9,12,20,21,31,,,0,0,0,0
401082766,2019,"December 3, 2018",Virginia Cavaliers,Morgan State Bears,"8-0, 4-0 Home","2-5, 0-5 Away",83,45,,,Final,ACCNX,47,36,,23,22,,NCAAB,27-50,14-54,54.0,25.9,8-22,4-19,36.4,21.1,21-23,13-16,91.3,81.3,33,28,17,5,9,10,5,2,13,16,,,,,15,21,39,0,3,10,30,18,,,0,0,0,0
401085877,2019,"December 8, 2018",Towson Tigers,Morgan State Bears,2-7,4-5,69,74,,,Final,,33,36,,28,46,,NCAAB,27-57,28-68,47.4,41.2,5-16,6-18,31.3,33.3,10-12,12-20,83.3,60.0,41,34,13,10,6,7,5,1,21,10,,,,,17,12,14,6,13,14,28,20,,,0,0,0,0
401088381,2019,"December 22, 2018",Old Dominion Monarchs,Morgan State Bears,"10-3, 7-0 Home","5-6, 0-6 Away",76,53,,,Final,,30,46,,26,27,,NCAAB,28-62,14-50,45.2,28.0,10-26,3-14,38.5,21.4,10-21,22-28,47.6,78.6,48,31,17,6,8,10,7,0,16,15,,,,,20,20,31,6,16,8,32,23,,,0,0,0,0
401099773,2019,"January 3, 2019",Morgan State Bears,Lincoln PA Lions,"5-8, 4-1 Home",,75,77,,,Final,,34,41,,35,42,,NCAAB,22-60,27-59,36.7,45.8,4-15,5-20,26.7,25.0,27-27,18-25,100.0,72.0,36,40,14,13,10,5,2,3,13,18,,,,,20,20,6,6,10,12,26,28,,,1,0,0,0
401090281,2019,"January 7, 2019",Morgan State Bears,Savannah St Tigers,"6-9, 1-1 Conf","4-12, 1-1 Conf",87,88,,,Final/OT,,52,28,7.0,40,40,8.0,NCAAB,31-73,33-66,42.5,50.0,10-23,9-32,43.5,28.1,15-23,13-19,65.2,68.4,43,40,21,20,6,9,0,3,17,21,,,,,19,19,17,8,18,13,25,27,,,0,0,0,0
401090286,2019,"January 15, 2019",Howard Bison,Morgan State Bears,"7-11, 1-3 Conf","7-10, 2-2 Conf",86,89,,,Final/OT,,31,41,14.0,34,38,17.0,NCAAB,31-77,30-73,40.3,41.1,6-12,4-17,50.0,23.5,18-27,25-27,66.7,92.6,43,39,11,11,4,9,7,2,18,15,,,,,21,25,3,7,16,11,27,28,,,0,0,0,0
401090284,2019,"January 21, 2019",North Carolina Central Eagles,Morgan State Bears,"9-10, 4-1 Conf","7-12, 2-4 Conf",92,64,,,Final,,55,37,,27,37,,NCAAB,35-66,26-64,53.0,40.6,12-23,2-12,52.2,16.7,10-15,10-16,66.7,62.5,45,31,24,12,5,3,3,4,14,11,,,,,17,15,32,2,10,7,35,24,,,0,0,0,0
401090285,2019,"January 28, 2019",Morgan State Bears,Florida A&M Rattlers,"8-13, 3-5 Conf","8-14, 5-2 Conf",66,72,,,Final,,31,35,,41,31,,NCAAB,23-61,27-48,37.7,56.3,3-11,5-8,27.3,62.5,17-25,13-23,68.0,56.5,39,34,12,14,8,9,2,12,17,19,,,,,19,18,3,14,19,8,20,26,,,0,0,0,0
401090287,2019,"February 9, 2019",South Carolina State Bulldogs,Morgan State Bears,"5-20, 3-6 Conf","8-15, 3-7 Conf",85,81,,,Final,,35,50,,39,42,,NCAAB,28-52,30-56,53.8,53.6,7-12,10-18,58.3,55.6,22-25,11-15,88.0,73.3,28,24,13,11,5,5,4,0,17,17,,,,,14,26,,,8,6,20,18,,,0,0,0,0
401090289,2019,"February 23, 2019",Morgan State Bears,Norfolk State Spartans,"8-17, 3-9 Conf","17-11, 12-1 Conf",74,75,,,Final,,41,33,,45,30,,NCAAB,22-57,27-50,38.6,54.0,6-18,7-18,33.3,38.9,24-35,14-26,68.6,53.8,31,40,15,14,7,3,0,6,10,16,,,,,22,24,3,7,12,12,19,28,,,0,0,0,0
401090291,2019,"March 2, 2019",Delaware State Hornets,Morgan State Bears,"5-22, 2-12 Conf","9-18, 4-10 Conf",58,76,,,Final,,34,24,,33,43,,NCAAB,21-53,28-67,39.6,41.8,6-17,5-22,35.3,22.7,10-16,15-23,62.5,65.2,40,37,6,10,4,10,2,2,24,10,,,,,20,19,5,18,13,17,27,20,,,0,1,0,0
401089991,2019,"March 7, 2019",Morgan State Bears,Coppin State Eagles,"9-20, 4-12 Conf","7-24, 7-9 Conf",69,83,,,Final,,26,43,,39,44,,NCAAB,22-64,28-59,34.4,47.5,7-21,12-26,33.3,46.2,18-26,15-21,69.2,71.4,32,50,9,14,8,3,1,6,9,18,,,,,19,21,,,12,15,20,35,,,1,1,0,0
