ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
223340152,2002,"November 30, 2002",NC State Wolfpack,Coppin State Eagles,"2-0, 2-0 Home","0-4, 0-4 Away",58,37,,,Final,,24,34,,18,19,,NCAAB
223420152,2002,"December 08, 2002",NC State Wolfpack,South Carolina Gamecocks,"4-0, 4-0 Home","4-2, 0-2 Away",76,64,,,Final,,31,45,,32,32,,NCAAB
223510152,2002,"December 17, 2002",NC State Wolfpack,Gonzaga Bulldogs,"5-1, 5-1 Home","6-3, 3-1 Away",60,69,,,Final,,27,33,,32,37,,NCAAB
223630152,2002,"December 29, 2002",NC State Wolfpack,Wofford Terriers,"7-1, 7-1 Home","4-5, 1-5 Away",86,71,,,Final,,38,48,,24,47,,NCAAB
230050152,2002,"January 05, 2003",NC State Wolfpack,Virginia Cavaliers,"8-2, 1-0 Conf","9-3, 0-1 Conf",75,63,,,Final,,29,46,,24,39,,NCAAB
230160152,2002,"January 16, 2003",NC State Wolfpack,Boston College Eagles,"8-4, 8-2 Home","7-6, 3-3 Away",81,93,,,Final,,40,41,,38,55,,NCAAB
230220152,2002,"January 22, 2003",NC State Wolfpack,Duke Blue Devils,"10-4, 3-1 Conf","12-2, 3-2 Conf",80,71,,,Final,,34,46,,39,32,,NCAAB
230300120,2002,"January 30, 2003",Maryland Terrapins,NC State Wolfpack,"13-4, 6-1 Conf","11-5, 4-2 Conf",75,60,,,Final,,27,48,,28,32,,NCAAB
230370154,2002,"February 06, 2003",Wake Forest Demon Deacons,NC State Wolfpack,"16-2, 6-2 Conf","12-6, 5-3 Conf",73,58,,,Final,,31,42,,35,23,,NCAAB
230430152,2002,"February 12, 2003",NC State Wolfpack,Georgia Tech Yellow Jackets,"13-7, 6-4 Conf","12-9, 5-5 Conf",63,57,,,Final,,35,28,,25,32,,NCAAB
230490152,2002,"February 18, 2003",NC State Wolfpack,Florida State Seminoles,"14-8, 7-4 Conf","12-11, 3-9 Conf",71,60,,,Final,,37,34,,30,30,,NCAAB
230560153,2002,"February 25, 2003",North Carolina Tar Heels,NC State Wolfpack,"14-13, 4-9 Conf","15-9, 8-5 Conf",67,75,,,Final/OT,,24,38,5.0,28,34,13.0,NCAAB
230640228,2002,"March 05, 2003",Clemson Tigers,NC State Wolfpack,"15-11, 5-10 Conf","16-10, 9-6 Conf",60,63,,,Final,,21,39,,32,31,,NCAAB
230730152,2002,"March 14, 2003",NC State Wolfpack,Georgia Tech Yellow Jackets,"17-11, 9-7 Conf","14-14, 7-9 Conf",71,65,,,Final,,34,37,,25,40,,NCAAB
223260152,2002,"November 22, 2002",NC State Wolfpack,Mt. St. Mary's Mountaineers,"1-0, 1-0 Home","0-1, 0-1 Away",84,60,,,Final,,45,39,,21,39,,NCAAB
223380152,2002,"December 04, 2002",NC State Wolfpack,Northwestern Wildcats,"3-0, 3-0 Home","3-2, 1-1 Away",74,49,,,Final,,35,39,,21,28,,NCAAB
223480152,2002,"December 14, 2002",NC State Wolfpack,North Carolina A&T Aggies,"5-0, 5-0 Home","0-4, 0-4 Away",101,63,,,Final,,58,43,,26,37,,NCAAB
223550152,2002,"December 21, 2002",NC State Wolfpack,Fairleigh Dickinson Knights,"6-1, 6-1 Home","4-3, 1-3 Away",104,65,,,Final,,55,49,,31,34,,NCAAB
230020113,2002,"January 02, 2003",Massachusetts Minutemen,NC State Wolfpack,"5-6, 4-1 Home","7-2, 0-1 Away",68,56,,,Final,,32,36,,27,29,,NCAAB
230110059,2002,"January 11, 2003",Georgia Tech Yellow Jackets,NC State Wolfpack,"7-5, 1-1 Conf","8-3, 1-1 Conf",85,61,,,Final,,32,53,,31,30,,NCAAB
230180052,2002,"January 18, 2003",Florida State Seminoles,NC State Wolfpack,"9-6, 0-4 Conf","9-4, 2-1 Conf",63,70,,,Final,,30,33,,32,38,,NCAAB
230260152,2002,"January 26, 2003",NC State Wolfpack,North Carolina Tar Heels,"11-4, 4-1 Conf","11-7, 2-3 Conf",86,77,,,Final,,34,52,,35,42,,NCAAB
230330152,2002,"February 02, 2003",NC State Wolfpack,Clemson Tigers,"12-5, 5-2 Conf","11-6, 1-6 Conf",78,56,,,Final,,32,46,,24,32,,NCAAB
230400258,2002,"February 09, 2003",Virginia Cavaliers,NC State Wolfpack,"14-7, 5-4 Conf","12-7, 5-4 Conf",61,58,,,Final,,29,32,,30,28,,NCAAB
230460218,2002,"February 15, 2003",Temple Owls,NC State Wolfpack,"8-13, 4-4 Home","13-8, 1-6 Away",76,54,,,Final,,26,50,,25,29,,NCAAB
230530150,2002,"February 22, 2003",Duke Blue Devils,NC State Wolfpack,"19-4, 9-4 Conf","14-9, 7-5 Conf",79,68,,,Final,,44,35,,27,41,,NCAAB
230610152,2002,"March 02, 2003",NC State Wolfpack,Maryland Terrapins,"15-10, 8-6 Conf","19-7, 11-4 Conf",65,68,,,Final,,39,26,,34,34,,NCAAB
230670152,2002,"March 08, 2003",NC State Wolfpack,Wake Forest Demon Deacons,"16-11, 9-7 Conf","23-4, 13-3 Conf",72,78,,,Final,,38,34,,27,51,,NCAAB
230740154,2002,"March 15, 2003",Wake Forest Demon Deacons,NC State Wolfpack,"24-5, 13-3 Conf","18-11, 9-7 Conf",83,87,,,Final,,37,46,,33,54,,NCAAB
234000033,2002,"March 20, 2003",California Golden Bears,NC State Wolfpack,"22-8, 14-4 Home","18-13, 4-8 Away",76,74,,,Final/OT,,39,27,10.0,36,30,8.0,NCAAB
230750150,2002,"March 16, 2003",Duke Blue Devils,NC State Wolfpack,"24-6, 11-5 Conf","18-12, 9-7 Conf",84,77,,,Final,,31,53,,36,41,,NCAAB
