,ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
0,300750058,2009,"Tue, Mar 16",South Florida Bulls,NC State Wolfpack,"20-13, 11-4 Home","20-15, 4-7 Away",57,58,,,Final,,26,31,,22,36,,NCAAB
1,293240152,2009,"Fri, Nov 20",Akron Zips,NC State Wolfpack,0-2,2-0,45,66,,,Final,,21,24,,43,23,,NCAAB
2,293260002,2009,"Sun, Nov 22",NC State Wolfpack,Auburn Tigers,4-0,2-3,60,58,,,Final,,26,34,,25,33,,NCAAB
3,293350152,2009,"Tue, Dec 1",NC State Wolfpack,Northwestern Wildcats,"5-1, 2-1 Home","6-1, 1-0 Away",53,65,,,Final,,24,29,,34,31,,NCAAB
4,293460152,2009,"Sat, Dec 12",NC State Wolfpack,Georgia Southern Eagles,"7-1, 3-1 Home","3-7, 0-6 Away",75,57,,,Final,,31,44,,20,37,,NCAAB
5,293540154,2009,"Sun, Dec 20",Wake Forest Demon Deacons,NC State Wolfpack,"8-2, 1-0 Conf","8-2, 0-1 Conf",67,59,,,Final,,35,32,,26,33,,NCAAB
6,293630152,2009,"Tue, Dec 29",NC State Wolfpack,Winthrop Eagles,"9-3, 5-1 Home","5-7, 1-5 Away",68,52,,,Final,,41,27,,29,23,,NCAAB
7,300030152,2009,"Sun, Jan 3",NC State Wolfpack,Florida Gators,"10-4, 5-2 Home","11-3, 2-0 Away",61,62,,,Final/OT,,29,19,13.0,27,21,14.0,NCAAB
8,300090152,2009,"Sat, Jan 9",NC State Wolfpack,Virginia Cavaliers,"11-5, 0-2 Conf","9-4, 1-0 Conf",62,70,,,Final,,30,32,,26,44,,NCAAB
9,300160152,2009,"Sat, Jan 16",NC State Wolfpack,Clemson Tigers,"12-6, 1-3 Conf","15-3, 3-1 Conf",70,73,,,Final,,28,42,,45,28,,NCAAB
10,300230120,2009,"Sat, Jan 23",Maryland Terrapins,NC State Wolfpack,"13-5, 3-1 Conf","13-7, 2-4 Conf",88,64,,,Final,,41,47,,33,31,,NCAAB
11,300300152,2009,"Sat, Jan 30",NC State Wolfpack,North Carolina Central Eagles,"14-8, 8-5 Home","4-19, 0-15 Away",77,42,,,Final,,27,50,,20,22,,NCAAB
12,300370059,2009,"Sat, Feb 6",Georgia Tech Yellow Jackets,NC State Wolfpack,"17-6, 5-4 Conf","14-10, 2-7 Conf",73,71,,,Final,,30,43,,32,39,,NCAAB
13,300440153,2009,"Sat, Feb 13",North Carolina Tar Heels,NC State Wolfpack,"14-11, 3-7 Conf","14-12, 2-9 Conf",74,61,,,Final,,33,41,,31,30,,NCAAB
14,300510152,2009,"Sat, Feb 20",NC State Wolfpack,Wake Forest Demon Deacons,"15-13, 3-10 Conf","18-7, 8-5 Conf",68,54,,,Final,,28,40,,18,36,,NCAAB
