ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400595367,2015,"November 18, 2014",Nebraska Cornhuskers,Central Arkansas Bears,"2-0, 2-0 Home","0-3, 0-2 Away",82,56,,,Final,,43,39,,34,22,,NCAAB,27-51,19-58,52.9,32.8,5-16,7-26,31.3,26.9,23-34,11-19,67.6,57.9,40,35,12,13,8,6,5,3,15,18,,,,,15,26,,,10,12,30,23,,,0,0,0,0
400586889,2015,"November 25, 2014",Nebraska Cornhuskers,Omaha Mavericks,"3-1, 3-0 Home","2-2, 1-2 Away",80,67,,,Final,ESPN3,42,38,,34,33,,NCAAB,28-53,23-56,52.8,41.1,6-19,6-18,31.6,33.3,18-31,15-22,58.1,68.2,42,28,14,7,11,13,3,1,20,19,,,,,21,19,,,11,7,31,21,,,1,1,0,0
400587810,2015,"December 1, 2014",Florida State Seminoles,Nebraska Cornhuskers,"3-4, 3-2 Home","5-1, 1-1 Away",65,70,,,Final,ESPN2,21,44,,37,33,,NCAAB,22-54,24-58,40.7,41.4,2-18,7-19,11.1,36.8,19-32,15-19,59.4,78.9,41,30,10,12,6,7,3,1,17,13,,,,,17,28,,,14,8,27,22,,,0,0,0,0
400595404,2015,"December 10, 2014",Nebraska Cornhuskers,Incarnate Word Cardinals,"5-3, 4-2 Home","6-1, 2-1 Away",73,74,,,Final,ESPN3,32,41,,33,41,,NCAAB,22-52,25-52,42.3,48.1,5-17,8-24,29.4,33.3,24-32,16-22,75.0,72.7,36,26,13,8,6,9,1,2,14,12,,,,,20,26,,,12,6,24,20,,,0,0,0,0
400595427,2015,"December 23, 2014",Hawai'i Rainbow Warriors,Nebraska Cornhuskers,"9-3, 6-1 Home","6-4, 1-2 Away",66,58,,,Final,ESPNU,34,32,,23,35,,NCAAB,24-64,20-46,37.5,43.5,4-18,5-16,22.2,31.3,14-19,13-23,73.7,56.5,38,39,9,7,9,6,0,4,11,18,,,,,23,22,,,16,11,22,28,,,1,1,0,0
400750237,2015,"December 25, 2014",Nebraska Cornhuskers,Ohio Bobcats,8-4,4-6,71,58,,,Final,ESPNU,32,39,,30,28,,NCAAB,23-51,20-53,45.1,37.7,4-15,7-22,26.7,31.8,21-27,11-15,77.8,73.3,39,28,9,7,10,7,4,0,12,15,,,,,16,19,,,7,4,32,24,,,1,0,0,0
400595447,2015,"January 5, 2015",Iowa Hawkeyes,Nebraska Cornhuskers,"11-4, 2-0 Conf","8-6, 0-2 Conf",70,59,,,Final,BTN,35,35,,28,31,,NCAAB,17-44,22-48,38.6,45.8,5-20,2-14,25.0,14.3,31-38,13-21,81.6,61.9,32,29,11,5,7,3,3,3,9,10,,,,,18,24,,,10,7,22,22,,,0,0,0,0
400595457,2015,"January 11, 2015",Nebraska Cornhuskers,Illinois Fighting Illini,"10-6, 2-2 Conf","11-6, 1-3 Conf",53,43,,,Final,BTN,28,25,,22,21,,NCAAB,21-49,15-55,42.9,27.3,6-17,6-29,35.3,20.7,5-5,7-8,100.0,87.5,38,30,10,7,5,7,4,4,13,9,,,,,10,13,,,5,7,33,23,,,0,0,0,0
400595473,2015,"January 20, 2015",Nebraska Cornhuskers,Minnesota Golden Gophers,"11-7, 3-3 Conf","12-8, 1-6 Conf",52,49,,,Final,BTN,24,28,,25,24,,NCAAB,17-42,16-52,40.5,30.8,4-19,8-20,21.1,40.0,14-21,9-19,66.7,47.4,37,36,12,9,6,9,1,2,15,16,,,,,21,22,,,3,9,34,27,,,2,0,0,0
400595486,2015,"January 27, 2015",Michigan Wolverines,Nebraska Cornhuskers,"13-8, 6-3 Conf","12-8, 4-4 Conf",58,44,,,Final,ESPN,23,35,,18,26,,NCAAB,22-46,15-49,47.8,30.6,6-14,4-19,42.9,21.1,8-8,10-14,100.0,71.4,34,26,12,6,3,3,2,2,13,10,,,,,14,12,,,6,8,28,18,,,0,0,0,0
400595498,2015,"February 3, 2015",Nebraska Cornhuskers,Northwestern Wildcats,"13-9, 5-5 Conf","10-12, 1-8 Conf",76,60,,,Final,BTN,35,41,,33,27,,NCAAB,27-43,21-46,62.8,45.7,10-21,11-27,47.6,40.7,12-15,7-10,80.0,70.0,26,19,17,15,5,3,1,1,12,13,,,,,13,19,,,5,6,21,13,,,0,0,0,0
400595511,2015,"February 10, 2015",Nebraska Cornhuskers,Wisconsin Badgers,"13-11, 5-7 Conf","22-2, 10-1 Conf",55,65,,,Final,ESPN,13,42,,27,38,,NCAAB,22-62,18-46,35.5,39.1,4-18,5-18,22.2,27.8,7-10,24-31,70.0,77.4,36,38,5,9,6,3,5,4,8,8,,,,,25,12,,,12,8,24,30,,,0,0,0,0
400595527,2015,"February 19, 2015",Maryland Terrapins,Nebraska Cornhuskers,"22-5, 10-4 Conf","13-13, 5-9 Conf",69,65,,,Final,BTN,34,35,,33,32,,NCAAB,20-43,26-59,46.5,44.1,7-19,10-26,36.8,38.5,22-25,3-7,88.0,42.9,26,33,9,15,4,4,4,0,10,12,,,,,12,21,,,1,10,25,23,,,0,1,0,0
400595539,2015,"February 26, 2015",Ohio State Buckeyes,Nebraska Cornhuskers,"20-8, 9-6 Conf","13-15, 5-11 Conf",81,57,,,Final,ESPN,42,39,,24,33,,NCAAB,28-52,22-51,53.8,43.1,11-19,6-19,57.9,31.6,14-22,7-14,63.6,50.0,33,27,16,10,8,5,6,2,11,12,,,,,13,18,,,11,9,22,18,,,0,0,0,0
400595558,2015,"March 8, 2015",Nebraska Cornhuskers,Maryland Terrapins,"13-17, 5-13 Conf","26-5, 14-4 Conf",61,64,,,Final,BTN,29,32,,31,33,,NCAAB,18-59,19-47,30.5,40.4,2-14,5-18,14.3,27.8,23-37,21-25,62.2,84.0,38,41,5,10,10,0,0,5,7,17,,,,,24,27,,,16,9,22,32,,,1,1,0,0
400588638,2015,"November 16, 2014",Nebraska Cornhuskers,Northern Kentucky Norse,"1-0, 1-0 Home","0-2, 0-2 Away",80,61,,,Final,,45,35,,30,31,,NCAAB,23-48,21-58,47.9,36.2,8-22,8-23,36.4,34.8,26-30,11-21,86.7,52.4,33,36,10,9,6,3,7,0,10,13,,,,,22,24,,,6,15,27,21,,,0,0,0,0
400591101,2015,"November 22, 2014",Rhode Island Rams,Nebraska Cornhuskers,"3-0, 3-0 Home","2-1, 0-1 Away",66,62,,,Final/OT,,19,34,13.0,23,30,9.0,NCAAB,21-61,21-57,34.4,36.8,3-19,3-20,15.8,15.0,21-33,17-22,63.6,77.3,49,36,9,10,7,6,5,6,16,16,,,,,23,23,,,16,7,33,29,,,0,0,0,0
400595389,2015,"November 28, 2014",Nebraska Cornhuskers,UT Martin Skyhawks,"4-1, 4-0 Home","3-2, 2-2 Away",75,64,,,Final,ESPN3,40,35,,27,37,,NCAAB,26-55,23-52,47.3,44.2,10-23,11-27,43.5,40.7,13-16,7-7,81.3,100.0,34,25,13,11,3,10,3,2,16,18,,,,,12,18,,,10,5,24,20,,,0,0,0,0
400588361,2015,"December 7, 2014",Nebraska Cornhuskers,Creighton Bluejays,"5-2, 4-1 Home","7-2, 1-1 Away",55,65,,,Final,BTN,28,27,,27,38,,NCAAB,23-61,24-51,37.7,47.1,6-23,10-23,26.1,43.5,3-8,7-9,37.5,77.8,33,36,14,15,4,1,3,3,11,12,,,,,17,13,,,14,9,19,27,,,0,0,0,0
400586725,2015,"December 13, 2014",Nebraska Cornhuskers,Cincinnati Bearcats,"6-3, 5-2 Home","6-2, 0-1 Away",56,55,,,Final/2OT,BTN,23,21,12.0,21,23,11.0,NCAAB,16-49,20-63,32.7,31.7,4-17,3-17,23.5,17.6,20-23,12-24,87.0,50.0,42,43,3,11,5,9,4,3,22,18,,,,,21,21,,,8,16,34,27,,,0,0,0,0
400750175,2015,"December 23, 2014",Nebraska Cornhuskers,Loyola Marymount Lions,7-4,3-8,50,42,,,Final/OT,ESPNU,21,14,15.0,16,19,7.0,NCAAB,14-38,14-50,36.8,28.0,6-17,5-19,35.3,26.3,16-19,9-11,84.2,81.8,22,40,8,5,7,3,2,0,13,20,,,,,13,20,,,2,16,20,24,,,0,0,0,0
400595438,2015,"December 31, 2014",Nebraska Cornhuskers,Indiana Hoosiers,"8-5, 0-1 Conf","11-3, 1-0 Conf",65,70,,,Final,BTN,32,33,,40,30,,NCAAB,23-59,27-60,39.0,45.0,7-18,7-24,38.9,29.2,12-17,9-17,70.6,52.9,31,44,11,13,7,2,5,2,8,11,,,,,17,17,,,6,12,25,32,,,0,0,0,0
400595453,2015,"January 8, 2015",Nebraska Cornhuskers,Rutgers Scarlet Knights,"9-6, 1-2 Conf","9-7, 1-2 Conf",65,49,,,Final,ESPNU,26,39,,23,26,,NCAAB,27-55,17-49,49.1,34.7,5-15,2-13,33.3,15.4,6-13,13-23,46.2,56.5,31,39,14,5,8,3,4,2,9,19,,,,,20,16,,,12,19,19,20,,,1,1,0,0
400595465,2015,"January 15, 2015",Wisconsin Badgers,Nebraska Cornhuskers,"16-2, 4-1 Conf","10-7, 2-3 Conf",70,55,,,Final,ESPN2,37,33,,27,28,,NCAAB,21-43,21-50,48.8,42.0,11-21,5-17,52.4,29.4,17-23,8-14,73.9,57.1,27,24,9,9,1,5,4,0,6,5,,,,,14,18,,,5,8,22,16,,,0,1,0,0
400595483,2015,"January 24, 2015",Nebraska Cornhuskers,Michigan State Spartans,"12-7, 4-3 Conf","13-7, 4-3 Conf",79,77,,,Final,ESPN,39,40,,25,52,,NCAAB,22-45,27-66,48.9,40.9,6-17,8-23,35.3,34.8,29-37,15-25,78.4,60.0,26,48,6,12,7,8,2,0,10,16,,,,,22,27,,,5,24,21,24,,,0,0,0,0
400595494,2015,"January 31, 2015",Minnesota Golden Gophers,Nebraska Cornhuskers,"14-9, 3-7 Conf","12-9, 4-5 Conf",60,42,,,Final,BTN,23,37,,16,26,,NCAAB,21-48,17-46,43.8,37.0,4-13,4-20,30.8,20.0,14-17,4-5,82.4,80.0,27,30,13,14,10,5,6,5,12,20,,,,,12,16,,,7,9,20,21,,,0,0,0,0
400595505,2015,"February 7, 2015",Penn State Nittany Lions,Nebraska Cornhuskers,"15-9, 3-8 Conf","13-10, 5-6 Conf",56,43,,,Final,ESPNU,22,34,,13,30,,NCAAB,19-44,15-51,43.2,29.4,9-21,2-20,42.9,10.0,9-14,11-15,64.3,73.3,39,26,11,7,5,12,2,1,16,10,,,,,14,16,,,6,5,33,21,,,0,0,0,0
400595521,2015,"February 15, 2015",Purdue Boilermakers,Nebraska Cornhuskers,"17-9, 9-4 Conf","13-12, 5-8 Conf",66,54,,,Final,BTN,26,40,,20,34,,NCAAB,20-52,22-55,38.5,40.0,8-21,3-16,38.1,18.8,18-30,7-9,60.0,77.8,44,29,15,11,6,6,3,3,11,11,,,,,11,22,,,18,8,26,21,,,0,0,0,0
400595533,2015,"February 22, 2015",Nebraska Cornhuskers,Iowa Hawkeyes,"13-14, 5-10 Conf","17-10, 8-6 Conf",46,74,,,Final,,16,30,,42,32,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400595551,2015,"March 4, 2015",Illinois Fighting Illini,Nebraska Cornhuskers,"19-11, 9-8 Conf","13-16, 5-12 Conf",69,57,,,Final,BTN,31,38,,25,32,,NCAAB,21-49,24-56,42.9,42.9,7-16,5-20,43.8,25.0,20-23,4-5,87.0,80.0,31,28,9,14,4,3,4,2,8,10,,,,,13,19,,,10,9,21,19,,,0,0,0,0
400767073,2015,"March 11, 2015",Nebraska Cornhuskers,Penn State Nittany Lions,"13-18, 5-13 Conf","17-15, 4-14 Conf",65,68,,,Final,ESPN2,29,36,,34,34,,NCAAB,19-63,23-55,30.2,41.8,5-14,9-22,35.7,40.9,22-31,13-22,71.0,59.1,51,34,11,8,6,8,2,16,14,13,,,,,19,24,,,24,8,27,26,,,1,0,0,0
