ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400591555,2015,"November 16, 2014",New Mexico Lobos,CSU Fullerton Titans,"2-0, 2-0 Home","0-2, 0-2 Away",67,59,,,Final,,31,36,,23,36,,NCAAB
400607993,2015,"November 21, 2014",George Mason Patriots,New Mexico Lobos,1-3,3-1,58,69,,,Final,ESPN3,20,38,,30,39,,NCAAB
400591576,2015,"November 30, 2014",New Mexico Lobos,USC Trojans,"3-3, 2-1 Home","4-3, 1-0 Away",54,66,,,Final,CBSSN,32,22,,34,32,,NCAAB
400591584,2015,"December 6, 2014",Valparaiso Crusaders,New Mexico Lobos,"8-2, 2-1 Home","5-3, 1-0 Away",46,63,,,Final,ESPN3,20,26,,30,33,,NCAAB
400591601,2015,"December 17, 2014",New Mexico Lobos,Central Arkansas Bears,"7-3, 5-1 Home","0-9, 0-7 Away",76,55,,,Final,,35,41,,30,25,,NCAAB
400590773,2015,"December 23, 2014",Grand Canyon Antelopes,New Mexico Lobos,"7-7, 6-4 Home","8-4, 2-1 Away",68,65,,,Final,,30,38,,30,35,,NCAAB
400591620,2015,"January 3, 2015",New Mexico Lobos,Colorado State Rams,"10-4, 2-0 Conf","14-1, 1-1 Conf",66,53,,,Final,CBSSN,35,31,,26,27,,NCAAB
400591631,2015,"January 10, 2015",Utah State Aggies,New Mexico Lobos,"9-7, 2-2 Conf","11-5, 3-1 Conf",60,66,,,Final,ESPN3,31,29,,34,32,,NCAAB
400591642,2015,"January 18, 2015",New Mexico Lobos,Boise State Broncos,"12-6, 4-2 Conf","12-6, 2-3 Conf",59,69,,,Final,CBSSN,31,28,,30,39,,NCAAB
400591651,2015,"January 24, 2015",Wyoming Cowboys,New Mexico Lobos,"17-3, 6-1 Conf","13-7, 5-3 Conf",63,62,,,Final/OT,ESPN3,21,33,9,20,34,8,NCAAB
400591664,2015,"February 4, 2015",Air Force Falcons,New Mexico Lobos,"10-12, 3-8 Conf","14-8, 6-4 Conf",53,49,,,Final,,28,25,,26,23,,NCAAB
400591674,2015,"February 10, 2015",Colorado State Rams,New Mexico Lobos,"21-4, 8-4 Conf","14-10, 6-6 Conf",70,59,,,Final,ESPNU,35,35,,19,40,,NCAAB
400591683,2015,"February 17, 2015",New Mexico Lobos,San Diego State Aztecs,"14-12, 6-8 Conf","21-6, 11-3 Conf",46,63,,,Final,CBSSN,18,28,,31,32,,NCAAB
400591693,2015,"February 24, 2015",Boise State Broncos,New Mexico Lobos,"21-7, 11-4 Conf","14-14, 6-10 Conf",76,65,,,Final,ESPNU,39,37,,29,36,,NCAAB
400591708,2015,"March 7, 2015",New Mexico Lobos,Wyoming Cowboys,"15-15, 7-11 Conf","22-9, 11-7 Conf",52,49,,,Final/OT,CBSSN,17,27,8,14,30,5,NCAAB
400585877,2015,"November 14, 2014",New Mexico Lobos,Idaho State Bengals,"1-0, 1-0 Home","0-1, 0-1 Away",79,55,,,Final,,42,37,,20,35,,NCAAB
400587776,2015,"November 20, 2014",Boston College Eagles,New Mexico Lobos,2-1,2-1,69,65,,,Final,ESPN2,36,33,,30,35,,NCAAB
400608196,2015,"November 23, 2014",New Mexico Lobos,Texas A&M Aggies,3-2,3-1,51,64,,,Final,ESPNU,31,20,,26,38,,NCAAB
400590750,2015,"December 3, 2014",New Mexico Lobos,New Mexico State Aggies,"4-3, 3-1 Home","3-5, 0-5 Away",62,47,,,Final,ESPN3,34,28,,28,19,,NCAAB
400591598,2015,"December 13, 2014",New Mexico Lobos,UL Monroe Warhawks,"6-3, 4-1 Home","4-4, 1-2 Away",54,46,,,Final,,26,28,,19,27,,NCAAB
400590767,2015,"December 20, 2014",New Mexico State Aggies,New Mexico Lobos,"4-8, 4-1 Home","8-3, 2-0 Away",67,69,,,Final,,20,47,,30,39,,NCAAB
400591614,2015,"December 31, 2014",New Mexico Lobos,Fresno State Bulldogs,"9-4, 1-0 Conf","5-9, 0-1 Conf",76,64,,,Final,ESPN3,36,40,,29,35,,NCAAB
400591623,2015,"January 6, 2015",San Diego State Aztecs,New Mexico Lobos,"12-4, 2-1 Conf","10-5, 2-1 Conf",56,42,,,Final,CBSSN,22,34,,18,24,,NCAAB
400591634,2015,"January 14, 2015",New Mexico Lobos,Air Force Falcons,"12-5, 4-1 Conf","8-8, 1-4 Conf",60,48,,,Final,,22,38,,20,28,,NCAAB
400591646,2015,"January 21, 2015",UNLV Rebels,New Mexico Lobos,"10-9, 1-5 Conf","13-6, 5-2 Conf",69,71,,,Final,CBSSN,35,34,,33,38,,NCAAB
400591660,2015,"January 31, 2015",New Mexico Lobos,San José St Spartans,"14-7, 6-3 Conf","2-19, 0-9 Conf",67,41,,,Final,,31,36,,15,26,,NCAAB
400591669,2015,"February 7, 2015",New Mexico Lobos,Utah State Aggies,"14-9, 6-5 Conf","13-10, 6-5 Conf",60,63,,,Final,,30,30,,33,30,,NCAAB
400591681,2015,"February 14, 2015",Nevada Wolf Pack,New Mexico Lobos,"8-16, 4-8 Conf","14-11, 6-7 Conf",66,63,,,Final/OT,ESPN2,19,40,7,31,28,4,NCAAB
400591689,2015,"February 21, 2015",New Mexico Lobos,UNLV Rebels,"14-13, 6-9 Conf","15-12, 6-8 Conf",68,76,,,Final,CBSSN,34,34,,39,37,,NCAAB
400591701,2015,"February 28, 2015",Fresno State Bulldogs,New Mexico Lobos,"14-15, 9-7 Conf","14-15, 6-11 Conf",59,55,,,Final,ESPNU,32,27,,25,30,,NCAAB
