ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
264000024,2005,"March 17, 2006",North Carolina Tar Heels,Murray State Racers,"23-7, 14-5 Home","24-7, 9-5 Away",69,65,,,Final,,30,39,,31,34,,NCAAB
253260153,2005,"November 22, 2005",North Carolina Tar Heels,Cleveland State Vikings,"2-0, 2-0 Home","0-2, 0-1 Away",112,55,,,Final,,49,63,,21,34,,NCAAB
253330153,2005,"November 29, 2005",North Carolina Tar Heels,Illinois Fighting Illini,"3-1, 3-1 Home","6-0, 1-0 Away",64,68,,,Final,,35,29,,35,33,,NCAAB
253410153,2005,"December 07, 2005",North Carolina Tar Heels,Saint Louis Billikens,"5-1, 4-1 Home","3-3, 0-3 Away",75,63,,,Final,,31,44,,34,29,,NCAAB
253550030,2005,"December 21, 2005",USC Trojans,North Carolina Tar Heels,"8-2, 7-1 Home","6-2, 1-1 Away",74,59,,,Final,,30,44,,35,24,,NCAAB
260030153,2005,"January 03, 2006",North Carolina Tar Heels,Davidson Wildcats,"8-2, 7-1 Home","7-5, 1-5 Away",82,58,,,Final,,34,48,,20,38,,NCAAB
260100259,2005,"January 10, 2006",Virginia Tech Hokies,North Carolina Tar Heels,"10-6, 0-3 Conf","10-2, 2-0 Conf",61,64,,,Final,,30,31,,34,30,,NCAAB
260190258,2005,"January 19, 2006",Virginia Cavaliers,North Carolina Tar Heels,"9-6, 3-2 Conf","10-4, 2-2 Conf",72,68,,,Final,,27,45,,29,39,,NCAAB
260250153,2005,"January 25, 2006",North Carolina Tar Heels,Boston College Eagles,"11-5, 3-3 Conf","15-4, 3-3 Conf",74,81,,,Final,,30,44,,42,39,,NCAAB
260330120,2005,"February 02, 2006",Maryland Terrapins,North Carolina Tar Heels,"14-6, 4-3 Conf","13-5, 4-3 Conf",62,77,,,Final,,40,22,,38,39,,NCAAB
260380153,2005,"February 07, 2006",North Carolina Tar Heels,Duke Blue Devils,"14-6, 5-4 Conf","22-1, 10-0 Conf",83,87,,,Final,,35,48,,40,47,,NCAAB
260460153,2005,"February 15, 2006",North Carolina Tar Heels,Georgia Tech Yellow Jackets,"16-6, 7-4 Conf","10-13, 3-9 Conf",82,75,,,Final,,42,40,,55,20,,NCAAB
260530152,2005,"February 22, 2006",NC State Wolfpack,North Carolina Tar Heels,"21-6, 10-4 Conf","18-6, 9-4 Conf",71,95,,,Final,,34,37,,46,49,,NCAAB
260600153,2005,"March 01, 2006",North Carolina Tar Heels,Virginia Cavaliers,"20-6, 11-4 Conf","14-12, 7-8 Conf",99,54,,,Final,,49,50,,24,30,,NCAAB
260690153,2005,"March 10, 2006",North Carolina Tar Heels,Virginia Cavaliers,"22-6, 12-4 Conf","15-14, 7-9 Conf",79,67,,,Final,,39,40,,34,33,,NCAAB
253230153,2005,"November 19, 2005",North Carolina Tar Heels,Gardner-Webb Bulldogs,"1-0, 1-0 Home","0-1, 0-1 Away",83,80,,,Final,,46,37,,46,34,,NCAAB
253290153,2005,"November 25, 2005",North Carolina Tar Heels,UC Santa Barbara Gauchos,"3-0, 3-0 Home","2-1, 0-1 Away",83,66,,,Final,,43,40,,34,32,,NCAAB
253370096,2005,"December 03, 2005",Kentucky Wildcats,North Carolina Tar Heels,"5-2, 4-2 Home","4-1, 1-0 Away",79,83,,,Final,,32,47,,44,39,,NCAAB
253510153,2005,"December 17, 2005",North Carolina Tar Heels,Santa Clara Broncos,"6-1, 5-1 Home","4-4, 1-4 Away",76,58,,,Final,,30,46,,26,32,,NCAAB
253620153,2005,"December 28, 2005",North Carolina Tar Heels,UNC Asheville Bulldogs,"7-2, 6-1 Home","2-7, 0-6 Away",89,47,,,Final,,53,36,,20,27,,NCAAB
260070153,2005,"January 07, 2006",North Carolina Tar Heels,NC State Wolfpack,"9-2, 1-0 Conf","12-2, 1-1 Conf",82,69,,,Final,,36,46,,39,30,,NCAAB
260140153,2005,"January 14, 2006",North Carolina Tar Heels,Miami Hurricanes,"10-3, 2-1 Conf","10-6, 2-1 Conf",70,81,,,Final,,31,39,,30,51,,NCAAB
260220052,2005,"January 22, 2006",Florida State Seminoles,North Carolina Tar Heels,"11-4, 2-3 Conf","11-4, 3-2 Conf",80,81,,,Final,,50,30,,42,39,,NCAAB
260280153,2005,"January 28, 2006",North Carolina Tar Heels,Arizona Wildcats,"12-5, 9-3 Home","13-7, 5-5 Away",86,69,,,Final,,39,47,,31,38,,NCAAB
260350153,2005,"February 04, 2006",North Carolina Tar Heels,Clemson Tigers,"14-5, 5-3 Conf","14-8, 3-6 Conf",76,61,,,Final,,37,39,,26,35,,NCAAB
260432390,2005,"February 12, 2006",Miami Hurricanes,North Carolina Tar Heels,"14-10, 6-5 Conf","15-6, 6-4 Conf",70,80,,,Final,,38,32,,39,41,,NCAAB
260500154,2005,"February 19, 2006",Wake Forest Demon Deacons,North Carolina Tar Heels,"13-13, 1-11 Conf","17-6, 8-4 Conf",72,83,,,Final,,44,28,,39,44,,NCAAB
260570153,2005,"February 26, 2006",North Carolina Tar Heels,Maryland Terrapins,"19-6, 10-4 Conf","16-11, 6-8 Conf",81,57,,,Final,,41,40,,24,33,,NCAAB
260630150,2005,"March 04, 2006",Duke Blue Devils,North Carolina Tar Heels,"27-3, 14-2 Conf","21-6, 12-4 Conf",76,83,,,Final,,38,38,,37,46,,NCAAB
264000025,2005,"March 19, 2006",North Carolina Tar Heels,George Mason Patriots,"23-8, 14-5 Home","25-7, 9-5 Away",60,65,,,Final,,27,33,,20,45,,NCAAB
260700153,2005,"March 11, 2006",North Carolina Tar Heels,Boston College Eagles,"22-7, 12-4 Conf","26-6, 11-5 Conf",82,85,,,Final,,42,40,,43,42,,NCAAB
