ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
293222449,2010,"November 18, 2009",North Dakota State Bison,Minot State Beavers,"1-1, 1-0 Home",,110,82,,,Final,,55,55,,42,40,,NCAAB
293290302,2010,"November 24, 2009",UC Davis Aggies,North Dakota State Bison,"2-3, 2-1 Home","2-2, 1-1 Away",62,63,,,Final,,33,29,,31,32,,NCAAB
293382710,2010,"December 3, 2009",Western Illinois Leathernecks,North Dakota State Bison,"3-4, 0-1 Conf","3-3, 1-0 Conf",55,60,,,Final,,22,33,,30,30,,NCAAB
293432449,2010,"December 9, 2009",North Dakota State Bison,Dickinson State Blue Hawks,"4-4, 2-2 Home",,90,83,,,Final,,39,51,,37,46,,NCAAB
293540278,2010,"December 19, 2009",Fresno State Bulldogs,North Dakota State Bison,"6-5, 4-3 Home","4-6, 2-3 Away",68,54,,,Final,,38,30,,26,28,,NCAAB
293652449,2010,"December 31, 2009",North Dakota State Bison,Centenary Gentlemen,"5-7, 2-1 Conf","5-8, 1-2 Conf",82,70,,,Final,,46,36,,42,28,,NCAAB
300070253,2010,"January 7, 2010",Southern Utah Thunderbirds,North Dakota State Bison,"5-10, 1-3 Conf","5-9, 2-3 Conf",85,79,,,Final/OT,,39,30,16,30,39,10,NCAAB
300152449,2010,"January 15, 2010",North Dakota State Bison,South Dakota State Jackrabbits,"6-10, 3-3 Conf","9-9, 5-2 Conf",79,67,,,Final,,34,45,,42,25,,NCAAB
300232449,2010,"January 23, 2010",North Dakota State Bison,Purdue Fort Wayne Mastodons,"6-12, 3-5 Conf","9-10, 4-5 Conf",59,68,,,Final,,32,27,,37,31,,NCAAB
300280198,2010,"January 28, 2010",Oral Roberts Golden Eagles,North Dakota State Bison,"12-10, 7-3 Conf","7-13, 4-6 Conf",71,57,,,Final,,29,42,,25,32,,NCAAB
300352449,2010,"February 4, 2010",North Dakota State Bison,UMKC Kangaroos,"8-14, 5-7 Conf","10-12, 4-7 Conf",56,58,,,Final,,29,27,,34,24,,NCAAB
300452571,2010,"February 13, 2010",South Dakota State Jackrabbits,North Dakota State Bison,"13-12, 9-5 Conf","10-14, 7-7 Conf",85,90,,,Final/2OT,,21,45,19,29,37,24,NCAAB
300522473,2010,"February 20, 2010",Oakland Golden Grizzlies,North Dakota State Bison,"22-8, 16-1 Conf","10-16, 7-9 Conf",88,81,,,Final,,35,53,,41,40,,NCAAB
300582449,2010,"February 27, 2010",North Dakota State Bison,Western Illinois Leathernecks,"11-17, 8-10 Conf","13-16, 6-12 Conf",63,59,,,Final/OT,,27,26,10,18,35,6,NCAAB
293173084,2010,"November 13, 2009",Utah Valley Wolverines,North Dakota State Bison,"1-0, 1-0 Home","0-1, 0-1 Away",80,72,,,Final,,32,48,,35,37,,NCAAB
293252449,2010,"November 21, 2009",North Dakota State Bison,Idaho Vandals,"1-2, 1-1 Home","2-1, 2-1 Away",69,81,,,Final,,36,33,,39,42,,NCAAB
293312449,2010,"November 27, 2009",North Dakota State Bison,Green Bay Phoenix,"2-3, 1-2 Home","5-2, 2-0 Away",62,71,,,Final,,24,38,,27,44,,NCAAB
293390085,2010,"December 5, 2009",IUPUI Jaguars,North Dakota State Bison,"7-2, 2-0 Conf","3-4, 1-1 Conf",86,74,,,Final,,43,43,,34,40,,NCAAB
293462449,2010,"December 12, 2009",North Dakota State Bison,Milwaukee Panthers,"4-5, 2-3 Home","7-4, 2-1 Away",73,84,,,Final,,41,32,,50,34,,NCAAB
293552724,2010,"December 21, 2009",Wichita State Shockers,North Dakota State Bison,"11-1, 8-0 Home","4-7, 2-4 Away",69,57,,,Final,,35,34,,20,37,,NCAAB
300022449,2010,"January 2, 2010",North Dakota State Bison,Oral Roberts Golden Eagles,"5-8, 2-2 Conf","8-7, 3-1 Conf",59,65,,,Final,,23,36,,31,34,,NCAAB
300090066,2010,"January 9, 2010",Iowa State Cyclones,North Dakota State Bison,"11-4, 9-1 Home","5-10, 2-6 Away",73,71,,,Final,,42,31,,35,36,,NCAAB
300212449,2010,"January 21, 2010",North Dakota State Bison,Oakland Golden Grizzlies,"6-11, 3-4 Conf","14-7, 8-0 Conf",79,85,,,Final,,30,49,,41,44,,NCAAB
300270140,2010,"January 26, 2010",UMKC Kangaroos,North Dakota State Bison,"9-11, 3-6 Conf","7-12, 4-5 Conf",69,73,,,Final,,36,33,,24,49,,NCAAB
300302113,2010,"January 30, 2010",Centenary Gentlemen,North Dakota State Bison,"7-15, 2-9 Conf","8-13, 5-6 Conf",62,73,,,Final,,28,34,,28,45,,NCAAB
300372449,2010,"February 6, 2010",North Dakota State Bison,Southern Utah Thunderbirds,"9-14, 6-7 Conf","6-17, 2-10 Conf",79,59,,,Final,,39,40,,28,31,,NCAAB
300492870,2010,"February 18, 2010",Purdue Fort Wayne Mastodons,North Dakota State Bison,"13-13, 8-8 Conf","10-15, 7-8 Conf",71,67,,,Final,,33,38,,29,38,,NCAAB
300562449,2010,"February 25, 2010",North Dakota State Bison,IUPUI Jaguars,"10-17, 7-10 Conf","21-9, 14-3 Conf",52,66,,,Final,,22,30,,30,36,,NCAAB
300660198,2010,"March 7, 2010",Oral Roberts Golden Eagles,North Dakota State Bison,"20-12, 13-5 Conf","11-18, 8-10 Conf",65,64,,,Final/OT,,38,18,9,29,27,8,NCAAB
