ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
401170342,2019,"November 07, 2019",North Florida Ospreys,Florida National Conquistadors,"1-1, 1-0 Home",,89,81,,,Final,ESPN+,38,51,,35,46,,NCAAB
401170358,2019,"November 14, 2019",North Florida Ospreys,Southern Miss Golden Eagles,"3-1, 3-0 Home","1-2, 0-2 Away",66,63,,,Final,ESPN+,35,31,,34,29,,NCAAB
401166084,2019,"November 21, 2019",Iowa Hawkeyes,North Florida Ospreys,"3-1, 3-1 Home","4-2, 0-2 Away",83,68,,,Final,BTN,39,44,,35,33,,NCAAB
401170516,2019,"November 28, 2019",North Florida Ospreys,Long Island University Sharks,5-3,1-6,95,92,UNF -4.0,154.0,Final,,40,55,,46,46,,NCAAB
401170394,2019,"December 02, 2019",North Florida Ospreys,High Point Panthers,"6-4, 5-0 Home","1-7, 0-5 Away",93,70,,,Final,ESPN+,48,45,,35,35,,NCAAB
401170412,2019,"December 14, 2019",Southern Miss Golden Eagles,North Florida Ospreys,"3-8, 3-2 Home","7-5, 1-4 Away",69,72,,,Final,,29,40,,32,40,,NCAAB
401168272,2019,"December 21, 2019",Syracuse Orange,North Florida Ospreys,"7-5, 6-2 Home","7-7, 1-6 Away",82,70,,,Final,ACCN,35,47,,33,37,,NCAAB
401170436,2019,"January 02, 2020",Kennesaw State Owls,North Florida Ospreys,"1-13, 0-1 Conf","8-8, 1-0 Conf",57,76,,,Final,ESPN+,23,34,,37,39,,NCAAB
401170443,2019,"January 09, 2020",North Florida Ospreys,Florida Gulf Coast Eagles,"10-8, 3-0 Conf","4-14, 1-2 Conf",89,74,,,Final,ESPN+,42,47,,31,43,,NCAAB
401170450,2019,"January 16, 2020",Jacksonville Dolphins,North Florida Ospreys,"8-11, 1-3 Conf","11-9, 4-1 Conf",68,75,,,Final,ESPN+,29,39,,31,44,,NCAAB
401170463,2019,"January 25, 2020",Lipscomb Bisons,North Florida Ospreys,"8-13, 3-5 Conf","12-10, 5-2 Conf",85,73,,,Final,ESPN+,45,40,,43,30,,NCAAB
401170469,2019,"February 01, 2020",North Florida Ospreys,Kennesaw State Owls,"14-10, 7-2 Conf","1-21, 0-9 Conf",86,45,,,Final,ESPN+,52,34,,17,28,,NCAAB
401170477,2019,"February 08, 2020",Florida Gulf Coast Eagles,North Florida Ospreys,"7-19, 4-7 Conf","16-10, 9-2 Conf",60,69,,,Final,ESPN+,24,36,,34,35,,NCAAB
401170487,2019,"February 15, 2020",North Florida Ospreys,North Alabama Lions,"18-10, 11-2 Conf","10-16, 5-8 Conf",80,67,,,Final,ESPN3,46,34,,34,33,,NCAAB
401170493,2019,"February 22, 2020",North Florida Ospreys,Lipscomb Bisons,"19-11, 12-3 Conf","13-15, 8-7 Conf",82,74,,,Final,ESPN+,50,32,,41,33,,NCAAB
401210934,2019,"March 03, 2020",North Florida Ospreys,Jacksonville Dolphins,"21-11, 13-3 Conf","14-18, 7-9 Conf",91,88,UNF -7.5,147.0,Final,ESPN+,47,44,,42,46,,NCAAB
401169796,2019,"November 05, 2019",Florida Gators,North Florida Ospreys,"1-0, 1-0 Home","0-1, 0-1 Away",74,59,,,Final,SECN,39,35,,22,37,,NCAAB
401170351,2019,"November 11, 2019",North Florida Ospreys,Georgia Southern Eagles,"2-1, 2-0 Home","1-2, 0-2 Away",80,77,,,Final,ESPN+,41,39,,33,44,,NCAAB
401170366,2019,"November 18, 2019",North Florida Ospreys,Trinity Baptist Eagles,"4-1, 4-0 Home",,115,39,,,Final,ESPN+,66,49,,26,13,,NCAAB
401168317,2019,"November 24, 2019",Creighton Bluejays,North Florida Ospreys,"4-1, 4-0 Home","4-3, 0-3 Away",76,67,,,Final,FS1,31,45,,36,31,,NCAAB
401186876,2019,"November 29, 2019",Tennessee State Tigers,North Florida Ospreys,5-3,5-4,81,73,UNF -3.0,149.0,Final,,38,43,,30,43,,NCAAB
401170403,2019,"December 07, 2019",Austin Peay Governors,North Florida Ospreys,"4-4, 4-0 Home","6-5, 0-4 Away",90,83,,,Final,ESPN+,39,51,,36,47,,NCAAB
401168258,2019,"December 17, 2019",Florida State Seminoles,North Florida Ospreys,"9-2, 6-0 Home","7-6, 1-5 Away",98,81,,,Final,ACCN,48,50,,39,42,,NCAAB
401170208,2019,"December 30, 2019",Dayton Flyers,North Florida Ospreys,"11-2, 8-0 Home","7-8, 1-7 Away",77,59,,,Final,ESPN+,42,35,,28,31,,NCAAB
401170440,2019,"January 04, 2020",North Alabama Lions,North Florida Ospreys,"6-9, 1-1 Conf","9-8, 2-0 Conf",65,81,,,Final,ESPN+,29,36,,37,44,,NCAAB
401170447,2019,"January 11, 2020",North Florida Ospreys,NJIT Highlanders,"10-9, 3-1 Conf","4-12, 1-2 Conf",66,78,,,Final,ESPN+,28,38,,37,41,,NCAAB
401170457,2019,"January 23, 2020",North Florida Ospreys,Liberty Flames,"12-9, 5-1 Conf","19-2, 5-1 Conf",71,70,,,Final,ESPN+,32,39,,31,39,,NCAAB
401170468,2019,"January 30, 2020",North Florida Ospreys,Stetson Hatters,"13-10, 6-2 Conf","11-12, 5-3 Conf",78,65,,,Final,ESPN+,38,40,,32,33,,NCAAB
401170474,2019,"February 06, 2020",NJIT Highlanders,North Florida Ospreys,"7-15, 4-5 Conf","15-10, 8-2 Conf",75,82,,,Final,ESPN+,38,37,,50,32,,NCAAB
401170482,2019,"February 13, 2020",North Florida Ospreys,Jacksonville Dolphins,"17-10, 10-2 Conf","12-15, 5-7 Conf",81,66,,,Final,ESPN+,33,48,,33,33,,NCAAB
401170492,2019,"February 20, 2020",Liberty Flames,North Florida Ospreys,"25-3, 11-2 Conf","18-11, 11-3 Conf",82,77,,,Final,ESPN+,40,42,,31,46,,NCAAB
401170500,2019,"February 27, 2020",Stetson Hatters,North Florida Ospreys,"15-15, 9-6 Conf","20-11, 13-3 Conf",72,85,,,Final,ESPN+,42,30,,44,41,,NCAAB
401210939,2019,"March 05, 2020",North Florida Ospreys,Lipscomb Bisons,"21-12, 13-3 Conf","16-15, 9-7 Conf",71,73,UNF -7.5,157.0,Final,ESPN+,33,38,,42,31,,NCAAB
