ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400595567,2015,"November 17, 2014",Northwestern State Demons,Lyon Scots,"1-1, 1-0 Home","0-0, 0-0 Away",75,64,,,Final,,46,29,,34,30,,NCAAB
400585695,2015,"November 23, 2014",Oklahoma Sooners,Northwestern State Demons,"2-1, 2-0 Home","2-2, 1-2 Away",90,68,,,Final,,50,40,,30,38,,NCAAB
400595586,2015,"November 29, 2014",Northwestern State Demons,Missouri Valley Vikings,"3-3, 2-0 Home",,87,76,,,Final,,51,36,,32,44,,NCAAB
400595221,2015,"December 9, 2014",UL Monroe Warhawks,Northwestern State Demons,"4-3, 3-0 Home","3-5, 1-4 Away",82,74,,,Final,,42,40,,30,44,,NCAAB
400595615,2015,"December 28, 2014",Arkansas Razorbacks,Northwestern State Demons,"10-2, 9-0 Home","4-6, 1-5 Away",100,92,,,Final,SECN,48,52,,39,53,,NCAAB
400595630,2015,"January 3, 2015",Houston Baptist Huskies,Northwestern State Demons,"5-6, 0-1 Conf","6-6, 1-0 Conf",78,99,,,Final,,37,41,,54,45,,NCAAB
400595636,2015,"January 10, 2015",Northwestern State Demons,Incarnate Word Cardinals,"7-7, 2-1 Conf","8-4, 0-2 Conf",103,101,,,Final,,49,54,,43,58,,NCAAB
400595648,2015,"January 17, 2015",Northwestern State Demons,Lamar Cardinals,"8-8, 3-2 Conf","9-8, 3-2 Conf",96,84,,,Final,,45,51,,39,45,,NCAAB
400595660,2015,"January 24, 2015",Northwestern State Demons,McNeese Cowboys,"9-9, 4-3 Conf","7-10, 1-5 Conf",93,67,,,Final,,49,44,,35,32,,NCAAB
400595677,2015,"January 31, 2015",SE Louisiana Lions,Northwestern State Demons,"5-15, 2-5 Conf","11-9, 6-3 Conf",73,88,,,Final,,33,40,,45,43,,NCAAB
400595690,2015,"February 9, 2015",Northwestern State Demons,Stephen F. Austin Lumberjacks,"12-10, 7-4 Conf","20-3, 10-0 Conf",82,93,,,Final,,41,41,,42,51,,NCAAB
400595703,2015,"February 16, 2015",Northwestern State Demons,Central Arkansas Bears,"14-10, 9-4 Conf","1-22, 1-11 Conf",86,70,,,Final,,49,37,,34,36,,NCAAB
400595714,2015,"February 23, 2015",Nicholls Colonels,Northwestern State Demons,"7-17, 4-10 Conf","16-10, 11-4 Conf",57,79,,,Final,,33,24,,33,46,,NCAAB
400595737,2015,"March 5, 2015",Stephen F. Austin Lumberjacks,Northwestern State Demons,"26-4, 16-1 Conf","17-11, 12-5 Conf",92,66,,,Final,ESPN3,52,40,,34,32,,NCAAB
400768414,2015,"March 12, 2015",Northwestern State Demons,McNeese Cowboys,"19-11, 13-5 Conf","15-16, 8-10 Conf",96,89,,,Final,,41,55,,34,55,,NCAAB
400595561,2015,"November 14, 2014",Texas A&M Aggies,Northwestern State Demons,"1-0, 1-0 Home","0-1, 0-1 Away",109,68,,,Final,SECN+,55,54,,22,46,,NCAAB
400595572,2015,"November 20, 2014",LSU Alexandria Generals,Northwestern State Demons,,"2-1, 1-1 Away",79,89,,,Final,,32,47,,42,47,,NCAAB
400585702,2015,"November 25, 2014",Texas Tech Red Raiders,Northwestern State Demons,"3-1, 3-0 Home","2-3, 1-3 Away",75,64,,,Final,,37,38,,28,36,,NCAAB
400591377,2015,"December 2, 2014",Northwestern State Demons,Louisiana Tech Bulldogs,"3-4, 2-1 Home","6-1, 2-1 Away",88,99,,,Final,,42,46,,49,50,,NCAAB
400595233,2015,"December 20, 2014",Northwestern State Demons,Louisiana Ragin' Cajuns,"4-5, 3-1 Home","6-5, 0-4 Away",89,85,,,Final,,50,39,,44,41,,NCAAB
400595625,2015,"December 31, 2014",Northwestern State Demons,Louisiana College Wildcats,"5-6, 4-1 Home",,94,68,,,Final,,51,43,,35,33,,NCAAB
400595631,2015,"January 5, 2015",Sam Houston State Bearkats,Northwestern State Demons,"10-4, 2-0 Conf","6-7, 1-1 Conf",75,64,,,Final,,32,43,,26,38,,NCAAB
400595645,2015,"January 13, 2015",Northwestern State Demons,Abilene Christian Wildcats,"7-8, 2-2 Conf","9-7, 3-0 Conf",81,95,,,Final,,37,44,,46,49,,NCAAB
400595659,2015,"January 20, 2015",Texas A&M-CC Islanders,Northwestern State Demons,"9-8, 4-1 Conf","8-9, 3-3 Conf",88,76,,,Final,,52,36,,38,38,,NCAAB
400595666,2015,"January 26, 2015",Northwestern State Demons,Nicholls Colonels,"10-9, 5-3 Conf","5-12, 2-5 Conf",80,51,,,Final,,41,39,,25,26,,NCAAB
400595682,2015,"February 3, 2015",Central Arkansas Bears,Northwestern State Demons,"0-19, 0-8 Conf","12-9, 7-3 Conf",108,110,,,Final,,47,61,,52,58,,NCAAB
400595697,2015,"February 14, 2015",McNeese Cowboys,Northwestern State Demons,"9-14, 3-9 Conf","13-10, 8-4 Conf",72,75,,,Final,,35,37,,33,42,,NCAAB
400595712,2015,"February 21, 2015",New Orleans Privateers,Northwestern State Demons,"7-15, 3-10 Conf","15-10, 10-4 Conf",84,87,,,Final,,48,36,,34,53,,NCAAB
400595727,2015,"March 2, 2015",Northwestern State Demons,SE Louisiana Lions,"17-10, 12-4 Conf","9-20, 6-10 Conf",92,79,,,Final,,44,48,,31,48,,NCAAB
400595738,2015,"March 7, 2015",Northwestern State Demons,New Orleans Privateers,"18-11, 13-5 Conf","10-17, 6-12 Conf",88,78,,,Final,,51,37,,35,43,,NCAAB
400785516,2015,"March 19, 2015",Northwestern State Demons,UT Martin Skyhawks,"19-13, 11-4 Home","19-12, 10-8 Away",79,104,,,Final,,44,35,,52,52,,NCAAB
400784973,2015,"March 13, 2015",Stephen F. Austin Lumberjacks,Northwestern State Demons,"28-4, 17-1 Conf","19-12, 13-5 Conf",91,79,,,Final,ESPN3,45,46,,41,38,,NCAAB
