ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401171798,2020,"November 8, 2019",Delaware Blue Hens,Oakland Golden Grizzlies,2-0,1-1,56,53,OAK -3.0,141.0,Final,,20,36,,28,25,,NCAAB,20-57,19-51,35.1,37.3,10-27,3-12,37.0,25.0,6-13,12-22,46.2,54.5,41,39,17,11,5,10,4,5,15,13,,,,,20,14,,,10,8,31,31,,,0,0,0,0
401173631,2020,"November 10, 2019",Oakland Golden Grizzlies,Southern Illinois Salukis,3-1,2-2,61,52,SIU -1.5,131.0,Final,,31,30,,19,33,,NCAAB,24-52,21-53,46.2,39.6,3-13,7-30,23.1,23.3,10-13,3-6,76.9,50.0,44,20,11,10,4,10,3,1,14,8,,,,,9,13,,,12,2,32,18,,,0,0,0,0
401170861,2020,"November 18, 2019",Oakland Golden Grizzlies,Hartford Hawks,"4-2, 2-0 Home","3-2, 2-1 Away",60,50,,,Final,ESPN+,34,26,,19,31,,NCAAB,20-48,19-58,41.7,32.8,3-16,8-24,18.8,33.3,17-27,4-8,63.0,50.0,45,29,10,13,9,12,2,1,15,13,,,,,13,25,18,0,11,6,34,23,,,0,0,0,0
401172602,2020,"November 30, 2019",Toledo Rockets,Oakland Golden Grizzlies,"5-2, 4-0 Home","4-4, 0-3 Away",65,63,TOL -11.0,128.0,Final,ESPN+,36,29,,33,30,,NCAAB,22-53,25-56,41.5,44.6,11-32,7-23,34.4,30.4,10-15,6-14,66.7,42.9,36,35,15,16,7,5,3,2,12,14,,,,,16,18,8,7,12,13,24,22,,,0,0,0,0
401172610,2020,"December 7, 2019",Bowling Green Falcons,Oakland Golden Grizzlies,"7-2, 4-0 Home","5-5, 1-4 Away",68,65,BGSU -6.0,134.0,Final,ESPN+,39,29,,30,35,,NCAAB,24-57,23-50,42.1,46.0,8-24,6-20,33.3,30.0,12-16,13-19,75.0,68.4,30,37,12,13,9,3,2,2,5,15,,,,,17,17,13,4,6,8,24,29,,,0,0,0,0
401168263,2020,"December 18, 2019",Syracuse Orange,Oakland Golden Grizzlies,"6-5, 5-2 Home","5-7, 1-5 Away",74,62,SYR -14.0,129.0,Final,ESPNU,43,31,,35,27,,NCAAB,24-58,19-44,41.4,43.2,11-35,4-18,31.4,22.2,15-18,20-24,83.3,83.3,29,34,20,15,11,4,3,1,7,16,,,,,16,16,12,2,9,7,20,27,,,0,0,0,0
401172492,2020,"December 28, 2019",Oakland Golden Grizzlies,Detroit Mercy Titans,"6-8, 1-0 Conf","2-11, 0-1 Conf",78,69,OAK -8.5,137.0,Final,ESPN+,46,32,,26,43,,NCAAB,29-57,18-66,50.9,27.3,9-25,12-46,36.0,26.1,11-20,21-24,55.0,87.5,38,44,22,11,4,6,4,3,14,14,,,,,18,21,20,0,8,19,30,25,,,0,0,0,0
401175137,2020,"January 5, 2020",Oakland Golden Grizzlies,Northern Kentucky Norse,"6-10, 1-2 Conf","10-6, 2-2 Conf",64,75,OAK -2.5,131.0,Final,ESPN+,29,35,,31,44,,NCAAB,26-61,26-52,42.6,50.0,7-23,8-21,30.4,38.1,5-10,15-22,50.0,68.2,35,35,16,19,8,5,3,1,11,10,,,,,18,15,3,11,14,11,21,24,,,0,0,0,0
401172470,2020,"January 11, 2020",Cleveland State Vikings,Oakland Golden Grizzlies,"7-11, 3-2 Conf","7-11, 2-3 Conf",55,68,OAK -2.5,131.0,Final,ESPN3,27,28,,30,38,,NCAAB,18-46,18-37,39.1,48.6,2-11,6-14,18.2,42.9,17-27,26-37,63.0,70.3,26,31,5,12,9,8,1,3,15,17,,,,,28,23,2,12,11,8,15,23,,,0,0,0,0
401175140,2020,"January 18, 2020",Milwaukee Panthers,Oakland Golden Grizzlies,"9-10, 4-3 Conf","7-13, 2-5 Conf",73,68,MILW -1.5,134.0,Final,ESPN+,35,38,,31,37,,NCAAB,27-65,25-50,41.5,50.0,7-29,8-23,24.1,34.8,12-16,10-19,75.0,52.6,41,29,15,12,8,2,4,2,10,15,,,,,23,20,7,10,18,7,23,22,,,0,0,0,0
