ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
284000054,2007,"March 21, 2008",Oklahoma Sooners,Saint Joseph's Hawks,23-11,21-13,72,64,,,Final,,34,38,,22,42,,NCAAB
273130201,2007,"November 09, 2007",Oklahoma Sooners,Denver Pioneers,2-0,1-1,80,50,,,Final,,41,39,,26,24,,NCAAB
273190235,2007,"November 15, 2007",Oklahoma Sooners,Memphis Tigers,3-1,3-0,53,63,,,Final,,25,28,,35,28,,NCAAB
273250201,2007,"November 21, 2007",Oklahoma Sooners,Morehead State Eagles,"5-1, 2-0 Home","1-3, 0-3 Away",74,42,,,Final,,32,42,,22,20,,NCAAB
273362628,2007,"December 02, 2007",TCU Horned Frogs,Oklahoma Sooners,"4-2, 4-1 Home","6-2, 1-1 Away",66,90,,,Final,,27,39,,45,45,,NCAAB
273420201,2007,"December 08, 2007",Oklahoma Sooners,Stephen F. Austin Lumberjacks,"7-3, 3-1 Home","7-1, 3-1 Away",62,66,,,Final,,20,42,,25,41,,NCAAB
273540201,2007,"December 20, 2007",Oklahoma Sooners,Gonzaga Bulldogs,9-3,9-3,72,68,,,Final,,24,48,,24,44,,NCAAB
280050201,2007,"January 05, 2008",Oklahoma Sooners,Rice Owls,"11-3, 5-1 Home","3-10, 1-5 Away",61,49,,,Final,,30,31,,27,22,,NCAAB
280120201,2007,"January 12, 2008",Oklahoma Sooners,Kansas State Wildcats,"12-4, 0-1 Conf","11-4, 1-0 Conf",82,84,,,Final,,40,42,,42,42,,NCAAB
280190201,2007,"January 19, 2008",Oklahoma Sooners,Texas Tech Red Raiders,"13-5, 1-2 Conf","10-7, 1-2 Conf",63,61,,,Final,,23,40,,26,35,,NCAAB
280280201,2007,"January 28, 2008",Oklahoma Sooners,Oklahoma State Cowboys,"15-5, 3-2 Conf","10-10, 1-5 Conf",64,61,,,Final,,27,37,,32,29,,NCAAB
280370201,2007,"February 06, 2008",Oklahoma Sooners,Texas Longhorns,"15-7, 3-4 Conf","18-4, 5-2 Conf",54,64,,,Final,,29,25,,25,39,,NCAAB
280440201,2007,"February 13, 2008",Oklahoma Sooners,Iowa State Cyclones,"16-8, 4-5 Conf","13-12, 3-7 Conf",76,64,,,Final,,38,38,,32,32,,NCAAB
280500201,2007,"February 19, 2008",Oklahoma Sooners,Baylor Bears,"18-8, 6-5 Conf","17-8, 5-6 Conf",92,91,,,Final/OT,,41,34,17.0,31,44,16.0,NCAAB
280580158,2007,"February 27, 2008",Nebraska Cornhuskers,Oklahoma Sooners,"17-9, 6-7 Conf","18-10, 6-7 Conf",63,45,,,Final,,29,34,,12,33,,NCAAB
280650197,2007,"March 05, 2008",Oklahoma State Cowboys,Oklahoma Sooners,"16-13, 7-8 Conf","20-10, 8-7 Conf",56,68,,,Final,,30,26,,32,36,,NCAAB
280740201,2007,"March 14, 2008",Oklahoma Sooners,Colorado Buffaloes,"22-10, 9-7 Conf","12-20, 3-13 Conf",54,49,,,Final,,26,28,,21,28,,NCAAB
273120201,2007,"November 08, 2007",Oklahoma Sooners,San Francisco Dons,1-0,0-1,71,55,,,Final,,40,31,,30,25,,NCAAB
273160201,2007,"November 12, 2007",Oklahoma Sooners,Alcorn State Braves,"3-0, 1-0 Home","0-2, 0-2 Away",99,59,,,Final,,50,49,,33,26,,NCAAB
273202241,2007,"November 16, 2007",Gardner-Webb Bulldogs,Oklahoma Sooners,3-2,4-1,55,69,,,Final,,22,33,,24,45,,NCAAB
273330030,2007,"November 29, 2007",USC Trojans,Oklahoma Sooners,"6-1, 1-1 Home","5-2, 0-1 Away",66,55,,,Final,,29,37,,18,37,,NCAAB
