ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
263150295,2007,"November 11, 2006",Old Dominion Monarchs,Arkansas State Red Wolves,"2-0, 2-0 Home","0-2, 0-2 Away",69,61,,,Final,,38,31,,25,36,,NCAAB
263210295,2007,"November 17, 2006",Old Dominion Monarchs,Florida Atlantic Owls,"3-1, 3-1 Home","0-3, 0-3 Away",70,55,,,Final,,31,39,,24,31,,NCAAB
263290295,2007,"November 25, 2006",Old Dominion Monarchs,Richmond Spiders,"5-1, 4-1 Home","3-1, 0-1 Away",69,52,,,Final,,28,41,,21,31,,NCAAB
263360295,2007,"December 2, 2006",Old Dominion Monarchs,James Madison Dukes,"6-2, 1-0 Conf","2-4, 0-1 Conf",70,57,,,Final,,32,38,,25,32,,NCAAB
263500295,2007,"December 16, 2006",Old Dominion Monarchs,South Carolina State Bulldogs,"7-3, 6-1 Home","2-7, 0-7 Away",74,57,,,Final,,33,41,,26,31,,NCAAB
263630295,2007,"December 29, 2006",Old Dominion Monarchs,Winthrop Eagles,"8-4, 7-2 Home","10-3, 5-3 Away",65,71,,,Final,,29,36,,33,38,,NCAAB
270060295,2007,"January 6, 2007",Old Dominion Monarchs,George Mason Patriots,"10-4, 3-0 Conf","6-7, 0-3 Conf",65,63,,,Final,,21,44,,31,32,,NCAAB
270100295,2007,"January 10, 2007",Old Dominion Monarchs,Delaware Blue Hens,"11-5, 4-1 Conf","2-14, 0-5 Conf",83,48,,,Final,,44,39,,28,20,,NCAAB
270170256,2007,"January 17, 2007",James Madison Dukes,Old Dominion Monarchs,"5-12, 2-5 Conf","12-6, 5-2 Conf",72,65,,,Final,,21,51,,26,39,,NCAAB
270240295,2007,"January 24, 2007",Old Dominion Monarchs,William & Mary Tribe,"13-7, 6-3 Conf","10-9, 3-6 Conf",59,44,,,Final,,14,45,,27,17,,NCAAB
270290295,2007,"January 29, 2007",Old Dominion Monarchs,Georgia State Panthers,"15-7, 8-3 Conf","7-14, 3-8 Conf",92,57,,,Final,,46,46,,29,28,,NCAAB
270342244,2007,"February 3, 2007",George Mason Patriots,Old Dominion Monarchs,"13-10, 7-6 Conf","17-7, 10-3 Conf",56,66,,,Final/OT,,28,21,7,24,22,20,NCAAB
270410295,2007,"February 10, 2007",Old Dominion Monarchs,VCU Rams,"19-7, 12-3 Conf","21-5, 13-2 Conf",79,63,,,Final,,34,45,,28,35,,NCAAB
270482649,2007,"February 17, 2007",Toledo Rockets,Old Dominion Monarchs,"14-11, 9-2 Home","21-7, 7-5 Away",70,73,,,Final,,42,28,,39,34,,NCAAB
270552729,2007,"February 24, 2007",William & Mary Tribe,Old Dominion Monarchs,"15-14, 8-10 Conf","23-7, 15-3 Conf",57,62,,,Final,,33,24,,30,32,,NCAAB
263140295,2007,"November 10, 2006",Old Dominion Monarchs,Monmouth Hawks,"1-0, 1-0 Home","0-1, 0-1 Away",54,40,,,Final,,29,25,,14,26,,NCAAB
263160295,2007,"November 12, 2006",Old Dominion Monarchs,Clemson Tigers,"2-1, 2-1 Home","3-0, 1-0 Away",70,74,,,Final,,33,37,,42,32,,NCAAB
263230046,2007,"November 19, 2006",Georgetown Hoyas,Old Dominion Monarchs,"2-1, 1-1 Home","4-1, 1-0 Away",62,75,,,Final,,31,31,,27,48,,NCAAB
263332368,2007,"November 29, 2006",Marist Red Foxes,Old Dominion Monarchs,"5-2, 3-0 Home","5-2, 1-1 Away",84,71,,,Final,,40,44,,33,38,,NCAAB
263400259,2007,"December 6, 2006",Virginia Tech Hokies,Old Dominion Monarchs,"5-3, 5-0 Home","6-3, 1-2 Away",72,55,,,Final,,39,33,,30,25,,NCAAB
263520295,2007,"December 18, 2006",Old Dominion Monarchs,UAB Blazers,"8-3, 7-1 Home","6-5, 3-5 Away",56,42,,,Final,,31,25,,17,25,,NCAAB
270030111,2007,"January 3, 2007",Northeastern Huskies,Old Dominion Monarchs,"3-10, 1-1 Conf","9-4, 2-0 Conf",67,73,,,Final,,29,38,,34,39,,NCAAB
270082275,2007,"January 8, 2007",Hofstra Pride,Old Dominion Monarchs,"11-4, 4-0 Conf","10-5, 3-1 Conf",70,58,,,Final,,33,37,,29,29,,NCAAB
270130295,2007,"January 13, 2007",Old Dominion Monarchs,Drexel Dragons,"12-5, 5-1 Conf","12-4, 4-2 Conf",84,57,,,Final,,40,44,,22,35,,NCAAB
270202670,2007,"January 20, 2007",VCU Rams,Old Dominion Monarchs,"16-3, 8-0 Conf","12-7, 5-3 Conf",80,75,,,Final,,30,50,,37,38,,NCAAB
270270350,2007,"January 27, 2007",UNC Wilmington Seahawks,Old Dominion Monarchs,"4-15, 1-9 Conf","14-7, 7-3 Conf",70,86,,,Final,,35,35,,31,55,,NCAAB
270322182,2007,"February 1, 2007",Drexel Dragons,Old Dominion Monarchs,"16-6, 8-4 Conf","16-7, 9-3 Conf",52,62,,,Final,,27,25,,31,31,,NCAAB
270382247,2007,"February 7, 2007",Georgia State Panthers,Old Dominion Monarchs,"8-16, 4-10 Conf","18-7, 11-3 Conf",55,68,,,Final,,26,29,,29,39,,NCAAB
270440295,2007,"February 13, 2007",Old Dominion Monarchs,Hofstra Pride,"20-7, 13-3 Conf","19-8, 12-4 Conf",96,82,,,Final,,45,51,,40,42,,NCAAB
