ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400830658,2016,"November 17, 2015",Pacific Tigers,CSU Fullerton Titans,"0-2, 0-1 Home","1-1, 1-1 Away",76,77,,,Final,,45,31,,39,38,,NCAAB
400846755,2016,"November 23, 2015",Pacific Tigers,Notre Dame de Namur Argonauts,"1-3, 1-2 Home",,79,44,,,Final,,33,46,,22,22,,NCAAB
400817480,2016,"November 29, 2015",Sacramento State Hornets,Pacific Tigers,"5-1, 3-1 Home","1-5, 0-2 Away",79,71,,,Final,,32,47,,32,39,,NCAAB
400817188,2016,"December 12, 2015",Fresno State Bulldogs,Pacific Tigers,"7-3, 6-0 Home","1-7, 0-3 Away",71,52,,,Final,,34,37,,22,30,,NCAAB
400830250,2016,"December 21, 2015",Pacific Tigers,Santa Clara Broncos,"2-8, 1-0 Conf","4-9, 0-1 Conf",73,72,,,Final/OT,,27,36,10,33,30,9,NCAAB
400846756,2016,"December 31, 2015",Pacific Tigers,San Diego Toreros,"3-9, 2-1 Conf","5-7, 0-1 Conf",77,75,,,Final,,34,43,,25,50,,NCAAB
400830189,2016,"January 7, 2016",Pepperdine Waves,Pacific Tigers,"9-6, 2-2 Conf","3-11, 2-3 Conf",81,76,,,Final,,41,40,,33,43,,NCAAB
400844030,2016,"January 14, 2016",Saint Mary's Gaels,Pacific Tigers,"15-2, 6-1 Conf","4-12, 3-4 Conf",78,62,,,Final,ESPNU,46,32,,27,35,,NCAAB
400840114,2016,"January 21, 2016",Pacific Tigers,Portland Pilots,"6-12, 4-4 Conf","9-12, 3-5 Conf",70,61,,,Final,,32,38,,28,33,,NCAAB
400846758,2016,"January 30, 2016",Pacific Tigers,Saint Mary's Gaels,"6-14, 4-6 Conf","18-2, 9-1 Conf",65,68,,,Final,,34,31,,37,31,,NCAAB
400830173,2016,"February 6, 2016",BYU Cougars,Pacific Tigers,"17-8, 8-4 Conf","7-15, 5-7 Conf",72,77,,,Final,,34,38,,32,45,,NCAAB
400830198,2016,"February 13, 2016",Pacific Tigers,Pepperdine Waves,"7-17, 5-9 Conf","16-10, 9-6 Conf",63,65,,,Final/OT,,27,29,7,25,31,9,NCAAB
400840117,2016,"February 20, 2016",Portland Pilots,Pacific Tigers,"12-17, 6-10 Conf","7-19, 5-11 Conf",80,67,,,Final,ESPN3,42,38,,33,34,,NCAAB
400813818,2016,"November 13, 2015",Arizona Wildcats,Pacific Tigers,"1-0, 1-0 Home","0-1, 0-1 Away",79,61,,,Final,PAC12,41,38,,24,37,,NCAAB
400845411,2016,"November 21, 2015",Pacific Tigers,Nevada Wolf Pack,"0-3, 0-2 Home","3-1, 1-1 Away",82,85,,,Final/2OT,,24,41,17,32,33,20,NCAAB
400844328,2016,"November 28, 2015",Pacific Tigers,Eastern Washington Eagles,1-4,3-2,63,70,,,Final,,24,39,,27,43,,NCAAB
400841783,2016,"December 4, 2015",Pacific Tigers,UC Irvine Anteaters,"1-6, 1-3 Home","6-2, 2-0 Away",67,70,,,Final,,37,30,,33,37,,NCAAB
400843520,2016,"December 15, 2015",Green Bay Phoenix,Pacific Tigers,"5-4, 3-1 Home","1-8, 0-4 Away",93,88,,,Final,ESPN3,41,52,,31,57,,NCAAB
400830211,2016,"December 23, 2015",San Francisco Dons,Pacific Tigers,"7-5, 1-1 Conf","2-9, 1-1 Conf",89,76,,,Final,,36,53,,45,31,,NCAAB
400830165,2016,"January 2, 2016",Pacific Tigers,BYU Cougars,"3-10, 2-2 Conf","10-5, 1-1 Conf",67,81,,,Final,,28,39,,34,47,,NCAAB
400830142,2016,"January 9, 2016",Loyola Marymount Lions,Pacific Tigers,"7-9, 0-5 Conf","4-11, 3-3 Conf",58,60,,,Final,,31,27,,30,30,,NCAAB
400846757,2016,"January 16, 2016",Pacific Tigers,Bethesda Flames,"5-12, 4-4 Home",,88,30,,,Final,,48,40,,14,16,,NCAAB
400840103,2016,,,,,,,,,,,,,,,,,,NCAAB
400846759,2016,"February 4, 2016",San Diego Toreros,Pacific Tigers,"8-14, 3-8 Conf","6-15, 4-7 Conf",54,43,,,Final,,26,28,,20,23,,NCAAB
400830151,2016,"February 11, 2016",Pacific Tigers,Loyola Marymount Lions,"7-16, 5-8 Conf","11-14, 4-10 Conf",72,77,,,Final,,36,36,,41,36,,NCAAB
400840105,2016,"February 18, 2016",Gonzaga Bulldogs,Pacific Tigers,"21-6, 13-2 Conf","7-18, 5-10 Conf",90,68,,,Final,ESPN3,44,46,,32,36,,NCAAB
400830220,2016,"February 25, 2016",Pacific Tigers,San Francisco Dons,"8-19, 6-11 Conf","15-13, 8-9 Conf",79,70,,,Final,,36,43,,29,41,,NCAAB
400830259,2016,"February 27, 2016",Santa Clara Broncos,Pacific Tigers,"11-19, 7-11 Conf","8-20, 6-12 Conf",69,65,,,Final,,25,44,,30,35,,NCAAB
