ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
253270213,2006,"November 23, 2005",Penn State Nittany Lions,Nicholls Colonels,"2-0, 2-0 Home","0-3, 0-3 Away",93,56,,,Final,,49,44,,27,29,,NCAAB
253330213,2006,"November 29, 2005",Penn State Nittany Lions,Clemson Tigers,"3-1, 3-1 Home","5-0, 2-0 Away",88,96,,,Final,,30,58,,49,47,,NCAAB
253410213,2006,"December 7, 2005",Penn State Nittany Lions,UMKC Kangaroos,"4-2, 4-1 Home","3-2, 0-2 Away",75,71,,,Final,,26,49,,28,43,,NCAAB
253520213,2006,"December 18, 2005",Penn State Nittany Lions,St. Francis (PA) Red Flash,"5-3, 5-1 Home","2-7, 0-4 Away",88,74,,,Final,,40,48,,31,43,,NCAAB
253620213,2006,"December 28, 2005",Penn State Nittany Lions,Purdue Fort Wayne Mastodons,"7-3, 7-1 Home","2-10, 1-6 Away",74,59,,,Final,,30,44,,26,33,,NCAAB
260050194,2006,"January 5, 2006",Ohio State Buckeyes,Penn State Nittany Lions,"11-0, 1-0 Conf","8-4, 0-1 Conf",104,69,,,Final,,58,46,,29,40,,NCAAB
260140213,2006,"January 14, 2006",Penn State Nittany Lions,Iowa Hawkeyes,"9-5, 1-2 Conf","13-4, 2-1 Conf",76,80,,,Final,,34,42,,40,40,,NCAAB
260210213,2006,"January 21, 2006",Penn State Nittany Lions,Ohio State Buckeyes,"10-6, 2-3 Conf","14-2, 4-2 Conf",64,75,,,Final,,27,37,,32,43,,NCAAB
260280127,2006,"January 28, 2006",Michigan State Spartans,Penn State Nittany Lions,"16-5, 4-3 Conf","10-8, 2-5 Conf",69,60,,,Final,,27,42,,32,28,,NCAAB
260350356,2006,"February 4, 2006",Illinois Fighting Illini,Penn State Nittany Lions,"20-3, 6-3 Conf","11-9, 3-6 Conf",65,66,,,Final,,39,26,,25,41,,NCAAB
260420213,2006,"February 11, 2006",Penn State Nittany Lions,Wisconsin Badgers,"11-11, 3-8 Conf","17-7, 7-4 Conf",62,82,,,Final,,36,26,,34,48,,NCAAB
260492509,2006,"February 18, 2006",Purdue Boilermakers,Penn State Nittany Lions,"9-15, 3-10 Conf","13-11, 5-8 Conf",61,69,,,Final,,29,32,,34,35,,NCAAB
260560213,2006,"February 25, 2006",Penn State Nittany Lions,Northwestern Wildcats,"14-12, 6-9 Conf","13-13, 5-9 Conf",68,55,,,Final,,35,33,,25,30,,NCAAB
260680213,2006,"March 9, 2006",Penn State Nittany Lions,Northwestern Wildcats,"15-13, 6-10 Conf","14-15, 6-10 Conf",60,42,,,Final,,31,29,,21,21,,NCAAB
253230213,2006,"November 19, 2005",Penn State Nittany Lions,Cornell Big Red,"1-0, 1-0 Home","1-2, 1-2 Away",66,54,,,Final,,27,39,,29,25,,NCAAB
253300213,2006,"November 26, 2005",Penn State Nittany Lions,Long Island University Sharks,"3-0, 3-0 Home","0-2, 0-1 Away",80,64,,,Final,,38,42,,32,32,,NCAAB
253370245,2006,"December 3, 2005",Texas A&M Aggies,Penn State Nittany Lions,"4-0, 3-0 Home","3-2, 0-1 Away",60,55,,,Final,,33,27,,18,37,,NCAAB
253440221,2006,"December 10, 2005",Pittsburgh Panthers,Penn State Nittany Lions,"7-0, 6-0 Home","4-3, 0-2 Away",91,54,,,Final,,49,42,,24,30,,NCAAB
253540213,2006,"December 20, 2005",Penn State Nittany Lions,New Hampshire Wildcats,"6-3, 6-1 Home","2-9, 1-8 Away",75,51,,,Final,,34,41,,21,30,,NCAAB
253650213,2006,"December 31, 2005",Penn State Nittany Lions,Mt. St. Mary's Mountaineers,"8-3, 8-1 Home","2-9, 0-6 Away",65,53,,,Final,,32,33,,17,36,,NCAAB
260110077,2006,"January 11, 2006",Northwestern Wildcats,Penn State Nittany Lions,"9-5, 2-1 Conf","9-4, 1-1 Conf",61,65,,,Final,,34,27,,30,35,,NCAAB
260180213,2006,"January 18, 2006",Penn State Nittany Lions,Purdue Boilermakers,"10-5, 2-2 Conf","7-9, 1-4 Conf",74,54,,,Final,,35,39,,27,27,,NCAAB
260250275,2006,"January 25, 2006",Wisconsin Badgers,Penn State Nittany Lions,"15-4, 5-1 Conf","10-7, 2-4 Conf",72,43,,,Final,,40,32,,18,25,,NCAAB
260320213,2006,"February 1, 2006",Penn State Nittany Lions,Michigan Wolverines,"10-9, 2-6 Conf","16-3, 6-2 Conf",65,71,,,Final,,31,34,,33,38,,NCAAB
260390213,2006,"February 8, 2006",Penn State Nittany Lions,Minnesota Golden Gophers,"11-10, 3-7 Conf","11-9, 2-7 Conf",66,77,,,Final,,27,39,,25,52,,NCAAB
260460213,2006,"February 15, 2006",Penn State Nittany Lions,Indiana Hoosiers,"12-11, 4-8 Conf","13-9, 5-6 Conf",71,68,,,Final,,31,40,,35,33,,NCAAB
260530084,2006,"February 22, 2006",Indiana Hoosiers,Penn State Nittany Lions,"14-10, 6-7 Conf","13-12, 5-9 Conf",69,65,,,Final,,34,35,,35,30,,NCAAB
260602294,2006,"March 1, 2006",Iowa Hawkeyes,Penn State Nittany Lions,"21-8, 10-5 Conf","14-13, 6-10 Conf",65,38,,,Final,,30,35,,17,21,,NCAAB
260730213,2006,"March 14, 2006",Penn State Nittany Lions,Rutgers Scarlet Knights,"15-15, 12-6 Home","19-13, 6-8 Away",71,76,,,Final,,28,43,,40,36,,NCAAB
260690194,2006,"March 10, 2006",Ohio State Buckeyes,Penn State Nittany Lions,"24-4, 12-4 Conf","15-14, 6-10 Conf",63,56,,,Final,,24,39,,27,29,,NCAAB
