ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
313190009,2012,"November 15, 2011",Arizona State Sun Devils,Pepperdine Waves,"1-1, 1-1 Home","2-0, 1-0 Away",60,66,,,Final,,29,31,,35,31,,NCAAB
313252492,2012,"November 21, 2011",Pepperdine Waves,Central Michigan Chippewas,"2-2, 1-1 Home","2-1, 1-0 Away",57,67,,,Final,,25,32,,33,34,,NCAAB
313320026,2012,"November 28, 2011",UCLA Bruins,Pepperdine Waves,"2-4, 1-2 Home","3-3, 2-2 Away",62,39,,,Final,FOXCS,28,34,,11,28,,NCAAB
313412464,2012,"December 7, 2011",Northern Arizona Lumberjacks,Pepperdine Waves,"2-7, 2-1 Home","5-3, 3-2 Away",40,49,,,Final,FOXCS,15,25,,25,24,,NCAAB
313522492,2012,"December 18, 2011",Pepperdine Waves,Montana State Bobcats,"6-4, 3-2 Home","5-5, 2-3 Away",59,36,,,Final,,23,36,,17,19,,NCAAB
313632492,2012,"December 29, 2011",Pepperdine Waves,San Francisco Dons,"7-5, 1-0 Conf","9-5, 0-1 Conf",77,61,,,Final,,39,38,,30,31,,NCAAB
320052250,2012,"January 5, 2012",Gonzaga Bulldogs,Pepperdine Waves,"12-2, 2-0 Conf","7-7, 1-2 Conf",73,45,,,Final,ROOT,38,35,,20,25,,NCAAB
320122492,2012,"January 12, 2012",Pepperdine Waves,Loyola Marymount Lions,"7-9, 1-4 Conf","10-7, 3-1 Conf",58,68,,,Final,ESPNU,26,32,,28,40,,NCAAB
320192608,2012,"January 19, 2012",Saint Mary's Gaels,Pepperdine Waves,"18-2, 7-0 Conf","7-11, 1-6 Conf",61,47,,,Final,,29,32,,21,26,,NCAAB
320260301,2012,"January 26, 2012",San Diego Toreros,Pepperdine Waves,"8-12, 3-5 Conf","7-13, 1-8 Conf",65,56,,,Final,,37,28,,21,35,,NCAAB
320332351,2012,"February 2, 2012",Loyola Marymount Lions,Pepperdine Waves,"14-9, 7-3 Conf","8-14, 2-9 Conf",67,57,,,Final,,34,33,,27,30,,NCAAB
320402492,2012,"February 9, 2012",Pepperdine Waves,San Diego Toreros,"8-16, 2-11 Conf","10-14, 5-7 Conf",57,70,,,Final,,26,31,,34,36,,NCAAB
320472547,2012,"February 16, 2012",Seattle Redhawks,Pepperdine Waves,"9-14, 7-6 Home","8-18, 3-10 Away",81,70,,,Final,,43,38,,35,35,,NCAAB
320542541,2012,"February 23, 2012",Santa Clara Broncos,Pepperdine Waves,"8-20, 0-15 Conf","10-18, 4-12 Conf",57,63,,,Final,,26,31,,25,38,,NCAAB
313162492,2012,"November 12, 2011",Pepperdine Waves,Pomona Pitzer Sagehens,"1-0, 1-0 Home",,59,50,,,Final,,26,33,,25,25,,NCAAB
313232934,2012,"November 19, 2011",CSU Bakersfield Roadrunners,Pepperdine Waves,"2-1, 1-0 Home","2-1, 1-1 Away",79,70,,,Final,,32,47,,29,41,,NCAAB
313302636,2012,"November 26, 2011",UTSA Roadrunners,Pepperdine Waves,"3-3, 0-1 Home","3-2, 2-1 Away",64,70,,,Final/OT,,32,30,2,26,36,8,NCAAB
313372492,2012,"December 3, 2011",Pepperdine Waves,Hawai'i Rainbow Warriors,"4-3, 2-1 Home","2-3, 0-1 Away",73,67,,,Final,,31,42,,31,36,,NCAAB
313442492,2012,"December 10, 2011",Pepperdine Waves,CSU Northridge Matadors,"5-4, 2-2 Home","2-6, 1-5 Away",70,73,,,Final,,30,40,,24,49,,NCAAB
313560265,2012,"December 22, 2011",Washington State Cougars,Pepperdine Waves,8-4,6-5,67,56,,,Final,,26,41,,15,41,,NCAAB
313652492,2012,"December 31, 2011",Pepperdine Waves,Saint Mary's Gaels,"7-6, 1-1 Conf","13-2, 2-0 Conf",45,74,,,Final,,18,27,,35,39,,NCAAB
320072501,2012,"January 7, 2012",Portland Pilots,Pepperdine Waves,"5-11, 2-1 Conf","7-8, 1-3 Conf",53,43,,,Final,,29,24,,19,24,,NCAAB
320142539,2012,"January 14, 2012",San Francisco Dons,Pepperdine Waves,"12-8, 2-4 Conf","7-10, 1-5 Conf",78,63,,,Final,,32,46,,26,37,,NCAAB
320212492,2012,"January 21, 2012",Pepperdine Waves,BYU Cougars,"7-12, 1-7 Conf","17-5, 6-2 Conf",64,77,,,Final,,29,35,,42,35,,NCAAB
320282492,2012,"January 28, 2012",Pepperdine Waves,Santa Clara Broncos,"8-13, 2-8 Conf","8-13, 0-8 Conf",74,62,,,Final,,32,42,,28,34,,NCAAB
320352492,2012,"February 4, 2012",Pepperdine Waves,Gonzaga Bulldogs,"8-15, 2-10 Conf","18-4, 8-2 Conf",60,72,,,Final,ROOT,21,39,,35,37,,NCAAB
320420252,2012,"February 11, 2012",BYU Cougars,Pepperdine Waves,"21-6, 9-3 Conf","8-17, 2-12 Conf",86,48,,,Final,,46,40,,25,23,,NCAAB
320492492,2012,"February 18, 2012",Pepperdine Waves,Portland Pilots,"9-18, 3-12 Conf","6-21, 3-11 Conf",70,65,,,Final,,26,44,,27,38,,NCAAB
320610301,2012,"March 1, 2012",San Diego Toreros,Pepperdine Waves,"13-17, 7-9 Conf","10-19, 4-12 Conf",76,54,,,Final,ESPN3,33,43,,22,32,,NCAAB
