ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
313192502,2012,"November 15, 2011",Portland St Vikings,Seattle Redhawks,"1-1, 1-0 Home","0-1, 0-1 Away",66,65,,,Final,,27,39,,32,33,,NCAAB,21-48,27-71,43.8,38.0,5-18,4-19,27.8,21.1,19-27,7-13,70.4,53.8,44,41,5,15,6,12,3,0,25,14,,,,,17,26,4,14,10,16,32,20,,,0,0,0,0
313292751,2012,"November 25, 2011",Wyoming Cowboys,Portland St Vikings,"4-1, 4-0 Home","2-2, 0-2 Away",65,51,,,Final,,35,30,,26,25,,NCAAB,27-53,18-39,50.9,46.2,6-17,3-13,35.3,23.1,5-10,12-17,50.0,70.6,29,30,14,7,5,3,0,3,8,18,,,,,16,16,20,1,6,4,20,22,,,0,0,0,0
313312502,2012,"November 27, 2011",Portland St Vikings,Maryland-Eastern Shore Hawks,4-2,1-7,79,69,,,Final,,34,45,,21,48,,NCAAB,23-51,26-63,45.1,41.3,6-21,6-26,28.6,23.1,27-40,11-15,67.5,73.3,45,34,11,9,6,2,2,2,11,9,,,,,18,24,15,2,12,9,30,24,,,0,1,0,0
313443084,2012,"December 10, 2011",Utah Valley Wolverines,Portland St Vikings,"6-5, 6-0 Home","5-3, 0-3 Away",93,87,,,Final,,39,54,,39,48,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313492502,2012,"December 15, 2011",Portland St Vikings,CSU Bakersfield Roadrunners,"6-4, 4-0 Home","5-4, 3-4 Away",91,87,,,Final,,44,47,,40,47,,NCAAB,33-49,33-65,67.3,50.8,4-10,6-14,40.0,42.9,21-33,15-18,63.6,83.3,33,24,20,14,5,10,2,1,17,9,,,,,15,24,12,4,8,9,24,13,,,0,0,0,0
313562239,2012,"December 22, 2011",CSU Fullerton Titans,Portland St Vikings,"8-3, 4-1 Home","6-6, 0-6 Away",92,86,,,Final,,36,56,,42,44,,NCAAB,33-67,34-64,49.3,53.1,11-25,7-17,44.0,41.2,15-18,11-13,83.3,84.6,36,34,16,13,3,1,1,2,10,12,,,,,15,17,18,12,11,7,24,24,,,0,0,0,0
313640147,2012,"December 30, 2011",Montana State Bobcats,Portland St Vikings,"6-7, 1-1 Conf","6-8, 0-2 Conf",86,73,,,Final,,41,45,,32,41,,NCAAB,31-58,25-54,53.4,46.3,9-21,5-14,42.9,35.7,15-20,18-26,75.0,69.2,34,41,18,9,2,7,1,1,12,13,,,,,17,20,16,0,13,16,19,18,,,0,1,0,0
320072502,2012,"January 7, 2012",Portland St Vikings,Weber State Wildcats,"7-9, 1-3 Conf","12-3, 4-0 Conf",81,88,,,Final,,51,30,,44,44,,NCAAB,27-53,29-54,50.9,53.7,6-16,10-26,37.5,38.5,21-28,20-25,75.0,80.0,31,30,8,13,4,4,1,3,8,6,,,,,20,20,15,7,10,8,20,20,,,0,0,0,0
320162502,2012,"January 16, 2012",Portland St Vikings,Idaho State Bengals,"9-9, 3-3 Conf","4-14, 2-4 Conf",80,68,,,Final,,32,48,,32,36,,NCAAB,23-49,26-57,46.9,45.6,5-14,5-16,35.7,31.3,29-36,11-14,80.6,78.6,35,36,7,14,10,9,5,2,14,16,,,,,18,27,14,10,12,13,19,18,,,0,0,0,0
320262502,2012,"January 26, 2012",Portland St Vikings,Montana State Bobcats,"10-10, 4-4 Conf","11-8, 6-2 Conf",65,70,,,Final,,39,26,,41,29,,NCAAB,25-57,27-58,43.9,46.6,8-23,7-16,34.8,43.8,7-7,9-14,100.0,64.3,35,32,14,17,5,6,3,4,17,9,,,,,14,11,15,7,8,8,26,23,,,0,0,0,0
320332692,2012,"February 2, 2012",Weber State Wildcats,Portland St Vikings,"17-4, 9-1 Conf","10-12, 4-6 Conf",92,79,,,Final,,39,53,,32,47,,NCAAB,31-57,27-55,54.4,49.1,15-28,10-20,53.6,50.0,15-18,15-22,83.3,68.2,29,36,18,15,3,1,1,2,6,12,,,,,17,18,16,3,6,12,21,21,,,0,0,0,0
320400304,2012,"February 9, 2012",Idaho State Bengals,Portland St Vikings,"8-16, 6-6 Conf","12-12, 6-6 Conf",54,67,,,Final,,20,34,,29,38,,NCAAB,20-54,23-50,37.0,46.0,5-16,1-14,31.3,7.1,9-15,20-25,60.0,80.0,33,39,7,5,4,3,2,3,12,14,,,,,15,18,0,13,12,11,18,26,,,2,0,0,0
320490070,2012,"February 18, 2012",Idaho Vandals,Portland St Vikings,"16-11, 11-4 Home","13-13, 4-10 Away",77,68,,,Final,,42,35,,25,43,,NCAAB,27-48,24-58,56.3,41.4,5-13,6-21,38.5,28.6,18-26,14-20,69.2,70.0,38,30,19,10,4,4,4,2,12,8,,,,,15,20,19,0,6,9,29,19,,,0,0,0,0
320562502,2012,"February 25, 2012",Portland St Vikings,Eastern Washington Eagles,"15-13, 9-6 Conf","13-16, 7-8 Conf",69,64,,,Final,,33,36,,28,36,,NCAAB,19-48,22-68,39.6,32.4,4-12,5-22,33.3,22.7,27-36,15-26,75.0,57.7,48,44,7,11,6,9,7,2,18,11,,,,,21,26,10,4,11,18,33,22,,,0,0,0,0
320632502,2012,"March 3, 2012",Portland St Vikings,Montana State Bobcats,"17-13, 10-6 Conf","12-17, 7-9 Conf",75,53,,,Final,,31,44,,23,30,,NCAAB,24-46,22-60,52.2,36.7,8-14,3-16,57.1,18.8,19-24,6-11,79.2,54.5,41,31,12,9,3,4,1,0,10,7,,,,,13,19,24,0,8,11,31,15,,,0,0,0,0
313152172,2012,"November 11, 2011",Denver Pioneers,Portland St Vikings,"1-0, 1-0 Home","0-1, 0-1 Away",69,61,,,Final,ROOT,34,35,,31,30,,NCAAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313252502,2012,"November 21, 2011",Portland St Vikings,Linfield College Wildcats,"2-1, 2-0 Home",,101,64,,,Final,,50,51,,28,36,,NCAAB,38-73,30-68,52.1,44.1,7-22,2-16,31.8,12.5,18-24,2-3,75.0,66.7,48,36,16,12,9,4,2,2,9,18,,,,,8,16,37,1,14,8,29,25,,,0,0,0,0
313302348,2012,"November 26, 2011",Louisiana Tech Bulldogs,Portland St Vikings,2-2,3-2,48,66,,,Final,,20,28,,23,43,,NCAAB,19-74,20-54,25.7,37.0,2-22,2-19,9.1,10.5,8-16,24-27,50.0,88.9,52,54,9,4,6,9,4,4,12,12,,,,,21,17,10,22,21,9,27,38,,,0,0,0,0
313372502,2012,"December 3, 2011",Portland St Vikings,Walla Walla University Wolves,"5-2, 3-0 Home",,102,47,,,Final,,50,52,,22,25,,NCAAB,43-76,19-58,56.6,32.8,7-23,7-27,30.4,25.9,9-13,2-2,69.2,100.0,55,24,23,16,10,4,2,1,7,18,,,,,5,12,56,4,16,3,36,19,,,0,0,0,0
313462483,2012,"December 12, 2011",Oregon Ducks,Portland St Vikings,"6-2, 5-0 Home","5-4, 0-4 Away",79,70,,,Final,,34,45,,27,43,,NCAAB,27-59,24-56,45.8,42.9,7-20,5-19,35.0,26.3,18-23,17-20,78.3,85.0,35,34,18,8,7,2,7,2,7,12,,,,,16,21,14,4,12,11,22,19,,,0,0,0,0
313520204,2012,"December 18, 2011",Oregon State Beavers,Portland St Vikings,"9-2, 7-1 Home","6-5, 0-5 Away",101,68,,,Final,ROOT,42,59,,34,34,,NCAAB,40-67,25-57,59.7,43.9,13-21,6-15,61.9,40.0,8-11,12-19,72.7,63.2,39,35,27,10,6,2,5,0,11,18,,,,,16,15,33,0,10,10,27,18,,,0,0,0,0
313620149,2012,"December 28, 2011",Montana Grizzlies,Portland St Vikings,"8-5, 1-0 Conf","6-7, 0-1 Conf",75,64,,,Final,,43,32,,24,40,,NCAAB,25-47,23-61,53.2,37.7,9-13,4-17,69.2,23.5,16-19,14-15,84.2,93.3,30,36,15,7,4,8,5,3,13,11,,,,,16,18,19,0,6,14,24,19,,,0,0,0,0
320052502,2012,"January 5, 2012",Portland St Vikings,Northern Arizona Lumberjacks,"7-8, 1-2 Conf","5-10, 1-2 Conf",82,62,,,Final,,36,46,,28,34,,NCAAB,31-50,24-58,62.0,41.4,7-14,3-15,50.0,20.0,13-17,11-16,76.5,68.8,28,37,18,11,9,6,2,2,20,23,,,,,19,15,28,1,4,14,23,19,,,0,0,0,0
320122458,2012,"January 12, 2012",Northern Colorado Bears,Portland St Vikings,"5-10, 2-2 Conf","8-9, 2-3 Conf",75,86,,,Final,,36,39,,49,37,,NCAAB,26-61,29-47,42.6,61.7,8-20,13-21,40.0,61.9,15-25,15-19,60.0,78.9,34,31,17,16,6,2,0,6,6,13,,,,,20,22,0,15,17,6,14,22,,,0,0,0,0
320210331,2012,"January 21, 2012",Eastern Washington Eagles,Portland St Vikings,"9-11, 3-4 Conf","10-9, 4-3 Conf",76,78,,,Final/OT,,27,37,12.0,27,37,14.0,NCAAB,28-70,23-50,40.0,46.0,6-25,3-13,24.0,23.1,14-24,29-43,58.3,67.4,42,40,9,9,5,6,2,4,9,11,,,,,29,20,6,7,18,9,22,29,,,0,0,0,0
320292502,2012,"January 29, 2012",Portland St Vikings,Montana Grizzlies,"10-11, 4-5 Conf","15-6, 8-1 Conf",67,69,,,Final,,32,35,,35,34,,NCAAB,22-52,25-50,42.3,50.0,6-12,3-13,50.0,23.1,17-24,16-21,70.8,76.2,41,25,11,12,6,8,2,3,15,10,,,,,16,21,2,14,11,2,28,21,,,0,0,0,0
320352464,2012,"February 4, 2012",Northern Arizona Lumberjacks,Portland St Vikings,"5-19, 1-11 Conf","11-12, 5-6 Conf",65,76,,,Final,FOXCS,26,39,,41,35,,NCAAB,27-61,30-55,44.3,54.5,2-9,4-10,22.2,40.0,9-10,12-18,90.0,66.7,38,30,14,13,7,5,3,3,15,12,,,,,12,9,3,17,15,10,20,19,,,0,0,0,0
320462502,2012,"February 15, 2012",Portland St Vikings,Sacramento State Hornets,"13-12, 7-6 Conf","9-16, 4-10 Conf",85,67,,,Final,,49,36,,22,45,,NCAAB,30-46,24-61,65.2,39.3,7-12,4-15,58.3,26.7,18-28,15-20,64.3,75.0,35,32,18,8,6,7,7,3,15,11,,,,,18,18,31,0,8,15,25,15,,,0,0,0,0
320540016,2012,"February 23, 2012",Sacramento State Hornets,Portland St Vikings,"9-18, 4-11 Conf","14-13, 8-6 Conf",88,94,,,Final,,37,51,,38,56,,NCAAB,33-65,30-56,50.8,53.6,8-18,8-21,44.4,38.1,14-15,26-35,93.3,74.3,32,38,20,16,4,6,2,2,10,8,,,,,22,17,2,9,11,11,19,21,,,0,0,0,0
320592502,2012,"February 28, 2012",Portland St Vikings,Northern Colorado Bears,"16-13, 10-6 Conf","9-19, 5-11 Conf",75,74,,,Final,,34,41,,32,42,,NCAAB,23-51,33-65,45.1,50.8,9-22,7-21,40.9,33.3,20-30,1-6,66.7,16.7,39,39,16,14,4,9,3,3,16,11,,,,,14,17,3,7,12,11,23,23,,,0,0,0,0
320662692,2012,"March 6, 2012",Weber State Wildcats,Portland St Vikings,"24-5, 14-2 Conf","17-14, 10-6 Conf",69,63,,,Final,,30,39,,35,28,,NCAAB,24-47,24-52,51.1,46.2,8-18,8-14,44.4,57.1,13-16,7-9,81.3,77.8,24,34,10,11,7,5,5,3,9,15,,,,,13,16,6,7,5,11,17,19,,,0,0,0,0
320702547,2012,"March 10, 2012",Seattle Redhawks,Portland St Vikings,"12-15, 10-6 Home","17-15, 5-11 Away",94,83,,,Final,FOXCS/ROOT,47,47,,43,40,,NCAAB,35-69,32-67,50.7,47.8,3-19,9-28,15.8,32.1,21-24,10-14,87.5,71.4,51,29,14,13,9,6,0,3,14,12,,,,,13,15,16,0,17,8,30,19,,,0,1,0,0
