ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
283240163,2009,"November 19, 2008",Princeton Tigers,Maine Black Bears,"0-2, 0-2 Home","3-0, 2-0 Away",55,58,,,Final/OT,,31,20,4,27,24,7,NCAAB
283312230,2009,"November 26, 2008",Fordham Rams,Princeton Tigers,"0-4, 0-3 Home","2-2, 2-0 Away",61,73,,,Final,,26,35,,33,40,,NCAAB
283410179,2009,"December 6, 2008",St. Bonaventure Bonnies,Princeton Tigers,"4-3, 2-1 Home","2-4, 2-1 Away",60,53,,,Final,,20,40,,26,27,,NCAAB
283492363,2009,"December 14, 2008",Manhattan Jaspers,Princeton Tigers,"5-3, 3-1 Home","2-6, 2-2 Away",70,60,,,Final,,33,37,,26,34,,NCAAB
283650322,2009,"December 30, 2008",Lafayette Leopards,Princeton Tigers,"4-8, 3-3 Home","2-8, 2-4 Away",54,53,,,Final,,23,31,,21,32,,NCAAB
290070163,2009,"January 7, 2009",Princeton Tigers,Lehigh Mountain Hawks,"4-8, 2-4 Home","10-4, 5-2 Away",73,64,,,Final,,32,41,,28,36,,NCAAB
290300159,2009,"January 30, 2009",Dartmouth Big Green,Princeton Tigers,"3-14, 1-2 Conf","6-8, 1-0 Conf",54,59,,,Final,,25,29,,27,32,,NCAAB
290370163,2009,"February 6, 2009",Princeton Tigers,Cornell Big Red,"8-8, 3-0 Conf","14-7, 4-1 Conf",61,41,,,Final,,29,32,,20,21,,NCAAB
290440043,2009,"February 13, 2009",Yale Bulldogs,Princeton Tigers,"9-12, 4-3 Conf","9-9, 4-1 Conf",60,48,,,Final,,31,29,,20,28,,NCAAB
290480163,2009,"February 17, 2009",Princeton Tigers,Pennsylvania Quakers,"9-11, 4-3 Conf","8-13, 4-3 Conf",55,62,,,Final/OT,,31,20,4,29,22,11,NCAAB
290520163,2009,"February 21, 2009",Princeton Tigers,Dartmouth Big Green,"10-12, 5-4 Conf","8-16, 6-4 Conf",63,66,,,Final,,34,29,,30,36,,NCAAB
290590163,2009,"February 28, 2009",Princeton Tigers,Yale Bulldogs,"12-12, 7-4 Conf","12-14, 7-5 Conf",62,54,,,Final,,27,35,,20,34,,NCAAB
290660172,2009,"March 7, 2009",Cornell Big Red,Princeton Tigers,"21-9, 11-3 Conf","12-14, 7-6 Conf",60,51,,,Final,,26,34,,17,34,,NCAAB
283190163,2009,"November 14, 2008",Princeton Tigers,Central Michigan Chippewas,"0-1, 0-1 Home","1-0, 1-0 Away",53,55,,,Final,,23,30,,22,33,,NCAAB
283280349,2009,"November 23, 2008",Army Black Knights,Princeton Tigers,"1-3, 1-1 Home","1-2, 1-0 Away",43,55,,,Final,,26,17,,25,30,,NCAAB
283370163,2009,"December 2, 2008",Princeton Tigers,South Carolina Gamecocks,"2-3, 0-3 Home","5-1, 1-1 Away",58,84,,,Final,,24,34,,38,46,,NCAAB
283450163,2009,"December 10, 2008",Princeton Tigers,Rutgers Scarlet Knights,"2-5, 0-4 Home","6-3, 3-0 Away",44,49,,,Final,,23,21,,25,24,,NCAAB
283552115,2009,"December 20, 2008",Central Connecticut Blue Devils,Princeton Tigers,"5-5, 4-1 Home","2-7, 2-3 Away",67,56,,,Final,,23,44,,21,35,,NCAAB
290030163,2009,"January 3, 2009",Princeton Tigers,UNC Greensboro Spartans,"3-8, 1-4 Home","1-10, 0-7 Away",65,55,,,Final,,32,33,,25,30,,NCAAB
290250163,2009,"January 25, 2009",Princeton Tigers,Concordia College (NY) Clippers,"5-8, 3-4 Home",,64,44,,,Final,,32,32,,19,25,,NCAAB
290310108,2009,"January 31, 2009",Harvard Crimson,Princeton Tigers,"9-9, 1-3 Conf","7-8, 2-0 Conf",71,77,,,Final,,32,39,,32,45,,NCAAB
290380163,2009,"February 7, 2009",Princeton Tigers,Columbia Lions,"9-8, 4-0 Conf","8-12, 3-3 Conf",63,35,,,Final,,27,36,,11,24,,NCAAB
290450225,2009,"February 14, 2009",Brown Bears,Princeton Tigers,"7-15, 1-7 Conf","9-10, 4-2 Conf",61,43,,,Final,,21,40,,21,22,,NCAAB
290510163,2009,"February 20, 2009",Princeton Tigers,Harvard Crimson,"10-11, 5-3 Conf","10-13, 2-7 Conf",58,55,,,Final,,24,34,,28,27,,NCAAB
290580163,2009,"February 27, 2009",Princeton Tigers,Brown Bears,"11-12, 6-4 Conf","7-18, 1-10 Conf",56,48,,,Final,,27,29,,29,19,,NCAAB
290650171,2009,"March 6, 2009",Columbia Lions,Princeton Tigers,"12-15, 7-6 Conf","12-13, 7-5 Conf",58,44,,,Final,,20,38,,24,20,,NCAAB
290690219,2009,"March 10, 2009",Pennsylvania Quakers,Princeton Tigers,"10-18, 6-8 Conf","13-14, 8-6 Conf",56,59,,,Final,,25,31,,27,32,,NCAAB
