ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
400915148,2017,"November 17, 2016",Ohio State Buckeyes,Providence Friars,"3-0, 2-0 Home","1-1, 0-1 Away",72,67,,,Final,BTN,38,34,,28,39,,NCAAB,27-54,23-65,50.0,35.4,4-12,10-26,33.3,38.5,14-20,11-17,70.0,64.7,43,33,14,18,2,3,7,3,11,3,,,,,17,20,12,2,6,9,37,24,,,0,0,0,0
400919142,2017,"November 21, 2016",Providence Friars,St. Francis (BKN) Terriers,"3-1, 3-0 Home","0-3, 0-3 Away",64,48,,,Final,FS1,38,26,,16,32,,NCAAB,24-49,18-60,49.0,30.0,3-8,4-24,37.5,16.7,13-17,8-17,76.5,47.1,43,31,13,9,5,9,4,2,16,9,,,,,14,18,24,0,8,10,35,21,,,0,0,0,0
400927017,2017,"November 26, 2016",Providence Friars,Virginia Cavaliers,4-2,6-0,52,63,,,Final,,20,32,,34,29,,NCAAB,15-40,25-42,37.5,59.5,8-16,5-10,50.0,50.0,14-17,8-16,82.4,50.0,24,25,12,15,3,8,2,6,10,7,,,,,19,18,1,15,6,3,18,22,,,0,0,0,0
400918433,2017,"December 3, 2016",Providence Friars,Rhode Island Rams,"6-2, 5-0 Home","5-3, 0-2 Away",63,60,,,Final,,29,34,,35,25,,NCAAB,21-46,22-59,45.7,37.3,8-18,5-18,44.4,27.8,13-22,11-15,59.1,73.3,33,38,11,6,5,6,4,3,12,9,,,,,16,20,4,7,7,13,26,25,,,0,0,0,0
400918418,2017,"December 10, 2016",Providence Friars,Massachusetts Minutemen,"8-2, 7-0 Home","6-3, 1-2 Away",75,69,,,Final,FS1,29,46,,28,41,,NCAAB,25-57,25-60,43.9,41.7,6-16,10-33,37.5,30.3,19-32,9-18,59.4,50.0,40,38,15,12,5,5,1,2,13,19,,,,,14,25,16,9,9,8,31,30,,,0,0,0,0
400918687,2017,"December 20, 2016",Providence Friars,Maine Black Bears,"10-2, 9-0 Home","4-8, 2-4 Away",79,59,,,Final,FS1,41,38,,25,34,,NCAAB,26-62,23-59,41.9,39.0,8-29,7-23,27.6,30.4,19-23,6-13,82.6,46.2,43,37,12,11,10,7,1,2,12,18,,,,,17,20,27,0,12,10,31,27,,,0,0,0,0
400919657,2017,"December 28, 2016",Xavier Musketeers,Providence Friars,"11-2, 1-0 Conf","10-4, 0-1 Conf",82,56,,,Final,,37,45,,25,31,,NCAAB,32-53,19-49,60.4,38.8,8-20,5-14,40.0,35.7,10-15,13-17,66.7,76.5,38,20,22,13,9,8,2,1,14,12,,,,,18,15,30,0,8,3,30,17,,,0,0,0,0
400919667,2017,"January 4, 2017",Providence Friars,Georgetown Hoyas,"11-5, 1-2 Conf","8-7, 0-3 Conf",76,70,,,Final,CBSSN,30,46,,23,47,,NCAAB,24-54,27-65,44.4,41.5,6-15,8-26,40.0,30.8,22-30,8-16,73.3,50.0,40,36,11,14,2,3,6,3,12,8,,,,,18,21,8,4,12,14,28,22,,,0,0,0,0
400919676,2017,"January 10, 2017",DePaul Blue Demons,Providence Friars,"8-9, 1-3 Conf","11-7, 1-4 Conf",64,63,,,Final,FS1,26,38,,35,28,,NCAAB,22-48,20-47,45.8,42.6,2-12,5-17,16.7,29.4,18-21,18-22,85.7,81.8,29,30,12,12,14,10,4,1,17,20,,,,,19,21,1,12,8,9,21,21,,,0,0,0,0
400919688,2017,"January 16, 2017",Georgetown Hoyas,Providence Friars,"10-9, 1-5 Conf","13-7, 3-4 Conf",56,74,,,Final,FS1,27,29,,42,32,,NCAAB,18-55,26-55,32.7,47.3,5-23,9-21,21.7,42.9,15-21,13-20,71.4,65.0,39,34,13,19,4,8,2,1,15,9,,,,,15,18,0,24,11,5,28,29,,,0,0,0,0
400919695,2017,"January 25, 2017",Providence Friars,St. John's Red Storm,"13-9, 3-6 Conf","10-12, 4-5 Conf",86,91,,,Final,FS1,37,49,,46,45,,NCAAB,31-50,32-61,62.0,52.5,6-15,10-21,40.0,47.6,18-27,17-19,66.7,89.5,26,29,15,10,7,10,4,3,19,17,,,,,19,24,6,9,5,10,21,19,,,0,0,0,0
400919704,2017,"February 1, 2017",Providence Friars,Villanova Wildcats,"14-10, 4-7 Conf","21-2, 8-2 Conf",57,66,,,Final,FS1,29,28,,32,34,,NCAAB,21-53,26-56,39.6,46.4,4-17,7-21,23.5,33.3,11-16,7-9,68.8,77.8,31,35,9,14,10,11,1,3,14,15,,,,,16,17,0,13,11,11,20,24,,,0,0,0,0
400919719,2017,"February 11, 2017",Providence Friars,Butler Bulldogs,"15-11, 5-8 Conf","19-6, 8-5 Conf",71,65,,,Final,CBSSN,23,48,,25,40,,NCAAB,23-52,23-56,44.2,41.1,9-19,5-18,47.4,27.8,16-25,14-17,64.0,82.4,32,37,14,10,4,5,2,1,9,11,,,,,17,22,8,6,9,12,23,25,,,0,1,0,0
400919732,2017,"February 22, 2017",Creighton Bluejays,Providence Friars,"22-6, 9-6 Conf","17-11, 7-8 Conf",66,68,,,Final,,36,30,,29,39,,NCAAB,25-57,21-48,43.9,43.8,6-16,12-24,37.5,50.0,10-16,14-19,62.5,73.7,34,36,13,19,4,5,0,0,9,12,,,,,15,18,13,8,8,6,26,30,,,0,0,0,0
400919740,2017,"February 28, 2017",Providence Friars,DePaul Blue Demons,"19-11, 9-8 Conf","9-21, 2-15 Conf",73,64,,,Final,FS1,34,39,,23,41,,NCAAB,22-55,24-49,40.0,49.0,5-17,4-13,29.4,30.8,24-28,12-22,85.7,54.5,38,28,12,9,10,7,3,3,18,21,,,,,21,25,18,1,13,7,25,21,,,0,0,0,0
400918757,2017,"November 14, 2016",Providence Friars,Vermont Catamounts,"1-0, 1-0 Home","1-1, 1-1 Away",80,58,,,Final,FS2,34,46,,28,30,,NCAAB,27-55,24-57,49.1,42.1,9-23,5-20,39.1,25.0,17-20,5-8,85.0,62.5,33,30,16,8,9,4,5,1,12,17,,,,,12,18,22,0,7,9,26,21,,,0,0,0,0
400919644,2017,"November 19, 2016",Providence Friars,Grambling Tigers,"2-1, 2-0 Home","1-2, 0-2 Away",71,54,,,Final,FS2,39,32,,26,28,,NCAAB,25-54,21-46,46.3,45.7,9-23,1-2,39.1,50.0,12-15,11-20,80.0,55.0,30,32,17,4,7,9,6,7,16,21,,,,,16,21,21,5,9,9,21,23,,,0,0,0,0
400916501,2017,"November 25, 2016",Memphis Tigers,Providence Friars,4-1,4-1,51,60,,,Final,CBSSN,30,21,,29,31,,NCAAB,20-58,22-55,34.5,40.0,5-23,2-20,21.7,10.0,6-11,14-16,54.5,87.5,40,33,12,10,5,7,4,2,17,11,,,,,18,13,12,9,15,9,25,24,,,0,0,0,0
400918720,2017,"November 30, 2016",Providence Friars,New Hampshire Wildcats,"5-2, 4-0 Home","4-3, 2-2 Away",76,62,,,Final,FS2,39,37,,23,39,,NCAAB,27-59,21-51,45.8,41.2,12-21,10-25,57.1,40.0,10-17,10-10,58.8,100.0,31,32,15,9,7,4,5,2,9,17,,,,,11,15,23,2,9,7,22,25,,,0,1,0,0
400919261,2017,"December 6, 2016",Providence Friars,Brown Bears,"7-2, 6-0 Home","5-5, 1-3 Away",95,57,,,Final,FS2,50,45,,18,39,,NCAAB,37-60,19-51,61.7,37.3,14-27,3-17,51.9,17.6,7-14,16-27,50.0,59.3,37,27,24,7,11,6,4,1,17,19,,,,,22,16,41,3,12,10,25,17,,,0,0,0,0
400919160,2017,"December 17, 2016",Providence Friars,Wagner Seahawks,"9-2, 8-0 Home","3-6, 3-3 Away",76,54,,,Final,FS1,45,31,,20,34,,NCAAB,27-57,21-63,47.4,33.3,9-23,5-20,39.1,25.0,13-18,7-11,72.2,63.6,33,44,22,8,8,5,4,1,15,20,,,,,17,22,32,6,9,20,24,24,,,0,0,0,0
400915335,2017,"December 23, 2016",Boston College Eagles,Providence Friars,"7-6, 6-3 Home","10-3, 0-2 Away",79,67,,,Final,ESPNU,25,54,,29,38,,NCAAB,30-57,26-64,52.6,40.6,11-21,5-24,52.4,20.8,8-15,10-11,53.3,90.9,36,35,19,15,7,12,4,3,18,14,,,,,13,15,20,7,8,10,28,25,,,0,0,0,0
400919664,2017,"January 1, 2017",Butler Bulldogs,Providence Friars,"12-2, 1-1 Conf","10-5, 0-2 Conf",78,61,,,Final,CBSSN,45,33,,26,35,,NCAAB,26-42,22-57,61.9,38.6,8-14,6-22,57.1,27.3,18-25,11-22,72.0,50.0,30,26,13,9,6,7,2,2,14,11,,,,,21,22,22,2,2,9,28,17,,,0,0,0,0
400919671,2017,"January 7, 2017",Providence Friars,Creighton Bluejays,"11-6, 1-3 Conf","15-1, 3-1 Conf",64,78,,,Final,CBSSN,33,31,,39,39,,NCAAB,26-67,33-59,38.8,55.9,3-19,7-17,15.8,41.2,9-12,5-7,75.0,71.4,42,27,8,19,4,4,4,3,11,6,,,,,11,14,0,19,21,6,21,21,,,0,0,0,0
400919679,2017,"January 14, 2017",Providence Friars,Seton Hall Pirates,"12-7, 2-4 Conf","12-5, 2-3 Conf",65,61,,,Final,,34,31,,28,33,,NCAAB,22-46,25-62,47.8,40.3,7-16,6-21,43.8,28.6,14-22,5-8,63.6,62.5,29,39,14,13,6,7,3,2,10,11,,,,,11,20,16,4,4,14,25,25,,,0,0,0,0
400919689,2017,"January 21, 2017",Villanova Wildcats,Providence Friars,"19-1, 7-1 Conf","13-8, 3-5 Conf",78,68,,,Final,FOX,35,43,,31,37,,NCAAB,30-58,22-50,51.7,44.0,7-17,13-26,41.2,50.0,11-11,11-13,100.0,84.6,31,23,19,16,8,4,5,1,10,12,,,,,14,14,20,0,9,6,22,17,,,0,0,0,0
400919698,2017,"January 28, 2017",Marquette Golden Eagles,Providence Friars,"14-7, 5-4 Conf","14-9, 4-6 Conf",78,79,,,Final,,32,46,,40,39,,NCAAB,25-58,26-53,43.1,49.1,10-25,11-20,40.0,55.0,18-23,16-28,78.3,57.1,35,34,14,13,2,2,3,3,8,10,,,,,23,20,4,12,7,7,28,27,,,0,0,0,0
