ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
323190242,2013,"November 14, 2012",Rice Owls,St. Edward's Hilltoppers,"1-1, 1-1 Home",,75,63,,,Final,,38,37,,32,31,,NCAAB
323270059,2013,"November 22, 2012",Georgia Tech Yellow Jackets,Rice Owls,3-0,1-3,54,36,,,Final,ESPNU,27,27,,19,17,,NCAAB
323300242,2013,"November 25, 2012",Rice Owls,Drexel Dragons,1-5,2-4,47,55,,,Final,ESPN3,20,27,,30,25,,NCAAB
323470242,2013,"December 12, 2012",Rice Owls,Long Island University Sharks,"2-6, 2-2 Home","4-4, 1-3 Away",70,97,,,Final,,45,25,,51,46,,NCAAB
323540242,2013,"December 19, 2012",Rice Owls,Chicago State Cougars,"3-7, 3-3 Home","3-10, 0-7 Away",63,60,,,Final/OT,,26,29,8,25,30,5,NCAAB
323640251,2013,"December 29, 2012",Texas Longhorns,Rice Owls,"8-5, 7-0 Home","3-9, 0-2 Away",57,41,,,Final,LHN,26,31,,26,15,,NCAAB
330090242,2013,"January 9, 2013",Rice Owls,Southern Miss Golden Eagles,"3-11, 0-1 Conf","12-4, 1-0 Conf",52,75,,,Final,,22,30,,32,43,,NCAAB
330160242,2013,"January 16, 2013",Rice Owls,Memphis Tigers,"3-13, 0-3 Conf","13-3, 3-0 Conf",51,77,,,Final,,24,27,,31,46,,NCAAB
330232116,2013,"January 23, 2013",UCF Knights,Rice Owls,"13-5, 3-1 Conf","4-14, 0-4 Conf",78,67,,,Final,,32,46,,32,35,,NCAAB
330300242,2013,"January 30, 2013",Rice Owls,Houston Cougars,"5-15, 1-5 Conf","13-7, 2-5 Conf",79,69,,,Final,,25,54,,33,36,,NCAAB
330372638,2013,"February 6, 2013",UTEP Miners,Rice Owls,"13-8, 6-2 Conf","5-17, 1-7 Conf",65,53,,,Final,,35,30,,21,32,,NCAAB
330440276,2013,"February 13, 2013",Marshall Thundering Herd,Rice Owls,"11-14, 4-6 Conf","5-19, 1-9 Conf",71,70,,,Final,,33,38,,33,37,,NCAAB
330540242,2013,"February 23, 2013",Rice Owls,Tulane Green Wave,"5-21, 1-11 Conf","18-9, 6-6 Conf",64,89,,,Final,,25,39,,36,53,,NCAAB
330610242,2013,"March 2, 2013",Rice Owls,UTEP Miners,"5-23, 1-13 Conf","16-12, 9-5 Conf",56,67,,,Final,,24,32,,34,33,,NCAAB
330680242,2013,"March 9, 2013",Rice Owls,Tulsa Golden Hurricane,"5-25, 1-15 Conf","16-14, 8-8 Conf",71,77,,,Final,,19,52,,33,44,,NCAAB
323150242,2013,"November 10, 2012",Rice Owls,St. Thomas (TX) Celts,"0-1, 0-1 Home",,59,72,,,Final,,21,38,,34,38,,NCAAB
323220218,2013,"November 17, 2012",Temple Owls,Rice Owls,"2-0, 1-0 Home","1-2, 0-1 Away",77,63,,,Final,,34,43,,31,32,,NCAAB
323282181,2013,"November 23, 2012",Drake Bulldogs,Rice Owls,2-2,1-4,77,66,,,Final,ESPNU,34,43,,30,36,,NCAAB
323360242,2013,"December 1, 2012",Rice Owls,Houston Baptist Huskies,"2-5, 2-1 Home","3-4, 0-3 Away",61,53,,,Final,,29,32,,18,35,,NCAAB
323500242,2013,"December 15, 2012",Rice Owls,Hartford Hawks,"2-7, 2-3 Home","6-5, 3-3 Away",51,58,,,Final,,27,24,,27,31,,NCAAB
323570242,2013,"December 22, 2012",Rice Owls,TCU Horned Frogs,"3-8, 3-4 Home","8-4, 1-1 Away",63,65,,,Final,,20,43,,34,31,,NCAAB
330050242,2013,"January 5, 2013",Harvard Crimson,Rice Owls,"8-5, 6-1 Home","3-10, 0-3 Away",92,62,,,Final,,43,49,,21,41,,NCAAB
330120202,2013,"January 12, 2013",Tulsa Golden Hurricane,Rice Owls,"10-7, 2-1 Conf","3-12, 0-2 Conf",64,51,,,Final,,26,38,,33,18,,NCAAB
330190242,2013,"January 19, 2013",Rice Owls,New Orleans Privateers,"4-13, 4-6 Home","4-12, 0-8 Away",95,71,,,Final,,44,51,,27,44,,NCAAB
330262655,2013,"January 26, 2013",Tulane Green Wave,Rice Owls,"14-6, 2-3 Conf","4-15, 0-5 Conf",73,66,,,Final,,32,41,,32,34,,NCAAB
330330242,2013,"February 2, 2013",Rice Owls,East Carolina Pirates,"5-16, 1-6 Conf","13-8, 4-4 Conf",63,79,,,Final,,26,37,,29,50,,NCAAB
330400242,2013,"February 9, 2013",Rice Owls,SMU Mustangs,"5-18, 1-8 Conf","13-12, 3-7 Conf",39,61,,,Final,,17,22,,26,35,,NCAAB
330470005,2013,"February 16, 2013",UAB Blazers,Rice Owls,"12-14, 4-7 Conf","5-20, 1-10 Conf",80,57,,,Final,,34,46,,25,32,,NCAAB
330582567,2013,"February 27, 2013",SMU Mustangs,Rice Owls,"14-14, 4-9 Conf","5-22, 1-12 Conf",67,55,,,Final,,35,32,,20,35,,NCAAB
330650248,2013,"March 6, 2013",Houston Cougars,Rice Owls,"17-11, 6-9 Conf","5-24, 1-14 Conf",84,62,,,Final,,40,44,,27,35,,NCAAB
330720248,2013,"March 13, 2013",Houston Cougars,Rice Owls,"19-11, 7-9 Conf","5-26, 1-15 Conf",72,67,,,Final,,36,36,,25,42,,NCAAB
