ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
303190164,2011,"November 15, 2010",Rutgers Scarlet Knights,Fairfield Stags,"1-1, 1-0 Home","1-1, 0-1 Away",68.0,53.0,,,Final,,35.0,33.0,,27.0,26.0,,NCAAB,27-56,16-55,48.2,29.1,8-18,6-23,44.4,26.1,6-13,15-21,46.2,71.4,37,45,14,8,7,6,10,3,10,12,,,,,19,16,17,3,9,16,26,24,,,0,0,0,0
303270164,2011,"November 23, 2010",Rutgers Scarlet Knights,Norfolk State Spartans,"3-1, 3-0 Home","1-3, 0-3 Away",83.0,59.0,,,Final,,44.0,39.0,,22.0,37.0,,NCAAB,33-66,17-39,50.0,43.6,9-16,4-12,56.3,33.3,8-15,21-32,53.3,65.6,41,33,17,7,7,3,3,5,10,18,,,,,23,15,24,0,14,6,24,23,,,0,0,0,0
303350164,2011,"December 1, 2010",Rutgers Scarlet Knights,NJIT Highlanders,"4-2, 4-0 Home","1-4, 0-2 Away",66.0,54.0,,,Final,,33.0,33.0,,30.0,24.0,,NCAAB,22-48,21-52,45.8,40.4,2-10,4-15,20.0,26.7,20-25,8-11,80.0,72.7,33,31,6,13,9,6,8,2,14,15,,,,,15,21,14,0,9,8,24,20,,,0,0,0,0
303450164,2011,"December 11, 2010",Rutgers Scarlet Knights,Auburn Tigers,6-2,3-5,63.0,54.0,,,Final,ESPN2,29.0,34.0,,24.0,30.0,,NCAAB,20-59,16-53,33.9,30.2,7-22,6-23,31.8,26.1,16-19,16-20,84.2,80.0,52,39,13,10,3,6,5,7,10,9,,,,,18,17,17,7,17,9,29,24,,,0,0,0,0
303522405,2011,"December 18, 2010",Monmouth Hawks,Rutgers Scarlet Knights,"4-7, 2-3 Home","8-2, 1-2 Away",56.0,79.0,,,Final,,31.0,25.0,,37.0,42.0,,NCAAB,20-52,31-63,38.5,49.2,9-27,9-19,33.3,47.4,7-10,8-12,70.0,66.7,30,45,16,17,5,7,3,3,18,13,,,,,14,15,3,23,7,16,19,27,,,0,0,0,0
303620164,2011,"December 28, 2010",Rutgers Scarlet Knights,North Carolina Tar Heels,9-3,9-4,55.0,78.0,,,Final,ESPN2,22.0,33.0,,42.0,36.0,,NCAAB,20-59,29-62,33.9,46.8,5-22,11-23,22.7,47.8,10-16,9-18,62.5,50.0,32,49,10,16,11,9,4,7,16,16,,,,,21,14,0,27,7,11,24,35,,,0,0,0,0
310050164,2011,"January 5, 2011",Rutgers Scarlet Knights,Marquette Golden Eagles,"9-5, 0-2 Conf","11-4, 2-0 Conf",65.0,73.0,,,Final,,30.0,35.0,,37.0,36.0,,NCAAB,26-56,22-43,46.4,51.2,9-18,9-16,50.0,56.3,4-11,20-32,36.4,62.5,30,35,17,13,9,5,4,3,14,16,,,,,24,13,0,13,14,13,15,18,,,0,0,0,0
310110041,2011,"January 11, 2011",Uconn Huskies,Rutgers Scarlet Knights,"13-2, 2-2 Conf","10-6, 1-3 Conf",67.0,53.0,,,Final,,32.0,35.0,,27.0,26.0,,NCAAB,26-57,20-58,45.6,34.5,6-20,3-17,30.0,17.6,9-14,10-14,64.3,71.4,42,41,14,8,5,6,6,5,8,9,,,,,14,16,24,6,10,13,27,24,,,0,0,0,0
310200164,2011,"January 20, 2011",Rutgers Scarlet Knights,South Florida Bulls,"11-7, 2-4 Conf","7-13, 1-6 Conf",71.0,62.0,,,Final,ESPN2,25.0,46.0,,25.0,37.0,,NCAAB,23-50,19-50,46.0,38.0,8-15,9-23,53.3,39.1,17-21,15-17,81.0,88.2,31,42,12,11,10,3,5,4,7,15,,,,,17,18,9,0,7,12,20,23,,,0,0,0,0
310262132,2011,"January 26, 2011",Cincinnati Bearcats,Rutgers Scarlet Knights,"18-3, 5-3 Conf","12-8, 3-5 Conf",72.0,56.0,,,Final,,31.0,41.0,,30.0,26.0,,NCAAB,22-47,23-50,46.8,46.0,6-18,1-11,33.3,9.1,22-30,9-14,73.3,64.3,36,26,16,9,6,6,5,1,13,13,,,,,15,22,16,6,10,5,24,19,,,0,1,0,0
310332599,2011,"February 2, 2011",St. John's Red Storm,Rutgers Scarlet Knights,"13-8, 5-5 Conf","12-10, 3-7 Conf",58.0,56.0,,,Final,,31.0,27.0,,31.0,25.0,,NCAAB,18-49,20-42,36.7,47.6,2-11,7-16,18.2,43.8,20-31,9-14,64.5,64.3,33,36,6,16,14,5,1,8,10,23,,,,,11,23,11,0,14,10,13,23,,,1,0,0,0
310400164,2011,"February 9, 2011",Rutgers Scarlet Knights,Villanova Wildcats,"13-11, 4-8 Conf","19-5, 7-4 Conf",77.0,76.0,,,Final,,28.0,49.0,,35.0,41.0,,NCAAB,27-57,24-43,47.4,55.8,8-17,8-16,47.1,50.0,15-21,20-27,71.4,74.1,28,29,15,16,7,6,0,0,8,12,,,,,19,19,3,13,13,8,14,20,,,0,0,0,0
310500183,2011,"February 19, 2011",Syracuse Orange,Rutgers Scarlet Knights,"22-6, 9-6 Conf","13-13, 4-10 Conf",84.0,80.0,,,Final/OT,,43.0,27.0,14.0,44.0,26.0,10.0,NCAAB,22-51,31-68,43.1,45.6,6-19,9-23,31.6,39.1,34-47,9-14,72.3,64.3,50,35,15,17,5,10,11,1,14,11,,,,,18,29,9,5,17,15,26,18,,,0,1,0,0
310580164,2011,"February 27, 2011",Rutgers Scarlet Knights,West Virginia Mountaineers,"13-15, 4-12 Conf","18-10, 9-7 Conf",54.0,65.0,,,Final,,22.0,32.0,,25.0,40.0,,NCAAB,20-59,21-53,33.9,39.6,1-13,7-22,7.7,31.8,13-16,16-23,81.3,69.6,36,48,8,16,7,2,4,1,6,12,,,,,22,15,6,11,9,14,22,32,,,0,0,0,0
310642507,2011,"March 5, 2011",Providence Friars,Rutgers Scarlet Knights,"15-16, 4-14 Conf","14-16, 5-13 Conf",75.0,74.0,,,Final,ESPN3,33.0,42.0,,38.0,36.0,,NCAAB,24-53,31-52,45.3,59.6,10-25,6-12,40.0,50.0,17-21,6-9,81.0,66.7,29,28,10,15,8,5,3,1,10,14,,,,,14,17,1,11,11,7,16,20,,,0,0,0,0
303160163,2011,"November 12, 2010",Princeton Tigers,Rutgers Scarlet Knights,"1-0, 1-0 Home","0-1, 0-1 Away",78.0,73.0,,,Final/OT,,44.0,21.0,13.0,38.0,27.0,8.0,NCAAB,26-53,29-59,49.1,49.2,9-22,5-15,40.9,33.3,17-23,10-18,73.9,55.6,41,31,17,10,4,13,1,3,16,12,,,,,19,24,6,1,12,10,24,18,,,0,0,0,0
303250164,2011,"November 21, 2010",Rutgers Scarlet Knights,Miami Hurricanes,"2-1, 2-0 Home","2-2, 0-2 Away",61.0,45.0,,,Final,,24.0,37.0,,20.0,25.0,,NCAAB,24-56,14-48,42.9,29.2,5-16,5-23,31.3,21.7,8-10,12-20,80.0,60.0,42,38,17,5,11,7,6,4,12,17,,,,,20,11,18,4,13,15,24,21,,,0,0,0,0
303302603,2011,"November 26, 2010",Saint Joseph's Hawks,Rutgers Scarlet Knights,"3-2, 2-1 Home","3-2, 0-2 Away",76.0,70.0,,,Final,,34.0,42.0,,28.0,42.0,,NCAAB,25-49,27-59,51.0,45.8,8-21,6-18,38.1,33.3,18-25,10-19,72.0,52.6,39,28,19,16,3,9,2,4,17,9,,,,,12,21,11,1,8,9,27,18,,,0,1,0,0
303410164,2011,"December 7, 2010",Rutgers Scarlet Knights,Marist Red Foxes,"5-2, 5-0 Home","2-7, 0-4 Away",64.0,48.0,,,Final,,21.0,43.0,,27.0,21.0,,NCAAB,25-60,13-47,41.7,27.7,3-19,6-22,15.8,27.3,11-16,16-17,68.8,94.1,45,38,13,6,10,5,7,2,14,21,,,,,19,21,18,8,15,9,26,23,,,0,0,0,0
303480164,2011,"December 14, 2010",Rutgers Scarlet Knights,Fairleigh Dickinson Knights,"7-2, 6-0 Home","3-6, 1-4 Away",79.0,65.0,,,Final,,40.0,39.0,,25.0,40.0,,NCAAB,28-54,15-46,51.9,32.6,7-18,9-26,38.9,34.6,16-23,26-29,69.6,89.7,34,34,22,12,12,4,5,6,13,23,,,,,19,21,21,1,10,11,22,22,,,1,0,0,0
303570164,2011,"December 23, 2010",Rutgers Scarlet Knights,Saint Peter's Peacocks,"9-2, 7-0 Home","7-5, 3-3 Away",55.0,52.0,,,Final,,26.0,29.0,,32.0,20.0,,NCAAB,19-46,19-49,41.3,38.8,3-11,9-21,27.3,42.9,14-27,5-9,51.9,55.6,32,36,11,10,9,9,5,2,11,18,,,,,14,22,6,12,8,9,23,24,,,0,1,0,0
310020222,2011,"January 2, 2011",Villanova Wildcats,Rutgers Scarlet Knights,"12-1, 1-0 Conf","9-4, 0-1 Conf",81.0,65.0,,,Final,ESPNU,33.0,48.0,,37.0,28.0,,NCAAB,23-53,20-48,43.4,41.7,8-15,3-13,53.3,23.1,27-35,22-28,77.1,78.6,44,25,17,13,7,9,4,7,14,14,,,,,20,28,16,4,17,7,23,14,,,1,1,0,0
310080164,2011,"January 8, 2011",Rutgers Scarlet Knights,Providence Friars,"10-5, 1-2 Conf","11-6, 0-4 Conf",85.0,72.0,,,Final,,33.0,52.0,,35.0,37.0,,NCAAB,31-57,20-65,54.4,30.8,3-8,6-22,37.5,27.3,20-27,26-35,74.1,74.3,46,38,18,9,7,10,10,2,15,12,,,,,25,20,15,5,11,17,30,18,,,1,0,0,0
310150164,2011,"January 15, 2011",Rutgers Scarlet Knights,Georgetown Hoyas,"10-7, 1-4 Conf","13-5, 2-4 Conf",65.0,74.0,,,Final,ESPNU,25.0,40.0,,31.0,43.0,,NCAAB,25-58,23-48,43.1,47.9,6-16,11-22,37.5,50.0,9-13,17-19,69.2,89.5,34,35,14,9,7,6,6,6,12,14,,,,,18,14,0,16,16,12,15,18,,,0,0,0,0
310222550,2011,"January 22, 2011",Seton Hall Pirates,Rutgers Scarlet Knights,"8-12, 2-6 Conf","12-7, 3-4 Conf",60.0,66.0,,,Final,,23.0,37.0,,31.0,35.0,,NCAAB,23-68,25-53,33.8,47.2,6-27,3-10,22.2,30.0,8-10,13-27,80.0,48.1,41,50,9,6,8,4,4,6,11,13,,,,,18,12,2,14,15,12,23,32,,,0,0,0,0
