ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400586872,2015,"November 17, 2014",SIU-Edwardsville Cougars,Purdue Fort Wayne Mastodons,"1-1, 1-1 Home","2-0, 1-0 Away",71,74,,,Final,,32,39,,37,37,,NCAAB
400585908,2015,"November 24, 2014",Portland St Vikings,SIU-Edwardsville Cougars,"3-0, 2-0 Home","1-3, 0-2 Away",90,87,,,Final/OT,,51,31,8,46,36,5,NCAAB
400587435,2015,"December 6, 2014",Central Michigan Chippewas,SIU-Edwardsville Cougars,"6-1, 6-0 Home","1-5, 0-3 Away",94,61,,,Final,ESPN3,54,40,,26,35,,NCAAB
400589314,2015,"December 17, 2014",Campbell Fighting Camels,SIU-Edwardsville Cougars,"4-6, 3-1 Home","1-7, 0-5 Away",70,65,,,Final,,37,33,,30,35,,NCAAB
400590772,2015,"December 22, 2014",SIU-Edwardsville Cougars,Chicago State Cougars,"3-7, 3-2 Home","3-11, 0-8 Away",63,38,,,Final,,36,27,,21,17,,NCAAB
400596358,2015,"January 1, 2015",SIU-Edwardsville Cougars,Jacksonville State Gamecocks,"5-7, 1-0 Conf","7-8, 0-1 Conf",73,57,,,Final,,35,38,,22,35,,NCAAB
400596366,2015,"January 7, 2015",Belmont Bruins,SIU-Edwardsville Cougars,"10-5, 2-0 Conf","6-8, 2-1 Conf",73,69,,,Final,CBSSN,36,37,,38,31,,NCAAB
400596380,2015,"January 15, 2015",Morehead State Eagles,SIU-Edwardsville Cougars,"7-12, 2-2 Conf","7-9, 3-2 Conf",91,63,,,Final,,47,44,,28,35,,NCAAB
400596388,2015,"January 22, 2015",SIU-Edwardsville Cougars,Austin Peay Governors,"8-10, 4-3 Conf","6-13, 1-4 Conf",69,65,,,Final,,40,29,,37,28,,NCAAB
400596403,2015,"January 29, 2015",Southeast Missouri State Redhawks,SIU-Edwardsville Cougars,"9-12, 3-5 Conf","9-11, 5-4 Conf",61,75,,,Final,,34,27,,35,40,,NCAAB
400596416,2015,"February 7, 2015",UT Martin Skyhawks,SIU-Edwardsville Cougars,"15-8, 7-3 Conf","9-13, 5-6 Conf",64,59,,,Final,,28,36,,30,29,,NCAAB
400596431,2015,"February 14, 2015",SIU-Edwardsville Cougars,Eastern Illinois Panthers,"10-14, 6-7 Conf","15-11, 8-5 Conf",80,63,,,Final,,45,35,,27,36,,NCAAB
400596442,2015,"February 21, 2015",SIU-Edwardsville Cougars,UT Martin Skyhawks,"12-14, 8-7 Conf","17-10, 9-5 Conf",76,68,,,Final,,37,39,,36,32,,NCAAB
400596309,2015,"November 14, 2014",SIU-Edwardsville Cougars,Harris Stowe Hornets,"1-0, 1-0 Home",,104,56,,,Final,,50,54,,33,23,,NCAAB
400587228,2015,"November 22, 2014",Portland Pilots,SIU-Edwardsville Cougars,"3-0, 2-0 Home","1-2, 0-1 Away",75,53,,,Final,,46,29,,28,25,,NCAAB
400586340,2015,"December 3, 2014",SIU-Edwardsville Cougars,Southern Illinois Salukis,"1-4, 1-2 Home","4-3, 2-2 Away",67,79,,,Final,,22,45,,45,34,,NCAAB
400591127,2015,"December 13, 2014",Saint Louis Billikens,SIU-Edwardsville Cougars,"6-4, 4-2 Home","1-6, 0-4 Away",67,61,,,Final,,37,30,,34,27,,NCAAB
400596345,2015,"December 20, 2014",SIU-Edwardsville Cougars,Milwaukee Panthers,"2-7, 2-2 Home","5-7, 0-4 Away",61,56,,,Final,,25,36,,28,28,,NCAAB
400596350,2015,"December 28, 2014",SIU-Edwardsville Cougars,Robert Morris-Springfield (IL) Eagles,"4-7, 4-2 Home",,104,56,,,Final,,55,49,,25,31,,NCAAB
400596361,2015,"January 3, 2015",SIU-Edwardsville Cougars,Tennessee Tech Golden Eagles,"6-7, 2-0 Conf","8-7, 0-2 Conf",85,62,,,Final,,35,50,,26,36,,NCAAB
400596374,2015,"January 10, 2015",SIU-Edwardsville Cougars,Tennessee State Tigers,"7-8, 3-1 Conf","3-15, 0-3 Conf",45,38,,,Final,,15,30,,21,17,,NCAAB
400596382,2015,"January 17, 2015",Eastern Kentucky Colonels,SIU-Edwardsville Cougars,"11-6, 3-1 Conf","7-10, 3-3 Conf",78,62,,,Final,,32,46,,33,29,,NCAAB
400596396,2015,"January 24, 2015",SIU-Edwardsville Cougars,Murray State Racers,"8-11, 4-4 Conf","17-4, 7-0 Conf",54,60,,,Final,,31,23,,31,29,,NCAAB
400596406,2015,"January 31, 2015",Eastern Illinois Panthers,SIU-Edwardsville Cougars,"13-9, 7-3 Conf","9-12, 5-5 Conf",57,54,,,Final,,26,31,,19,35,,NCAAB
400596425,2015,"February 12, 2015",Murray State Racers,SIU-Edwardsville Cougars,"22-4, 12-0 Conf","9-14, 5-7 Conf",78,46,,,Final,,40,38,,16,30,,NCAAB
400596436,2015,"February 19, 2015",SIU-Edwardsville Cougars,Southeast Missouri State Redhawks,"11-14, 7-7 Conf","12-15, 6-8 Conf",75,72,,,Final,,32,43,,34,38,,NCAAB
400596446,2015,"February 26, 2015",Austin Peay Governors,SIU-Edwardsville Cougars,"8-21, 3-12 Conf","12-15, 8-8 Conf",64,61,,,Final,,28,36,,25,36,,NCAAB
400765295,2015,"March 4, 2015",Eastern Illinois Panthers,SIU-Edwardsville Cougars,"17-13, 9-7 Conf","12-16, 8-8 Conf",78,66,,,Final,,30,48,,26,40,,NCAAB
