ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
330782393,2013,"March 19, 2013",Middle Tennessee Blue Raiders,Saint Mary's Gaels,28-6,28-6,54,67,,,Final,truTV,20,34,,29,38,,NCAAB,22-52,21-46,42.3,45.7,4-12,8-14,33.3,57.1,6-7,17-25,85.7,68.0,29,38,14,9,4,3,3,0,9,7,,,,,20,15,3,14,6,8,22,25,,,0,0,0,0
323200328,2013,"November 15, 2012",Utah State Aggies,Saint Mary's Gaels,"1-1, 1-1 Home","2-0, 1-0 Away",58,67,,,Final,,31,27,,34,33,,NCAAB,20-62,21-46,32.3,45.7,3-16,9-22,18.8,40.9,15-24,16-23,62.5,69.6,52,33,12,11,7,4,4,1,10,12,,,,,20,22,6,11,24,6,25,24,,,0,0,0,0
323272608,2013,"November 22, 2012",Saint Mary's Gaels,Drexel Dragons,4-0,1-3,76,64,,,Final,ESPN2,36,40,,28,36,,NCAAB,27-50,21-47,54.0,44.7,3-12,5-12,25.0,41.7,19-22,17-20,86.4,85.0,34,24,7,8,4,5,1,2,13,9,,,,,17,18,15,1,8,4,24,16,,,1,0,0,0
323300059,2013,"November 25, 2012",Georgia Tech Yellow Jackets,Saint Mary's Gaels,4-1,4-2,65,56,,,Final,ESPNU,22,43,,26,30,,NCAAB,21-55,17-46,38.2,37.0,7-19,6-20,36.8,30.0,16-19,16-21,84.2,76.2,28,40,11,13,4,5,1,2,11,21,,,,,17,16,11,6,8,11,18,27,,,0,0,0,0
323402181,2013,"December 5, 2012",Drake Bulldogs,Saint Mary's Gaels,"3-4, 1-1 Home","6-2, 2-0 Away",73,88,,,Final,,33,40,,47,41,,NCAAB,21-51,30-54,41.2,55.6,6-17,11-26,35.3,42.3,25-32,17-20,78.1,85.0,22,40,12,21,10,9,2,4,14,21,,,,,19,24,2,20,6,12,14,26,,,0,0,0,0
323542608,2013,"December 19, 2012",Saint Mary's Gaels,Pacific Tigers,"8-2, 5-0 Home","5-6, 1-3 Away",74,46,,,Final,,36,38,,17,29,,NCAAB,25-60,14-43,41.7,32.6,10-30,1-8,33.3,12.5,14-16,17-21,87.5,81.0,46,26,17,10,7,6,2,1,9,13,,,,,16,17,28,4,17,4,27,20,,,0,0,0,0
323582460,2013,"December 23, 2012",Northern Iowa Panthers,Saint Mary's Gaels,"7-5, 6-0 Home","8-3, 2-1 Away",82,75,,,Final,,32,50,,29,46,,NCAAB,25-50,28-56,50.0,50.0,7-16,11-27,43.8,40.7,25-37,8-17,67.6,47.1,32,39,11,10,8,4,2,2,10,17,,,,,17,27,15,5,4,8,25,28,,,0,0,0,0
323652608,2013,"December 30, 2012",Saint Mary's Gaels,Yale Bulldogs,"10-3, 7-0 Home","4-9, 1-6 Away",78,62,,,Final,,40,38,,30,32,,NCAAB,29-56,24-71,51.8,33.8,6-15,11-24,40.0,45.8,14-18,3-6,77.8,50.0,46,41,11,16,10,10,8,5,15,16,,,,,8,12,21,0,13,22,28,16,,,0,0,0,0
330052608,2013,"January 5, 2013",Saint Mary's Gaels,Loyola Marymount Lions,"12-3, 1-0 Conf","7-8, 0-2 Conf",74,61,,,Final,,33,41,,30,31,,NCAAB,26-52,24-58,50.0,41.4,8-22,4-14,36.4,28.6,14-17,9-10,82.4,90.0,34,26,16,7,4,10,4,2,15,11,,,,,16,17,14,3,9,9,25,17,,,0,0,0,0
330122608,2013,"January 12, 2013",Saint Mary's Gaels,San Francisco Dons,"13-4, 2-1 Conf","7-10, 0-4 Conf",78,72,,,Final,,35,43,,36,36,,NCAAB,25-50,26-51,50.0,51.0,4-17,9-18,23.5,50.0,24-27,11-14,88.9,78.6,35,25,12,12,4,5,1,5,7,9,,,,,16,18,10,3,7,4,24,19,,,0,0,0,0
