ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
293250264,2010,"November 20, 2009",Washington Huskies,San José St Spartans,"4-0, 4-0 Home","1-1, 0-1 Away",80,70,,,Final,,37,43,,31,39,,NCAAB,27-65,22-55,41.5,40.0,4-18,1-5,22.2,20.0,22-31,25-37,71.0,67.6,47,37,16,8,2,6,1,4,12,15,,,,,25,25,12,1,16,13,28,24,,,1,0,0,0
293330023,2010,"November 28, 2009",San José St Spartans,Pacific Tigers,"2-2, 2-0 Home","4-1, 1-1 Away",59,55,,,Final,,26,33,,30,25,,NCAAB,24-58,24-51,41.4,47.1,7-13,3-7,53.8,42.9,4-8,4-6,50.0,66.7,37,29,13,11,3,5,2,1,9,11,,,,,11,12,4,10,15,10,18,17,,,0,0,0,0
293393084,2010,"December 5, 2009",Utah Valley Wolverines,San José St Spartans,"3-4, 2-1 Home","3-3, 1-2 Away",74,82,,,Final,,28,46,,42,40,,NCAAB,26-62,30-50,41.9,60.0,6-12,6-8,50.0,75.0,16-21,16-23,76.2,69.6,31,37,13,11,8,1,1,7,5,15,,,,,18,18,2,16,10,10,16,27,,,0,0,0,0
293440023,2010,"December 9, 2009",San José St Spartans,CSU Bakersfield Roadrunners,"4-4, 3-1 Home","1-6, 0-5 Away",84,80,,,Final/OT,,35,37,12.0,31,41,8.0,NCAAB,30-69,30-79,43.5,38.0,6-15,6-23,40.0,26.1,18-27,14-26,66.7,53.8,53,51,16,8,3,5,4,1,11,6,,,,,19,22,9,6,20,24,31,21,,,0,0,0,0
293562458,2010,"December 21, 2009",Northern Colorado Bears,San José St Spartans,"10-3, 3-0 Home","5-5, 2-4 Away",93,69,,,Final,,38,55,,33,36,,NCAAB,33-62,21-48,53.2,43.8,18-37,4-10,48.6,40.0,9-12,23-25,75.0,92.0,32,27,20,4,8,4,1,0,9,12,,,,,19,16,27,7,10,7,21,18,,,0,0,0,0
293620023,2010,"December 28, 2009",San José St Spartans,UC Irvine Anteaters,"7-5, 4-1 Home","6-6, 1-4 Away",78,68,,,Final,,41,37,,35,33,,NCAAB,24-46,28-67,52.2,41.8,9-15,7-25,60.0,28.0,21-27,5-13,77.8,38.5,38,32,17,13,6,11,1,1,15,7,,,,,13,20,15,6,5,11,31,19,,,0,0,0,0
300102440,2010,"January 9, 2010",Nevada Wolf Pack,San José St Spartans,"10-6, 2-1 Conf","8-6, 1-1 Conf",96,67,,,Final,,47,49,,29,38,,NCAAB,34-66,28-59,51.5,47.5,7-17,5-13,41.2,38.5,21-26,6-10,80.8,60.0,37,38,19,16,10,1,2,2,8,20,,,,,16,18,29,0,11,10,23,23,,,0,0,0,0
300150023,2010,"January 14, 2010",San José St Spartans,Boise State Broncos,"9-7, 2-2 Conf","9-9, 0-5 Conf",76,74,,,Final,,42,34,,42,32,,NCAAB,26-54,30-75,48.1,40.0,7-14,7-21,50.0,33.3,17-21,7-16,81.0,43.8,30,55,14,19,6,4,8,2,7,9,,,,,12,16,6,1,7,26,22,23,,,0,0,0,0
300220023,2010,"January 21, 2010",San José St Spartans,Louisiana Tech Bulldogs,"10-8, 3-3 Conf","17-3, 5-1 Conf",87,76,,,Final,,41,46,,31,45,,NCAAB,28-51,29-65,54.9,44.6,7-15,10-22,46.7,45.5,24-28,8-12,85.7,66.7,36,31,14,18,7,6,2,1,13,14,,,,,13,21,13,2,10,16,21,12,,,0,0,0,0
300290023,2010,"January 28, 2010",San José St Spartans,Hawai'i Rainbow Warriors,"12-8, 5-3 Conf","9-12, 2-6 Conf",83,60,,,Final,,41,42,,32,28,,NCAAB,30-59,25-59,50.8,42.4,7-16,1-10,43.8,10.0,16-23,9-21,69.6,42.9,41,34,18,17,6,8,2,2,12,12,,,,,17,17,27,1,13,13,26,19,,,0,0,0,0
