ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400508199,2014,"November 10, 2013",South Carolina State Bulldogs,St. Andrews Knights,"1-1, 2-1 Home",,59,55,,,Final/OT,,28,21,10,25,24,6,NCAAB
400508201,2014,"November 17, 2013",Nebraska Cornhuskers,South Carolina State Bulldogs,"3-0, 3-0 Home","1-3, 0-3 Away",83,57,,,Final,,39,44,,31,26,,NCAAB
400508202,2014,"November 23, 2013",South Carolina State Bulldogs,Voorhees Tigers,"2-4, 2-1 Home",,88,74,,,Final,,37,51,,37,37,,NCAAB
400502711,2014,"December 3, 2013",Clemson Tigers,South Carolina State Bulldogs,"7-1, 7-1 Home","2-6, 0-5 Away",65,49,,,Final,ESPN3,34,31,,31,18,,NCAAB
400498541,2014,"December 17, 2013",South Carolina State Bulldogs,Coastal Carolina Chanticleers,"3-7, 3-2 Home","5-6, 0-4 Away",83,78,,,Final,,43,40,,25,53,,NCAAB
400498568,2014,"December 30, 2013",Coastal Carolina Chanticleers,South Carolina State Bulldogs,"6-7, 5-3 Home","4-8, 1-6 Away",58,68,,,Final,,20,38,,35,33,,NCAAB
400507282,2014,"January 8, 2014",South Carolina State Bulldogs,Maryland-Eastern Shore Hawks,"5-9, 1-0 Conf","2-12, 0-2 Conf",78,71,,,Final,,40,38,,30,41,,NCAAB
400506999,2014,"January 13, 2014",Coppin State Eagles,South Carolina State Bulldogs,"5-11, 2-1 Conf","5-11, 1-2 Conf",75,69,,,Final,,34,41,,34,35,,NCAAB
400506981,2014,,,,,,,,,,,,,,,,,,NCAAB
400507254,2014,"January 27, 2014",South Carolina State Bulldogs,Hampton Pirates,"7-13, 3-4 Conf","10-10, 5-2 Conf",56,67,,,Final,,22,34,,28,39,,NCAAB
400506985,2014,"February 3, 2014",Bethune-Cookman Wildcats,South Carolina State Bulldogs,"5-20, 3-7 Conf","8-14, 4-5 Conf",91,59,,,Final,,48,43,,22,37,,NCAAB
400508192,2014,"February 15, 2014",South Carolina State Bulldogs,North Carolina Central Eagles,"8-16, 4-7 Conf","19-5, 10-1 Conf",53,67,,,Final,,22,31,,30,37,,NCAAB
400508196,2014,"February 22, 2014",South Carolina State Bulldogs,Savannah St Tigers,"9-17, 5-8 Conf","10-17, 8-5 Conf",65,75,,,Final,,30,35,,47,28,,NCAAB
400508189,2014,"March 3, 2014",North Carolina A&T Aggies,South Carolina State Bulldogs,"9-21, 5-10 Conf","9-19, 5-10 Conf",62,60,,,Final,,22,40,,33,27,,NCAAB
400499218,2014,"November 8, 2013",Marshall Thundering Herd,South Carolina State Bulldogs,"1-0, 1-0 Home","0-1, 0-1 Away",85,69,,,Final,,44,41,,30,39,,NCAAB
400508200,2014,"November 12, 2013",Michigan Wolverines,South Carolina State Bulldogs,"2-0, 2-0 Home","1-2, 0-2 Away",93,59,,,Final,,59,34,,23,36,,NCAAB
400501564,2014,"November 19, 2013",Omaha Mavericks,South Carolina State Bulldogs,"3-2, 2-0 Home","1-4, 0-4 Away",91,59,,,Final,,46,45,,25,34,,NCAAB
400508203,2014,"November 25, 2013",South Carolina State Bulldogs,Omaha Mavericks,"2-5, 2-1 Home","4-3, 2-3 Away",67,83,,,Final,,42,25,,43,40,,NCAAB
400508082,2014,"December 7, 2013",South Carolina State Bulldogs,Georgia Southern Eagles,"2-7, 2-2 Home","5-5, 2-3 Away",61,79,,,Final,,24,37,,36,43,,NCAAB
400499119,2014,"December 23, 2013",Jacksonville Dolphins,South Carolina State Bulldogs,"4-7, 4-2 Home","3-8, 0-6 Away",61,47,,,Final,,31,30,,23,24,,NCAAB
400506342,2014,"January 3, 2014",South Carolina Gamecocks,South Carolina State Bulldogs,"7-6, 5-2 Home","4-9, 1-7 Away",82,75,,,Final,,44,38,,33,42,,NCAAB
400507291,2014,"January 11, 2014",Morgan State Bears,South Carolina State Bulldogs,"4-10, 2-0 Conf","5-10, 1-1 Conf",73,56,,,Final,,36,37,,23,33,,NCAAB
400507241,2014,"January 18, 2014",South Carolina State Bulldogs,Florida A&M Rattlers,"5-12, 1-3 Conf","7-11, 3-2 Conf",72,78,,,Final,,31,41,,36,42,,NCAAB
400507298,2014,"January 25, 2014",South Carolina State Bulldogs,Norfolk State Spartans,"7-12, 3-3 Conf","11-9, 5-2 Conf",73,61,,,Final,,29,44,,29,32,,NCAAB
400507244,2014,"February 1, 2014",Florida A&M Rattlers,South Carolina State Bulldogs,"7-14, 3-5 Conf","8-13, 4-4 Conf",59,63,,,Final/OT,,23,30,6,31,22,10,NCAAB
400507163,2014,"February 8, 2014",Delaware State Hornets,South Carolina State Bulldogs,"5-17, 1-8 Conf","8-15, 4-6 Conf",61,53,,,Final,,31,30,,28,25,,NCAAB
400508186,2014,"February 17, 2014",South Carolina State Bulldogs,North Carolina A&T Aggies,"9-16, 5-7 Conf","8-19, 4-8 Conf",75,70,,,Final/OT,,30,34,11,32,32,6,NCAAB
400508194,2014,"March 1, 2014",North Carolina Central Eagles,South Carolina State Bulldogs,"23-5, 13-1 Conf","9-18, 5-9 Conf",86,44,,,Final,,40,46,,24,20,,NCAAB
