,ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
0,303180179,2010,"Sun, Nov 14",St. Bonaventure Bonnies,Little Rock Trojans,"1-1, 1-0 Home","1-1, 1-1 Away",77,64,,,Final,,39,38,,25,39,,NCAAB
1,303252066,2010,"Sun, Nov 21",Binghamton Bearcats,St. Bonaventure Bonnies,"1-2, 0-1 Home","3-1, 2-1 Away",44,69,,,Final,,23,21,,24,45,,NCAAB
2,303380179,2010,"Sat, Dec 4",St. Bonaventure Bonnies,Buffalo Bulls,"4-2, 2-0 Home","4-3, 2-3 Away",76,74,,,Final,,44,32,,33,41,,NCAAB
3,303450179,2010,"Sat, Dec 11",St. Bonaventure Bonnies,Niagara Purple Eagles,"5-3, 2-1 Home","3-7, 1-5 Away",61,69,,,Final,,26,35,,30,39,,NCAAB
4,303570179,2010,"Thu, Dec 23",St. Bonaventure Bonnies,Virginia Tech Hokies,6-4,7-4,68,76,,,Final/OT,,28,37,3.0,41,24,11.0,NCAAB
5,310020179,2010,"Sun, Jan 2",St. Bonaventure Bonnies,Marshall Thundering Herd,"7-5, 4-2 Home","10-3, 3-2 Away",65,74,,,Final,,27,38,,35,39,,NCAAB
6,310080179,2010,"Sat, Jan 8",St. Bonaventure Bonnies,Charlotte 49ers,"9-5, 1-0 Conf","8-8, 0-2 Conf",92,88,,,Final/3OT,,40,28,24.0,28,40,20.0,NCAAB
7,310160227,2010,"Sun, Jan 16",Rhode Island Rams,St. Bonaventure Bonnies,"11-6, 2-1 Conf","9-7, 1-2 Conf",56,55,,,Final,,28,28,,29,26,,NCAAB
8,310220045,2010,"Sat, Jan 22",George Washington Colonials,St. Bonaventure Bonnies,"10-9, 3-2 Conf","10-8, 2-3 Conf",49,62,,,Final,,25,24,,29,33,,NCAAB
9,310292230,2010,"Sat, Jan 29",Fordham Rams,St. Bonaventure Bonnies,"6-13, 0-7 Conf","11-9, 3-4 Conf",60,69,,,Final,,20,40,,36,33,,NCAAB
10,310360179,2010,"Sat, Feb 5",St. Bonaventure Bonnies,Duquesne Dukes,"12-10, 4-5 Conf","16-6, 8-1 Conf",64,62,,,Final,,36,28,,32,30,,NCAAB
11,310470179,2010,"Wed, Feb 16",St. Bonaventure Bonnies,Saint Louis Billikens,"14-10, 6-5 Conf","8-17, 3-9 Conf",83,73,,,Final,,32,51,,21,52,,NCAAB
12,310540179,2010,"Wed, Feb 23",St. Bonaventure Bonnies,Fordham Rams,"15-11, 7-6 Conf","6-19, 0-13 Conf",82,63,,,Final,,37,45,,23,40,,NCAAB
13,310612184,2010,"Wed, Mar 2",Duquesne Dukes,St. Bonaventure Bonnies,"18-10, 10-5 Conf","15-13, 7-8 Conf",70,64,,,Final,,37,33,,31,33,,NCAAB
14,303162099,2010,"Fri, Nov 12",Canisius Golden Griffins,St. Bonaventure Bonnies,"1-0, 1-0 Home","0-1, 0-1 Away",80,70,,,Final,,37,43,,33,37,,NCAAB
