ESPN ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
273170005,2007,"November 13, 2007",UAB Blazers,Stetson Hatters,2-0,1-1,86,49,,,Final,,33,53,,23,26,,NCAAB
273210056,2007,"November 17, 2007",Rhode Island Rams,Stetson Hatters,4-0,1-3,80,65,,,Final,,43,37,,29,36,,NCAAB
273250056,2007,"November 21, 2007",Stetson Hatters,Bethune-Cookman Wildcats,"2-4, 2-0 Home","0-4, 0-2 Away",62,51,,,Final,,21,41,,23,28,,NCAAB
273340052,2007,"November 30, 2007",Florida State Seminoles,Stetson Hatters,"7-2, 4-1 Home","2-6, 0-2 Away",72,59,,,Final,,29,43,,21,38,,NCAAB
273512390,2007,"December 17, 2007",Miami Hurricanes,Stetson Hatters,"10-0, 5-0 Home","2-8, 0-3 Away",89,53,,,Final,,42,47,,25,28,,NCAAB
273632344,2007,"December 29, 2007",Longwood Lancers,Stetson Hatters,"4-12, 4-2 Home","3-9, 1-4 Away",78,76,,,Final,,33,45,,31,45,,NCAAB
280030294,2007,"January 03, 2008",Jacksonville Dolphins,Stetson Hatters,"4-8, 1-0 Conf","4-10, 0-1 Conf",98,94,,,Final/3OT,,26,47,25.0,39,34,21.0,NCAAB
280110526,2007,"January 11, 2008",Florida Gulf Coast Eagles,Stetson Hatters,"5-11, 1-2 Conf","6-10, 2-1 Conf",62,70,,,Final,,30,32,,32,38,,NCAAB
280190056,2007,"January 19, 2008",Stetson Hatters,Mercer Bears,"8-10, 4-1 Conf","8-10, 3-2 Conf",76,74,,,Final,,38,38,,30,44,,NCAAB
280242241,2007,"January 24, 2008",Gardner-Webb Bulldogs,Stetson Hatters,"9-11, 3-3 Conf","9-11, 4-2 Conf",55,50,,,Final,,31,24,,24,26,,NCAAB
280310056,2007,"January 31, 2008",Stetson Hatters,Belmont Bruins,"10-12, 5-3 Conf","14-8, 6-2 Conf",75,83,,,Final,,26,49,,37,46,,NCAAB
280390056,2007,"February 08, 2008",Stetson Hatters,South Carolina Upstate Spartans,"11-13, 6-4 Conf","6-18, 4-6 Conf",72,64,,,Final,,38,34,,18,46,,NCAAB
280450338,2007,"February 14, 2008",Kennesaw State Owls,Stetson Hatters,"7-19, 4-8 Conf","12-14, 7-5 Conf",75,67,,,Final,,30,45,,28,39,,NCAAB
280500056,2007,"February 19, 2008",Stetson Hatters,Savannah St Tigers,"13-15, 8-2 Home","13-17, 5-12 Away",60,63,,,Final/OT,,24,32,4.0,24,32,7.0,NCAAB
280590056,2007,"February 28, 2008",Stetson Hatters,North Florida Ospreys,"15-15, 10-5 Conf","3-25, 1-14 Conf",73,56,,,Final,,31,42,,22,34,,NCAAB
273130056,2007,"November 09, 2007",Stetson Hatters,Palm Beach Atlantic Sailfish,"1-0, 1-0 Home","0-1, 0-1 Away",56,54,,,Final,,33,23,,14,40,,NCAAB
273202226,2007,"November 16, 2007",Florida Atlantic Owls,Stetson Hatters,1-2,1-2,68,62,,,Final,,38,30,,37,25,,NCAAB
