ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
243272124,2005,"Mon, Nov 22",Chaminade Silverswords,Texas Longhorns,,"2-0, 1-0 Away",62,84,NULL,NULL,Final,NULL,28,34,NULL,39,45,NULL,NCAAB
243292633,2005,"Wed, Nov 24",Tennessee Volunteers,Texas Longhorns,"1-2, 1-2 Home","3-1, 2-1 Away",70,95,NULL,NULL,Final,NULL,35,35,NULL,46,49,NULL,NCAAB
243392550,2005,"Sat, Dec 4",Seton Hall Pirates,Texas Longhorns,"2-2, 1-2 Home","5-1, 3-1 Away",62,70,NULL,NULL,Final,NULL,27,35,NULL,38,32,NULL,NCAAB
243500251,2005,"Wed, Dec 15",Texas Longhorns,UT Arlington Mavericks,"7-1, 4-0 Home","4-3, 1-3 Away",85,70,NULL,NULL,Final,NULL,52,33,NULL,29,41,NULL,NCAAB
243570251,2005,"Wed, Dec 22",Texas Longhorns,Centenary Gentlemen,"8-2, 5-0 Home","2-7, 0-5 Away",97,52,NULL,NULL,Final,NULL,42,55,NULL,12,40,NULL,NCAAB
250020251,2005,"Sun, Jan 2",Texas Longhorns,UNLV Rebels,"10-2, 7-0 Home","6-5, 2-3 Away",89,82,NULL,NULL,Final,NULL,40,49,NULL,34,48,NULL,NCAAB
250090251,2005,"Sun, Jan 9",Texas Longhorns,Baylor Bears,"12-2, 1-0 Conf","7-4, 0-1 Conf",79,60,NULL,NULL,Final,NULL,45,34,NULL,37,23,NULL,NCAAB
250150158,2005,"Sat, Jan 15",Nebraska Cornhuskers,Texas Longhorns,"8-5, 2-1 Conf","13-3, 2-1 Conf",53,63,NULL,NULL,Final,NULL,26,27,NULL,26,37,NULL,NCAAB
250220201,2005,"Sat, Jan 22",Oklahoma Sooners,Texas Longhorns,"15-2, 4-0 Conf","14-4, 3-2 Conf",64,60,NULL,NULL,Final,NULL,27,37,NULL,32,28,NULL,NCAAB
250292305,2005,"Sat, Jan 29",Kansas Jayhawks,Texas Longhorns,"16-1, 6-0 Conf","15-5, 4-3 Conf",90,65,NULL,NULL,Final,NULL,43,47,NULL,28,37,NULL,NCAAB
250390038,2005,"Tue, Feb 8",Colorado Buffaloes,Texas Longhorns,"12-9, 4-6 Conf","15-7, 4-5 Conf",88,79,NULL,NULL,Final,NULL,40,48,NULL,25,54,NULL,NCAAB
250470251,2005,"Wed, Feb 16",Texas Longhorns,Texas A&M Aggies,"17-7, 6-5 Conf","15-7, 4-7 Conf",75,40,NULL,NULL,Final,NULL,37,38,NULL,16,24,NULL,NCAAB
250532641,2005,"Tue, Feb 22",Texas Tech Red Raiders,Texas Longhorns,"17-7, 9-4 Conf","18-8, 7-6 Conf",69,65,NULL,NULL,Final,NULL,30,39,NULL,33,32,NULL,NCAAB
250590251,2005,"Mon, Feb 28",Texas Longhorns,Oklahoma Sooners,"19-9, 8-7 Conf","22-6, 11-4 Conf",58,74,NULL,NULL,Final,NULL,29,29,NULL,39,35,NULL,NCAAB
243240251,2005,"Fri, Nov 19",Texas Longhorns,Texas State Bobcats,"1-0, 1-0 Home","0-1, 0-1 Away",95,63,NULL,NULL,Final,NULL,50,45,NULL,35,28,NULL,NCAAB
243282294,2005,"Tue, Nov 23",Iowa Hawkeyes,Texas Longhorns,"3-0, 2-0 Home","2-1, 1-1 Away",82,80,NULL,NULL,Final,NULL,37,45,NULL,38,42,NULL,NCAAB
243340251,2005,"Mon, Nov 29",Texas Longhorns,Coppin State Eagles,"4-1, 2-0 Home","0-3, 0-3 Away",86,50,NULL,NULL,Final,NULL,42,44,NULL,29,21,NULL,NCAAB
243420251,2005,"Tue, Dec 7",Texas Longhorns,North Texas Mean Green,"6-1, 3-0 Home","3-3, 0-2 Away",86,57,NULL,NULL,Final,NULL,46,40,NULL,24,33,NULL,NCAAB
243530154,2005,"Sat, Dec 18",Wake Forest Demon Deacons,Texas Longhorns,"9-1, 5-0 Home","7-2, 3-2 Away",89,88,NULL,NULL,Final,NULL,49,40,NULL,45,43,NULL,NCAAB
243640251,2005,"Wed, Dec 29",Texas Longhorns,UTSA Roadrunners,"9-2, 6-0 Home","4-5, 0-5 Away",100,82,NULL,NULL,Final,NULL,49,51,NULL,47,35,NULL,NCAAB
250060251,2005,"Thu, Jan 6",Texas Longhorns,Memphis Tigers,"11-2, 8-0 Home","7-7, 2-3 Away",74,67,NULL,NULL,Final,NULL,36,38,NULL,36,31,NULL,NCAAB
250120245,2005,"Wed, Jan 12",Texas A&M Aggies,Texas Longhorns,"12-1, 1-1 Conf","12-3, 1-1 Conf",74,63,NULL,NULL,Final,NULL,37,37,NULL,22,41,NULL,NCAAB
250170251,2005,"Mon, Jan 17",Texas Longhorns,Oklahoma State Cowboys,"14-3, 3-1 Conf","13-2, 3-1 Conf",75,61,NULL,NULL,Final,NULL,39,36,NULL,27,34,NULL,NCAAB
250250251,2005,"Tue, Jan 25",Texas Longhorns,Texas Tech Red Raiders,"15-4, 4-2 Conf","11-5, 3-2 Conf",80,73,NULL,NULL,Final,NULL,32,48,NULL,25,48,NULL,NCAAB
250360251,2005,"Sat, Feb 5",Texas Longhorns,Iowa State Cyclones,"15-6, 4-4 Conf","11-8, 3-5 Conf",80,92,NULL,NULL,Final/OT,NULL,31,37,12,36,32,24,NCAAB
