ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
213242567,2002,"November 20, 2002",SMU Mustangs,Texas Tech Red Raiders,"2-1, 2-1 Home","2-0, 1-0 Away",75,78,,,Final,,38,37,,43,35,,NCAAB
213302641,2002,"November 26, 2002",Texas Tech Red Raiders,UTEP Miners,"3-1, 2-1 Home","1-2, 0-2 Away",81,56,,,Final,,40,41,,30,26,,NCAAB
213352641,2002,"December 01, 2002",Texas Tech Red Raiders,TCU Horned Frogs,"5-1, 3-1 Home",16-15,99,86,,,Final,,53,46,,35,51,,NCAAB
213512641,2002,"December 17, 2002",Texas Tech Red Raiders,Louisiana Ragin' Cajuns,"7-1, 4-1 Home","5-4, 1-3 Away",89,72,,,Final,,39,50,,24,48,,NCAAB
213642641,2002,"December 30, 2002",Texas Tech Red Raiders,Minnesota Golden Gophers,"9-1, 6-1 Home","7-4, 0-3 Away",80,60,,,Final,,37,43,,37,23,,NCAAB
220062641,2002,"January 06, 2003",Texas Tech Red Raiders,Kansas State Wildcats,"11-1, 1-0 Conf","6-6, 0-1 Conf",74,49,,,Final,,33,41,,26,23,,NCAAB
220120201,2002,"January 12, 2003",Oklahoma Sooners,Texas Tech Red Raiders,"13-1, 2-0 Conf","12-2, 2-1 Conf",98,72,,,Final,,50,48,,28,44,,NCAAB
220192641,2002,"January 19, 2003",Texas Tech Red Raiders,Oklahoma State Cowboys,"13-3, 3-2 Conf","12-3, 2-3 Conf",94,70,,,Final,,41,53,,39,31,,NCAAB
220300158,2002,"January 30, 2003",Nebraska Cornhuskers,Texas Tech Red Raiders,"10-9, 3-5 Conf","14-4, 4-3 Conf",80,69,,,Final,,42,38,,38,31,,NCAAB
220370197,2002,"February 06, 2003",Oklahoma State Cowboys,Texas Tech Red Raiders,"15-5, 5-5 Conf","15-5, 5-4 Conf",64,62,,,Final,,32,32,,35,27,,NCAAB
220432641,2002,"February 12, 2003",Texas Tech Red Raiders,Baylor Bears,"16-6, 6-5 Conf","13-9, 4-7 Conf",90,65,,,Final,,49,41,,26,39,,NCAAB
220512641,2002,"February 20, 2003",Texas Tech Red Raiders,Missouri Tigers,"18-6, 8-5 Conf","16-9, 6-6 Conf",91,68,,,Final,,12-6,3,,15-3,-,,NCAAB
220570251,2002,"February 26, 2003",Texas Longhorns,Texas Tech Red Raiders,"18-9, 9-6 Conf","19-7, 9-6 Conf",96,71,,,Final,,15-3,2,,17-1,-,,NCAAB
220662641,2002,"March 07, 2003",Texas Tech Red Raiders,Texas A&M Aggies,"21-7, 10-6 Conf","8-20, 3-13 Conf",80,71,,,Final,,12-6,3,,15-3,-,,NCAAB
213202641,2002,"November 16, 2002",Texas Tech Red Raiders,William & Mary Tribe,"1-0, 1-0 Home","0-1, 0-1 Away",75,55,,,Final,,43,32,,27,28,,NCAAB
213282641,2002,"November 24, 2002",Texas Tech Red Raiders,Sam Houston State Bearkats,"2-1, 1-1 Home","1-1, 1-1 Away",65,69,,,Final,,42,23,,26,43,,NCAAB
213320166,2002,"November 28, 2002",New Mexico State Aggies,Texas Tech Red Raiders,"3-1, 2-1 Home","4-1, 2-0 Away",80,81,,,Final/OT,,32,40,8.0,33,39,9.0,NCAAB
213480248,2002,"December 14, 2002",Houston Cougars,Texas Tech Red Raiders,18-15,"6-1, 3-0 Away",64,71,,,Final,,33,31,,31,40,,NCAAB
213562641,2002,"December 22, 2002",Texas Tech Red Raiders,Stetson Hatters,"8-1, 5-1 Home","4-4, 1-4 Away",101,47,,,Final,,55,46,,28,19,,NCAAB
220012641,2002,"January 01, 2003",Texas Tech Red Raiders,Wyoming Cowboys,"10-1, 7-1 Home","8-4, 1-4 Away",90,84,,,Final,,52,38,,34,50,,NCAAB
220090245,2002,"January 09, 2003",Texas A&M Aggies,Texas Tech Red Raiders,"5-8, 0-2 Conf","12-1, 2-0 Conf",70,72,,,Final,,38,32,,41,31,,NCAAB
220142641,2002,"January 14, 2003",Texas Tech Red Raiders,Texas Longhorns,"12-3, 2-2 Conf","12-3, 3-0 Conf",71,74,,,Final/OT,,37,27,7.0,36,28,10.0,NCAAB
220262641,2002,"January 26, 2003",Texas Tech Red Raiders,Oklahoma Sooners,"14-3, 4-2 Conf","15-3, 4-2 Conf",92,79,,,Final,,40,52,,37,42,,NCAAB
220332641,2002,"February 02, 2003",Texas Tech Red Raiders,Iowa State Cyclones,"15-4, 5-3 Conf","8-13, 1-8 Conf",69,43,,,Final,,26,43,,14,29,,NCAAB
220402305,2002,"February 09, 2003",Kansas Jayhawks,Texas Tech Red Raiders,"19-2, 10-0 Conf","15-6, 5-5 Conf",108,81,,,Final,,52,56,,38,43,,NCAAB
220470038,2002,"February 16, 2003",Colorado Buffaloes,Texas Tech Red Raiders,"13-9, 4-7 Conf","17-6, 7-5 Conf",79,97,,,Final,,33,46,,43,54,,NCAAB
220542641,2002,"February 23, 2003",Texas Tech Red Raiders,Texas A&M Aggies,"19-6, 9-5 Conf","8-17, 3-11 Conf",74,53,,,Final,,12-6,3,,15-3,-,,NCAAB
220610239,2002,"March 02, 2003",Baylor Bears,Texas Tech Red Raiders,"13-14, 4-12 Conf","20-7, 10-6 Conf",89,91,,,Final,,15-3,2,,17-1,-,,NCAAB
220670197,2002,"March 08, 2003",Oklahoma State Cowboys,Texas Tech Red Raiders,"19-7, 9-6 Conf","22-7, 10-6 Conf",51,73,,,Final,,17,34,,30,43,,NCAAB
224000023,2002,"March 15, 2003",Texas Tech Red Raiders,Southern Illinois Salukis,"22-9, 15-2 Home","24-5, 9-4 Away",68,76,,,Final,,29,39,,32,44,,NCAAB
220682305,2002,"March 09, 2003",Kansas Jayhawks,Texas Tech Red Raiders,"27-2, 16-0 Conf","22-8, 10-6 Conf",90,50,,,Final,,51,39,,22,28,,NCAAB
