ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
293250026,2010,"November 20, 2009",UCLA Bruins,CSU Bakersfield Roadrunners,"1-1, 1-1 Home","1-2, 0-1 Away",75,64,,,Final,,35,40,,35,29,,NCAAB
293300026,2010,"November 26, 2009",UCLA Bruins,Portland Pilots,2-2,4-0,47,74,,,Final,,19,28,,36,38,,NCAAB
293330299,2010,"November 29, 2009",Long Beach State 49ers,UCLA Bruins,4-3,2-4,79,68,,,Final,,32,47,,31,37,,NCAAB
293460026,2010,"December 12, 2009",UCLA Bruins,Mississippi State Bulldogs,2-6,7-2,54,72,,,Final,,19,35,,40,32,,NCAAB
293530087,2010,"December 19, 2009",Notre Dame Fighting Irish,UCLA Bruins,"10-2, 9-1 Home","3-7, 0-1 Away",84,73,,,Final,,40,44,,36,37,,NCAAB
293620026,2010,"December 27, 2009",UCLA Bruins,Delaware State Hornets,"5-7, 5-2 Home","4-6, 0-5 Away",66,49,,,Final,,38,28,,19,30,,NCAAB
300030026,2010,"January 2, 2010",UCLA Bruins,Arizona Wildcats,"6-8, 1-1 Conf","7-7, 1-1 Conf",63,77,,,Final,,20,43,,35,42,,NCAAB
300100024,2010,"January 9, 2010",Stanford Cardinal,UCLA Bruins,"8-7, 2-1 Conf","7-9, 2-2 Conf",70,59,,,Final,,34,36,,33,26,,NCAAB
300220026,2010,"January 21, 2010",UCLA Bruins,Washington Huskies,"8-10, 3-3 Conf","12-6, 3-4 Conf",62,61,,,Final,,37,25,,41,20,,NCAAB
300292483,2010,"January 28, 2010",Oregon Ducks,UCLA Bruins,"11-9, 3-5 Conf","9-11, 4-4 Conf",71,66,,,Final/OT,,28,27,16,31,24,11,NCAAB
300360026,2010,"February 4, 2010",UCLA Bruins,Stanford Cardinal,"11-11, 6-4 Conf","10-12, 4-6 Conf",77,73,,,Final,,29,48,,32,41,,NCAAB
300460030,2010,"February 14, 2010",USC Trojans,UCLA Bruins,"15-9, 7-5 Conf","11-13, 6-6 Conf",68,64,,,Final,,32,36,,29,35,,NCAAB
300510264,2010,"February 20, 2010",Washington Huskies,UCLA Bruins,"18-9, 8-7 Conf","12-14, 7-7 Conf",97,68,,,Final,,49,48,,26,42,,NCAAB
300590026,2010,"February 27, 2010",UCLA Bruins,Oregon Ducks,"13-15, 8-8 Conf","14-14, 6-10 Conf",68,70,,,Final,,31,37,,41,29,,NCAAB
300660009,2010,"March 6, 2010",Arizona State Sun Devils,UCLA Bruins,"22-9, 12-6 Conf","13-17, 8-10 Conf",56,46,,,Final,,32,24,,21,25,,NCAAB
293200026,2010,"November 17, 2009",UCLA Bruins,CSU Fullerton Titans,"0-1, 0-1 Home","2-0, 1-0 Away",65,68,,,Final/2OT,,27,30,8,33,24,11,NCAAB
293270026,2010,"November 23, 2009",UCLA Bruins,Pepperdine Waves,"2-1, 2-1 Home","1-3, 0-1 Away",71,52,,,Final,,28,43,,20,32,,NCAAB
293310026,2010,"November 27, 2009",UCLA Bruins,Butler Bulldogs,2-3,4-1,67,69,,,Final,,35,32,,42,27,,NCAAB
293400026,2010,"December 6, 2009",UCLA Bruins,Kansas Jayhawks,"2-5, 2-2 Home","7-0, 1-0 Away",61,73,,,Final,,28,33,,35,38,,NCAAB
293500026,2010,"December 15, 2009",UCLA Bruins,New Mexico State Aggies,"3-6, 3-2 Home","3-6, 1-4 Away",100,68,,,Final,,47,53,,26,42,,NCAAB
293560026,2010,"December 22, 2009",UCLA Bruins,Colorado State Rams,"4-7, 4-2 Home","8-4, 0-4 Away",75,63,,,Final,,34,41,,34,29,,NCAAB
293650026,2010,"December 31, 2009",UCLA Bruins,Arizona State Sun Devils,"6-7, 1-0 Conf","10-4, 0-1 Conf",72,70,,,Final,,42,30,,31,39,,NCAAB
300070025,2010,"January 6, 2010",California Golden Bears,UCLA Bruins,"9-5, 1-1 Conf","7-8, 2-1 Conf",75,76,,,Final/OT,,34,31,10,26,39,11,NCAAB
300170026,2010,"January 16, 2010",UCLA Bruins,USC Trojans,"7-10, 2-3 Conf","11-6, 3-2 Conf",46,67,,,Final,,21,25,,33,34,,NCAAB
300240026,2010,"January 23, 2010",UCLA Bruins,Washington State Cougars,"9-10, 4-3 Conf","14-6, 4-4 Conf",74,62,,,Final,,30,44,,27,35,,NCAAB
300310204,2010,"January 30, 2010",Oregon State Beavers,UCLA Bruins,"9-12, 3-6 Conf","10-11, 5-4 Conf",52,62,,,Final,,18,34,,24,38,,NCAAB
300380026,2010,"February 6, 2010",UCLA Bruins,California Golden Bears,"11-12, 6-5 Conf","15-8, 7-4 Conf",58,72,,,Final,,30,28,,37,35,,NCAAB
