ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
323172378,2012,"November 12, 2012",UMBC Retrievers,Eastern University Eagles,"1-1, 1-0 Home",,70,52,,,Final,,34,36,,22,30,,NCAAB
323252378,2012,"November 20, 2012",UMBC Retrievers,Central Connecticut Blue Devils,"1-3, 1-1 Home","3-2, 2-1 Away",82,83,,,Final/OT,,39,36,7.0,40,35,8.0,NCAAB
323342378,2012,"November 29, 2012",UMBC Retrievers,Canisius Golden Griffins,"1-5, 1-2 Home","4-1, 1-1 Away",65,83,,,Final,,24,41,,36,47,,NCAAB
323392244,2012,"December 04, 2012",George Mason Patriots,UMBC Retrievers,"6-3, 3-0 Home","2-6, 0-4 Away",74,63,,,Final,,30,44,,20,43,,NCAAB
323442450,2012,"December 09, 2012",Norfolk State Spartans,UMBC Retrievers,"6-5, 2-0 Home","2-8, 0-5 Away",83,66,,,Final,,42,41,,29,37,,NCAAB
323570305,2012,"December 22, 2012",DePaul Blue Demons,UMBC Retrievers,"9-3, 6-1 Home","2-10, 0-6 Away",69,61,,,Final,ESPN3,38,31,,30,31,,NCAAB
330020399,2012,"January 02, 2013",Albany Great Danes,UMBC Retrievers,"12-3, 1-0 Conf","2-12, 0-1 Conf",65,48,,,Final,,30,35,,24,24,,NCAAB
330092378,2012,"January 09, 2013",UMBC Retrievers,New Hampshire Wildcats,"3-13, 1-2 Conf","4-11, 0-3 Conf",68,57,,,Final,,33,35,,29,28,,NCAAB
330162378,2012,"January 16, 2013",UMBC Retrievers,Hartford Hawks,"4-14, 2-3 Conf","10-8, 3-2 Conf",70,57,,,Final,,32,38,,12,45,,NCAAB
330260104,2012,"January 26, 2013",Boston Univ. Terriers,UMBC Retrievers,"11-10, 5-3 Conf","4-16, 2-5 Conf",81,75,,,Final,,31,50,,32,43,,NCAAB
330332378,2012,"February 02, 2013",UMBC Retrievers,Maine Black Bears,"6-16, 4-5 Conf","8-14, 3-6 Conf",68,67,,,Final,,26,42,,39,28,,NCAAB
330402378,2012,"February 09, 2013",UMBC Retrievers,Vermont Catamounts,"6-18, 4-7 Conf","16-7, 9-2 Conf",55,67,,,Final,,19,36,,34,33,,NCAAB
330502619,2012,"February 19, 2013",Stony Brook Seawolves,UMBC Retrievers,"20-6, 11-2 Conf","6-20, 4-9 Conf",83,39,,,Final,,47,36,,29,10,,NCAAB
330590042,2012,"February 28, 2013",Hartford Hawks,UMBC Retrievers,"16-12, 9-6 Conf","6-22, 4-11 Conf",68,56,,,Final,,20,48,,24,32,,NCAAB
330680042,2012,"March 09, 2013",Hartford Hawks,UMBC Retrievers,"17-13, 10-6 Conf","8-22, 5-11 Conf",62,69,,,Final,ESPN3,24,38,,22,47,,NCAAB
323140219,2012,"November 09, 2012",Pennsylvania Quakers,UMBC Retrievers,"1-0, 1-0 Home","0-1, 0-1 Away",80,75,,,Final,,34,46,,48,27,,NCAAB
323192352,2012,"November 14, 2012",Loyola (MD) Greyhounds,UMBC Retrievers,"2-1, 2-0 Home","1-2, 0-2 Away",86,70,,,Final,,45,41,,30,40,,NCAAB
323310269,2012,"November 26, 2012",Marquette Golden Eagles,UMBC Retrievers,"5-1, 3-0 Home","1-4, 0-3 Away",79,46,,,Final,ESPN3,28,51,,24,22,,NCAAB
323362378,2012,"December 01, 2012",UMBC Retrievers,Towson Tigers,"2-5, 2-2 Home","3-4, 0-4 Away",66,62,,,Final,,23,43,,22,40,,NCAAB
323412378,2012,"December 06, 2012",UMBC Retrievers,American Eagles,"2-7, 2-3 Home","4-5, 2-4 Away",70,73,,,Final/2OT,,24,38,8.0,32,30,11.0,NCAAB
323472378,2012,"December 12, 2012",UMBC Retrievers,Coppin State Eagles,"2-9, 2-4 Home","2-8, 1-4 Away",61,80,,,Final,,30,31,,41,39,,NCAAB
323640116,2012,"December 29, 2012",Mt. St. Mary's Mountaineers,UMBC Retrievers,"5-6, 3-0 Home","2-11, 0-7 Away",58,55,,,Final,,26,32,,25,30,,NCAAB
330050311,2012,"January 05, 2013",Maine Black Bears,UMBC Retrievers,"7-8, 2-0 Conf","2-13, 0-2 Conf",81,66,,,Final,,37,44,,29,37,,NCAAB
330120261,2012,"January 12, 2013",Vermont Catamounts,UMBC Retrievers,"10-6, 3-1 Conf","3-14, 1-3 Conf",68,53,,,Final,,27,41,,21,32,,NCAAB
330232378,2012,"January 23, 2013",UMBC Retrievers,Stony Brook Seawolves,"4-15, 2-4 Conf","14-5, 5-1 Conf",60,67,,,Final,,26,34,,33,34,,NCAAB
330302066,2012,"January 30, 2013",Binghamton Bearcats,UMBC Retrievers,"3-18, 1-7 Conf","5-16, 3-5 Conf",58,61,,,Final,ESPN3,26,32,,27,34,,NCAAB
330372378,2012,"February 06, 2013",UMBC Retrievers,Albany Great Danes,"6-17, 4-6 Conf","18-7, 7-4 Conf",56,79,,,Final,,19,37,,36,43,,NCAAB
330440160,2012,"February 13, 2013",New Hampshire Wildcats,UMBC Retrievers,"7-16, 3-8 Conf","6-19, 4-8 Conf",92,86,,,Final/OT,,33,41,18.0,43,31,12.0,NCAAB
330542378,2012,"February 23, 2013",UMBC Retrievers,Boston Univ. Terriers,"6-21, 4-10 Conf","17-11, 11-4 Conf",59,68,,,Final,,17,42,,28,40,,NCAAB
330622378,2012,"March 03, 2013",UMBC Retrievers,Binghamton Bearcats,"7-22, 5-11 Conf","3-26, 1-15 Conf",59,49,,,Final,,26,33,,25,24,,NCAAB
330690261,2012,"March 10, 2013",Vermont Catamounts,UMBC Retrievers,"21-10, 11-5 Conf","8-23, 5-11 Conf",85,72,,,Final,ESPN3,37,48,,40,32,,NCAAB
