ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
400841184,2016,"November 16, 2015",UNC Wilmington Seahawks,Eastern Kentucky Colonels,"2-0, 2-0 Home","1-1, 0-1 Away",78,59,,,Final,,38,40,,27,32,,NCAAB
400841186,2016,"November 28, 2015",East Tennessee State Buccaneers,UNC Wilmington Seahawks,"3-3, 2-1 Home","4-0, 1-0 Away",73,94,,,Final,,37,36,,48,46,,NCAAB
400840257,2016,"December 12, 2015",Georgetown Hoyas,UNC Wilmington Seahawks,"6-3, 5-1 Home","5-1, 1-1 Away",87,82,,,Final,CBSSN,38,49,,28,54,,NCAAB
400839131,2016,"December 19, 2015",Radford Highlanders,UNC Wilmington Seahawks,"7-5, 3-2 Home","5-3, 1-3 Away",69,67,,,Final,,31,38,,34,33,,NCAAB
400840007,2016,"December 23, 2015",UMKC Kangaroos,UNC Wilmington Seahawks,7-6,7-3,56,76,,,Final,,28,28,,44,32,,NCAAB
400833261,2016,"December 31, 2015",UNC Wilmington Seahawks,Drexel Dragons,"9-3, 1-0 Conf","2-10, 0-1 Conf",75,63,,,Final,,41,34,,30,33,,NCAAB
400833376,2016,"January 7, 2016",Towson Tigers,UNC Wilmington Seahawks,"11-5, 2-1 Conf","9-5, 1-2 Conf",76,60,,,Final,,36,40,,25,35,,NCAAB
400841180,2016,"January 14, 2016",Elon Phoenix,UNC Wilmington Seahawks,"11-7, 2-3 Conf","11-5, 3-2 Conf",82,91,,,Final,,36,46,,38,53,,NCAAB
400833119,2016,"January 21, 2016",UNC Wilmington Seahawks,Delaware Blue Hens,"13-5, 5-2 Conf","5-13, 0-7 Conf",79,70,,,Final,,41,38,,31,39,,NCAAB
400861753,2016,"January 24, 2016",Drexel Dragons,UNC Wilmington Seahawks,"3-16, 1-7 Conf","14-5, 6-2 Conf",71,77,,,Final,,37,34,,32,45,,NCAAB
400833096,2016,"January 30, 2016",UNC Wilmington Seahawks,Charleston Cougars,"16-5, 8-2 Conf","13-8, 5-5 Conf",65,55,,,Final,,37,28,,28,27,,NCAAB
400841190,2016,"February 6, 2016",Northeastern Huskies,UNC Wilmington Seahawks,"12-13, 4-8 Conf","18-5, 10-2 Conf",73,90,,,Final,,39,34,,40,50,,NCAAB
400833364,2016,"February 13, 2016",UNC Wilmington Seahawks,James Madison Dukes,"20-5, 12-2 Conf","19-8, 9-5 Conf",78,68,,,Final,NBCSN,42,36,,29,39,,NCAAB
400833102,2016,"February 20, 2016",Charleston Cougars,UNC Wilmington Seahawks,"16-11, 8-8 Conf","21-6, 13-3 Conf",55,59,,,Final/OT,,21,28,6,29,20,10,NCAAB
400833382,2016,"February 27, 2016",UNC Wilmington Seahawks,Towson Tigers,"22-7, 14-4 Conf","20-11, 11-7 Conf",74,68,,,Final,,37,37,,33,35,,NCAAB
400870219,2016,"March 6, 2016",UNC Wilmington Seahawks,Northeastern Huskies,"24-7, 14-4 Conf","18-15, 9-9 Conf",73,70,,,Final,,34,39,,32,38,,NCAAB
400841183,2016,"November 13, 2015",UNC Wilmington Seahawks,Milligan Buffaloes,"1-0, 1-0 Home",,100,62,,,Final,,52,48,,35,27,,NCAAB
400841185,2016,"November 21, 2015",UNC Wilmington Seahawks,Western Michigan Broncos,"3-0, 3-0 Home","1-2, 0-2 Away",80,76,,,Final,,38,42,,45,31,,NCAAB
