ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
323222439,2013,"November 17, 2012",UNLV Rebels,Jacksonville State Gamecocks,"2-0, 2-0 Home","3-1, 0-1 Away",77,58,,,Final,,32,45,,14,44,,NCAAB
323292439,2013,"November 24, 2012",UNLV Rebels,Iowa State Cyclones,"3-1, 3-1 Home","4-2, 0-1 Away",82,70,,,Final,,36,46,,34,36,,NCAAB
323362439,2013,"December 1, 2012",UNLV Rebels,Hawai'i Rainbow Warriors,"5-1, 5-1 Home","4-2, 0-1 Away",77,63,,,Final,,49,28,,27,36,,NCAAB
323440025,2013,"December 9, 2012",California Golden Bears,UNLV Rebels,"6-2, 2-1 Home","7-1, 2-0 Away",75,76,,,Final,ESPNU,38,37,,45,31,,NCAAB
323522638,2013,"December 17, 2012",UTEP Miners,UNLV Rebels,"3-5, 3-1 Home","9-1, 3-0 Away",60,62,,,Final,CCSN,22,38,,31,31,,NCAAB
323572439,2013,"December 22, 2012",UNLV Rebels,Canisius Golden Griffins,"11-1, 8-1 Home","8-3, 4-3 Away",89,74,,,Final,,46,43,,39,35,,NCAAB
330032439,2013,"January 3, 2013",UNLV Rebels,Chicago State Cougars,"12-2, 9-1 Home","4-13, 1-10 Away",74,52,,,Final,,39,35,,21,31,,NCAAB
330090167,2013,"January 9, 2013",New Mexico Lobos,UNLV Rebels,"14-2, 1-0 Conf","13-3, 0-1 Conf",65,60,,,Final,CCSN,34,31,,30,30,,NCAAB
330160021,2013,"January 16, 2013",San Diego State Aztecs,UNLV Rebels,"14-3, 2-1 Conf","15-3, 2-1 Conf",75,82,,,Final,CCSN,42,33,,48,34,,NCAAB
330242439,2013,"January 24, 2013",UNLV Rebels,Wyoming Cowboys,"16-4, 3-2 Conf","15-3, 2-3 Conf",62,50,,,Final,CCSN,29,33,,25,25,,NCAAB
330330068,2013,"February 2, 2013",Boise State Broncos,UNLV Rebels,"15-6, 3-4 Conf","17-5, 4-3 Conf",77,72,,,Final,,42,35,,35,37,,NCAAB
330402439,2013,"February 9, 2013",UNLV Rebels,New Mexico Lobos,"18-6, 5-4 Conf","20-4, 7-2 Conf",64,55,,,Final,NBCSN,37,27,,23,32,,NCAAB
330472439,2013,"February 16, 2013",UNLV Rebels,San Diego State Aztecs,"19-7, 6-5 Conf","18-7, 6-5 Conf",72,70,,,Final,NBCSN,34,38,,40,30,,NCAAB
330542751,2013,"February 23, 2013",Wyoming Cowboys,UNLV Rebels,"18-9, 4-9 Conf","21-7, 8-5 Conf",42,65,,,Final,,12,30,,32,33,,NCAAB
330642439,2013,"March 5, 2013",UNLV Rebels,Boise State Broncos,"23-7, 10-5 Conf","20-9, 8-7 Conf",68,64,,,Final,,25,43,,32,32,,NCAAB
330722439,2013,"March 13, 2013",UNLV Rebels,Air Force Falcons,"24-8, 10-6 Conf","17-13, 8-8 Conf",72,56,,,Final,CCSN,33,39,,20,36,,NCAAB
323172439,2013,"November 12, 2012",UNLV Rebels,Northern Arizona Lumberjacks,"1-0, 1-0 Home","0-2, 0-2 Away",92,54,,,Final,,45,47,,23,31,,NCAAB
323282439,2013,"November 23, 2012",UNLV Rebels,Oregon Ducks,"2-1, 2-1 Home","5-0, 1-0 Away",79,83,,,Final,CCSN,37,42,,40,43,,NCAAB
323332439,2013,"November 28, 2012",UNLV Rebels,UC Irvine Anteaters,"4-1, 4-1 Home","3-5, 0-3 Away",85,57,,,Final,,34,51,,26,31,,NCAAB
323392501,2013,"December 4, 2012",Portland Pilots,UNLV Rebels,"3-5, 3-1 Home","6-1, 1-0 Away",60,68,,,Final,ESPNU,28,32,,22,46,,NCAAB
323482439,2013,"December 13, 2012",UNLV Rebels,La Verne Leopards,"8-1, 6-1 Home",,91,44,,,Final,,38,53,,21,23,,NCAAB
323542439,2013,"December 19, 2012",UNLV Rebels,Northern Iowa Panthers,"10-1, 7-1 Home","6-5, 1-1 Away",73,59,,,Final,,43,30,,22,37,,NCAAB
323640153,2013,"December 29, 2012",North Carolina Tar Heels,UNLV Rebels,"10-3, 7-0 Home","11-2, 3-1 Away",79,73,,,Final,ESPN2,39,40,,30,43,,NCAAB
330052439,2013,"January 5, 2013",UNLV Rebels,CSU Bakersfield Roadrunners,"13-2, 10-1 Home","6-12, 1-9 Away",84,63,,,Final,,43,41,,31,32,,NCAAB
330122439,2013,"January 12, 2013",UNLV Rebels,Air Force Falcons,"14-3, 1-1 Conf","9-5, 1-1 Conf",76,71,,,Final/OT,,38,24,14,30,32,9,NCAAB
330190036,2013,"January 19, 2013",Colorado State Rams,UNLV Rebels,"15-3, 2-1 Conf","15-4, 2-2 Conf",66,61,,,Final,NBCSN,31,35,,26,35,,NCAAB
330292439,2013,"January 29, 2013",UNLV Rebels,Nevada Wolf Pack,"17-4, 4-2 Conf","11-9, 2-4 Conf",66,54,,,Final,CCSN,34,32,,27,27,,NCAAB
330370278,2013,"February 6, 2013",Fresno State Bulldogs,UNLV Rebels,"8-13, 2-6 Conf","17-6, 4-4 Conf",64,55,,,Final,,24,40,,24,31,,NCAAB
330442005,2013,"February 13, 2013",Air Force Falcons,UNLV Rebels,"15-8, 6-4 Conf","18-7, 5-5 Conf",71,56,,,Final,,43,28,,29,27,,NCAAB
330512439,2013,"February 20, 2013",UNLV Rebels,Colorado State Rams,"20-7, 7-5 Conf","21-5, 8-3 Conf",61,59,,,Final,CCSN,32,29,,21,38,,NCAAB
330612440,2013,"March 2, 2013",Nevada Wolf Pack,UNLV Rebels,"12-16, 3-11 Conf","22-7, 9-5 Conf",63,80,,,Final,NBCSN,25,38,,46,34,,NCAAB
330682439,2013,"March 9, 2013",UNLV Rebels,Fresno State Bulldogs,"23-8, 10-6 Conf","11-18, 5-11 Conf",52,61,,,Final,,31,21,,36,25,,NCAAB
330740036,2013,"March 15, 2013",Colorado State Rams,UNLV Rebels,"25-8, 11-5 Conf","25-8, 10-6 Conf",65,75,,,Final,CCSN,36,29,,42,33,,NCAAB
330802439,2013,"March 21, 2013",UNLV Rebels,California Golden Bears,25-10,21-11,61,64,,,Final,truTV,28,33,,28,36,,NCAAB
330750167,2013,"March 16, 2013",New Mexico Lobos,UNLV Rebels,"29-5, 13-3 Conf","25-9, 10-6 Conf",63,56,,,Final,CBS,34,29,,32,24,,NCAAB
