ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League,home_field_goals,away_field_goals,home_field_goal_pct,away_field_goal_pct,home_three_pointers,away_three_pointers,home_three_point_pct,away_three_point_pct,home_free_throws,away_free_throws,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_total_turnovers,away_total_turnovers,home_fast_break_points,away_fast_break_points,home_points_in_paint,away_points_in_paint,home_fouls,away_fouls,home_largest_lead,away_largest_lead,home_offensive_rebounds,away_offensive_rebounds,home_defensive_rebounds,away_defensive_rebounds,home_points_off_turnovers,away_points_off_turnovers,home_technical_fouls,away_technical_fouls,home_flagrant_fouls,away_flagrant_fouls
401085736,2018,"November 09, 2018",VCU Rams,Hampton Pirates,"2-0, 2-0 Home","1-1, 0-1 Away",69,57,,,Final,ESPN+,35,34,,19,38,,NCAAB,23-54,18-62,42.6,29.0,5-20,3-17,25.0,17.6,18-31,18-24,58.1,75.0,41,44,14,7,8,2,4,3,16,17,,,,,25,26,,,6,12,35,32,,,1,2,0,0
401084687,2018,"November 19, 2018",VCU Rams,Temple Owls,4-0,4-1,57,51,TEM -3.0,148.0,Final,ESPN3,28,29,,21,30,,NCAAB,22-48,20-62,45.8,32.3,6-20,4-28,30.0,14.3,7-13,7-15,53.8,46.7,37,41,11,8,6,13,3,1,19,14,,,,,20,17,17,4,7,17,30,24,,,0,0,0,0
401083857,2018,"November 24, 2018",VCU Rams,Hofstra Pride,"5-1, 4-0 Home","3-3, 0-3 Away",69,67,VCU -4.5,146.0,Final/OT,ESPN+,36,25,8.0,23,38,6.0,NCAAB,30-72,22-60,41.7,36.7,6-30,6-21,20.0,28.6,3-6,17-20,50.0,85.0,41,42,15,9,14,5,5,3,13,19,,,,,20,14,,,15,12,26,30,,,0,0,0,0
401085739,2018,"December 01, 2018",VCU Rams,Iona Gaels,"6-2, 5-0 Home","2-5, 0-4 Away",88,59,VCU -9.5,,Final,ESPN+,46,42,,27,32,,NCAAB,28-66,19-51,42.4,37.3,11-30,4-19,36.7,21.1,21-36,17-23,58.3,73.9,44,40,16,7,14,3,7,3,8,23,,,,,23,27,,,17,9,27,31,,,0,0,0,0
401082767,2018,"December 09, 2018",Virginia Cavaliers,VCU Rams,"9-0, 5-0 Home","7-3, 1-2 Away",57,49,UVA -15.0,122.0,Final,ACCNX,29,28,,24,25,,NCAAB,13-44,18-61,29.5,29.5,5-18,6-29,27.8,20.7,26-30,7-11,86.7,63.6,38,34,9,7,4,2,2,4,12,8,,,,,18,21,9,5,12,15,26,19,,,0,0,0,0
401084738,2018,"December 22, 2018",VCU Rams,Wichita State Shockers,"8-4, 6-1 Home","7-5, 0-2 Away",70,54,VCU -5.5,136.0,Final,ESPN2,37,33,,34,20,,NCAAB,28-56,21-59,50.0,35.6,5-25,6-26,20.0,23.1,9-12,6-10,75.0,60.0,32,38,16,10,10,3,3,1,9,17,,,,,16,18,19,7,8,17,24,21,,,0,0,0,0
401085741,2018,"January 05, 2019",Fordham Rams,VCU Rams,"9-5, 0-1 Conf","10-4, 1-0 Conf",51,76,VCU -7.5,127.0,Final,ESPN+,16,35,,35,41,,NCAAB,17-52,30-45,32.7,66.7,6-21,7-16,28.6,43.8,11-17,9-10,64.7,90.0,27,27,11,17,6,8,1,1,18,19,,,,,11,20,0,33,13,2,14,25,,,0,0,0,0
401085580,2018,"January 12, 2019",Davidson Wildcats,VCU Rams,"12-4, 3-0 Conf","11-5, 2-1 Conf",64,57,DAV -2.5,136.0,Final,CBSSN,28,36,,23,34,,NCAAB,21-55,19-51,38.2,37.3,7-20,4-24,35.0,16.7,15-19,15-20,78.9,75.0,33,37,11,6,3,5,1,4,9,13,,,,,15,19,7,12,7,8,26,29,,,0,0,0,0
401085743,2018,"January 19, 2019",VCU Rams,Massachusetts Minutemen,"13-5, 4-1 Conf","7-11, 0-5 Conf",68,50,VCU -9.5,139.0,Final,NBCSN,32,36,,28,22,,NCAAB,19-42,17-58,45.2,29.3,6-13,5-21,46.2,23.8,24-32,11-17,75.0,64.7,38,35,12,10,7,8,7,4,19,19,,,,,21,29,,,10,18,28,17,,,1,1,0,0
401085635,2018,"January 26, 2019",Duquesne Dukes,VCU Rams,"14-6, 5-2 Conf","14-6, 5-2 Conf",74,80,VCU -4.0,138.0,Final,ESPN+,41,33,,39,41,,NCAAB,25-57,27-56,43.9,48.2,10-27,3-13,37.0,23.1,14-25,23-32,56.0,71.9,29,45,16,14,6,10,8,4,17,13,,,,,25,20,9,11,9,15,20,30,,,1,2,0,0
401085746,2018,"February 06, 2019",George Washington Colonials,VCU Rams,"7-15, 3-6 Conf","16-6, 7-2 Conf",50,60,VCU -7.5,137.0,Final,ESPN+,30,20,,34,26,,NCAAB,15-44,23-54,34.1,42.6,3-14,3-20,21.4,15.0,17-22,11-18,77.3,61.1,29,38,10,12,6,6,1,2,17,14,,,,,18,20,2,12,7,13,22,25,,,0,0,0,0
401085671,2018,"February 13, 2019",VCU Rams,Richmond Spiders,"18-6, 9-2 Conf","10-15, 4-8 Conf",81,60,VCU -11.0,141.0,Final,ESPNU,41,40,,25,35,,NCAAB,27-47,20-43,57.4,46.5,10-22,6-14,45.5,42.9,17-23,14-27,73.9,51.9,29,24,19,12,9,11,5,1,15,16,,,,,23,20,,,7,8,22,16,,,0,0,0,0
401085747,2018,"February 19, 2019",VCU Rams,Rhode Island Rams,"20-6, 11-2 Conf","12-13, 5-8 Conf",76,42,VCU -7.5,134.0,Final,CBSSN,39,37,,22,20,,NCAAB,31-62,13-43,50.0,30.2,11-27,2-11,40.7,18.2,3-4,14-18,75.0,77.8,33,31,23,8,10,3,1,2,7,20,,,,,19,15,,,9,9,24,22,,,0,0,0,0
401085714,2018,"February 26, 2019",VCU Rams,Saint Louis Billikens,"22-6, 13-2 Conf","17-11, 8-7 Conf",71,65,VCU -9.5,128.0,Final,CBSSN,41,30,,27,38,,NCAAB,23-51,23-50,45.1,46.0,7-25,4-15,28.0,26.7,18-25,15-25,72.0,60.0,25,38,13,14,7,9,5,3,12,19,,,,,20,26,,,9,15,16,23,,,1,2,0,0
401085749,2018,"March 05, 2019",George Mason Patriots,VCU Rams,"16-14, 10-7 Conf","24-6, 15-2 Conf",36,71,VCU -6.0,140.0,Final,,21,15,,28,43,,NCAAB,12-49,30-68,24.5,44.1,2-18,6-26,11.1,23.1,10-19,5-7,52.6,71.4,38,42,4,10,6,12,1,5,22,13,,,,,14,21,7,33,14,16,24,26,,,0,0,0,0
