ESPN_ID,Season,Date,Home,Away,Home_Record,Away_Record,Home_Score,Away_Score,Line,Over_Under,Final_Status,Network,H1H,H2H,HOT,A1H,A2H,AOT,League
313162005,2012,"November 12, 2011",Air Force Falcons,VMI Keydets,"2-0, 2-0 Home","1-1, 0-1 Away",75,65,,,Final,,38,37,,28,37,,NCAAB
313232678,2012,"November 19, 2011",VMI Keydets,UMBC Retrievers,"3-1, 2-0 Home","0-4, 0-2 Away",84,79,,,Final,,39,45,,40,39,,NCAAB
313350324,2012,"December 1, 2011",Coastal Carolina Chanticleers,VMI Keydets,"6-1, 1-0 Conf","3-3, 0-1 Conf",87,78,,,Final,,38,49,,26,52,,NCAAB
313400221,2012,"December 6, 2011",Pittsburgh Panthers,VMI Keydets,"8-1, 5-1 Home","3-5, 0-5 Away",97,70,,,Final,,57,40,,33,37,,NCAAB
313442678,2012,"December 10, 2011",VMI Keydets,Milligan Buffaloes,"5-5, 0-2 Conf",,122,73,,,Final,,61,61,,37,36,,NCAAB
313560295,2012,"December 22, 2011",Old Dominion Monarchs,VMI Keydets,"6-6, 4-2 Home","5-7, 0-7 Away",81,73,,,Final,,33,48,,33,40,,NCAAB
320022678,2012,"January 2, 2012",VMI Keydets,Gardner-Webb Bulldogs,"7-7, 2-2 Conf","7-9, 2-2 Conf",76,72,,,Final,,39,37,,36,36,,NCAAB
320072737,2012,"January 7, 2012",Winthrop Eagles,VMI Keydets,"6-10, 3-2 Conf","7-9, 2-4 Conf",91,84,,,Final,,36,55,,37,47,,NCAAB
320142678,2012,"January 14, 2012",VMI Keydets,Radford Highlanders,"9-9, 4-4 Conf","3-16, 0-7 Conf",80,76,,,Final,,33,47,,35,41,,NCAAB
320212097,2012,"January 21, 2012",Campbell Fighting Camels,VMI Keydets,"14-8, 8-2 Conf","10-10, 5-5 Conf",80,73,,,Final,,32,48,,27,46,,NCAAB
320332678,2012,"February 2, 2012",VMI Keydets,UNC Asheville Bulldogs,"11-11, 6-6 Conf","17-7, 12-1 Conf",86,89,,,Final,,39,47,,50,39,,NCAAB
320402506,2012,"February 9, 2012",Presbyterian Blue Hose,VMI Keydets,"11-13, 5-9 Conf","12-12, 7-7 Conf",94,74,,,Final,,44,50,,33,41,,NCAAB
320452335,2012,"February 14, 2012",Liberty Flames,VMI Keydets,"12-16, 7-9 Conf","12-14, 7-9 Conf",78,69,,,Final,ESPN3,41,37,,26,43,,NCAAB
320542678,2012,"February 23, 2012",VMI Keydets,Charleston Southern Buccaneers,"14-14, 8-9 Conf","17-11, 10-7 Conf",90,81,,,Final,,37,53,,35,46,,NCAAB
320582678,2012,"February 27, 2012",VMI Keydets,Radford Highlanders,"15-15, 8-10 Conf","6-26, 2-16 Conf",55,53,,,Final,,29,26,,21,32,,NCAAB
320612737,2012,"March 1, 2012",Winthrop Eagles,VMI Keydets,"12-20, 8-10 Conf","17-15, 8-10 Conf",55,75,,,Final,ESPNU,29,26,,39,36,,NCAAB
313152678,2012,"November 11, 2011",VMI Keydets,The Citadel Bulldogs,1-0,0-1,103,100,,,Final,,52,51,,46,54,,NCAAB
313192678,2012,"November 15, 2011",VMI Keydets,Alice Lloyd College Eagles,"2-1, 0-0 Conf",,101,74,,,Final,,39,62,,39,35,,NCAAB
313270194,2012,"November 23, 2011",Ohio State Buckeyes,VMI Keydets,"5-0, 5-0 Home","3-2, 0-2 Away",107,74,,,Final,BTN,57,50,,44,30,,NCAAB
313372127,2012,"December 3, 2011",Charleston Southern Buccaneers,VMI Keydets,"5-2, 2-0 Conf","3-4, 0-2 Conf",114,81,,,Final,,58,56,,50,31,,NCAAB
313422678,2012,"December 8, 2011",VMI Keydets,Central Pennsylvania College Knights,"4-5, 0-2 Conf",,109,86,,,Final,,46,63,,42,44,,NCAAB
313462344,2012,,,,,,,,,,,,,,,,,,NCAAB
313652678,2012,"December 31, 2011",VMI Keydets,Presbyterian Blue Hose,"6-7, 1-2 Conf","7-6, 1-2 Conf",78,70,,,Final/OT,,39,24,15,31,32,7,NCAAB
320052427,2012,"January 5, 2012",UNC Asheville Bulldogs,VMI Keydets,"9-6, 4-0 Conf","7-8, 2-3 Conf",94,85,,,Final,,45,49,,39,46,,NCAAB
320102678,2012,"January 10, 2012",VMI Keydets,Liberty Flames,"8-9, 3-4 Conf","5-13, 0-6 Conf",71,57,,,Final,,31,40,,24,33,,NCAAB
320192678,2012,"January 19, 2012",VMI Keydets,High Point Panthers,"10-9, 5-4 Conf","7-12, 3-6 Conf",88,77,,,Final,,42,46,,40,37,,NCAAB
320262515,2012,"January 26, 2012",Radford Highlanders,VMI Keydets,"4-19, 1-10 Conf","11-10, 6-5 Conf",60,65,,,Final,,30,30,,30,35,,NCAAB
320352678,2012,"February 4, 2012",VMI Keydets,Winthrop Eagles,"12-11, 7-6 Conf","10-15, 7-7 Conf",86,79,,,Final,,47,39,,36,43,,NCAAB
320422241,2012,"February 11, 2012",Gardner-Webb Bulldogs,VMI Keydets,"11-16, 6-9 Conf","12-13, 7-8 Conf",77,61,,,Final,,31,46,,24,37,,NCAAB
320492678,2012,"February 18, 2012",VMI Keydets,William & Mary Tribe,"13-14, 11-1 Home","5-24, 2-14 Away",73,65,,,Final,,39,34,,30,35,,NCAAB
320562678,2012,"February 25, 2012",VMI Keydets,Coastal Carolina Chanticleers,"14-15, 8-10 Conf","19-10, 12-6 Conf",64,81,,,Final,,34,30,,36,45,,NCAAB
320600324,2012,"February 29, 2012",Coastal Carolina Chanticleers,VMI Keydets,"19-11, 12-6 Conf","16-15, 8-10 Conf",68,85,,,Final,,37,31,,43,42,,NCAAB
